t,V,m,h1,h2,d_L,f_L,d_T,f_T,q,r,P_af,P_as,P_i,xs,y
0.0,-39.013558536,0.092361701692,0.015905380261,0.01445216109,0.04804900895,0.48779845203,0.42074047435,0.038968420558,0.29760539675,0.064402950262,0.13034201158,0.46960956028,0.87993375273,0.082293827208,0.03889291759
0.01,-34.93125475408814,0.6681276449771102,0.008351018540910932,0.010469814739141157,0.08714260516047372,0.3963831864327699,0.5680078662230381,0.02537866001776073,0.26137410805202504,0.07446162868437774,0.12797483463993134,0.46399499602255023,0.845719991765428,0.08046399086914656,0.03856080946553933
0.02,-28.862316694710266,0.8256217968880232,0.0032453745531242626,0.004626974671418042,0.1892738366493601,0.3200964384117874,0.757988463315439,0.013726999663445752,0.1964465580749917,0.08947932318793445,0.13036710294689058,0.45974621897083745,0.7603150371266743,0.0788772119419141,0.0373492741626949
0.03,-15.550191156846575,0.9781787092105882,0.000451580657897912,0.0011463976643944463,0.5961654940732701,0.2514670028102551,0.9535065115345287,0.003554228715791601,0.11355805635618889,0.13377312673329872,0.14616405320537604,0.4577339693922373,0.5087410229609881,0.07768745791133824,0.034348366150418315
0.04,4.270831095108969,0.9994019347945274,1.9648546645312138e-05,0.0001192046373610772,0.9810214443949787,0.19552482216886313,0.9975263428044121,0.00025670037282806725,0.05178927482265644,0.32689906341993064,0.2432542584841134,0.46353217408492886,0.13353967202303738,0.07785094596893363,0.02647365171751688
0.05,13.715510231910276,0.9998947319758927,4.064486428868219e-06,1.250042667430736e-05,0.9973191138781242,0.15226581690312813,0.9994120120853913,8.312909718196415e-05,0.022331958094120172,0.499231386462225,0.464721119520603,0.483391121506691,0.045431217418225193,0.08169497013965424,0.015585284691564035
0.06,17.322770993619073,0.9999457976439489,2.2278011317589225e-06,3.091847698847706e-06,0.998612926908079,0.11858351774706552,0.9996586898595013,5.4964923779390925e-05,0.01027625462571479,0.5678489314950528,0.6761295445768105,0.5119586319967943,0.02921801364374094,0.08930437391585615,0.007758456645039264
0.07,18.236683428823135,0.9999542285883872,1.8942883573265645e-06,2.0000680982239778e-06,0.9988362484757312,0.09235256208322672,0.9997034298839408,4.9420126631593996e-05,0.005523915231264441,0.5893023640257705,0.810408221137003,0.5427025478719776,0.025575564126117535,0.09874674954380232,0.00367121503434817
0.08,17.575379284928612,0.9999483897061653,2.0756304638617075e-06,2.008069583270878e-06,0.9987188555731852,0.07192413067233618,0.9996743876456519,5.3032745345189956e-05,0.003765450043560509,0.586976989737584,0.8800053578038622,0.5714269509008595,0.026549541277573988,0.1080870036156122,0.001829162931943295
0.09,15.8848201020842,0.9999297161192604,2.6816707732993227e-06,2.4813395889050775e-06,0.9983205920330367,0.05601464289346764,0.9995837272221674,6.382911439780735e-05,0.003289886525012839,0.5699528557633963,0.9115361849397078,0.5960833359690331,0.03070552385786797,0.11609864296756188,0.001052561475404646
0.1,13.469187335728952,0.9998906693180452,3.88872078171501e-06,3.4955425646759726e-06,0.997515071162931,0.04362461215849956,0.9994078231260691,8.324673268415698e-05,0.003447228152334485,0.5426705490468865,0.9226766244787201,0.6160459491674296,0.03821573199358427,0.12227186593511245,0.0007470570458241899
