t,V,m,h,n
0.0,-75.0,0.05,0.6,0.325
0.01,-75.00594485674998,0.05012052767814987,0.5999955698192206,0.3249865436223139
0.02,-75.01176674852351,0.05023458060898994,0.5999913865318488,0.32497300734125106
0.03,-75.01746982881303,0.05034243493373585,0.599987445175642,0.32495939332101687
0.04,-75.02305893674507,0.05044441128135764,0.5999837399681037,0.3249457040830821
0.05,-75.02853802536573,0.05054076798913902,0.5999802661750663,0.3249319416900907
0.06,-75.03391103628606,0.0506317615922691,0.5999770190710206,0.32491810820033534
0.07,-75.03918176032921,0.05071763637456348,0.599973994100017,0.32490420559693833
0.08,-75.04435391846349,0.050798631436965405,0.5999711867833846,0.3248902358289036
0.09,-75.04943102875144,0.050874970602427606,0.5999685928690343,0.32487620074520784
0.1,-75.05441649932527,0.050946869990703705,0.5999662082210652,0.32486210214355976
0.11,-75.0593135886971,0.051014534370336935,0.5999640288716314,0.32484794174747444
0.12,-75.06412541457414,0.05107815842773173,0.5999620510045941,0.32483372121351084
0.13,-75.06885502409737,0.05113793284933277,0.5999602708686784,0.32481944216963476
0.14,-75.07350526666767,0.05119403347956631,0.5999586849328769,0.32480510614657465
0.15,-75.0780789008977,0.05124663019460689,0.5999572897585801,0.3247907146342781
0.16,-75.08257862730042,0.051295889575550896,0.5999560819609453,0.3247762690989642
0.17,-75.08700699262613,0.051341967106471105,0.5999550583217051,0.3247617709333307
0.18,-75.09136644876732,0.051385012222898714,0.599954215716676,0.3247472214885527
0.19,-75.09565934806001,0.05142516787646879,0.5999535511219445,0.3247326220715514
0.2,-75.09988792561268,0.051462568927451845,0.5999530616367549,0.32471797393489277
0.21,-75.10405435411978,0.05149734667453402,0.5999527444183858,0.3247032783055014
0.22,-75.10816069142848,0.051529624599417935,0.5999525967434464,0.3246885363576391
0.23,-75.11220890981143,0.05155952071624424,0.5999526159739194,0.32467374922787323
0.24,-75.11620092551703,0.051587149741171685,0.5999527995249084,0.3246589180292805
0.25,-75.12013855427224,0.051612619768351346,0.5999531449137765,0.3246440438298027
0.26,-75.12402352265413,0.05163603314807487,0.5999536497473006,0.32462912765790647
0.27,-75.12785747945908,0.051657487364743626,0.5999543117088297,0.32461417050824154
0.28,-75.13164200038766,0.05167707541207228,0.5999551285528579,0.3245991733440333
0.29,-75.1353785941823,0.05169488617638163,0.5999560980991304,0.32458413709967404
0.3,-75.13906871942714,0.05171100487925602,0.599957218223315,0.3245690626847827
0.31,-75.14271377383703,0.05172551336702586,0.5999584868565344,0.32455395098447737
0.32,-75.14631510148753,0.05173849050014307,0.5999599019791196,0.32453880286211767
0.33,-75.14987399982198,0.05175001254131353,0.5999614616144355,0.3245236191620161
0.34,-75.1533917246024,0.0517601535321826,0.5999631638233693,0.32450840071186665
0.35000000000000003,-75.15686948495852,0.051768984839814354,0.5999650067105337,0.3244931483200074
0.36,-75.16030836173233,0.05177656827212031,0.5999669885212272,0.324477862732669
0.37,-75.16370940255167,0.051782964010607446,0.5999691075292897,0.3244625446834173
0.38,-75.16707361352438,0.05178822987557752,0.5999713620472753,0.3244471948886667
0.39,-75.17040194802217,0.051792420347337685,0.599973750440069,0.32443181404167426
0.4,-75.17369532938375,0.051795588338868465,0.5999762711005125,0.32441640282328144
0.41000000000000003,-75.17695466895434,0.051797786597424685,0.5999789224300857,0.3244009619104277
0.42,-75.18018082406218,0.05179906432709018,0.5999817028847009,0.32438549195596367
0.43,-75.18337461967339,0.05179946887803523,0.5999846109514656,0.32436999359889196
0.44,-75.18653685004173,0.051799045845248734,0.5999876451471142,0.3243544674650561
0.45,-75.18966825515373,0.05179783718050313,0.5999908040435064,0.3243389141558938
0.46,-75.19276954625734,0.051795883172891105,0.5999940862404238,0.32432333426043086
0.47000000000000003,-75.19584141000745,0.05179322274403799,0.5999974903613259,0.32430772835715044
0.48,-75.1988845048894,0.051789893134678675,0.6000010150573971,0.324292097012206
0.49,-75.20189945889932,0.05178592976899013,0.6000046590098573,0.32427644077841333
0.5,-75.20488686410465,0.05178136593306077,0.600008420935325,0.3242607601929063
0.51,-75.2078472909965,0.05177623363246133,0.600012299571808,0.32424505578327195
0.52,-75.21078128511819,0.051770563393918244,0.6000162936820416,0.32422932806609245
0.53,-75.21368936811352,0.05176438432946819,0.6000204020525215,0.3242135775473712
0.54,-75.21657204107423,0.05175772430691246,0.6000246234909965,0.32419780472362075
0.55,-75.21942978453872,0.05175060997197213,0.6000289568260516,0.32418201008205677
0.56,-75.22226305916188,0.05174306680016286,0.6000334009062732,0.32416619410097003
0.5700000000000001,-75.22507230769105,0.0517351192065122,0.6000379545985977,0.32415035725044855
0.58,-75.22785795386685,0.05172679047539088,0.6000426167893562,0.32413449999192057
0.59,-75.23062039583394,0.051718102350700464,0.6000473863904606,0.3241186227754435
0.6,-75.23336001879207,0.051709075816379055,0.600052262327572,0.32410272604489393
0.61,-75.23607719257599,0.05169973094451465,0.6000572435423825,0.3240868102369685
0.62,-75.2387722720519,0.05169008691770469,0.6000623289922603,0.32407087578134114
0.63,-75.24144559454159,0.051680161866252884,0.6000675176528423,0.3240549230995226
0.64,-75.24409748276051,0.051669973048484454,0.600072808515207,0.3240389526061051
0.65,-75.24672824815785,0.05165953705606866,0.6000782005826507,0.32402296471017983
0.66,-75.24933819011217,0.05164886976145735,0.6000836928715397,0.324006959814963
0.67,-75.25192759681026,0.051637986370056406,0.6000892844105065,0.3239909383181497
0.68,-75.25449674611774,0.051626901471901174,0.6000949742396537,0.3239749006122638
0.6900000000000001,-75.25704589927844,0.051615628655917525,0.6001007614166027,0.3239588470820021
0.7000000000000001,-75.25957530440103,0.05160418072116122,0.6001066450132014,0.3239427781056812
0.71,-75.26208520405964,0.05159257013898111,0.600112624108306,0.323926694058409
0.72,-75.26457583183911,0.05158080884086849,0.6001186977911139,0.3239105953106221
0.73,-75.26704741301673,0.05156890825860831,0.6001248651605475,0.32389448222835643
0.74,-75.26950016524393,0.051556879364430284,0.6001311253246397,0.3238783551735186
0.75,-75.27193429369235,0.05154473238149672,0.6001374774050307,0.3238622145019125
0.76,-75.27434999236822,0.05153247686172691,0.600143920535768,0.32384606056376686
0.77,-75.2767474519197,0.05152012215030473,0.6001504538561112,0.3238298937068953
0.78,-75.27912685621553,0.05150767718146727,0.6001570765137055,0.32381371427530403
0.79,-75.28148838285524,0.05149515050845551,0.6001637876641249,0.3237975226093931
0.8,-75.28383220368096,0.051482550333537845,0.6001705864704138,0.32378131904615876
0.81,-75.28615848187843,0.0514698843379289,0.6001774721057472,0.32376510391802654
0.8200000000000001,-75.28846737186673,0.0514571596753229,0.6001844437535414,0.3237488775528038
0.8300000000000001,-75.29075902560561,0.05144438334195651,0.6001915006016961,0.3237326402762081
0.84,-75.29303359005364,0.051431562027478506,0.6001986418449288,0.32371639241084355
0.85,-75.295291207545,0.0514187021370595,0.6002058666844391,0.32370013427634925
0.86,-75.29753201618246,0.05140580981445328,0.6002131743275597,0.32368386618955314
0.87,-75.29975614766016,0.05139289081485275,0.6002205639897218,0.32366758846361066
0.88,-75.30196372630404,0.05137995044890364,0.6002280348953237,0.3236513014076241
0.89,-75.30415487502815,0.05136699393089338,0.6002355862723695,0.3236350053289971
0.9,-75.30632971301308,0.05135402624316768,0.6002432173545648,0.32361870053251574
