t,V,m,h,n
0.0,0.0,0.05,0.6,0.325
0.01,0.0059447189969719415,0.05012051881604605,0.5999955699775574,0.32498651328086564
0.02,0.011766478121569428,0.050234565608402545,0.599991386801579,0.3249728870386289
0.03,0.017469721433632453,0.05034243872926329,0.5999874451162038,0.3249591249605768
0.04,0.023058679997040483,0.05044441979188779,0.5999837398187567,0.32494523055949465
0.05,0.028537444283537192,0.050540778906401226,0.5999802659696033,0.3249312072357147
0.06,0.033909953761515385,0.05063177423151506,0.5999770188028273,0.3249170582697574
0.07,0.03917999365191069,0.0507176519919262,0.5999739937270995,0.3249027868217083
0.08,0.04435121260858785,0.05079864806359591,0.5999711863034648,0.32488839594651764
0.09,0.04942711889642315,0.05087498780148193,0.5999685922482607,0.3248738885919738
0.1,0.05441108318287379,0.050946886411659856,0.5999662074282756,0.32485926760202544
0.11,0.059306344815237694,0.051014549582442656,0.5999640278521782,0.3248445357226734
0.12,0.06411601609861703,0.051078173909902866,0.5999620496646455,0.3248296956060066
0.13,0.06884308296745015,0.05113794698446123,0.5999602691452471,0.32481474981096736
0.14,0.07349040946490518,0.051194047829759025,0.5999586827024254,0.324799700807489
0.15,0.07806074737733958,0.05124664773669242,0.5999572868616971,0.32478455098460646
0.16,0.08255673923824915,0.0512959107307475,0.5999560782597717,0.32476930265449466
0.17,0.08698091692727024,0.05134199320797819,0.5999550536486986,0.3247539580496225
0.18,0.09133570468269295,0.05138504416941831,0.5999542098924054,0.3247385193251339
0.19,0.09562342856570816,0.05142520625998165,0.5999535439528695,0.3247229885683493
0.2,0.09984631691943009,0.05146261556182991,0.5999530528923174,0.3247073677972616
0.21,0.10400650499912721,0.0514974020965112,0.5999527338663491,0.3246916589652601
0.22,0.10810603830614929,0.051529690060759595,0.5999525841203988,0.32467586396356474
0.23,0.11214687545871004,0.05155959797424634,0.5999526009872758,0.32465998462292034
0.24,0.11613089259186174,0.05158723911125377,0.599952781881269,0.3246440227176484
0.25,0.1200598852520407,0.05161272156147053,0.5999531242969224,0.3246279799664935
0.26,0.12393557212458715,0.05163614852943937,0.599953625804712,0.3246118580355964
0.27,0.1277595985525085,0.051657618608419754,0.5999542840470664,0.3245956585412307
0.28,0.13153353844801507,0.051677225856425674,0.5999550967370236,0.3245793830507311
0.29,0.13525889829397572,0.05169506013089738,0.5999560616534271,0.3245630330857957
