t,V,H,m,J,Ca_ss,d,dp,f,fca,fca2,f2,xr,Ca_i,xs1,xs2,ydv,ydv2,zdv,Na_i,Cl_i,AA,mL,hL,K_i,Ca_jsr,CaMKtrap,ro,ri,Ca_nsr
0.0,-85.781844107117,0.987317750543,0.001356538159,0.991924983076,0.00012271265,1.64013e-06,8.98230672628,0.999961508634,0.97836624923,0.893052931249,0.992234519148,7.24074e-06,0.00012131666,0.019883138161,0.019890650554,0.013970786703,0.99996472752,0.829206149767,12.972433387269,15.59207157178,0.000816605172,0.001356538159,0.26130711759,135.469546216758,1.737580994071,0.021123704774,0.0,0.862666650318,1.832822335168
0.01,-85.63206527719514,0.9873170748859597,0.0013756363633130333,0.9919248989867918,0.0001227122348295563,1.6404299304268366e-06,8.982306340790654,0.9999615084245818,0.9783663204075913,0.8930554698981156,0.9922349361628,7.239713482274558e-06,0.00012131630222154674,0.019883155025907553,0.019890657820549832,0.013977878495960435,0.9999647273719788,0.8292099658134392,12.972433339969232,15.592066974072475,0.0008166024010437508,0.0013756363633130333,0.2613076913236995,135.46955089468457,1.7375845334664621,0.021123607074299864,5.82852997510148e-103,0.8626705339394459,1.8328220729719964
0.02,-85.48272056942741,0.9873150621912294,0.001407996446399905,0.9919246409774563,0.00012271181967644132,1.6413315817109069e-06,8.982305145004025,0.9999615077711642,0.9783663915820918,0.8930580084869699,0.9922353531052024,7.238690429394131e-06,0.00012131594543522092,0.01988320863455701,0.019890683463902586,0.013998124173622116,0.999964726898266,0.8292137809656788,12.972433291431177,15.592062376388277,0.0008165996302010058,0.001407996446399905,0.26130818036888237,135.46955554694824,1.7375880727261177,0.021123509374923462,1.165899954598761e-102,0.8626744174509884,1.8328218107867225
0.03,-85.3338028170927,0.9873117331867606,0.0014428929975391295,0.9919242077957717,0.00012271140454094527,1.6428366716194336e-06,8.982303105912536,0.9999615066657055,0.9783664627535021,0.8930605470155647,0.9922357699742811,7.2376708328780354e-06,0.00012131558964280519,0.01988329895571172,0.019890727471266818,0.014030111448823062,0.9999647260900414,0.8292175952018734,12.972433241657273,15.592057778727344,0.0008165968594717918,0.0014428929975391295,0.26130858583268035,135.46956017398705,1.737591611849972,0.02112341167587079,1.7530516490085738e-102,0.8626783008526303,1.8328215486122175
0.04,-85.18530505412264,0.9873071076913664,0.0014788144752744894,0.9919235981466562,0.0001227109894233598,1.6449471063925565e-06,8.9823001891285,0.9999615051000043,0.9783665339218224,0.8930630854839013,0.9922361867690919,7.23665468445466e-06,0.0001213152348461002,0.019883425959216168,0.019890789830380954,0.014072592325307831,0.9999647249382376,0.8292214084995775,12.972433190649909,15.592053181089614,0.0008165940888561539,0.0014788144752744894,0.261308908825008,135.46956477622663,1.737595150838029,0.021123313977141858,2.3483410782751334e-102,0.8626821841443753,1.8328212864485232
0.05,-85.03722063551932,0.9873012042689017,0.0015155433897104825,0.9919228107188092,0.00012271057432397173,1.6476649421147514e-06,8.982296359528192,0.9999615030658602,0.978366605087053,0.8930656238919812,0.9922366034886909,7.235641976219236e-06,0.0001213148810468876,0.019883589616524453,0.019890870529721837,0.014124484640666174,0.9999647234337151,0.8292252208361833,12.972433138411393,15.59204858347502,0.0008165913183541553,0.0015155433897104825,0.26130915043588654,135.46956935407303,1.7375986896902944,0.021123216278736673,2.9559229219157045e-102,0.862686067326226,1.8328210242956786
0.06,-84.88954289296065,0.9872940412037753,0.0015530749842725255,0.9919218441238296,0.00012271015924307705,1.6509924748492104e-06,8.982291579580151,0.9999615005546851,0.9783666762491938,0.8930681622398058,0.9922370201320896,7.234632700241914e-06,0.00012131452824701568,0.01988378989926983,0.01989096955792308,0.014184798610419928,0.9999647215668287,0.829229032187847,12.972433084944063,15.592043985883505,0.0008165885479658792,0.0015530749842725255,0.26130931178734573,135.4695739079337,1.7376022284067725,0.021123118580655242,3.580345615758135e-102,0.8626899503981859,1.8328207621537258
0.07,-84.7422654578883,0.9872856355792267,0.0015914029001034015,0.9919206969595131,0.00012270974418096686,1.6549321488341296e-06,8.982285810959818,0.999961497557897,0.9783667474082447,0.8930707005273766,0.9922374366982998,7.233626848964835e-06,0.0001213141764483114,0.019884026780681345,0.019891086904347172,0.014252681077680412,0.999964719327861,0.8292328425305623,12.972433030250178,15.592039388315008,0.0008165857776914263,0.0015914029001034015,0.2613093939790903,135.4695784381977,1.737605766987468,0.021123020882897574,4.22645106936161e-102,0.8626938333602577,1.8328205000227051
0.08,-84.59538212416625,0.9872760036569438,0.0016305528578572422,0.9919193677854735,0.00012270932913793268,1.6594865970843653e-06,8.982279013821165,0.9999614940667629,0.9783668185642054,0.8930732387546948,0.992237853186316,7.23262441505336e-06,0.0001213138256526138,0.019884300235026107,0.019891222558858383,0.014327380806636938,0.9999647167068425,0.8292366518397182,12.972432974331955,15.59203479076947,0.0008165830075309164,0.0016305528578572422,0.26130939810831766,135.4695829452441,1.7376093054323862,0.021122923185463667,4.899571913315172e-102,0.8626977162124448,1.832820237902658
0.09,-84.44888688687453,0.9872651607905204,0.0016705373128866488,0.9919178551379408,0.00012270891411426382,1.6646586129302244e-06,8.982271147145704,0.9999614900724795,0.9783668897170754,0.8930757769217621,0.9922382695951247,7.2316253914508755e-06,0.00012131347586175578,0.019884610237751253,0.019891376511869847,0.014408238484745702,0.9999647136936427,0.8292404600903247,12.972432917191565,15.592030193246837,0.0008165802374844848,0.0016705373128866488,0.26130932525939154,135.46958742943974,1.737612843741532,0.02112282548835354,5.6055957482432606e-102,0.8627015989547502,1.832819975793624
0.1,-84.30277365575525,0.9872531221834825,0.001711374845181871,0.9919161574667845,0.00012270849911026036,1.6704512640535549e-06,8.982262166949862,0.9999614855657856,0.9783669608668539,0.8930783150285798,0.9922386859236598,7.230629771053576e-06,0.00012131312707764658,0.019884956764356525,0.019891548753901235,0.01449464502018478,0.9999647102775265,0.8292442672559186,12.972432858831217,15.592025595747048,0.00081657746755229,0.001711374845181871,0.2613091765518989,135.46959189115654,1.7376163819149095,0.02112272779156719,6.351325363999253e-102,0.862705481587177,1.8328197136956463
