t,V,Nai,Ki,Ca_sub,d,f,fCa,d_1,f_1,paS,paF,piy,n,q,r,y,qa,qi,Ca_up,Cai,Ca_rel,fTMM,fCMi,fCMs,fTC,fTMC,fCQ
0.0,-58.600291137693,9.438646305915,139.984146485614,0.00019074741,0.000602055134,0.626999773853,0.589580408056,0.004571884917,0.249637570396,0.629323128348,0.3493633709533,0.852396631172,0.054409723782,0.531446952485,0.005550489445,0.067156687129,0.426018100136,0.333330378068,1.462338380106,0.000312494921,0.296742023718,0.350600895635,0.116947220413,0.074631965653,0.059206293446,0.602955114871,0.260317260703
0.01,-58.600405809482936,9.438647911422848,139.98414633008008,0.00019158300450031622,0.0006020457043597961,0.62707105333428,0.5895989559639903,0.004571862318444398,0.24967575471802567,0.6293062939942629,0.34931157299196774,0.8523973729505059,0.054407725218859324,0.531500366662627,0.005550406608499469,0.06716496209464225,0.4260048841046907,0.33333333579016183,1.4623354068763572,0.00031248097589668797,0.2967626671679338,0.35061170692265303,0.11694170575500613,0.07463033947772178,0.05920330038579924,0.6029428804005426,0.2603309514905578
0.02,-58.60050007716107,9.438649528998518,139.98414617465744,0.00019204014407013832,0.0006020362676227409,0.6271423193789233,0.5896172724289325,0.004571837784965958,0.2497139277092173,0.629289460036788,0.3492597832907962,0.8523981148826597,0.05440572672456782,0.5315537621747395,0.005550323905062037,0.06717323688204548,0.4259916881548823,0.33333629350553745,1.462332433608514,0.00031247007484669874,0.29678308081936916,0.35062251802192634,0.11693620014794495,0.0746300615545894,0.05920031121876639,0.6029306465602352,0.26034464072123725
0.03,-58.600583072505046,9.438651153032595,139.98414601934564,0.00019229495116153175,0.0006020268355914036,0.627213571941918,0.5896354626196754,0.004571811807071206,0.24975208917054723,0.629272626488026,0.3492080018880281,0.8523988561717235,0.054403728299847916,0.5316071388752159,0.005550241351977939,0.0671815114870587,0.4259785141850744,0.3333392512131084,1.462329460376235,0.00031246029941818667,0.29680338258042527,0.3506333289027997,0.11693070780658779,0.07463049958660278,0.05919732770211425,0.6029184135749422,0.2603583277129724
0.04,-58.60065931655589,9.438652780748042,139.98414586414438,0.0001924344919417399,0.0006020174143227692,0.627284811001096,0.5896535786357496,0.004571784652480288,0.24979023900060168,0.6292557933544314,0.34915622880288166,0.8523995964094889,0.05440172994507327,0.5316604966914373,0.005550158957978781,0.06718978590753098,0.4259653631522122,0.33334220891234656,1.4623264871982493,0.0003124507668241889,0.296823630548651,0.35064413952920614,0.11692522976229665,0.07463134038488857,0.05919435027189371,0.602906181502862,0.2603720121806131
0.05,-58.600731532308394,9.438654410472363,139.9841457090535,0.0001925111165408027,0.0006020080076311432,0.6273560365432324,0.5896716518659711,0.004571756501574061,0.2498283771360641,0.6292389606401217,0.34910446404714096,0.8524003353394114,0.05439973166048159,0.5317138355795341,0.0055500767284526725,0.06719806014209079,0.4259522356453726,0.3333451666029146,1.4623235140738609,0.0003124409907713334,0.2968438593784889,0.35065494986687107,0.11691976592411535,0.07463239530060152,0.05919137889788316,0.602893950343222,0.2603856939938129
0.06,-58.60080119142258,9.438656041301767,139.98414555407288,0.00019255302150944452,0.0006019986177648814,0.6274272485613323,0.5896896992754642,0.004571727473234484,0.24986650354020298,0.6292221283475834,0.34905270762740587,0.8524010728108354,0.05439773344621568,0.5317671555156793,0.005549994666455135,0.0672063341899107,0.42593913199700745,0.33334812428460847,1.462320540989829,0.0003124307573756386,0.2968640873477328,0.3506657598843612,0.11691431547743777,0.07463356241382536,0.05918841324896138,0.6028817200571049,0.260399373128712
0.07,-58.600869054688474,9.438657672769137,139.98414539920245,0.00019257469201181747,0.0006019892460811013,0.6274984470519596,0.5897077296336702,0.004571697650901382,0.24990461819140716,0.6292052964783771,0.3490009595473228,0.8524018087333716,0.05439573530236449,0.5318204564874783,0.005549912773713173,0.06721460805047211,0.42592605239338904,0.3333510819572999,1.4623175679272398,0.00031242000208059513,0.29688432342795235,0.3506765695545639,0.1169088772817947,0.07463478908644462,0.05918545285809478,0.6028694905882325,0.2604130496209592
0.08,-58.60093560497189,9.43865930457809,139.9841452444422,0.00019258526482288294,0.0006019798935877786,0.6275696320130947,0.589725748505344,0.004571667103611835,0.24994272107397775,0.629188465033705,0.3489492198093745,0.8524025430402429,0.05439373722899609,0.5318737384870668,0.005549831051431248,0.06722288172337597,0.42591299696325624,0.3333540396208898,1.4623145948667502,0.00031240871201787274,0.29690457296007866,0.3506873788553933,0.11690345017411724,0.07463604195420293,0.05918249724817694,0.6028572618788389,0.2604267235283105
0.09,-58.60100110036252,9.438660936570308,139.98414508979198,0.00019258956047281845,0.0006019705609921984,0.627640803443848,0.5897437588631133,0.00457163588656702,0.24998081217724072,0.6291716340144542,0.3488974884150803,0.8524032756849449,0.054391739226160245,0.5319270015102551,0.005549749500377236,0.06723115520832833,0.42589996578744577,0.3333569972753048,1.4623116217899064,0.0003123969114074718,0.2969248383951753,0.35069818776992007,0.11689803304682195,0.07463730323740152,0.05917954596429,0.6028450338736643,0.26044039492155346
0.1,-58.60106568439555,9.438662568657838,139.98414493525183,0.00019259020887627578,0.0006019612488385705,0.6277119613439078,0.589761762358623,0.004571604046517878,0.25001889149320744,0.6291548034213398,0.3488457653654537,0.8524040066319369,0.054389741293896794,0.5319802455547543,0.005549668121088188,0.06723942850509255,0.4258869589215395,0.3333599549204858,1.4623086486799723,0.00031238463859278105,0.296945120742942,0.35070899628547697,0.11689262489531553,0.07463856309758714,0.059176598593537834,0.6028328065224906,0.26045406387497555
0.11,-58.60112945767834,9.438664200779096,139.98414478082165,0.0001925890201908195,0.0006019519576247301,0.6277831057132115,0.5897797601483173,0.004571571628242558,0.2500569590146859,0.6291379732550365,0.34879405066133107,0.8524047358488427,0.05438774343224314,0.5320334706190241,0.005549586914024177,0.0672477016134455,0.42587397641253555,0.3333629125563769,1.462305675521113,0.0003123719362960574,0.29696542044746355,0.35071980439218614,0.11688722476792988,0.0746398146789819,0.059173654744638704,0.6028205797777298,0.2604677304666718
0.12,-58.601192465774595,9.438665832906304,139.98414462650143,0.00019258675694138223,0.0006019426877701565,0.6278542365519856,0.589797752753811,0.004571538672086604,0.2500950147357636,0.629121143516139,0.3487423443033028,0.8524054633085537,0.05438574564123208,0.5320866767024639,0.005549505879533437,0.0672559745331906,0.4258610182951745,0.33336587018292846,1.4623027022990367,0.00031235885133128026,0.29698573726935507,0.35073061208334655,0.11688183180463078,0.0746410549432269,0.05917071406381992,0.6028083535963467,0.26048139477547744
0.13,-58.6012547332947,9.438667465024558,139.98414447229118,0.0001925837895681352,0.0006019334396623117,0.6279253538605796,0.589815740455085,0.004571505216020147,0.250133058651032,0.6291043142052121,0.3486906462918591,0.8524061889861069,0.05438374792089459,0.532139863804864,0.005549425017918907,0.06726424726414147,0.4258480845992294,0.33336882780009375,1.4622997290009994,0.00031234542844888976,0.29700607072579155,0.35074141935487363,0.11687644523689254,0.07464228230625361,0.05916777623485751,0.6027961279398979,0.2604950568788484
0.14,-58.60131627724955,9.438669097123617,139.98414431819077,0.0001925803527366852,0.0006019242136752717,0.6279964576394004,0.5898337234445106,0.004571471296480364,0.2501710907552746,0.6290874853228098,0.3486389566274482,0.8524069128574304,0.054381750271261096,0.5321930319261878,0.0055493443294647405,0.06727251980611508,0.4258351753524058,0.3333717854078265,1.4622967556157425,0.0003123317081769578,0.2970264202622403,0.35075222620495367,0.11687106438370419,0.07464349571267691,0.059164840977470004,0.602783902774349,0.2605087168520958
0.15,-58.601377109693416,9.438670729196279,139.98414416420022,0.0001925765965921025,0.0006019150101667294,0.6280675478888876,0.5898517018574018,0.004571436947895681,0.2502091110434974,0.62907065686947,0.3485872753104816,0.8524076348995234,0.05437975269236104,0.5322461810665204,0.005549263814437058,0.06728079215893384,0.42582229058049237,0.33337474300608216,1.4622937821335125,0.0003123177262375329,0.2970467853005555,0.35076303263365055,0.11686568865320802,0.07464469444989641,0.05916190804800804,0.6027716780701529,0.2605223747668424
0.16,-58.601437239418324,9.43867236123734,139.98414401031948,0.00019257261661612002,0.0006019058294866487,0.6281386246095124,0.5898696757914892,0.004571402203441821,0.2502471195108019,0.6290538288457256,0.3485356023413486,0.8524083550898921,0.05437775518422361,0.5322993112260401,0.005549183473092046,0.0672890643224218,0.42580943030819,0.33337770059481614,1.4622908085457051,0.00031230351460401814,0.29706716524668203,0.35077383864253486,0.11686031752138933,0.07464587803259547,0.05915897723069328,0.6027594538011808,0.26053603069231523
0.17,-58.60149667283055,9.438673993243066,139.98414385654854,0.000192568469331889,0.0006018966719813831,0.628209687801777,0.589887645316996,0.00457136709535957,0.2502851161523232,0.629037001252111,0.34848393772042374,0.8524090734062809,0.05437575774687803,0.5323524224050056,0.005549103305679882,0.0672973362964025,0.4257965945595141,0.33338065817398405,1.4622878348447164,0.00031228910191345293,0.29708755949641247,0.3507846442345063,0.11685495052315838,0.07464704614293145,0.05915604833395194,0.6027472299442761,0.2605496846958379
0.18,-58.60155541475495,9.438675625210687,139.98414370288734,0.00019256418868392647,0.0006018875379848932,0.628280737466193,0.5899056104860242,0.004571331654120233,0.25032310096334986,0.6290201740891471,0.34843228144806054,0.8524097898272316,0.05437376038035274,0.5324055146037275,0.00554902331243958,0.06730560808070397,0.42578378335733225,0.33338361574354247,1.462284861024013,0.0003122745130156312,0.29710796746466334,0.3507954494134261,0.11684958725710189,0.07464819857078654,0.05915312119238348,0.6027350064794847,0.2605633368409196
0.19,-58.60161346929549,9.438677257137867,139.98414354933584,0.0001925598003518551,0.0006018784278274866,0.6283517736032882,0.5899235713423985,0.004571295909186922,0.25036107393919743,0.6290033473573543,0.34838063352460363,0.8524105043315184,0.054371763084676214,0.53245858782256,0.005548943493606186,0.06731387967515436,0.42577099672408003,0.3333865733034481,1.4622818870778556,0.0003122597698886707,0.2971283885813945,0.35080625418394185,0.11684422736875158,0.07464933515675912,0.05915019565987696,0.602722783389218,0.26057698718869904
0.2,-58.60167083993015,9.438678889022661,139.984143395894,0.0001925553230244307,0.0006018693418361958,0.6284227962136059,0.5899415279227582,0.004571259889063141,0.2503990350752021,0.6289865210572534,0.34832899395038985,0.8524112168981227,0.05436976585987685,0.5325116420618968,0.0055488638494112655,0.06732215107958171,0.42575823468181184,0.33338953085365747,1.462278913001219,0.0003122448919173829,0.2971488222918138,0.35081705855135914,0.116838870545963,0.07465045578554007,0.059147271607712014,0.6027105606580194,0.26059063579803937
0.21,-58.601727530260725,9.438680520863109,139.9841432425618,0.00019255077120496625,0.0006018602804450621,0.628493805297909,0.5899594802640372,0.004571223630045812,0.25043698436511286,0.6289696951895468,0.34827736272585774,0.8524119274991371,0.05436776870599301,0.5325646773223491,0.0055487843801601405,0.06733042229375401,0.4257454972595139,0.33339248839411206,1.4622759387887714,0.0003122298999647019,0.29716926788623443,0.35082786252397585,0.11683351645341448,0.07465156037834164,0.059144348897483885,0.6026983382693575,0.26060428274317676
0.22,-58.601783542949946,9.438682152657778,139.98414308933917,0.0001925461538813679,0.0006018512440114802,0.628564800856839,0.589977428393153,0.004571187161531744,0.2504749218037627,0.6289528697548169,0.34822573985136585,0.8524126361115791,0.05436577162305646,0.5326176936044476,0.0055487050861036166,0.06733869331747895,0.42573278448096746,0.33339544592476333,1.4622729644365398,0.000312214809688318,0.297189724789113,0.3508386661090048,0.11682816483964721,0.07465264889252823,0.059141427425353506,0.602686116210863,0.2606179280839911
0.23,-58.60183887800366,9.438683784406663,139.9841429362261,0.00019254147107334666,0.0006018422325362339,0.6286357828903973,0.5899953723101647,0.0045711504835854065,0.2505128473911402,0.6289360447530649,0.34817412532691505,0.8524133427353984,0.05436377461106726,0.5326706909081933,0.0055486259672422435,0.06734696415075613,0.4257200963462247,0.3333984034456111,1.462269989944515,0.00031219962112256954,0.2972101929991873,0.3508494693064618,0.11682281570410973,0.07465372132800634,0.059138507191093155,0.6026738944825089,0.26063157182061364
0.24,-58.60189353839019,9.4386854161082,139.9841427832226,0.00019253673294497166,0.0006018332464627203,0.6287067513994162,0.5900133120446209,0.0045711136309606855,0.25055076112075014,0.6289192201850258,0.34812251915294623,0.8524140473420584,0.05436177767006551,0.5327236692343134,0.005548547023887068,0.06735523479334266,0.42570743288473134,0.33340136095659423,1.4622670153085537,0.00031218435076059344,0.29723067184300367,0.3508602721252896,0.11681746878165299,0.07465477765788006,0.05913558808510734,0.6026616730713036,0.2606452140228904
0.25,-58.60194752722196,9.43868704776074,139.98414263032856,0.0001925319501537105,0.0006018242862558609,0.6287777063847683,0.5900312476275048,0.00457107664009854,0.250588662985782,0.6289023960514705,0.3480709213299216,0.8524147499016379,0.054359780800093245,0.5327766285835703,0.0055484682563642345,0.06736350524498394,0.42569479412736244,0.3334043184576483,1.4622640405243106,0.0003121690158961597,0.297251160614417,0.35087107457486505,0.11681212379425672,0.07465581785394791,0.05913266999248043,0.6026494519636248,0.2606588547640582
0.26,-58.602000844500864,9.438688679364283,139.984142477544,0.00019252712270608177,0.0006018153519159958,0.6288486478464541,0.5900491790588347,0.004571039511024066,0.25062655298623066,0.6288855723523995,0.34801933185784173,0.8524154504141148,0.054357784001150496,0.5328295689559647,0.0055483896646739824,0.06737177550567978,0.42568218007414044,0.3334072759487734,1.462261065591783,0.0003121536165387428,0.2972716593129463,0.35088187665519543,0.1168067807417683,0.0746568419162181,0.05912975291314921,0.6026372311594651,0.2606724940441665
0.27,-58.60205349268114,9.438690310917586,139.98414232486886,0.000192522259008568,0.0006018064439033834,0.6289195757853965,0.5900671063620735,0.004571002277174301,0.2506644311152236,0.628868749088596,0.347967750737157,0.8524161488498341,0.05435578727327994,0.5328824903523649,0.005548311249138564,0.06738004557517137,0.4256695907554842,0.33341023342990406,1.4622580905081015,0.0003121381644861039,0.29729216729978525,0.35089267837605387,0.11680143943398681,0.07465784986498913,0.059126836768276334,0.6026250106496207,0.26068613192896206
0.28,-58.60210547398693,9.43869194241952,139.9841421723031,0.00019251736667954888,0.0006017975626351332,0.6289904902024317,0.5900850295584844,0.004570964968851581,0.25070229736653254,0.6288519262607699,0.34791617796827595,0.8524168451819208,0.05435379061652027,0.532935392773558,0.005548233010050024,0.0673883154532241,0.42565702619896073,0.3334131909009811,1.4622551152706653,0.0003121226704299708,0.2973126839960153,0.35090347974629754,0.11679609969854257,0.07465884171865655,0.05912392148641543,0.6026127904257509,0.2606997684780281
