t,V_s,V_D,n,h,Na
0.0,-64.0,-77.0,0.002,1.0,5.09
0.01,-63.939902826208844,-77.06896891129631,0.0019998947951078813,0.9998731768724819,5.011394570857743
0.02,-63.87961205671457,-77.1376098946416,0.0019999374421295012,0.9997464252703433,4.932777963163461
0.03,-63.81912811706864,-77.2059233234262,0.0020001285038796376,0.9996197356751417,4.854150274379173
0.04,-63.75845149822773,-77.27390963297312,0.0020004686652076277,0.9994930970686845,4.775511615898473
0.05,-63.697582473644594,-77.34156907681857,0.0020009583975488625,0.9993665032057285,4.696862047231211
0.06,-63.63652156482347,-77.40890212443347,0.0020015984857369006,0.9992399423135901,4.618201685085244
0.07,-63.57526926640603,-77.47590921888232,0.0020023896560951485,0.999113403247786,4.539530640665901
0.08,-63.51382607303398,-77.54259080322966,0.0020033326349470117,0.9989868748638324,4.460849025178517
0.09,-63.45219247572869,-77.60894731829755,0.002004428151781808,0.9988603460896623,4.382156948783262
0.1,-63.39036886586502,-77.67497914318537,0.00200567702322781,0.9987338078464106,4.303454492873231
0.11,-63.32835564640037,-77.74068666416692,0.0020070800557846313,0.9986072508235312,4.2247417421852775
0.12,-63.26615325216523,-77.8060702872587,0.002008638028079421,0.9984806650729274,4.146018790657763
0.13,-63.203762118015426,-77.87113041856253,0.0020103517193667455,0.9983540406451447,4.067285732220459
0.14,-63.14118268556486,-77.93586748697102,0.00201222207660203,0.9982273672276589,3.9885426585080976
0.15,-63.078415398323024,-78.00028192776934,0.0020142500937787382,0.99810063440611,3.9097896605116778
0.16,-63.01546069603206,-78.06437416353779,0.0020164366714047503,0.9979738319685318,3.8310268305015804
0.17,-62.95231901843411,-78.12814461685672,0.0020187827099879463,0.9978469497029588,3.7522542607481877
0.18,-62.88899080403804,-78.19159372119216,0.002021289230909617,0.997719977251576,3.6734720405324457
0.19,-62.82547649004427,-78.25472192155908,0.0020239573837870888,0.9975929041018361,3.594680255963773
0.2,-62.761776514914686,-78.31752965183813,0.0020267881946053504,0.9974657198903693,3.5158789962092585
0.21,-62.69789131712335,-78.38001734580243,0.0020297826881550607,0.9973384142552469,3.4370683504655273
0.22,-62.633821332166654,-78.44218545842183,0.002032942152476283,0.9972109764982705,3.3582484019302745
0.23,-62.56956700100832,-78.50403440574676,0.0020362673922555458,0.9970833965386683,3.279419244815862
0.24,-62.50512875589239,-78.56556466589917,0.002039759983066911,0.9969556633109508,3.200580955767657
0.25,-62.44050703450018,-78.6267766782955,0.00204342101978759,0.9968277663636617,3.1217336223851513
0.26,-62.37570227354573,-78.68767088786211,0.002047251674918661,0.9966996951401935,3.0428773306560406
0.27,-62.310714906633194,-78.74824775547829,0.0020512533604311925,0.9965714387510801,2.964012161817377
0.28,-62.24554536863673,-78.8085077366291,0.002055427396928766,0.996442986439463,2.8851381987718354
0.29,-62.18019409423357,-78.86845128855519,0.0020597751244542926,0.9963143274251939,2.806255523938722
0.3,-62.11466151759397,-78.92807887176366,0.0020642979259055333,0.9961854508718901,2.727364218799855
0.31,-62.04894807238129,-78.987390950028,0.0020689972270351025,0.9960563458869353,2.6484643638995653
0.32,-61.98305419175192,-79.04638799038818,0.002073874496450466,0.9959270015214784,2.5695560388446967
0.33,-61.9169803083553,-79.1050704631506,0.0020789312456139424,0.9957974067704348,2.4906393223046046
0.34,-61.85072685429943,-79.16343884141695,0.002084169027710353,0.9956675505710832,2.4117142921193206
0.35000000000000003,-61.78429426026362,-79.22149358897937,0.0020895894085518145,0.9955374217670334,2.332781028078757
0.36,-61.717682956586614,-79.27923517516625,0.0020951940022609448,0.9954070091524172,2.25383960851421
0.37,-61.65089337336732,-79.33666407621688,0.00210098447457513,0.9952763014759813,2.17489010998273
0.38,-61.58392594014578,-79.39378077092869,0.0021069625323840552,0.9951452874281297,2.095932608266511
0.39,-61.51678108590321,-79.45058574065717,0.002113129923729704,0.9950139556409238,2.0169671783728877
0.4,-61.44945923906194,-79.50707946931598,0.0021194884378063577,0.9948822946880821,1.9379938945343376
0.41000000000000003,-61.38196082748545,-79.56326244337679,0.002126039904960598,0.994750293084981,1.85901283020848
0.42,-61.31428627847838,-79.61913515186941,0.0021327861966913024,0.9946179392886539,1.7800240580780773
0.43,-61.246436017960015,-79.67469807891418,0.0021397292167398985,0.9944852216661793,1.701027651775164
0.44,-61.17841047049618,-79.72995170400948,0.0021468709014334903,0.9943521284958983,1.6220236858146517
0.45,-61.1102100609391,-79.78489651684947,0.0021542132373641013,0.9942186480301411,1.5430122321732034
0.46,-61.04183521351185,-79.83953300905102,0.002161758251517995,0.9940847684602063,1.4639933621993162
0.47000000000000003,-60.97328635179982,-79.89386167407702,0.002169508011184116,0.993950477916035,1.3849671466310411
0.48,-60.90456389875074,-79.9478830072363,0.002177464623954087,0.9938157644662111,1.3059336555959802
0.49,-60.83566827667467,-80.00159750568379,0.0021856302377222126,0.9936806161179617,1.2268929586112878
0.5,-60.766599907244,-80.05500566842035,0.002194007040685477,0.9935450208171565,1.147845124583671
0.51,-60.69735921082201,-80.10810799520571,0.0022025972827470533,0.9934089664061753,1.0687902219859473
0.52,-60.627946604111735,-80.16090498275172,0.0022114033504613937,0.9932724404763786,0.9897283194752691
0.53,-60.558362504959746,-80.21339713250018,0.0022204276139078435,0.9931354306695369,0.9106594846299794
0.54,-60.48860733074808,-80.26558494801924,0.002229672477948693,0.9929979245769289,0.8315837843724407
0.55,-60.41868149805391,-80.31746893445232,0.0022391403930795755,0.992859909717983,0.7525012850585411
0.56,-60.34858542264947,-80.36904959851805,0.002248833855429469,0.9927213735402771,0.6734120524776935
0.5700000000000001,-60.27831951950215,-80.42032744851029,0.002258755406760693,0.9925823034195385,0.5943161518528363
0.58,-60.207884202774395,-80.47130299429817,0.002268907634468913,0.9924426866596437,0.5152136478404334
0.59,-60.13727989309095,-80.52197675607458,0.002279292957797568,0.9923025108707585,0.43610460309935734
0.6,-60.066506980692736,-80.57234921999928,0.0022899147117765428,0.9921617620520902,0.35698908554695025
0.61,-59.995565886609675,-80.62242091184132,0.0023007753476394647,0.9920204277749499,0.2778671563123302
0.62,-59.92445701908261,-80.67219234451798,0.0023118777148037045,0.9918784949152153,0.1987388783181685
