t,V_s,V_D,n,h,Na
0.0,-64.0,-25.0,0.002,1.0,5.09
0.01,-63.9997058276712,-6.188721925136108,0.0019998219181720425,0.9998641891610066,5.360525957780397
0.02,-63.99941120676683,-6.2958428624370475,0.001999645711817138,0.999729500941491,5.6322371574356165
0.03,-63.999116138488986,-6.4122970474905046,0.001999471369800437,0.9995959260160028,5.902124057150481
0.04,-63.9988206240366,-6.537520798240162,0.0019992988810580846,0.9994634551372694,6.1700473959924516
0.05,-63.99852466460581,-6.6713592924862315,0.001999128234592418,0.9993320791318163,6.435870656751443
0.06,-63.99822826138947,-6.81359516466874,0.00199895941947701,0.9992017889041883,6.699461274005434
0.07,-63.99793141557727,-6.963952350478067,0.0019987924248537864,0.9990725754340085,6.960691596618366
0.08,-63.997634128355756,-7.122101693165108,0.001998627239933109,0.9989444297759237,7.219439822403161
0.09,-63.99733640090831,-7.287667146793085,0.001998463853993189,0.9988173430588249,7.475590821069087
0.1,-63.997038234415115,-7.46023216049491,0.001998302256379685,0.9986913064852649,7.729036836004475
0.11,-63.99673963005317,-7.63934700564332,0.001998142436505264,0.9985663113308446,7.979678057967203
0.12,-63.99644058899628,-7.824535733563682,0.001997984383849167,0.9984423489436023,8.227423079105519
0.13,-63.996141112415025,-8.015303372637632,0.0019978280879567917,0.9983194107434221,8.472189211805848
0.14,-63.995841201476765,-8.211142914187118,0.001997673538439247,0.998197488221414,8.713902700442967
0.15,-63.99554085734564,-8.411541710889123,0.001997520724972943,0.9980765729393375,8.952498791003949
0.16,-63.99524008118253,-8.615987714608442,0.001997369637299179,0.997956656529028,9.187921696532472
0.17,-63.99493887414507,-8.823974820956026,0.001997220265223715,0.9978377306917956,9.420124479193701
0.18,-63.994637237387636,-9.035007762216726,0.0019970725986163617,0.9977197871978549,9.649068830119894
0.19,-63.99433517206133,-9.248606305723682,0.0019969266274105684,0.9976028178857552,9.874724776564014
0.2,-63.99403267931396,-9.464308635194946,0.0019967823416030144,0.9974868146618098,10.097070329239008
0.21,-63.993729760290094,-9.68167431078987,0.0019966397312532035,0.9973717694995328,10.316091074194315
0.22,-63.99342641613095,-9.900286143492478,0.0019964987864830573,0.997257674439079,10.53177972941912
0.23,-63.99312264797447,-10.119752109449554,0.001996359497476515,0.9971445215866943,10.74413567666802
0.24,-63.99281845695526,-10.339706236398102,0.001996221854479158,0.9970323031141906,10.95316449503748
0.25,-63.992513844204645,-10.55980885120609,0.0019960858477977776,0.9969210112583559,11.15887742608714
0.26,-63.99220881085059,-10.779746910123201,0.0019959514677999625,0.9968106383203876,11.361290854751063
0.27,-63.99190335801775,-10.999233771529786,0.0019958187049138733,0.9967011766655806,11.56042602621522
0.28,-63.99159748682741,-11.218009042285107,0.001995687549627648,0.9965926187225153,11.756308308331107
0.29,-63.99129119839752,-11.435836845817262,0.0019955579924890573,0.9964849569825849,11.948966785405926
0.3,-63.990984493842696,-11.652503688297775,0.0019954300241051656,0.9963781839995357,12.13843387866208
0.31,-63.990677374274156,-11.867822330756171,0.0019953036351420873,0.996272292389101,12.324744980729806
0.32,-63.990369840799744,-12.081624651564479,0.001995178816324835,0.9961672748287077,12.50793800669189
0.33,-63.990061894523954,-12.293763330472048,0.0019950555584357125,0.9960631240556812,12.688052992834882
0.34,-63.989753536548015,-12.50411006619372,0.0019949338523138523,0.9959598328666542,12.865131772349534
0.35000000000000003,-63.989444767969545,-12.712554285651583,0.001994813688858426,0.9958573941208012,13.03921777508426
0.36,-63.98913558988287,-12.919001407046721,0.0019946950590247012,0.9957558007355988,13.21035560687818
0.37,-63.98882600337897,-13.123372039906096,0.0019945779538238016,0.9956550456864762,13.378590820277875
0.38,-63.988516009545386,-13.325600567310468,0.001994462364323438,0.9955551220074843,13.543969735999564
0.39,-63.988205609466256,-13.525633411019822,0.001994348281647664,0.9954560227908991,13.706539166606921
0.4,-63.98789480422229,-13.723428584907646,0.0019942356969760966,0.9953577411863171,13.866346244002589
0.41000000000000003,-63.98758359489081,-13.9189549735522,0.001994124601543467,0.9952602704000824,14.023438248445707
0.42,-63.98727198254569,-14.112189807290308,0.0019940149866393714,0.9951636036949251,14.177862458024313
0.43,-63.9869599682574,-14.30311851866616,0.001993906843607971,0.9950677343895404,14.329666014108135
0.44,-63.98664755309297,-14.491735507294695,0.0019938001638476303,0.9949726558581188,14.478895803063978
0.45,-63.98633473811603,-14.678040243426539,0.001993694938810575,0.9948783615298894,14.625598354293725
0.46,-63.986021524386715,-14.862038478864026,0.0019935911600024807,0.9947848448885777,14.76981973597936
0.47000000000000003,-63.98570791296176,-15.043741518136711,0.0019934888189825535,0.9946920994723992,14.911605488668199
0.48,-63.98539390489441,-15.223164860607634,0.0019933879073628703,0.9946001188732797,15.051000558081235
0.49,-63.9850795012345,-15.400328230724142,0.0019932884168079893,0.9945088967363556,15.188049237802456
0.5,-63.98476470302846,-15.57525472471723,0.0019931903390335475,0.9944184267584526,15.322795137332092
0.51,-63.98444951131932,-15.747970501426117,0.001993093665806405,0.9943287026881404,15.455281138427328
0.52,-63.984133927146736,-15.918504383920025,0.0019929983889438417,0.9942397183248204,15.585549370619951
0.53,-63.98381795154657,-16.086887407047957,0.0019929045003191227,0.9941514675242443,15.713641101010024
0.54,-63.98350158555129,-16.25315217817454,0.0019928119918556156,0.994063944192469,15.839596792791228
0.55,-63.98318483019003,-16.417333119115657,0.0019927208555248917,0.9939771422838366,15.963456113194857
