t,V,Na_c,Na_i,m,h1,h2,Ca_d,d_L,f_L1,f_L2,K_c,K_i,r,s,a_ur,i_ur,n,pa,Ca_c,Ca_i,O_C,O_TC,O_TMgC,O_TMgMg,O,Ca_rel,Ca_up,O_Calse,F1,F2
0.0,-74.031982,130.022096,8.516766,0.003289,0.877202,0.873881,7.1e-05,1.4e-05,0.998597,0.998586,5.560224,129.485991,0.001089,0.948597,0.000367,0.96729,0.004374,5.3e-05,1.815768,6.5e-05,0.026766,0.012922,0.190369,0.714463,1.38222,0.632613,0.649195,0.431547,0.470055,0.002814
0.01,13.763391604757608,129.98446307724552,8.521884463918907,0.9933073426146016,3.438256046447134e-07,0.08643941687023315,0.024030526388432623,0.9575950992915744,0.5053997920195158,0.8957450361332424,5.617442643397741,129.48611208988794,0.8698785911438884,0.5692246516437344,0.9582956503619774,0.965215824374664,0.010276143415683473,0.17974924508328247,1.8065990517936057,0.0006969055013396796,0.12630941528364886,0.0571144765861192,0.20603013092387557,0.702292748825722,1.3927406327624725,0.41439049510176273,0.6773505229212511,0.38571334177946676,0.3330554050433681,0.12802124764763703
0.02,6.365987427e-314,8.21212371295e-312,2.75859452845e-313,0.0,0.0,2.121995836e-314,8.23334367086e-312,3.8195924244e-313,0.0,0.0,2.121995833e-314,8.23334367086e-312,5.30498947835e-313,0.0,0.0,2.121995817e-314,8.23334367086e-312,5.51718905715e-313,0.0,0.0,2.1219958453e-314,8.23334367086e-312,2.12199579116e-313,0.0,0.0,2.121995836e-314,8.254563628777e-312,3.18299368694e-313,0.0,0.0
0.03,4.243991624e-314,8.254563628777e-312,4.0317920036e-313,0.0,0.0,2.121995817e-314,8.254563628777e-312,4.2439915824e-313,0.0,0.0,4.2439916363e-314,8.254563628777e-312,1.48539705387e-313,0.0,0.0,4.243991623e-314,8.27578358669e-312,5.7293886366e-313,0.0,0.0,4.2e-322,8.27578358669e-312,7.85138442795e-313,0.0,0.0,6.365987414e-314,8.27578358669e-312,8.48798316574e-313,0.0,0.0
0.04,2.5e-323,8.27578358669e-312,8.70018274434e-313,0.0,0.0,1.0609978977e-313,8.27578358669e-312,8.70018274395e-313,0.0,0.0,8.487983205e-314,8.27578358669e-312,1.08221785361e-312,0.0,0.0,2.121995833e-314,8.27578358669e-312,1.230757559017e-312,0.0,0.0,1.0609978996e-313,8.27578358669e-312,1.29441743278e-312,0.0,0.0,2.5e-323,8.27578358669e-312,1.315637390655e-312,0.0,0.0
0.05,2.1219957932e-313,8.27578358669e-312,1.315637390616e-312,0.0,0.0,2.121995833e-314,8.27578358669e-312,1.48539705399e-312,0.0,0.0,1.2731974787e-313,8.27578358669e-312,1.549056927755e-312,0.0,0.0,2.5e-323,8.27578358669e-312,1.57027688563e-312,0.0,0.0,2.1219957932e-313,8.27578358669e-312,1.570276885527e-312,0.0,0.0,1.0609978977e-313,8.27578358669e-312,1.591496843323e-312,0.0,0.0
0.06,1.4853970578e-313,8.27578358669e-312,1.761256506877e-312,0.0,0.0,2.121995833e-314,8.27578358669e-312,1.909796212284e-312,0.0,0.0,1.2731974787e-313,8.27578358669e-312,1.973456086047e-312,0.0,0.0,2.5e-323,8.27578358669e-312,1.99467604392e-312,0.0,0.0,1.0609978977e-313,8.27578358669e-312,1.994676043883e-312,0.0,0.0,2.1219957932e-313,8.27578358669e-312,1.994676043606e-312,0.0,0.0
0.07,6.365987415e-314,8.27578358669e-312,2.75859452845e-313,0.0,0.0,1.69759663687e-313,8.27578358669e-312,3.39519326624e-313,0.0,0.0,1.93e-322,8.27578358669e-312,3.60739284484e-313,0.0,0.0,1.90979621597e-313,8.297003544606e-312,6.3659873739e-313,0.0,0.0,1.48539705817e-313,8.297003544606e-312,7.2147856908e-313,0.0,0.0,2.121995833e-314,8.297003544606e-312,9.3367814821e-313,0.0,0.0
0.08,2.12199579507e-313,8.297003544606e-312,9.76118064066e-313,0.0,0.0,2.5e-323,8.297003544606e-312,9.9733802194e-313,0.0,0.0,2.08e-322,8.297003544606e-312,9.97338021936e-313,0.0,0.0,2.121995833e-314,8.297003544606e-312,1.14587772736e-312,0.0,0.0,2.12199579507e-313,8.297003544606e-312,1.18831764321e-312,0.0,0.0,2.5e-323,8.297003544606e-312,1.209537601087e-312,0.0,0.0
0.09,1.0609978977e-313,8.297003544606e-312,1.209537601033e-312,0.0,0.0,2.33419537416e-313,8.297003544606e-312,1.40051722233e-312,0.0,0.0,2.3341953723e-313,8.297003544606e-312,1.400517222215e-312,0.0,0.0,2.33419537416e-313,8.297003544606e-312,1.59149684356e-312,0.0,0.0,2.3341953723e-313,8.297003544606e-312,1.591496843397e-312,0.0,0.0,2.121995817e-314,8.297003544606e-312,1.612716801287e-312,0.0,0.0
0.1,1.0609978977e-313,8.297003544606e-312,1.61271680123e-312,0.0,0.0,2.54639495326e-313,8.297003544606e-312,1.84613633852e-312,0.0,0.0,2.2e-322,8.297003544606e-312,1.84613633824e-312,0.0,0.0,6.365987415e-314,8.297003544606e-312,2.75859452845e-313,0.0,0.0,2.75859453236e-313,8.297003544606e-312,3.39519326624e-313,0.0,0.0,1.93e-322,8.297003544606e-312,3.60739284484e-313,0.0,0.0
0.11,8.487983205e-314,8.31822350252e-312,5.51718905745e-313,0.0,0.0,8.487983205e-314,8.31822350252e-312,7.42698526976e-313,0.0,0.0,1.48539705817e-313,8.31822350252e-312,8.27578358654e-313,0.0,0.0,2.121995833e-314,8.31822350252e-312,9.97338021956e-313,0.0,0.0,2.12199579507e-313,8.31822350252e-312,1.03977793781e-312,0.0,0.0,2.5e-323,8.31822350252e-312,1.060997895685e-312,0.0,0.0
0.12,8.487983205e-314,8.31822350252e-312,1.23075755901e-312,0.0,0.0,2.1219957932e-313,8.31822350252e-312,1.23075755896e-312,0.0,0.0,2.97079411145e-313,8.31822350252e-312,1.442957138153e-312,0.0,0.0,2.3341953723e-313,8.31822350252e-312,1.442957138054e-312,0.0,0.0,2.121995817e-314,8.31822350252e-312,1.464177095944e-312,0.0,0.0,2.2e-322,8.31822350252e-312,1.464177095904e-312,0.0,0.0
0.13,2.3341953723e-313,8.31822350252e-312,1.48539705377e-312,0.0,0.0,6.365987415e-314,8.31822350252e-312,2.75859452845e-313,0.0,0.0,3.18299369055e-313,8.31822350252e-312,3.18299368714e-313,0.0,0.0,1.93e-322,8.31822350252e-312,3.39519326574e-313,0.0,0.0,8.487983205e-314,8.339443460435e-312,5.51718905745e-313,0.0,0.0,8.487983205e-314,8.339443460435e-312,7.42698526976e-313,0.0,0.0
0.14,1.48539705817e-313,8.339443460435e-312,8.27578358654e-313,0.0,0.0,2.121995833e-314,8.339443460435e-312,1.01855797987e-312,0.0,0.0,2.12199579507e-313,8.339443460435e-312,1.060997895725e-312,0.0,0.0,2.5e-323,8.339443460435e-312,1.0822178536e-312,0.0,0.0,3.39519326965e-313,8.339443460435e-312,1.251977516926e-312,0.0,0.0,2.2e-322,8.339443460435e-312,1.251977516877e-312,0.0,0.0
0.15,2.08e-322,8.339443460435e-312,1.273197474777e-312,0.0,0.0,3.60739284874e-313,8.339443460435e-312,1.44295713816e-312,0.0,0.0,2.3341953723e-313,8.339443460435e-312,1.442957138054e-312,0.0,0.0,2.121995817e-314,8.339443460435e-312,1.464177095944e-312,0.0,0.0,2.2e-322,8.339443460435e-312,1.464177095904e-312,0.0,0.0,2.3341953723e-313,8.339443460435e-312,1.48539705377e-312,0.0,0.0
0.16,6.365987415e-314,8.339443460435e-312,2.75859452845e-313,0.0,0.0,3.81959242784e-313,8.339443460435e-312,3.18299368714e-313,0.0,0.0,1.93e-322,8.339443460435e-312,3.39519326574e-313,0.0,0.0,4.03179200693e-313,8.36066341835e-312,6.3659873739e-313,0.0,0.0,8.487983205e-314,8.36066341835e-312,8.27578358635e-313,0.0,0.0,1.48539705817e-313,8.36066341835e-312,9.12458190313e-313,0.0,0.0
0.17,2.121995833e-314,8.36066341835e-312,1.082217853615e-312,0.0,0.0,2.12199579507e-313,8.36066341835e-312,1.12465776947e-312,0.0,0.0,2.5e-323,8.36066341835e-312,1.145877727344e-312,0.0,0.0,4.24399158603e-313,8.36066341835e-312,1.31563739067e-312,0.0,0.0,2.2e-322,8.36066341835e-312,1.31563739062e-312,0.0,0.0,4.45619116513e-313,8.36066341835e-312,1.5066170119e-312,0.0,0.0
0.18,2.3341953723e-313,8.36066341835e-312,1.506617011803e-312,0.0,0.0,2.121995817e-314,8.36066341835e-312,1.527836969693e-312,0.0,0.0,2.2e-322,8.36066341835e-312,1.527836969653e-312,0.0,0.0,2.3341953723e-313,8.36066341835e-312,1.549056927503e-312,0.0,0.0,4.6683907442e-313,8.36066341835e-312,1.803696422686e-312,0.0,0.0,2.2e-322,8.36066341835e-312,1.80369642242e-312,0.0,0.0
0.19,6.365987415e-314,8.36066341835e-312,2.75859452845e-313,0.0,0.0,4.8805903233e-313,8.36066341835e-312,3.39519326624e-313,0.0,0.0,1.93e-322,8.36066341835e-312,3.60739284484e-313,0.0,0.0,8.487983205e-314,8.381883376264e-312,5.51718905745e-313,0.0,0.0,8.487983205e-314,8.381883376264e-312,7.42698526976e-313,0.0,0.0,1.48539705817e-313,8.381883376264e-312,8.27578358654e-313,0.0,0.0
0.2,2.121995833e-314,8.381883376264e-312,9.97338021956e-313,0.0,0.0,2.12199579507e-313,8.381883376264e-312,1.03977793781e-312,0.0,0.0,2.5e-323,8.381883376264e-312,1.060997895685e-312,0.0,0.0,5.0927899024e-313,8.381883376264e-312,1.23075755901e-312,0.0,0.0,2.2e-322,8.381883376264e-312,1.23075755896e-312,0.0,0.0,5.3049894815e-313,8.381883376264e-312,1.421737180243e-312,0.0,0.0
0.21,2.3341953723e-313,8.381883376264e-312,1.421737180144e-312,0.0,0.0,2.121995817e-314,8.381883376264e-312,1.442957138034e-312,0.0,0.0,2.2e-322,8.381883376264e-312,1.442957137995e-312,0.0,0.0,2.3341953723e-313,8.381883376264e-312,1.46417709586e-312,0.0,0.0,6.365987415e-314,8.381883376264e-312,2.75859452845e-313,0.0,0.0,5.5171890606e-313,8.381883376264e-312,3.18299368714e-313,0.0,0.0
0.22,1.93e-322,8.381883376264e-312,3.39519326574e-313,0.0,0.0,5.7293886397e-313,8.40310333418e-312,5.9415882157e-313,0.0,0.0,8.487983205e-314,8.40310333418e-312,7.85138442805e-313,0.0,0.0,1.48539705817e-313,8.40310333418e-312,8.70018274484e-313,0.0,0.0,2.121995833e-314,8.40310333418e-312,1.039777937785e-312,0.0,0.0,2.12199579507e-313,8.40310333418e-312,1.08221785364e-312,0.0,0.0
