t,Vm,Ca_sub,dL,fL,fCa,dT,fT,paS,paF,pi_,n,q,r,y,qa,qi,R,O,I,RI,Ca_jsr,Ca_nsr,Cai,fTMM,fCMi,fCMs,fTC,fTMC,fCQ
0.0,-65.0,0.000223,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.7499955,3.4e-06,1.1e-06,0.25,0.029,1.35,0.0001,0.69,0.042,0.089,0.02,0.22,0.032
0.01,-64.93200735470732,0.0001719944319439138,1.4993713882195348e-06,0.999996426695569,0.9998836029628609,6.481714944037748e-05,0.9998995663848839,7.047697876570638e-07,4.022207885048551e-06,0.9992737239287883,1.2050313250587074e-09,0.9998798031050348,1.1911290925281078e-05,0.999989351897023,0.00044246896946480694,0.9999999761404389,0.7499970985592473,3.398155600657252e-06,1.0993977698390976e-06,0.24999840388738231,0.029010277685403478,1.3499830054744595,0.00010030027708641929,0.6899430881334181,0.04199090953998364,0.08892028250304611,0.019997983055316554,0.22000401330389818,0.03200751399770433
0.02,-64.86588180430824,0.00014973903513256325,3.002184758212271e-06,0.9999928237813043,0.9997880501387205,0.00012759523695355258,0.9997982443611756,1.4118451962922965e-06,8.057559136277596e-06,0.9985500423126652,2.4190077667593174e-09,0.9997596250590002,2.382761349919465e-05,0.9999786669049054,0.0008883521465967157,0.9999999521208807,0.7500006463414846,3.3962589535693193e-06,1.098766351065312e-06,0.2499948586332109,0.029020131067665034,1.3499660371766231,0.00010037951965795506,0.6898895049633641,0.04198224824212844,0.0887693016528728,0.019996126149096773,0.22000807363844094,0.03201504526533836
0.03,-64.80063695398196,0.00014012397625259355,4.508286526334217e-06,0.9999891916493612,0.9997015689185198,0.00018842070053265214,0.9996960466710963,2.1211886724504505e-06,1.2105833304357616e-05,0.997828973999507,3.641818524341958e-09,0.999639467487527,3.574824039940994e-05,0.9999679456247679,0.0013375894339555012,0.9999999279434119,0.750005041154806,3.394344191946139e-06,1.0981237925587671e-06,0.24999046637720942,0.029029749279889584,1.3499490735451776,0.0001003681254245022,0.689839041158025,0.04197369456007316,0.08858800835340415,0.019994301160501285,0.22001215017869874,0.03202259208766569
0.04,-64.73583207996955,0.00013600946222222816,6.01767584074025e-06,0.9999855303909766,0.9996190017620041,0.00024738178476137933,0.9995929769739192,2.832786017290277e-06,1.61669499639446e-05,0.9971105141673358,4.8734420742368174e-09,0.9995193315302239,4.76728898534861e-05,0.9999571882858901,0.0017901659738384886,0.9999999036085281,0.7500098000696083,3.392423032611677e-06,1.0974769212681178e-06,0.24998571003043782,0.029039218262222697,1.349932105972687,0.00010032238968302304,0.6897915015716439,0.04196512046145835,0.08839434095744707,0.019992457077551394,0.2200162302050686,0.0320301534293605
0.05,-64.67127454629156,0.00013428387936731818,7.530420340958105e-06,0.999981839963124,0.9995381117729732,0.0003045653248463633,0.9994890348882985,3.5466334380406428e-06,2.0240891108519056e-05,0.9963946475594622,6.1138969398973665e-09,0.9993992181143309,5.960147812636221e-05,0.9999463949519225,0.0022460871004397185,0.9999998791160121,0.7500147136101779,3.3904999492392492e-06,1.0968284948002255e-06,0.24998079906137788,0.029048578355206186,1.3499151314117246,0.00010026604337796191,0.6897467036914944,0.04195648098305336,0.08819607698996375,0.01999057599245167,0.220020308805337,0.03203772857012331
0.06,-64.606880462954,0.000133592556661198,9.046617585905624e-06,0.999978120264517,0.9994579269899915,0.0003600553659453681,0.9993842182892616,4.2627316691337044e-06,2.4327665900357136e-05,0.9956813544922658,7.363219235471922e-09,0.9992791280753347,7.15340072394308e-05,0.9999355656145035,0.002705366898618422,0.9999998544653343,0.750019690746903,3.3885767652261247e-06,1.0961796708894658e-06,0.24997582449666086,0.02905784999114516,1.349898149121643,0.00010020881545045205,0.6897044765597931,0.0419477655796359,0.0879965925179147,0.01998865371696425,0.2200243843324881,0.032045316942375654
0.07,-64.54261364535525,0.00013334995157034802,1.056637822461159e-05,0.9999743711686849,0.9993780274753304,0.00041393265957056363,0.9992785243067052,4.98108342355852e-06,2.8427295383369983e-05,0.99497061345879,8.621452895424449e-09,0.9991590622080476,8.347051632337326e-05,0.9999247002338427,0.003168023219198197,0.9999998296558271,0.7500246921458967,3.386654248738981e-06,1.0955309430276703e-06,0.24997082566891146,0.029067044741683715,1.3498811592886257,0.00010015440542884725,0.6896646599366039,0.0419389774870325,0.08779734229411046,0.019986691559317156,0.22002845647457028,0.03205291806077879
0.08,-64.47845842991114,0.0001333012550432107,1.2089818463961279e-05,0.9999705925387343,0.9992982304916187,0.0004662745264783037,0.9991719497704113,5.701692261102771e-06,3.253980569170123e-05,0.9942624022843622,9.888645316661975e-09,0.999039021288611,9.541106003109058e-05,0.9999137987567426,0.003634075450543772,0.9999998046867623,0.750029700688433,3.3847327297491253e-06,1.0948825244285267e-06,0.2499658196963128,0.02907617020021178,1.3498641624280805,0.00010010399238702886,0.689627103599761,0.04193012479107476,0.08759895529417146,0.01998469276511803,0.22003252541686932,0.03206053149025892
0.09,-64.41440813730928,0.00013333652142600715,1.3617056853579457e-05,0.9999667842336563,0.9992184572031099,0.0005171548901316858,0.9990644913997315,6.424562107671503e-06,3.66652251643925e-05,0.9935566986166706,1.1164845501646266e-08,0.9989190060836101,0.00010735569937402511,0.999902861124252,0.004103543565702102,0.9999997795573843,0.7500347089876733,3.3828123497885676e-06,1.0942345067353797e-06,0.24996081396547018,0.029085232058415615,1.3498471591412933,0.00010005771074459455,0.6895916667183305,0.04192121679703565,0.08740169868500247,0.01998266107017304,0.22003659149925794,0.03206815683155805
