t,Vm,Ca_sub,dL,fL,fCa,dT,fT,paS,paF,pi_,n,q,r,y,qa,qi,R,O,I,RI,Ca_jsr,Ca_nsr,Cai,fTMM,fCMi,fCMs,fTC,fTMC,fCQ
0.0,-57.9639346865,0.000138112560112,0.000584545564405,0.862381249774,0.711395919653,0.00504393374639,0.420757825415,0.453100576739,0.144755091176,0.849409822329,0.0264600410928,0.694241313965,0.00558131733359,0.113643187247,0.42380243163,0.447294008304,0.688047760973,1.7340201253e-07,7.86181717518e-08,0.311951987007,0.316762674605,1.49348117734,0.000150018670943,0.501049376634,0.0594880901438,0.054381370046,0.0291316176172,0.432694959597,0.273207128393
0.01,-57.962439629853925,0.00013812047141493344,0.0005846885573490096,0.8623993368643792,0.7113975729445602,0.005045179752837953,0.420730268604465,0.4530890838039491,0.1447376764644476,0.8493988297357603,0.026459084280200624,0.694231269435057,0.005581844624362149,0.11365013123985888,0.4238716993871918,0.44729641902587,0.6880581844465679,1.734211342650323e-07,7.862302303305338e-08,0.3119415635094592,0.31678351737568017,1.4934747475203087,0.00015001574767255566,0.5010580991716509,0.0594869367149213,0.054384004344871235,0.029131026465316203,0.4326850969887933,0.27322073469504365
0.02,-57.96094437869179,0.00013812804479400697,0.0005848316011849036,0.862417417838745,0.7113992224048997,0.0050464261781531725,0.42070269959713097,0.4530775920098206,0.14472026629765553,0.8493878352352046,0.026458127534592677,0.6942212203258776,0.005582372025433099,0.11365707463612067,0.4239409784308826,0.44729882965793727,0.6880686072537668,1.7344026541085797e-07,7.86278780983996e-08,0.31193114067827393,0.3168043558956354,1.493468318031818,0.0001500128275579151,0.5010668211015195,0.05948578367180325,0.05438664042043745,0.029130435508679064,0.43267523506975,0.2732343383231438
0.03,-57.95944894593018,0.00013813549602178975,0.0005849746959512129,0.862435492698033,0.7114008681487443,0.005047673024081037,0.42067511839495636,0.4530661013565941,0.1447028606747339,0.8493768388259089,0.02645717085597453,0.6942111666386557,0.005582899536844847,0.11366401743573297,0.42401026876168474,0.4473012402001925,0.6880790294045847,1.7345940550161903e-07,7.863273673245719e-08,0.3119207185034575,0.31682519018917127,1.4934618888747384,0.0001500099088924271,0.5010755424235331,0.05948463101775489,0.0543892776903297,0.029129844748622236,0.4326653738401669,0.2732479392742179
0.04,-57.957953339891894,0.00013814296408077198,0.0005851178416818862,0.8624535614431751,0.7114025102500291,0.005048920292140008,0.4206475249999513,0.45305461184424634,0.14468545959479917,0.849365840506751,0.026456214244344453,0.6942011083745968,0.005583427158632663,0.11367095963864576,0.42407957037952937,0.44730365065262695,0.6880894509054306,1.7347855423731035e-07,7.863759879638123e-08,0.31191029697860073,0.316846020279301,1.4934554600491925,0.00015000699059777763,0.5010842631376199,0.05948347875458445,0.05439191577935184,0.029129254185875468,0.43265551330023494,0.2732615375453401
0.05,-57.95645756222658,0.00013815047638418885,0.0005852610384037793,0.8624716240750814,0.7114041487234254,0.005050167983518996,0.4206199194141632,0.4530431234727508,0.14466806305699279,0.8493548402770568,0.02645525769970061,0.6941910455349034,0.005583954890821642,0.11367790124481318,0.42414888328338235,0.44730606101523257,0.6880998717575177,1.7349771155904274e-07,7.864246426256933e-08,0.3118998761024909,0.3168668461874302,1.4934490315551654,0.00015000407251575083,0.5010929832437033,0.05948232688180957,0.054394554613290506,0.02912866382024717,0.43264565344998174,0.27327513313379603
0.06,-57.95496160806717,0.00013815795136805175,0.0005854042861400977,0.8624896805947604,0.7114057835257281,0.00505141609922839,0.4205923016399459,0.4530316362420736,0.14465067106036844,0.8493438381365149,0.026454301222040823,0.6941809781209318,0.0055844827334298975,0.11368484225418746,0.42421820747110095,0.44730847128800094,0.6881102919569746,1.7351687764359557e-07,7.864733321207244e-08,0.3118894558789989,0.3168876679361201,1.4934426033925032,0.0001500011553954876,0.5011017027416941,0.05948117539657805,0.05439719441189978,0.029128073650592813,0.43263579428927423,0.2732887260367316
0.07,-57.953465478015744,0.00013816539895668734,0.0005855475849182429,0.8625077310031817,0.7114074146623068,0.005052664640416858,0.4205646716794966,0.45302015015218566,0.14463328360401254,0.849332834084488,0.026453344811363105,0.6941709061339665,0.005585010686482467,0.11369178266672024,0.4242875429414043,0.4473108814709236,0.6881207115041943,1.7353605247001808e-07,7.865220563475589e-08,0.31187903630773195,0.3169084855459768,1.493436175561185,0.00014999823920940753,0.5011104216315201,0.059480024298258986,0.05439983514822828,0.02912748367666037,0.43262593581813286,0.2733023162514783
0.08,-57.951969173357796,0.00013817284052484443,0.0005856909347652225,0.8625257753012776,0.7114090421446014,0.0050539136081868994,0.4205370295349205,0.4530086652030593,0.14461590068704608,0.8493218281203192,0.026452388467665566,0.6941608295752396,0.005585538750004438,0.11369872248236469,0.4243568896931616,0.44731329156399235,0.6881311304001049,1.7355523599261046e-07,7.865708150909007e-08,0.3118686173877618,0.3169292990358833,1.493429748061212,0.00014999532382496024,0.5011191399131182,0.05947887358661923,0.054402476764484314,0.02912689389835733,0.4326160780366033,0.27331590377555753
0.09,-57.95047269436695,0.00013818028053451417,0.0005858343357080164,0.8625438134900162,0.7114106659750662,0.005055163003609782,0.42050937520841764,0.4529971813946652,0.14459852230855727,0.8493108202433975,0.02645143219094622,0.6941507484460341,0.005586066924020324,0.11370566170107264,0.42442624772503795,0.44731570156719874,0.6881415486448442,1.735744282022866e-07,7.866196083041554e-08,0.311858199118951,0.31695010842451815,1.4934233208925685,0.00014999240924641136,0.5011278575864234,0.05947772326111983,0.054405119248523294,0.029126304315468043,0.4326062209447117,0.27332948860649325
