t,Vm,Nai,Ki,Ca_Total,ATPi,p_AP_Na,y,p_RP_Na,p_AI_Na,p_AP_CaL,p_U,p_UCa,y_1,p_RP_CaL,p_AI_CaL,p_C,y1,y2,y_2,y1_1,y2_1,y3,y1_2,y2_2,y1_3,y2_3,y_3,y_4,Caup,y_5,p_open_RyR,p_close_RyR,Ca_Total_1,pCa,pCaCB,pCB,X
0.0,-85.95752434460744,4.925761439682025,143.1837333000449,0.00040180173572968586,4.657102729020499,1.779648367445368e-05,0.5861887862983165,0.3556412697995689,0.40285968661346977,1.5445004166497696e-06,0.17246483915629204,6.098246017787626e-05,0.9985266538252986,0.9968480629364956,0.000877325391245903,0.4250747299372254,1.6882718240109127e-05,0.8585352091865849,0.6080573900752752,0.0018339931180983765,0.20443083454225305,0.967887666264921,0.09738789658609195,0.09745345578743213,0.0007956883250874798,0.9999125083105881,0.9891789193465331,0.5910747147428818,2.611712901567567,0.46108441538480216,0.00034314360001543243,0.19135178123107768,9.455741736977666,0.02490898775497523,0.001990153835322864,0.00042941813853474524,0.9573749975411884
0.01,-85.9574558448809,4.925761366611865,143.1837335839827,0.00040205765123900374,4.657107603278572,1.7747939735561836e-05,0.5861898924118304,0.3556527704376751,0.4028523567349254,1.544345321989623e-06,0.1724700648340874,6.098035258249773e-05,0.9985270850278186,0.9968489672297558,0.0008770699835090531,0.42508738976158045,1.688270192494383e-05,0.8585363173187587,0.6080574295164739,0.0018336407168449175,0.2044147835340955,0.9678876739523607,0.09738042251988087,0.09744973940125175,0.0007956802132910331,0.9999125087049328,0.9891791222814951,0.591074711277703,2.6116904690928036,0.4610739217992385,0.00034314797613580877,0.19136412380265025,9.455783429849316,0.02490816143991418,0.001990012635967966,0.00042937665089430555,0.9573750571838056
0.02,-85.95739060555854,4.925761293034271,143.18373386785333,0.00040230512767067437,4.657112473402583,1.7702462836581457e-05,0.5861909985202043,0.3556642678550441,0.40284502834662067,1.5441905533986854e-06,0.17247529013927304,6.0978385004307316e-05,0.9985275160986032,0.9968498712607353,0.0008768146544275096,0.42510004902170045,1.688268707246415e-05,0.8585374247803415,0.6080574648857999,0.0018332884412603824,0.2043987338422304,0.9678876809270988,0.09737294903803341,0.0974460235705802,0.0007956726424494703,0.999912509098614,0.9891792484741454,0.5910747080816964,2.611668201239234,0.46106350697443776,0.0003431525892385401,0.19137646609871828,9.455825116857977,0.024907339792959744,0.0019898715367661257,0.0004293351048532088,0.9573751161148139
0.03,-85.95732840935761,4.925761218992766,143.18373415165996,0.00040254441856393537,4.657117339516392,1.765986694511168e-05,0.5861921046235345,0.3556757622110035,0.40283770140353353,1.544036096140467e-06,0.17248051507937404,6.0976549927281854e-05,0.9985279470377844,0.9968507750295178,0.0008765594038100286,0.42511270771714804,1.6882673611614505e-05,0.8585385315879921,0.6080574963752031,0.0018329362911443238,0.20438268546423946,0.9678876872233717,0.09736547614012904,0.09744230828305808,0.0007956655800115413,0.9999125094916493,0.9891793043261217,0.5910747051423737,2.611646093039347,0.4610531685612009,0.000343157432056477,0.19138880812635506,9.455866798013803,0.02490652267252956,0.0019897305352531256,0.00042929350301109634,0.9573751743423896
0.04,-85.95726902453842,4.925761144533508,143.18373443540574,0.0004027758064080688,4.657122201757832,1.7619952736462746e-05,0.5861932107219239,0.3556872536762457,0.40283037585796483,1.543881934454613e-06,0.17248573966266187,6.097483908943666e-05,0.9985283778455054,0.9968516785361988,0.0008763042314512686,0.4251253658474534,1.6882661466602763e-05,0.8585396377594352,0.6080575241891256,0.00183258426627986,0.20436663839754243,0.9678876928776776,0.09735800382571656,0.09743859352493123,0.0007956589911258932,0.9999125098840577,0.9891792966468708,0.5910747024464433,2.611624138965334,0.46104290394534714,0.00034316249648971386,0.19140114989344326,9.45590847332811,0.024905709921068636,0.0019895896286871114,0.0004292518482591125,0.957375231875842
0.05,-85.95721235604626,4.925761069674929,143.18373471909206,0.0004029994300294945,4.657127060194319,1.7582636693821152e-05,0.5861943168154137,0.3556987423222543,0.40282305169091864,1.5437280617817993e-06,0.17249096389298266,6.097324864841101e-05,0.9985288085218313,0.9968525817808305,0.0008760491372641276,0.4251380234124206,1.6882650606271577e-05,0.858540743301868,0.60805754841101,0.0018322323665717058,0.204350592641077,0.967887697904981,0.09735053209460552,0.09743487928947059,0.0007956528612301009,0.999912510275847,0.9891792281909642,0.5910746999884989,2.611602336313263,0.46103271184812683,0.00034316777855058426,0.19141349140386124,9.455950142806481,0.024904901461503426,0.0019894488157276187,0.00042921014200790014,0.9573752887201457
0.06,-85.95715817867169,4.925760994461543,143.18373500272207,0.00040321557967256316,4.65713191496725,1.754772390600667e-05,0.5861954229041035,0.3557102283159173,0.40281572885642997,1.5435744627410721e-06,0.17249618777868542,6.097177026440989e-05,0.9985292390669058,0.9968534847635143,0.0008757941210470854,0.42515068041159065,1.6882640956918002e-05,0.8585418482324656,0.6080575692392514,0.0018318805918047661,0.20433454819233282,0.967887702340747,0.09734306094635373,0.09743116556256516,0.0007956471562721659,0.9999125106670355,0.9891791055496455,0.591074697755655,2.611580679412234,0.4610225895876744,0.0003431732699120125,0.19142583266571117,9.455991806460554,0.02490409713219679,0.001989308093562305,0.0004291683872210099,0.9573753448851389
0.07,-85.95710627180186,4.925760918937061,143.18373528629886,0.00040342453480525454,4.657136766212837,1.7515023811687774e-05,0.5861965289880907,0.35572171182040585,0.40280840730935175,1.5434211222854578e-06,0.17250141132785288,6.097039586369014e-05,0.9985296694808683,0.9968543874843473,0.0008755391826033432,0.4251633368445149,1.6882632446358077e-05,0.858542952568068,0.6080575868682834,0.0018315289417696738,0.20431850504885177,0.9678877062197181,0.09733559038052922,0.09742745233062182,0.0007956418429515892,0.9999125110576412,0.9891789351877783,0.591074695735279,2.611559162799369,0.4610125345805062,0.0003431789625575088,0.19143817368679347,9.456033464301532,0.024903296777441918,0.001989167459481849,0.00042912658675399603,0.9573754003802142
0.08,-85.95705641482394,4.925760843145196,143.18373556982553,0.0004036265748955483,4.65714161406729,1.748434584953295e-05,0.5861976350674727,0.3557331929988912,0.40280108700453693,1.5432680253679836e-06,0.1725066345485678,6.0969117372508616e-05,0.9985300997638581,0.9968552899434263,0.0008752843217361022,0.42517599271074463,1.688262500240783e-05,0.8585440563255151,0.6080576014925394,0.001831177416257062,0.20430246320817563,0.9678877095766372,0.0973281203967,0.0974237395800474,0.0007956368879678717,0.9999125114476822,0.9891787235702261,0.5910746939147387,2.6115377810117892,0.46100254424313847,0.00034318484847058346,0.19145051447490857,9.456075116340623,0.024902500241532004,0.001989026910776928,0.00042908474346241293,0.9573754552147643
0.09,-85.95700845693477,4.925760767115152,143.1837358533042,0.00040382192095228243,4.657146458637924,1.7455557435731466e-05,0.5861987411423153,0.3557446719648546,0.40279376791180266,1.5431151615587283e-06,0.17251185744692474,6.0967928702316067e-05,0.9985305299159791,0.9968561921408355,0.0008750295383065411,0.42518864800997247,1.68826185755453e-05,0.8585451595162371,0.6080576132445878,0.0018308260151147524,0.20428642266861527,0.9678877124352855,0.09732065099456265,0.09742002730013058,0.0007956322681919476,0.9999125118371708,0.9891784750600277,0.5910746922854471,2.6115165297453595,0.4609926165400412,0.0003431909213066874,0.19146285503622634,9.456116762586717,0.024901707401782228,0.0019888864453137347,0.0004290428595912045,0.9573755093967848
