t,V,m,h,d,f,s,x1,x2,q,r
0.0,-78.041367,0.02566853,0.78656359,0.00293135,0.80873917,0.75473994,0.02030289,0.0176854,3.11285794,0.13500116
0.01,-78.03540693384656,0.025525441663732888,0.7865558573316286,0.002931458635666854,0.8087413243624733,0.7547381317515863,0.020302525048163024,0.01768524587759122,1.3740045758465325,0.13502917832455924
0.02,-78.03267341708327,0.025450503629415536,0.7865480525436749,0.002931578320359574,0.808743477420317,0.7547363243445991,0.02030216030607796,0.017685091771528116,0.6066635970952685,0.1350571888279551
0.03,-78.03136348780419,0.025410937615400322,0.7865402158250818,0.0029317027539828406,0.8087456298438803,0.754734517334186,0.020301795669254843,0.01768493767380458,0.2678982995718862,0.13508519518643602
0.04,-78.0306821451453,0.025389965271796947,0.786532364907088,0.002931829156709867,0.8087477819290687,0.7547327105240018,0.02030143109156663,0.01768478358088719,0.11831114165227993,0.13511319902218685
0.05,-78.03027846079098,0.025378877517737344,0.7865245076189776,0.0029319563016544205,0.808749933806571,0.7547309038273353,0.020301066552640256,0.01768462949121553,0.052252363446182004,0.13514120105154542
0.06,-78.02999744856115,0.02537309644223778,0.7865166474191561,0.002932083647581748,0.8087520855341228,0.7547290972058807,0.020300702043474894,0.017684475404100255,0.023078899094056835,0.13516920159096946
0.07,-78.02977064052325,0.025370188520823598,0.7865087858356111,0.0029322109561082644,0.8087542371372355,0.7547272906427129,0.020300337560093105,0.01768432131923679,0.010194679836120183,0.13519720078030756
0.08,-78.02956778432528,0.025368847370683373,0.7865009235435054,0.002932338122648504,0.8087563886271831,0.7547254841303531,0.020299973100736834,0.01768416723649053,0.004504355327988193,0.13522519868138735
0.09,-78.02937551105339,0.02536836573515672,0.786493060841165,0.0029324651017357322,0.8087585400089492,0.7547236776654965,0.02029960866462873,0.017684013155801977,0.0019911787489515706,0.13525319532156285
0.1,-78.02918791188851,0.025368357962794796,0.7864851978603782,0.0029325918740262663,0.8087606912847364,0.7547218712466831,0.020299244251424858,0.017683859077144835,0.0008811962377050473,0.1352811907129531
0.11,-78.02900237479855,0.025368612504154776,0.7864773346593206,0.0029327184317190433,0.808762842455519,0.754720064873268,0.020298879860972847,0.017683705000507477,0.00039095040654508155,0.13530918486094373
0.12,-78.0288177448561,0.02536901273784323,0.7864694712636241,0.0029328447721115574,0.8087649935217275,0.7547182585449672,0.02029851549320505,0.017683550925884754,0.00017442076945959364,0.13533717776794338
0.13,-78.02863351127404,0.025369494113131167,0.7864616076845296,0.0029329708947515476,0.8087671444835526,0.7547164522616556,0.020298151148091248,0.017683396853274393,7.878315766273861e-05,0.13536516943504454
0.14,-78.02844944808771,0.025370020783792545,0.7864537439269121,0.0029330968001777618,0.8087692953410787,0.7547146460232789,0.02029778682561779,0.017683242782675388,3.654292855040126e-05,0.13539315986275738
0.15,-78.02826545527722,0.02537057278968788,0.7864458799928314,0.0029332224893629994,0.8087714460943427,0.7547128398298141,0.020297422525778364,0.0176830887140873,1.78845887549282e-05,0.13542114905133462
0.16,-78.02808148856843,0.025371138993139995,0.7864380158830997,0.002933347963467941,0.8087735967433611,0.7547110336812518,0.020297058248569904,0.017682934647509932,9.641710991716366e-06,0.13544913700091482
0.17,-78.02789752836449,0.025371713170905943,0.7864301515979767,0.00293347322373217,0.8087757472881411,0.7547092275775887,0.020296693993990766,0.017682780582943196,6.0023668603986535e-06,0.1354771237115861
0.18,-78.02771356596953,0.025372291838295615,0.7864222871374789,0.002933598271425839,0.8087778977286857,0.7547074215188245,0.02029632976203996,0.017682626520387056,4.394790174621252e-06,0.1355051091834142
0.19,-78.0275295975435,0.025372873044325155,0.7864144225015137,0.002933723107828474,0.8087800480649964,0.7547056155049597,0.020295965552716767,0.017682472459841496,3.6858690557777243e-06,0.13553309341645506
0.2,-78.0273456213801,0.025373455693063752,0.7864065576899414,0.002933847734219437,0.8087821982970734,0.7547038095359956,0.0202956013660206,0.017682318401306508,3.3720213057637215e-06,0.13556107641076004
0.21,-78.02716163674114,0.025374039172028916,0.7863986927026004,0.0029339721518737948,0.8087843484249171,0.7547020036119335,0.02029523720195091,0.017682164344782092,3.2338900219957408e-06,0.13558905816637878
