t,V,h,x_Ca,n,Ca
0.0,-55.0,0.01,0.01,0.01,0.0001
0.01,-54.998525718759154,0.010875215154359833,0.010164971447136954,0.010027049268378352,0.005822838768627452
0.02,-54.99707356978812,0.011749499071413233,0.01032991540527476,0.010054069222806463,0.005917582672700689
0.03,-54.99562230948304,0.012622853052279772,0.010494831879509059,0.010081059895805414,0.006012138008074134
0.04,-54.99417193615286,0.013495278133790985,0.010659720874278591,0.010108021322582988,0.006106676010339371
0.05,-54.99272244879757,0.014366775305839326,0.010824582393825872,0.010134953536754402,0.006201196257469503
0.06,-54.99127384437131,0.015237347574101352,0.010989416451064072,0.010161856640383124,0.006295698751622396
0.07,-54.98982612354367,0.01610699427778292,0.011154223043154282,0.010188730611030646,0.006390183497234506
0.08,-54.98837928670753,0.016975715029277298,0.011319002168430804,0.01021557543553516,0.006484650492650323
0.09,-54.986933329346684,0.01784351428025803,0.011483753846063689,0.010242391265075514,0.006579099763706365
0.1,-54.98548825281803,0.01871039069320512,0.011648478070293232,0.010269178054229527,0.006673531302639967
0.11,-54.98404405759257,0.019576343803858632,0.011813174839120208,0.010295935787230927,0.006767945106756666
0.12,-54.982600739741194,0.02044137748006524,0.011977844169245357,0.010322664595442227,0.0068623411947706155
0.13,-54.981158297136595,0.021305493815966994,0.012142486069710846,0.010349364549986143,0.006956719576814091
0.14,-54.979716733879165,0.02216868877510305,0.012307100523087889,0.010376035513773571,0.0070510802333571205
0.15,-54.978276045518626,0.02303096672956563,0.01247168754833876,0.010402677635320972,0.007145423186305533
0.16,-54.97683623224286,0.02389232749749662,0.012636247144648567,0.010429290908441956,0.007239748434514828
0.17,-54.97539729275092,0.024752772358844786,0.012800779317550838,0.010455875376609369,0.0073340559842396
0.18,-54.97395922563965,0.02561230269389348,0.01296528407301484,0.010482431086704536,0.007428345842242304
0.19,-54.972522029855426,0.02647091953144918,0.013129761415554992,0.010508958073681846,0.007522618012856365
0.2,-54.97108570458789,0.02732862365563772,0.013294211348672914,0.010535456364192746,0.007616872498724238
0.21,-54.96965024816252,0.028185416719654178,0.013458633879467526,0.010561926014379486,0.007711109308494448
0.22,-54.96821565928874,0.029041299990596296,0.013623029013439591,0.01058836706728258,0.00780532844814723
0.23,-54.966781936675936,0.029896274735561796,0.013787396756089875,0.010614779565942534,0.007899529923662819
0.24,-54.96534908009504,0.030750341154725636,0.013951737108492873,0.01064116351718454,0.00799371373424157
0.25,-54.96391708812964,0.0316035006416421,0.014116050076673973,0.010667518968341515,0.008087879886667298
0.26,-54.96248595946983,0.032455754482827406,0.014280335666214498,0.010693845963113104,0.008182028387043638
0.27,-54.96105569296833,0.033307103801333796,0.014444593882017622,0.010720144539650377,0.008276159240435472
0.28,-54.95962628762062,0.03415754957381257,0.014608824728402863,0.010746414731137558,0.008370272451780764
0.29,-54.95819774277518,0.03500709241496083,0.014773028208246743,0.010772656558479097,0.008464368025703686
0.3,-54.95677005706953,0.0358557336684876,0.014937204327332126,0.010798870067312139,0.008558445967460419
0.31,-54.955343229429054,0.036703474382948284,0.015101353090265187,0.01082505529326035,0.008652506282051256
0.32,-54.95391725877912,0.0375503156068983,0.015265474501652106,0.0108512122719474,0.008746548974476503
0.33,-54.95249214424042,0.0383962581674739,0.01542956856538736,0.010877341031504258,0.008840574046466428
0.34,-54.95106788473507,0.03924130311693326,0.015593635286089026,0.010903441607679894,0.008934581503076019
0.35000000000000003,-54.94964447913628,0.04008545156293658,0.01575767466855326,0.010929514038098043,0.009028571350178458
0.36,-54.948221926386445,0.04092870453475829,0.01592168671732427,0.010955558357729921,0.009122543592489298
0.37,-54.94680022542794,0.04177106306167284,0.01608567143694626,0.010981574601546733,0.009216498234724084
0.38,-54.945379375203146,0.042612528172954654,0.016249628831963427,0.011007562804519692,0.009310435281598367
0.39,-54.943959374667195,0.04345310087706531,0.0164135589069002,0.011033523000921214,0.009404354738179438
0.4,-54.942540222838836,0.04429278207876957,0.01657746166618247,0.011059455221542077,0.009498256611287132
0.41000000000000003,-54.941121918613014,0.045131572884670575,0.016741337114427917,0.011085359503949815,0.009592140904330098
0.42,-54.939704460937534,0.04596947431520431,0.01690518525617235,0.011111235882818886,0.009686007622173256
0.43,-54.93828784876019,0.046806487390806784,0.01706900609595157,0.01113708439282375,0.009779856769681532
0.44,-54.93687208102879,0.04764261313191399,0.017232799638301387,0.011162905068638863,0.009873688351719848
0.45,-54.93545715669113,0.048477852558961906,0.017396565887757603,0.011188697944938684,0.009967502373153126
0.46,-54.93404307472648,0.049312206622569354,0.017560304848889347,0.01121446305406654,0.010061298838039573
0.47000000000000003,-54.93262983408818,0.05014567633090883,0.017724016526238277,0.01124020043028742,0.01015507775110241
0.48,-54.93121743371211,0.05097826273082325,0.017887700924327597,0.01126591010915749,0.010248839117511682
0.49,-54.92980587254917,0.051809966835925536,0.018051358047696368,0.011291592125123389,0.010342582942053475
0.5,-54.928395149550205,0.052640789659828574,0.018214987900883647,0.011317246512631756,0.010436309229513873
0.51,-54.926985263666104,0.05347073221614526,0.018378590488428503,0.011342873306129238,0.010530017984678959
0.52,-54.92557621389323,0.05429979542710813,0.018542165814881332,0.01136847253700562,0.010623709212044606
