t,Ca_t,TnCa_t,CB_on_t,Ca_released,Ca_sequestered,cumCB_on_t,cumCB_off_t
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,2.198886433181266e-06,6.649976803923548,149.99943607373874,6.649999999999997,2.0997190015688977e-05,164.8868065125886,14.887370438849949
0.02,2.390231707270326e-06,12.599953656996718,149.99970236355148,12.6,4.39527715715457e-05,179.88703280067492,29.88733043712359
0.03,2.563740198951749e-06,17.849928694457795,149.99978981919773,17.849999999999998,6.874180200335041e-05,194.88709553934441,44.88730572014681
0.04,2.7058700174214105e-06,22.399902174543033,149.99983206839303,22.4,9.511958699117582e-05,209.8871191999579,59.88728713156502
0.05,2.7999696028540654e-06,26.24987450877567,149.99985701030994,26.249999999999996,0.00012269125485548602,224.88712877876887,74.88727176845909
0.06,2.8275605522316265e-06,29.39984628696109,149.99987210224032,29.4,0.00015088547849148712,239.88713041799417,89.88725831575407
0.07,2.7706195162625496e-06,31.849818283969828,149.9998823885904,31.849999999999998,0.00017894541078301244,254.88712849289976,104.88724610430955
0.08,2.615381852464567e-06,33.599791430924206,149.99988837325296,33.6,0.0002059536942397245,269.88712304509505,119.88723467184226
0.09,2.3563063858560187e-06,34.64976674759687,149.99989182377956,34.650000000000006,0.00023089609863025237,284.88711552610306,134.8872237023236
0.1,2.0001835614956633e-06,34.99974610223528,149.99989285644213,35.00000086477323,0.0002527623570792311,299.88710581236023,149.88721295591822
0.11,1.999957358417265e-06,34.999726881096244,149.9998928563833,35.000001642993745,0.00027276194283099595,314.8870950979417,164.88720224155858
0.12,1.9999550728096644e-06,34.99970688153637,149.99989285632213,35.000001642993745,0.0002927615049873034,329.8870843835158,179.88719152719386
0.13,1.999952787207419e-06,34.99968688199936,149.9998928562609,35.000001642993745,0.0003127610442875731,344.88707366908375,194.88718081282303
0.14,1.9999505016105297e-06,34.9996668824852,149.99989285619966,35.000001642993745,0.00033276056073180515,359.88706295464556,209.88717009844606
0.15,1.9999482160189686e-06,34.99964688299389,149.9998928561384,35.000001642993745,0.00035276005432003277,374.8870522402011,224.88715938406295
0.16,1.9999459304324477e-06,34.99962688352545,149.99989285607717,35.000001642993745,0.00037275952505261566,389.8870415257507,239.88714866967373
0.17,1.999943644851151e-06,34.99960688407986,149.99989285601595,35.000001642993745,0.00039275897292932467,404.88703081129415,254.8871379552784
0.18,1.9999413592750777e-06,34.99958688465712,149.99989285595473,35.000001642993745,0.0004127583979501598,419.88702009683146,269.8871272408769
0.19,1.9999390737042286e-06,34.999566885257245,149.9998928558935,35.000001642993745,0.00043275780011515895,434.88700938236263,284.8871165264693
0.2,1.9999367881386035e-06,34.99954688588022,149.9998928558323,35.000001642993745,0.0004527571794247504,449.8869986678877,299.88710581205567
0.21,1.9999345025782026e-06,34.999526886526056,149.99989285577107,35.000001642993745,0.0004727565358786621,464.8869879534067,314.8870950976358
0.22,1.9999322170230257e-06,34.99950688719474,149.99989285570985,35.000001642993745,0.000492755869476894,479.8869772389195,329.88708438320987
0.23,1.9999299314730725e-06,34.999486887886285,149.99989285564862,35.000001642993745,0.0005127551802209575,494.88696652442616,344.8870736687778
0.24,1.9999276459283383e-06,34.999466888600665,149.9998928555874,35.000001642993745,0.0005327544681249734,509.8869558099268,359.88706295433974
0.25,1.999925360388828e-06,34.9994468893379,149.99989285552618,35.000001642993745,0.0005527537331741413,524.8869450954213,374.8870522398954
0.26,1.9999230748545416e-06,34.99942689009799,149.999892855465,35.000001642993745,0.0005727529753684612,539.8869343809097,389.88704152544494
0.27,1.999920789325479e-06,34.999406890880934,149.99989285540377,35.000001642993745,0.0005927521947079328,554.8869236663918,404.88703081098845
0.28,1.99991850380164e-06,34.99938689168674,149.99989285534255,35.000001642993745,0.0006127513911925565,569.886912951868,419.8870200965258
