t,Vm,h
0.0,8.20413566106744e-06,0.8789655121804799
0.01,0.0020065724986667206,0.8789755979675536
0.02,0.004001845687952732,0.87898568291418
0.03,0.005994238718048991,0.8789957670204228
0.04,0.00798400997831713,0.8790058502863596
0.05,0.009971395886460817,0.8790159327120621
0.06,0.011956614641239587,0.8790260142975975
0.07,0.013939891447603384,0.8790360950430359
0.08,0.015921449305622188,0.8790461749484471
0.09,0.017901510943594896,0.8790562540139011
0.1,0.019880294059528663,0.8790663322394682
0.11,0.021858016631928656,0.8790764096252179
0.12,0.02383489423304596,0.8790864861712206
0.13,0.025811140231975043,0.8790965618775461
0.14,0.02778696569432865,0.8791066367442645
0.15,0.029762582660460946,0.8791167107714455
0.16,0.031738200195987,0.8791267839591592
0.17,0.03371402489967392,0.8791368563074756
0.18,0.0356902620885872,0.8791469278164646
0.19,0.03766711870846534,0.8791569984861962
0.2,0.03964479908003432,0.8791670683167403
0.21,0.04162350595661439,0.8791771373081667
0.22,0.04360344129503744,0.8791872054605455
0.23,0.04558480728464663,0.8791972727739467
0.24,0.047567804437744984,0.8792073392484399
0.25,0.049552632222915824,0.8792174048840952
0.26,0.0515394896426329,0.8792274696809825
0.27,0.05352857653094403,0.8792375336391717
0.28,0.05552009053775574,0.8792475967587327
0.29,0.057514229105768214,0.8792576590397352
0.3,0.059511189898098726,0.8792677204822493
0.31,0.06151117066819725,0.8792777810863448
0.32,0.06351436814637355,0.8792878408520916
0.33,0.06552097882417922,0.8792978997795594
0.34,0.06753119905728414,0.8793079578688182
0.35000000000000003,0.06954522516834344,0.8793180151199379
0.36,0.0715632535617828,0.8793280715329882
0.37,0.07358548085069337,0.8793381271080389
0.38,0.07561210391039161,0.8793481818451601
0.39,0.07764332000043372,0.8793582357444214
0.4,0.07967932686989695,0.8793682888058927
0.41000000000000003,0.08172032286092178,0.8793783410296436
0.42,0.08376650677368733,0.8793883924157444
0.43,0.08581807579001573,0.8793984429642644
0.44,0.08787522835116082,0.8794084926752735
0.45,0.089938163853382,0.8794185415488418
0.46,0.09200708230824069,0.8794285895850387
