t,TRPN,z,Q_1,Q_2,Q_3
0.0,0.067593139865,0.014417937837,0.0,0.0,0.0
0.01,0.06758546661000227,0.014417680083141555,0.0,0.0,0.0
0.02,0.06757780998491567,0.014417422776645941,0.0,0.0,0.0
0.03,0.0675701699550568,0.01441716591927584,0.0,0.0,0.0
0.04,0.06756254648055708,0.014416909513050191,0.0,0.0,0.0
0.05,0.06755493954105539,0.014416653558954641,0.0,0.0,0.0
0.06,0.06754734909693716,0.014416398058976092,0.0,0.0,0.0
0.07,0.06753977511064653,0.014416143015009698,0.0,0.0,0.0
0.08,0.06753221754462764,0.014415888428950618,0.0,0.0,0.0
0.09,0.06752467636132466,0.014415634302694009,0.0,0.0,0.0
0.1,0.06751715152318172,0.014415380638135026,0.0,0.0,0.0
0.11,0.06750964299264296,0.01441512743716883,0.0,0.0,0.0
0.12,0.06750215073215254,0.014414874701690577,0.0,0.0,0.0
0.13,0.06749467470415461,0.014414622433595424,0.0,0.0,0.0
0.14,0.06748721487109331,0.014414370634778526,0.0,0.0,0.0
0.15,0.06747977119541278,0.014414119307135043,0.0,0.0,0.0
0.16,0.06747234363969498,0.01441386845255111,0.0,0.0,0.0
0.17,0.06746493217685776,0.014413618072236154,0.0,0.0,0.0
0.18,0.06745753677774949,0.0144133681675351,0.0,0.0,0.0
0.19,0.06745015740744292,0.014413118740171005,0.0,0.0,0.0
0.2,0.06744279403101083,0.014412869791866926,0.0,0.0,0.0
0.21,0.06743544661352598,0.014412621324345924,0.0,0.0,0.0
0.22,0.06742811512006111,0.014412373339331055,0.0,0.0,0.0
0.23,0.06742079951568902,0.014412125838545379,0.0,0.0,0.0
0.24,0.06741349976548246,0.01441187882371195,0.0,0.0,0.0
0.25,0.06740621583451419,0.014411632296553832,0.0,0.0,0.0
0.26,0.06739894768785698,0.014411386258794078,0.0,0.0,0.0
0.27,0.06739169529058359,0.01441114071215575,0.0,0.0,0.0
0.28,0.06738445860776678,0.014410895658361903,0.0,0.0,0.0
0.29,0.0673772376069681,0.014410651098876662,0.0,0.0,0.0
0.3,0.06737003225715157,0.014410407035018233,0.0,0.0,0.0
0.31,0.06736284252431636,0.014410163468413291,0.0,0.0,0.0
0.32,0.06735566837444544,0.014409920400690193,0.0,0.0,0.0
0.33,0.06734850977352182,0.014409677833477297,0.0,0.0,0.0
0.34,0.06734136668752846,0.014409435768402961,0.0,0.0,0.0
0.35000000000000003,0.06733423908244837,0.01440919420709554,0.0,0.0,0.0
0.36,0.06732712692426453,0.014408953151183396,0.0,0.0,0.0
0.37,0.06732003017895993,0.014408712602294881,0.0,0.0,0.0
0.38,0.06731294881251755,0.014408472562058357,0.0,0.0,0.0
0.39,0.0673058827909204,0.014408233032102178,0.0,0.0,0.0
0.4,0.06729883208015143,0.014407994014054702,0.0,0.0,0.0
0.41000000000000003,0.06729179670046474,0.01440775550363752,0.0,0.0,0.0
0.42,0.06728477650046179,0.014407517515254585,0.0,0.0,0.0
