t,V,Ki,Nai,y,x,Cai,m,h,d,f,f2,Ca_up,Ca_rel,p
0.0,-67.797059970601,139.859968229045,7.51007221193712,0.0743464067197738,0.129303443591363,5.84191784887783e-05,0.042697621819783,0.138105285882671,1.26333192869164e-05,0.999507224159629,0.485471180273736,3.70806465918854,0.177741556496929,0.176207580044253
0.01,-66.87088080133528,139.86014247714482,7.5098778521836245,0.09129333331335075,0.11176369030859505,5.644815436446549e-05,0.047619860241961805,0.18214671479574585,1.4825051552632051e-05,0.9998880744671891,0.5289173244876784,3.6953061187903686,0.21096261964391821,0.2036507037782308
0.02,-64.71211947151464,139.86035623101208,7.509677998726496,0.1061868925293146,0.09791901616909361,5.716653639113713e-05,0.06134200758758682,0.20352402390304583,2.427068626936382e-05,0.9999012252454991,0.5678245840753733,3.6810557754580495,0.24789109639400958,0.22413202472203042
0.03,-61.844215715131185,139.86059716845395,7.5094698935327955,0.11842441930619327,0.087470424497298,5.922864861295629e-05,0.0850136757428258,0.20003549013994096,4.8105326426020025e-05,0.999812264076529,0.6024696712527036,3.6659622053580105,0.286941015964786,0.23559664091321028
0.04,-58.62897651043886,139.86085656435017,7.509251222983848,0.12803557997058168,0.07982952579317058,6.21856249113994e-05,0.12048911288339344,0.1749011147919108,0.00010479867703539019,0.9995646565943266,0.6331583230507426,3.6506765389725118,0.3265003834305586,0.23866933766716053
0.05,-55.29377882427194,139.8611280035846,7.509021127649441,0.13531727455410716,0.07442130445221594,6.59623873447674e-05,0.16902375973746275,0.13487402062098836,0.00023602656743932626,0.9989248741749663,0.6601790331472904,3.635706775801478,0.36530723037258106,0.23561271496691147
0.06,-51.96085783867368,139.8614064964219,7.508780062976794,0.14061479089260778,0.07078530677562378,7.080740796076882e-05,0.23046154823361234,0.08965465791988825,0.0005310288622403902,0.9973050265363943,0.6837722478071386,3.621371065464828,0.4025716475423928,0.2288849025099542
0.07,-48.673379842629785,139.86168790383658,7.508529060088743,0.1442266368764653,0.06858586931164928,7.74764913054005e-05,0.3031188427965162,0.04975079495313044,0.0011759448221286986,0.9932988953727614,0.7040845189581322,3.6078363544024787,0.43788246220396226,0.22028533435319253
0.08,-45.36946297949669,139.86196847614698,7.508269914327122,0.1463690412475438,0.06760012713366319,8.776079793345767e-05,0.38547155504722935,0.022248217736739097,0.002578791114463742,0.9835699350332788,0.7210762091820807,3.5951848114110105,0.4710418841467657,0.21089330522444902
0.09,-41.710132390942704,139.86224414941148,7.508008154067787,0.14712951057836496,0.06773596965026395,0.00010627408278321823,0.4818381575752143,0.007721646745555527,0.005911699507401844,0.9593077246006195,0.7342934881483436,3.5834790590141057,0.5018908064863973,0.2012870199078029
