t,V,K_i,Na_i,Ca_i,x,m,h,d,f,s,r,Ca_up,Ca_rel,ActFrac,ProdFrac,Ca_Calmod,Ca_Trop
0.0,-93.7400119196694,136.604284305878,7.50547214142684,1.34858164771406e-05,0.00938586574433011,0.00143405969732302,0.995414125415674,1.91821833548952e-08,0.999999956287155,0.997644968939185,1.60424507876553e-08,0.59333810408885,0.591323137897127,0.00267040300939318,0.522949441962453,0.000524570960945961,0.00033477224086766
0.01,-93.739597078808,136.60469683719595,7.505087399834875,1.3495196493109132e-05,0.009012735051331945,0.0014341414155302696,0.9954136980000625,1.9184172905842366e-08,0.9999999562822998,0.997821178385757,1.604378463297746e-08,0.5932843457011987,0.5912575630730115,0.002694872484550838,0.5193567933607439,0.0005249273777851592,0.0003350037582544572
0.02,-93.73918509735107,136.60510877731633,7.50470432554323,1.350456242084905e-05,0.008659287067872933,0.0014342225750035883,0.9954132734942808,1.9186148948683096e-08,0.9999999562774775,0.9979835030653872,1.6045109390870746e-08,0.5932282080297088,0.5911895928116326,0.002719103518417688,0.5158145378914393,0.0005252834155528862,0.000335234953179334
0.03,-93.73877596155123,136.60552012756983,7.504322915102187,1.3513911880465125e-05,0.008324467636381588,0.0014343031783484023,0.9954128518804342,1.9188111542106624e-08,0.9999999562726879,0.998133054077432,1.6046425108725404e-08,0.593169694067725,0.5911192327410001,0.0027430977370776883,0.5123220215760228,0.0005256389852065449,0.00033546576733128094
0.04,-93.73836965489964,136.60593088938484,7.5039431647526715,1.3523242713349623e-05,0.00800728892732295,0.0014343832287331834,0.9954124331416482,1.919006076528385e-08,0.9999999562679309,0.9982708431031037,1.604773184020326e-08,0.5931088073270877,0.5910464889248549,0.0027668567320981094,0.5088786040238892,0.0005259940002694528,0.0003356961460025324
0.05,-93.73796616539211,136.60634106428125,7.503565070444471,1.353255274816556e-05,0.007706823957755917,0.0014344627284354364,0.9954120172647175,1.9191996670940405e-08,0.9999999562632064,0.9983977930514949,1.6049029624550294e-08,0.5930455518065606,0.5909713678464603,0.002790382051063542,0.5054836577519761,0.0005263483767486592,0.00033592603615569574
0.06,-93.73756548554745,136.60675065389302,7.503188627772995,1.3541839898373074e-05,0.007422197241393114,0.0014345416788394735,0.9954116042406567,1.919391929198379e-08,0.9999999562585141,0.9985147499627137,1.605031848775066e-08,0.5929799320613713,0.5908938765102769,0.0028136752075072586,0.5021365619730542,0.0005267020321341428,0.0003361553854964536
0.07,-93.7371676096205,136.60715965992296,7.5028138321192195,1.3551102078589106e-05,0.00715256465219947,0.0014346200809858545,0.9954111940629415,1.9195828651520147e-08,0.9999999562538542,0.9986225137990599,1.6051598448447573e-08,0.5929119529849953,0.5908140222356988,0.002836737694338443,0.49883670027048077,0.0005270548848679077,0.0003363841422890735
0.08,-93.73677253488489,136.6075680841856,7.502440678515731,1.3560337278675673e-05,0.006897132938814823,0.0014346979353290115,0.9954107867280997,1.919772476032903e-08,0.9999999562492264,0.9987218137351181,1.60528695163221e-08,0.5928416200284281,0.5907318128502217,0.002859570972070778,0.4955834646615104,0.0005274068552346319,0.00033661225614023003
0.09,-93.7363802623125,136.60797592861692,7.502069161617292,1.3569543490122215e-05,0.006655163286095179,0.0014347752415875676,0.9954103822371819,1.9199607608788507e-08,0.9999999562446307,0.9988132982486053,1.6054131687238737e-08,0.5927689392361367,0.5906472567372983,0.0028821764657813473,0.4923762543260294,0.0005277578651030788,0.00033683967748309904
0.1,-93.73598920418218,136.60838319522475,7.501699275852285,1.3578718775781334e-05,0.006425945956916927,0.0014348519989643733,0.9954099805924783,1.9201477177307813e-08,0.9999999562400675,0.9988975842428293,1.605538495211987e-08,0.5926939170212462,0.5905603626094231,0.002904555583364679,0.4892144755474678,0.000528107837763368,0.0003370663578239983
0.11,44.94084686079255,136.6038619177685,7.494885273754261,0.0014959490934301149,0.05380021672786874,0.9990653747027396,2.465509341756201e-08,0.9993207819097859,0.7999997453949561,0.7472652802121996,0.9461647575919947,0.6483298675987152,0.5008177555624466,0.15823516940688961,0.6900395422709986,0.007980783896456062,0.014620027530647785
0.12,45.511904085775065,136.59932963937564,7.494018204333524,0.0016245091573293894,0.10729381731157339,0.9991043807755194,2.835726377800944e-09,0.9993703266304776,0.6230404298266508,0.5373943804221913,0.9980288029323454,0.6846133211174054,0.4393640682291981,0.024126902350497727,0.9650222838386258,0.014529598199175028,0.02246055574336163
0.13,43.43586526822143,136.59570370419488,7.492988748144329,0.001527570300365547,0.15578756464313767,0.9989694158049112,3.678932263367427e-09,0.9992249006678381,0.48522437806547747,0.38649788731441237,0.9998636527227214,0.701446305088087,0.4496630358257206,0.004391286898319292,0.9917381199136551,0.01506257777809894,0.021844544576043446
0.14,41.01688520436315,136.59273970206075,7.492149731465488,0.0014320296833272815,0.19915953210651932,0.9987857157610613,4.964125330918531e-09,0.9990136183921101,0.37789313267421853,0.2780119436390782,0.9998909124799302,0.7142723547204327,0.4620678600130404,0.003012879463788525,0.9933907652350609,0.01493504887511545,0.021103172596890086
0.15,38.020570342381816,136.59022224494655,7.491600333602912,0.0013200791547175947,0.23756043901510984,0.9985104209973737,7.200710711408835e-09,0.9986701625704786,0.2943034831163751,0.2000254952469562,0.9998115200621538,0.7243709145809257,0.47446724258107437,0.0030014865110321053,0.9932827492256275,0.014672792068103227,0.020184303232727494
0.16,34.457436136692046,136.58799826401642,7.491413059492703,0.0011978205755873,0.2711647007783507,0.9980973162515696,1.1220870705559302e-08,0.9981022512427609,0.22920382065733233,0.14397754925388798,0.9996265147878076,0.7321637453428129,0.48668532169280637,0.0031051846849614122,0.9929914596868491,0.014331965880398426,0.01909355644724528
0.17,30.356020783118982,136.58595895218073,7.491645313317419,0.0010712780298355509,0.30024505255811146,0.9974716614775531,1.8726164787572125e-08,0.9971410973962582,0.1785042149639483,0.10371644344791912,0.9991738793248428,0.7378544096090908,0.4986168895452677,0.003245059023250946,0.9926047427068166,0.013920142126266377,0.01786121092057365
0.18,25.73824666410987,136.58402779864136,7.492335971363287,0.0009452024019765451,0.3251347883664586,0.9965055269294438,3.340400389014368e-08,0.9954619454982244,0.13901951498299425,0.07482585031222895,0.997972327636589,0.741528997100274,0.5101704548251139,0.003419732860394113,0.9921107191211802,0.013438259286394581,0.016517967237812545
0.19,20.610378751519388,136.58215115109863,7.49350639335661,0.0008231534973866409,0.3461871974488249,0.9949703387792596,6.374216665401538e-08,0.9924093849826134,0.10826945347750865,0.05414246788429776,0.9944987741105532,0.7432077408861056,0.5212601829739966,0.0036336761682250647,0.9914844183039889,0.012886148687570907,0.01509387291376839
0.2,14.952018099828312,136.5802903325216,7.495165138341829,0.0007076187013739933,0.36374126025121684,0.992433986924818,1.3087700937080645e-07,0.9865741290360815,0.08432376683793479,0.03941390897658007,0.983552385621501,0.7428786937592816,0.5318026985666645,0.0038919512228550914,0.9906916160907804,0.012263722640073416,0.013618234249938127
0.21,8.694012683936828,136.57841436794362,7.497315967030382,0.0006000852651699678,0.37809152132502266,0.9880113297687882,2.9372063181712837e-07,0.9746336902921888,0.0656853512096638,0.029062274368020346,0.9463736358162328,0.7405169575840924,0.5417155359351504,0.004198723199277836,0.9896862891788986,0.011571175107701786,0.01211823963342029
0.22,1.6617323613733403,136.5764915337834,7.499971228463048,0.0005010203894472591,0.3894545548778548,0.9796520825098162,7.483796197851964e-07,0.9475461933082513,0.05122056496847841,0.022033382521971536,0.8198547810472006,0.7360848437314587,0.5509164304006073,0.004554886277799694,0.9884053726356521,0.010808219661794589,0.010615712458061897
0.23,-6.626154505313331,136.57447243515304,7.503181802658662,0.0004094906463649596,0.39790900121975614,0.9614383943874258,2.39204172419625e-06,0.8741771001721195,0.04025613961884707,0.017719840648147172,0.4956347633096401,0.7294892234035837,0.5593225903842383,0.004952710873496894,0.9867568026099734,0.009970877540873562,0.009119173532838948
0.24,-17.967457409709088,136.57222141317516,7.507145067989849,0.0003209402885547058,0.4032013727856772,0.9059548235516589,1.3399315993901183e-05,0.6098298426259285,0.03441685586575633,0.01593299429747311,0.13224959518339946,0.7203713461645059,0.566847485301135,0.005358222062582738,0.9845797734514337,0.009037972323817518,0.007594520466704307
0.25,-43.48239434929277,136.56891240821562,7.512821754732007,0.00021554099312527723,0.40367601536126263,0.4696561511772658,0.0005254532805153223,0.028368699932614285,0.10248996366226495,0.017158801576918813,0.010212444398603755,0.7069714944566308,0.573383962924932,0.005603249051015799,0.9814635302987894,0.007903604140733012,0.005824188447542779
0.26,-90.74634889200368,136.56261917737078,7.52431234334678,9.02497841008057e-05,0.3885993396271986,0.0021619956426684565,0.5306171887276644,4.1421313436782745e-08,0.7697310942456276,0.05902785617478034,0.0003699585049165441,0.6810282609415348,0.5787121121580012,0.004731517819817675,0.9761218030991871,0.006138195419078427,0.0031398080886948605
0.27,-92.10828348864979,136.56031999057495,7.531958667638268,5.6330352252518005e-05,0.36921704206270894,0.0017941596668785923,0.8986258717064572,2.9093963053091973e-08,0.9618436368148533,0.12430494144214974,1.326469596170258e-05,0.6553079929490225,0.5826614089174981,0.0036524703475977072,0.9692334933901893,0.004529101122769835,0.0017873034177073967
0.28,-92.7547074559114,136.5591279703032,7.536377483565365,3.982895736099247e-05,0.3504220954835811,0.0016419125747977317,0.9780376381773591,2.464927334514611e-08,0.9938611177281714,0.18838042735229868,4.944040381735834e-07,0.6360223182952338,0.5854768092109914,0.002772285523520194,0.9616166312754099,0.0033372572101466637,0.0011818642400762568
0.29,-93.11455002817006,136.55852752087532,7.539049400318913,3.0524935055832264e-05,0.3324000621307691,0.0015627678568359647,0.992106502811066,2.2487209715779917e-08,0.9990271313154322,0.24941421933930677,3.551958932188592e-08,0.6224592964883306,0.5874558762514526,0.0021076835956425747,0.9535463360330568,0.0024877799874422897,0.0008670174189359324
0.3,-93.33488475456355,136.55827960565938,7.540671269814985,2.4780629058174467e-05,0.31520511868878837,0.0015161794767501035,0.9945088659010475,2.1261589383768424e-08,0.9998471277706173,0.30676650858721133,1.8222442095628846e-08,0.6131659912034233,0.5888420153623944,0.00162763509830422,0.9451902583624322,0.0018908589616873628,0.0006828667210267049
0.31,-93.47718825376532,136.55825620052383,7.541620261147402,2.104659103827613e-05,0.2988423700637242,0.0014868218149756934,0.9950098655685918,2.0506944495448108e-08,0.9999760782677835,0.3602708489380912,1.7065388527501708e-08,0.606866758232672,0.5898155929247357,0.001290511592037198,0.9366640501885963,0.0014735264425441616,0.0005667358679101175
0.32,-93.57178487198308,136.55838119759306,7.542122357769479,1.8549104836987522e-05,0.28329567779730747,0.0014676172087280692,0.9951808586019439,2.0020587752347153e-08,0.9999962415802529,0.4099712896102994,1.668031329920749e-08,0.6026157870303671,0.5905047297937432,0.001059219726796826,0.9280493103063938,0.0011822090599406501,0.0004902792104563579
