t,V,K_i,Na_i,Ca_i,xr1,xr2,xs,m,h,Ca_ds,d,f,f2,f2ds,s,r,Ca_up,Ca_rel,ActFrac,ProdFrac,Ca_Calmod,Ca_Trop
0.0,-92.849333,136.5644281,7.3321223,1.4e-05,1.03e-05,2e-07,0.001302,0.0016203,0.9944036,1.88e-05,0.0,1.0,0.9349197,0.9651958,0.9948645,0.0,0.4531889,0.4481927,0.0042614,0.4068154,0.0005555,0.0003542
0.01,-92.85203325355269,136.5647347146534,7.3319454371736015,1.4249925589745415e-05,1.0270446040266657e-05,2.406200026479648e-07,0.0012034829651571312,0.0016198707955949407,0.9944050069528741,1.7013792827599824e-05,2.394670450233574e-08,0.9999999911054614,0.93556725988768,0.9683237521912124,0.9952385065786444,1.850259072686779e-08,0.4528936148436436,0.4479045836526275,0.004253264821288017,0.39951559835049155,0.0005550048384682652,0.00035382844994971295
0.02,-92.85257953858905,136.56504165439935,7.331768142212929,1.424531136174009e-05,1.0258011590683465e-05,2.4054760767817404e-07,0.001112423872367881,0.0016197493675799252,0.9944059191108748,1.5397712638999934e-05,2.3945838660882313e-08,0.9999999881713374,0.9362083763369909,0.9711820376979398,0.9955845518475833,1.9119145098864373e-08,0.4526017123805285,0.4476167857032257,0.00425381130817164,0.3925659782118179,0.0005546409621279517,0.0003536724393781248
0.03,-92.85292717087044,136.56534877147087,7.3315904868113835,1.424272633753938e-05,1.0252614558384059e-05,2.4050107083026856e-07,0.001028257686853183,0.0016196720955944704,0.9944064950206462,1.3935429590068067e-05,2.394374753416454e-08,0.9999999871976486,0.9368431135937942,0.973792133860286,0.9959047236254214,1.9154364785378525e-08,0.4523121576963294,0.44732891466202557,0.004256888622314173,0.38595997034844304,0.0005543710102588131,0.00035358288770228247
0.04,-92.85313260766176,136.5656559781232,7.33141271107244,1.4241586679487451e-05,1.025018940281285e-05,2.4047347658086686e-07,0.0009504633506313409,0.0016196264160305972,0.9944068507812771,1.261231907614214e-05,2.394248064036576e-08,0.9999999868752125,0.9374715351032703,0.9761740325940241,0.9962009514212743,1.9156025504618096e-08,0.45202441426269413,0.4470407730475483,0.004261826423828492,0.3796872514795269,0.0005541827637824777,0.00035353671176009856
0.05,-92.85322784952,136.56596320831252,7.33123499429242,1.4241556458050438e-05,1.02490513778144e-05,2.404605465872421e-07,0.0008785580296888746,0.0016196052137449246,0.9944070456927581,1.1415111910972268e-05,2.3941893165483073e-08,0.9999999867608982,0.938093703720313,0.9783463917137717,0.9964750258693414,1.9156651283437026e-08,0.4517379727129746,0.44675221543072724,0.004268242953994305,0.37373655301192804,0.0005540623869327809,0.00035352215634976787
0.06,-92.85323445161978,136.56627041017686,7.331057475617829,1.424240820900246e-05,1.0248541272288045e-05,2.4045940427440986e-07,0.000812096020141914,0.0016196036990781244,0.9944071143294718,1.0331825347064918e-05,2.3941832930274355e-08,0.9999999867196345,0.9387096816632667,0.9803265274573141,0.9967286021936825,1.9156526815008844e-08,0.4514524009651257,0.44646312685066775,0.004275859341146906,0.36809617365174035,0.0005539974647026599,0.00035353224745250124
0.07,-92.85316892798406,136.5665775420514,7.330880265236828,1.42439676613168e-05,1.0248393070460677e-05,2.4046785365238745e-07,0.0007506660306215324,0.0016196182042765993,0.9944070808950566,9.351642174292201e-06,2.3942200322002283e-08,0.9999999867106375,0.939319530518649,0.9821304727602915,0.9969632097865031,1.91561578906111e-08,0.45116734520472174,0.4461734146771881,0.004284446914232524,0.3627542227016546,0.0005539776165902822,0.0003535620345171203
0.08,-92.8530451765845,136.56688456970863,7.330703452241504,1.424608848197118e-05,1.0248447576886234e-05,2.404840461503278e-07,0.0006938869140891542,0.0016196456419485146,0.9944069653545107,8.464741066494967e-06,2.394294060423703e-08,0.9999999867085098,0.9399233112754325,0.9837731019655981,0.9971802675621753,1.9156593977229875e-08,0.45088251464958035,0.4458830038290731,0.004293806331970681,0.35769877410265094,0.0005539942423320842,0.0003536074271743715
0.09,-92.85287469351402,136.56719146567238,7.330527106633655,1.4248650054098349e-05,1.0248633296702152e-05,2.4050645817679525e-07,0.0006414065074374651,0.001619683460876765,0.9944067836866937,7.662241709687144e-06,2.3943947868023015e-08,0.9999999867064558,0.9405210843146807,0.9852681566979139,0.9973810880681291,1.9157273368357435e-08,0.4505976720437418,0.44559183609822983,0.004303765796882621,0.35291792558590274,0.0005540402054262401,0.00035366514563257135
0.1,-92.8526671975995,136.567498208117,7.3303512824867285,1.4251550582601198e-05,1.0248918678104856e-05,2.405337993390369e-07,0.0005928994240528052,0.0016197295026564326,0.9944065491088785,6.936113293541798e-06,2.3945182491258674e-08,0.9999999867052546,0.941112909413439,0.9866283110745376,0.9975668854160232,1.9157979693610887e-08,0.4503126240003256,0.44529986832250434,0.004314175785989281,0.34839987430052544,0.0005541095486161035,0.0003537324757178872
0.11,-92.85243107725671,136.56780477997395,7.330176020508096,1.4254702569299258e-05,1.0249280632711311e-05,2.405649573560404e-07,0.0005480649211340497,0.0016197819051303748,0.9944062730195825,6.279090224405092e-06,2.394659045781942e-08,0.9999999867048619,0.9416988457538777,0.9878652411952183,0.9977387829864878,1.9158834915705746e-08,0.45002721387930017,0.4450070706282997,0.004324905031056515,0.34413297431347445,0.0005541972873071606,0.0003538070834379158
