t,c,o,a,r
0.0,0.6,0.055,0.055,0.01
0.01,0.6068687592586668,0.05500236123863565,0.05547702495712282,0.01041129697682743
0.02,0.6136687788251001,0.055009537123587804,0.05597202764645364,0.010819166133450745
0.03,0.6204003388456192,0.05502164655893348,0.05648262757386514,0.011223646744262933
0.04,0.6270637080027929,0.055038784761461616,0.05700667333602685,0.011624777671808561
0.05,0.6336591455433974,0.055061025629464334,0.05754222102588022,0.012022597384726857
0.06,0.6401869031468741,0.05508842393491513,0.05808751424616241,0.012417143974935286
0.07,0.646647226579713,0.055121017277343795,0.058640966293023504,0.01280845517361697
0.08,0.6530403571201185,0.055158827784181394,0.059201144648322185,0.013196568365811928
0.09,0.6593665331693602,0.05520186401675726,0.05976675359921619,0.01358152060618124
0.1,0.6656259913394149,0.0552501223024644,0.06033662208249751,0.01396334863154443
0.11,0.671818967148755,0.055303587636128984,0.06090969545142956,0.014342088871076485
0.12,0.6779456961240141,0.055362235021794916,0.06148502323301555,0.014717777459152447
0.13,0.6840064151501805,0.05542603112093998,0.06206174409270647,0.015090450247873971
0.14,0.6900013626272388,0.05549493455291896,0.0626390830734414,0.015460142814442832
0.15,0.6959307793182221,0.05556889698255605,0.0632163416649326,0.01582689047124173
0.16,0.7017949092309524,0.055647864252053994,0.06379288746874673,0.016190728275726082
0.17,0.7075939996768097,0.055731776591136234,0.06436815225788145,0.01655169103635759
0.18,0.7133283019218785,0.055820569506184387,0.06494162384721146,0.01690981332180303
0.19,0.7189980714197547,0.05591417419788333,0.06551284226252203,0.01726512946687887
0.2,0.7246035682493742,0.056012518215001236,0.06608139375643989,0.01761767357909841
0.21,0.7301450574738088,0.0561155260256472,0.0666469055748237,0.01796747954464884
0.22,0.735622809197546,0.05622311925839278,0.06720904372805639,0.018314581033369862
0.23,0.7410370988743515,0.05633521722444431,0.0677675081999295,0.018659011504539028
0.24,0.7463882073789897,0.05645173718464116,0.06832203048273797,0.019000804210724868
0.25,0.7516764211527887,0.0565725946984306,0.0688723703614106,0.019339992202435357
0.26,0.7569020322855572,0.05669770390754131,0.06941831329157039,0.019676608332148144
0.27,0.7620653385195354,0.05682697773932861,0.06995966850942187,0.020010685257388885
0.28,0.7671666433997547,0.05696032826744202,0.07049626570614001,0.020342255444413558
0.29,0.7722062561907425,0.057097666826024226,0.07102795394634849,0.020671351170794463
0.3,0.7771844918626616,0.05723890419814457,0.07155459990591773,0.02099800452812443
0.31,0.7821016711142945,0.057383950841339584,0.07207608577578002,0.0213222474251335
0.32,0.7869581202507343,0.057532716968893095,0.07259230847239138,0.02164411158897222
0.33,0.7917541712063595,0.05768511277474337,0.07310317754171532,0.021963628567967085
0.34,0.7964901613552848,0.057841048447001914,0.07360861498764165,0.022280829732660875
0.35000000000000003,0.8011664334542331,0.05800043431281623,0.0741085539008043,0.022595746277573655
0.36,0.8057833356633748,0.0581631810593039,0.07460293638787242,0.02290840922300182
0.37,0.8103412213361754,0.05832919972828681,0.07509171357774282,0.023218849416451682
0.38,0.8148404489229919,0.05849840181878985,0.0755748446286945,0.02352709753367474
0.39,0.819281381748868,0.05867069925460619,0.07605229694360045,0.02383318407765004
0.4,0.8236643880350021,0.05884600461835953,0.07652404401153948,0.02413713938235609
0.41000000000000003,0.8279898407224584,0.05902423116880505,0.07699006518190889,0.024438993612772443
0.42,0.8322581171742209,0.059205292721896216,0.07745034665503694,0.02473877676266498
0.43,0.836469599213828,0.0593891039071846,0.0779048791222972,0.025036518658559194
0.44,0.8406246729372682,0.05957558016804509,0.07835365769062343,0.02533224895934018
0.45,0.8447237284662691,0.059764637684366205,0.0787966824898413,0.025625997153988944
0.46,0.8487671598999462,0.059956193544027855,0.07923395708019812,0.025917792564743178
0.47000000000000003,0.8527553651344534,0.060150165744241785,0.07966548836324154,0.02620766434663301
0.48,0.856688745627214,0.06034647310813081,0.0800912872402779,0.026495641485652022
0.49,0.8605677063176441,0.0605450354315577,0.08051136723927464,0.026781752800889354
0.5,0.8643926554492917,0.060745773477467714,0.08092574448507506,0.027066026944017857
0.51,0.8681640043680287,0.06094860890877565,0.08133443820382821,0.027348492397560615
0.52,0.871882167405475,0.06115346441104578,0.08173746957247986,0.02762917747681876
0.53,0.8755475617108408,0.06136026369752564,0.08213486159355425,0.027908110329518964
0.54,0.8791606070699902,0.06156893143362866,0.08252663966386803,0.028185318933856857
0.55,0.8827217257479437,0.061779393272199445,0.08291283118677358,0.028460831098735432
