t,C,D,R,Ri
0.0,0.0,0.0,2000.0,200.0
0.01,0.00020706952229401668,0.019782628867904,1999.9602090709927,199.9999990207483
0.02,0.0002071025877217883,0.03975171576959204,1999.9202143091059,199.99999604292867
0.03,0.00020713563186191067,0.05970024586857518,1999.8802227459157,199.99999106752668
0.04,0.000207168643789174,0.07962823548488493,1999.8402343809134,199.99998409545134
0.05,0.00020720162255685805,0.09953570672734327,1999.8002492134226,199.99997512793544
0.06,0.0002072345689818176,0.11942268218139548,1999.7602672427538,199.99996416623864
0.07,0.00020726748264291212,0.139289182659516,1999.7202884682706,199.99995121152256
0.08,0.00020730036373593956,0.15913522874237834,1999.6803128893434,199.99993626493654
0.09,0.0002073332122909984,0.1789608409145434,1999.6403405053452,199.99991932762615
0.1,0.00020736602834248838,0.19876603989863695,1999.6003713156429,199.99990040074883
0.11,0.00020739881192359245,0.21855084639600086,1999.5604053196023,199.99987948546155
0.12,0.00020743156306219092,0.23831528084852235,1999.5204425165975,199.9998565829101
0.13,0.0002074642817926575,0.2580593639485862,1999.4804829059954,199.99983169425036
0.14,0.00020749696814658525,0.2777831162191222,1999.4405264871668,199.99980482063293
0.15,0.00020752962215565818,0.29748655819428216,1999.4005732594828,199.99977596320863
0.16,0.00020756224385202674,0.3171697104367364,1999.3606232223133,199.99974512312906
0.17,0.00020759483326756627,0.33683259344208544,1999.3206763750295,199.9997123015442
0.18,0.000207627390434157,0.35647522770963486,1999.2807327170033,199.99967749960425
0.19,0.00020765991538300904,0.3760976333340872,1999.240792247615,199.99964071844622
0.2,0.0002076924081455502,0.39569983054114555,1999.2008549662423,199.99960195921142
0.21,0.0002077248687543354,0.41528184024844444,1999.1609208722473,199.999561223063
0.22,0.0002077572972411666,0.4348436829059797,1999.1209899650023,199.99951851114957
0.23,0.0002077896936378206,0.45438537894486475,1999.0810622438803,199.99947382461937
0.24,0.0002078220579760487,0.47390694877733125,1999.0411377082546,199.99942716462016
0.25,0.0002078543902875769,0.49340841279672887,1999.0012163574984,199.99937853229926
0.26,0.00020788669060410597,0.5128897913775252,1998.961298190986,199.99932792880358
0.27,0.0002079189589573113,0.5323511048753058,1998.9213832080918,199.99927535527956
0.28,0.00020795119537884288,0.5517923736267744,1998.8814714081905,199.9992208128733
0.29,0.00020798339990032552,0.5712136179497522,1998.841562790657,199.99916430273032
0.3,0.00020801557255335854,0.5906148581431794,1998.801657354867,199.9991058259958
0.31,0.00020804771336784545,0.6099961136788954,1998.761755100219,199.9990453837755
0.32,0.00020807982237569774,0.6293574049935786,1998.721856026084,199.99898297722208
0.33,0.00020811189960892379,0.6486987525641315,1998.6819601318323,199.99891860749082
0.34,0.00020814394509891855,0.6680201765640682,1998.6420674168423,199.99885227572267
0.35000000000000003,0.00020817595887704645,0.6873216971455061,1998.6021778804927,199.9987839830581
0.36,0.00020820794097464138,0.7066033344391642,1998.562291522163,199.99871373063704
0.37,0.0002082398914230067,0.7258651085543654,1998.5224083412324,199.9986415195988
0.38,0.0002082718102534153,0.7451070395790338,1998.4825283370817,199.99856735108216
0.39,0.00020830369749710948,0.7643291475796969,1998.4426515090913,199.99849122622538
0.4,0.00020833555318530104,0.7835314526014845,1998.402777856642,199.99841314616611
0.41000000000000003,0.00020836737734917122,0.8027139746681289,1998.3629073791155,199.99833311204148
0.42,0.00020839917001987078,0.8218767337819649,1998.323040075894,199.99825112498803
0.43,0.00020843093122752351,0.8410197498289163,1998.283175946369,199.99816718611424
0.44,0.00020846266100386156,0.8601430428297878,1998.2433149899177,199.9980812965733
0.45,0.00020849435937993725,0.8792466327220683,1998.2034572059233,199.99799345749992
0.46,0.0002085260263867348,0.8983305394182666,1998.1636025937696,199.99790367002723
0.47000000000000003,0.0002085576620552057,0.9173947828092835,1998.1237511528418,199.99781193528767
0.48,0.00020858926641626865,0.9364393827644112,1998.0839028825246,199.99771825441312
0.49,0.00020862083950080963,0.9554643591313338,1998.0440577822037,199.99762262853488
0.5,0.00020865238133968193,0.9744697317361267,1998.0042158512651,199.99752505878354
0.51,0.00020868389196370603,0.9934555203832572,1997.9643770890953,199.99742554628912
0.52,0.00020871537140366975,1.0124217448555843,1997.9245414950813,199.99732409218106
0.53,0.0002087468196903281,1.0313684249143584,1997.8847090686106,199.9972206975881
0.54,0.00020877823685452014,1.0502955803839615,1997.8448798090699,199.99711536363844
0.55,0.00020880962292736655,1.0692032312952664,1997.8050537158433,199.99700809145978
0.56,0.0002088409779391737,1.088091397090362,1997.7652307883234,199.99689888217893
0.5700000000000001,0.00020887230192059129,1.1069600974626905,1997.7254110258987,199.99678773692222
0.58,0.00020890359490223766,1.1258093520850487,1997.6855944279591,199.99667465681534
0.59,0.0002089348569146998,1.1446391806095888,1997.6457809938947,199.99655964298339
0.6,0.00020896608798853317,1.1634496026678176,1997.6059707230957,199.99644269655084
0.61,0.0002089972881542619,1.1822406378705967,1997.5661636149528,199.9963238186415
0.62,0.00020902845744237867,1.2010123058081428,1997.5263596688578,199.99620301037868
0.63,0.0002090595958833448,1.2197646260500274,1997.486558884202,199.99608027288494
0.64,0.00020909070350759012,1.2384976181451768,1997.446761260378,199.99595560728227
0.65,0.0002091217803455131,1.2572113016218727,1997.4069667967783,199.99582901469208
0.66,0.00020915282642757226,1.2759056960441755,1997.367175492795,199.9957004962365
0.67,0.00020918384178468465,1.294580821257836,1997.3273873478138,199.99557005304428
0.68,0.000209214826446662,1.3132366964253146,1997.2876023612357,199.99543768622763
0.6900000000000001,0.0002092457804438081,1.3318733410114183,1997.2478205324544,199.99530339690594
0.7000000000000001,0.0002092767038063956,1.3504907744604788,1997.2080418608646,199.995167186198
0.71,0.0002093075965646661,1.3690890161964195,1997.1682663458612,199.99502905522186
0.72,0.0002093384587488303,1.3876680856228258,1997.1284939868399,199.9948890050952
0.73,0.00020936929038906815,1.4062280021230127,1997.0887247831963,199.99474703693483
0.74,0.00020940009151552882,1.4247687850600934,1997.048958734327,199.99460315185712
0.75,0.00020943086215833095,1.4432904537770486,1997.0091958396288,199.9944573509778
0.76,0.00020946160234756268,1.461793027596795,1996.9694360984988,199.99430963541195
0.77,0.00020949231211328184,1.4802765258222539,1996.9296795103348,199.99416000627411
0.78,0.00020952299148569603,1.4987409678582642,1996.8899260745316,199.99400846468282
0.79,0.0002095536404947504,1.517186372932601,1996.8501757904883,199.9938550117501
0.8,0.0002095842591703547,1.535612760249571,1996.8104286576051,199.99369964858715
0.81,0.00020961484754245454,1.5540201490383356,1996.7706846752817,199.99354237630627
0.8200000000000001,0.00020964540564096632,1.5724085585087533,1996.7309438429174,199.99338319601927
0.8300000000000001,0.00020967593349577727,1.5907780078514577,1996.6912061599123,199.99322210883727
0.84,0.00020970643113674551,1.6091285162379358,1996.6514716256672,199.99305911587092
0.85,0.00020973689859370037,1.6274601028206073,1996.611740239583,199.99289421823022
0.86,0.00020976733589644233,1.6457727867329002,1996.572012001061,199.99272741702464
0.87,0.0002097977430747432,1.6640665870893314,1996.532286909503,199.99255871336305
0.88,0.00020982812015834626,1.6823415229855845,1996.492564964311,199.99238810835377
0.89,0.0002098584671769664,1.7005976134985867,1996.452846164888,199.99221560310454
0.9,0.00020988878416029026,1.7188348776865887,1996.4131305106366,199.99204119872257
0.91,0.00020991907113797627,1.737053334589242,1996.3734180009606,199.99186489631447
0.92,0.00020994932813965482,1.755253003227677,1996.3337086352635,199.99168669698633
0.93,0.00020997955519492842,1.7734339026045818,1996.29400241295,199.9915066018436
0.9400000000000001,0.00021000975233337183,1.7915960517042795,1996.2542993334241,199.99132461199133
0.9500000000000001,0.00021003991958424122,1.809739469328805,1996.214599396095,199.9911407285289
0.96,0.00021007005697716544,1.8278641744876465,1996.1749026003665,199.99095495256208
0.97,0.00021010016454171105,1.84597018615244,1996.1352089456434,199.99076728519537
0.98,0.00021013024230733045,1.8640575232278003,1996.095518431332,199.99057772753133
0.99,0.00021016029030344804,1.8821262045999259,1996.0558310568397,199.99038628067194
1.0,0.00021019030855946047,1.9001762491366654,1996.016146821573,199.99019294571863
1.01,0.00021022029710473657,1.9182076756875832,1995.97646572494,199.98999772377226
1.02,0.0002102502559686176,1.936220503084026,1995.9367877663485,199.98980061593312
1.03,0.0002102801851804173,1.954214750139189,1995.8971129452068,199.98960162330098
1.04,0.00021031008476942196,1.9721904356481816,1995.8574412609237,199.9894007469751
1.05,0.00021033995476489055,1.9901475783880933,1995.8177727129084,199.98919798805403
1.06,0.00021036979519605488,2.008086197118061,1995.7781073005706,199.98899334763598
1.07,0.00021039960609211958,2.0260063105793344,1995.7384450233203,199.98878682681848
1.08,0.00021042938748226233,2.0439079374953413,1995.6987858805676,199.98857842669855
1.09,0.00021045913939563387,2.0617910965717554,1995.6591298717233,199.98836814837267
1.1,0.0002104888618613582,2.079655806496562,1995.6194769961985,199.98815599293678
1.11,0.0002105185549085326,2.097502085940122,1995.5798272534048,199.98794196148629
1.12,0.0002105482185655703,2.1153299531442062,1995.540180642764,199.9877260551032
1.1300000000000001,0.00021057785286181333,2.1331394269303168,1995.5005371636835,199.98750827488763
1.1400000000000001,0.0002106074578264094,2.150930525997561,1995.4608968155742,199.98728862193593
1.1500000000000001,0.00021063703348832337,2.168703268929782,1995.4212595978497,199.98706709734086
1.16,0.00021066657987649223,2.1864576742924826,1995.3816255099239,199.98684370219456
1.17,0.0002106960970198252,2.204193760632863,1995.3419945512105,199.98661843758865
1.18,0.00021072558494720372,2.2219115464798547,1995.3023667211248,199.9863913046142
1.19,0.00021075504368748164,2.2396110503441617,1995.2627420190815,199.98616230436164
1.2,0.00021078447326948512,2.2572922907182966,1995.223120444496,199.98593143792095
1.21,0.00021081387372201278,2.2749552860766182,1995.1835019967843,199.98569870638147
1.22,0.00021084324507383574,2.2926000548753693,1995.1438866753626,199.98546411083203
1.23,0.0002108725873536977,2.310226615552714,1995.1042744796475,199.98522765236086
1.24,0.00021090190059031493,2.327834986528775,1995.0646654090558,199.98498933205565
1.25,0.0002109311848123764,2.3454251862056723,1995.0250594630054,199.98474915100354
1.26,0.00021096044004854383,2.3629972329675595,1994.9854566409135,199.98450711029108
1.27,0.00021098966632745168,2.3805511451806614,1994.945856942199,199.9842632110043
1.28,0.0002110188636777073,2.398086941193313,1994.9062603662799,199.9840174542287
1.29,0.00021104803212737834,2.4156046390210464,1994.866666912583,199.98376984104019
1.3,0.00021107717170528587,2.4331042571410944,1994.8270765805235,199.98352037252783
1.31,0.00021110628244003048,2.450585813894042,1994.7874893695202,199.9832690497767
1.32,0.00021113536436009173,2.4680493275448967,1994.7479052789936,199.98301587386973
1.33,0.0002111644174939211,2.485494816340201,1994.7083243083646,199.98276084588926
1.34,0.0002111934418699419,2.502922298508049,1994.6687464570543,199.98250396691705
1.35,0.0002112224375165495,2.5203317922581028,1994.6291717244846,199.9822452380343
1.36,0.00021125140446211124,2.53772331578161,1994.5896001100773,199.98198466032161
1.37,0.00021128034273496633,2.555096887251419,1994.5500316132552,199.98172223485903
1.3800000000000001,0.00021130925236342616,2.572452524821998,1994.5104662334409,199.98145796272607
1.3900000000000001,0.00021133813337577406,2.589790246629451,1994.4709039700576,199.98119184500158
1.4000000000000001,0.00021136698580026547,2.607110070791532,1994.4313448225294,199.98092388276393
1.41,0.00021139580966512793,2.6244120154076658,1994.39178879028,199.9806540770909
1.42,0.00021142460499856106,2.6416960985589637,1994.3522358727344,199.9803824290596
1.43,0.00021145337182873667,2.658962338308238,1994.312686069317,199.9801089397467
1.44,0.00021148211018379872,2.6762107527000216,1994.2731393794531,199.9798336102283
1.45,0.00021151082009186335,2.6934413597605835,1994.2335958025687,199.9795564415798
1.46,0.0002115395015809496,2.7106541774565858,1994.1940553380905,199.97927743487597
1.47,0.00021156815467915865,2.727849223802042,1994.1545179854447,199.97899659119128
1.48,0.00021159677941453016,2.7450265167725614,1994.114983744058,199.9787139115995
1.49,0.00021162537581506676,2.7621860743200095,1994.0754526133578,199.97842939717378
1.5,0.00021165394390874323,2.7793279143779763,1994.0359245927718,199.97814304898677
1.51,0.00021168248372350652,2.796452054861792,1993.9963996817282,199.9778548681105
1.52,0.0002117109952872758,2.8135585136685397,1993.9568778796556,199.97756485561652
1.53,0.0002117394786279424,2.8306473086770714,1993.9173591859828,199.97727301257567
1.54,0.00021176793377336995,2.8477184577480195,1993.8778436001392,199.9769793400583
1.55,0.0002117963607513943,2.8647719787238146,1993.8383311215546,199.9766838391342
1.56,0.0002118247595898236,2.8818078894286963,1993.7988217496593,199.9763865108726
1.57,0.00021185313031643827,2.89882620766873,1993.7593154838835,199.97608735634208
1.58,0.00021188147295899106,2.915826951231819,1993.7198123236583,199.97578637661073
1.59,0.0002119097875452071,2.932810137887721,1993.6803122684153,199.97548357274604
1.6,0.00021193807410278375,2.94977578538806,1993.640815317586,199.97517894581497
1.61,0.0002119663326593909,2.9667239114663424,1993.6013214706024,199.97487249688388
1.62,0.00021199456324267076,2.9836545338379694,1993.5618307268976,199.9745642270185
1.6300000000000001,0.00021202276588039174,3.0005676702915793,1993.5223430859016,199.9742541372875
1.6400000000000001,0.00021205094060004198,3.0174633384476675,1993.4828585470498,199.9739422287533
1.6500000000000001,0.00021207908742917273,3.034341555962477,1993.4433771097756,199.97362850247987
1.6600000000000001,0.00021210720639532141,3.0512023404823276,1993.4038987735134,199.9733129595308
1.67,0.00021213529752599818,3.0680457096357068,1993.3644235376973,199.9729956009692
1.68,0.00021216336084868616,3.0848716810332903,1993.3249514017627,199.97267642785758
1.69,0.00021219139639084135,3.1016802722679575,1993.2854823651444,199.9723554412579
1.7,0.0002122194041798926,3.118471500914815,1993.2460164272782,199.97203264223154
1.71,0.00021224738424324181,3.1352453845312143,1993.2065535876,199.97170803183937
1.72,0.0002122753366082638,3.1520019406567727,1993.1670938455463,199.97138161114165
1.73,0.00021230326130230643,3.1687411868133912,1993.127637200554,199.97105338119815
1.74,0.0002123311583526906,3.1854631405052762,1993.0881836520603,199.970723343068
1.75,0.0002123590277867102,3.202167819218958,1993.0487331995023,199.9703914978098
1.76,0.00021238686963163237,3.218855240423311,1993.0092858423186,199.97005784648164
1.77,0.00021241468391469724,3.2355254215695712,1992.9698415799473,199.969722390141
1.78,0.00021244247066311818,3.25217838009136,1992.9304004118273,199.9693851298448
1.79,0.0002124702299040817,3.2688141334047,1992.8909623373975,199.96904606664947
1.8,0.0002124979616648462,3.2854326989637643,1992.8515273560963,199.96870520161224
1.81,0.00021252566597246682,3.3020340941054735,1992.8120954673643,199.9683625357873
1.82,0.00021255334285404638,3.3186183361912254,1992.7726666706424,199.96801807022925
1.83,0.00021258099233666575,3.3351854425675826,1992.733240965371,199.96767180599235
1.84,0.0002126086144473792,3.351735430563639,1992.6938183509908,199.96732374413017
1.85,0.00021263620921321434,3.36826831749104,1992.6543988269439,199.96697388569584
1.86,0.0002126637766611723,3.384784120644001,1992.6149823926717,199.96662223174184
1.87,0.00021269131681822773,3.401282857299329,1992.5755690476162,199.96626878332017
1.8800000000000001,0.00021271882971132865,3.417764544716443,1992.5361587912207,199.96591354148225
1.8900000000000001,0.0002127463153673967,3.434229200137392,1992.4967516229274,199.96555650727893
1.9000000000000001,0.00021277377381332714,3.4506768407868793,1992.45734754218,199.96519768176057
1.9100000000000001,0.00021280120507598867,3.4671074838722773,1992.4179465484226,199.96483706597695
1.92,0.0002128286091822238,3.4835211465836515,1992.3785486410986,199.96447466097723
1.93,0.00021285598615884856,3.4999178460937808,1992.339153819653,199.96411046781012
1.94,0.00021288333603265271,3.5162975995581753,1992.2997620835304,199.9637444875237
1.95,0.0002129106588303998,3.5326604241150985,1992.260373432176,199.96337672116562
1.96,0.000212937954578827,3.5490063368855855,1992.2209878650358,199.96300716978283
1.97,0.00021296522330464533,3.565335354973465,1992.1816053815555,199.96263583442183
1.98,0.00021299246503453964,3.5816474954653796,1992.1422259811816,199.96226271612858
1.99,0.0002130196797951686,3.597942775430804,1992.102849663361,199.9618878159484
2.0,0.0002130468676131647,3.614221211922067,1992.0634764275405,199.96151113492613
2.0100000000000002,0.0002130740285151344,3.6304828219743714,1992.0241062731682,199.96113267410607
2.02,0.00021310116252765804,3.646727622605812,1991.9847391996911,199.960752434532
2.0300000000000002,0.00021312826967728995,3.6629556308174007,1991.9453752065585,199.96037041724702
2.04,0.00021315534999055845,3.6791668635930805,1991.9060142932183,199.95998662329387
2.05,0.00021318240349396585,3.69536133789975,1991.86665645912,199.95960105371458
2.06,0.0002132094302139653,3.7115390706727913,1991.827301703713,199.95921370955023
2.07,0.00021323643017685052,3.7277000787474703,1991.7879500264496,199.95882459183846
2.08,0.0002132634034091948,3.7438443791322724,1991.7486014267777,199.9584337016229
2.09,0.00021329034993739442,3.759971988724616,1991.709255904148,199.9580410399435
2.1,0.00021331726978781975,3.776082924404917,1991.6699134580113,199.95764660783954
2.11,0.0002133441629868153,3.792177203036599,1991.630574087819,199.95725040634977
2.12,0.0002133710295606997,3.8082548414661206,1991.5912377930226,199.95685243651246
