t,Ri
0.0,200.0
0.01,199.9000249923743
0.02,199.80009996023244
0.03,199.7002248795339
0.04,199.60039972255885
0.05,199.5006244746513
0.06,199.40089910805696
0.07,199.30122359659066
0.08,199.20159791406704
0.09,199.1020220343008
0.1,199.00249593110672
0.11,198.9030195782995
0.12,198.80359294969384
0.13,198.70421601910442
0.14,198.60488876034603
0.15,198.5056111472333
0.16,198.40638315365356
0.17,198.3072047589336
0.18,198.20807594131114
0.19,198.1089966759843
0.2,198.00996693815114
0.21,197.9109867030098
0.22,197.8120559457584
0.23,197.71317464159506
0.24,197.61434276571785
0.25,197.5155602933249
0.26,197.41682719961435
0.27,197.31814345978424
0.28,197.21950904903275
0.29,197.120923942969
0.3,197.0223881174339
0.31,196.9239015477785
0.32,196.8254642093513
0.33,196.72707607750073
0.34,196.62873712757522
0.35000000000000003,196.53044733492328
0.36,196.43220667489334
0.37,196.33401512283382
0.38,196.23587265409319
0.39,196.1377792440199
0.4,196.03973486796244
0.41000000000000003,195.94173951043712
0.42,195.84379312696336
0.43,195.7458957054006
0.44,195.64804722112453
0.45,195.55024764952307
0.46,195.4524969659965
0.47000000000000003,195.35479514595733
0.48,195.2571421648304
0.49,195.15953799805285
0.5,195.06198262107404
0.51,194.96447600935568
0.52,194.86701813837175
0.53,194.76960898392971
0.54,194.67224852341405
0.55,194.57493673270784
0.56,194.47767358741254
0.5700000000000001,194.3804590631426
0.58,194.28329313552567
0.59,194.18617578020235
0.6,194.08910697282641
0.61,193.9920866890647
0.62,193.89511490459714
0.63,193.79819159511666
0.64,193.7013167363294
0.65,193.60449030395452
0.66,193.5077122737242
0.67,193.41098262138382
0.68,193.31430132269176
0.6900000000000001,193.21766835341953
0.7000000000000001,193.12108368935165
0.71,193.0245473062858
0.72,192.92805918003273
0.73,192.8316192864162
0.74,192.73522760127318
0.75,192.6388841004536
0.76,192.54258875982055
0.77,192.44634155525011
0.78,192.3501424626316
0.79,192.25399145786724
0.8,192.15788851687245
0.81,192.06183361557572
0.8200000000000001,191.9658267299186
0.8300000000000001,191.8698678358557
0.84,191.77395690935475
0.85,191.67809392639654
0.86,191.58227886297496
0.87,191.48651169509697
0.88,191.39079239878265
0.89,191.29512095006507
0.9,191.19949732499046
0.91,191.1039214996181
0.92,191.0083934500204
0.93,190.9129131522828
0.9400000000000001,190.81748058250383
0.9500000000000001,190.72209571679508
0.96,190.62675853128133
0.97,190.53146900210027
0.98,190.43622710540282
0.99,190.34103281735293
1.0,190.24588611412761
1.01,190.15078697191697
1.02,190.05573536692424
1.03,189.96073127536565
1.04,189.86577467347058
1.05,189.77086553748146
1.06,189.6760038436538
1.07,189.58118956825624
1.08,189.48642268757044
1.09,189.39170317789117
1.1,189.2970310155263
1.11,189.20240617679673
1.12,189.1078286380365
1.1300000000000001,189.01329837559268
1.1400000000000001,188.91881536582548
1.1500000000000001,188.82437958510815
1.16,188.72999100982702
1.17,188.63564961638153
1.18,188.54135538118416
1.19,188.4471082806605
1.2,188.35290829124926
1.21,188.25875538940215
1.22,188.16464955158403
1.23,188.0705907542728
1.24,187.97657897395948
1.25,187.88261418714814
1.26,187.78869637035592
1.27,187.6948255001131
1.28,187.601001552963
1.29,187.507224505462
1.3,187.4134943341796
1.31,187.3198110156984
1.32,187.22617452661405
1.33,187.13258484353523
1.34,187.03904194308384
1.35,186.94554580189472
1.36,186.8520963966159
1.37,186.7586937039084
1.3800000000000001,186.6653377004464
1.3900000000000001,186.5720283629171
1.4000000000000001,186.47876566802086
1.41,186.38554959247102
1.42,186.2923801129941
1.43,186.1992572063296
1.44,186.1061808492302
1.45,186.01315101846163
1.46,185.92016769080266
1.47,185.8272308430452
1.48,185.7343404519942
1.49,185.64149649443854
1.5,185.54869894620924
1.51,185.45594778362423
1.52,185.36324298349325
1.53,185.27058452263876
1.54,185.17797237789563
1.55,185.08540652611148
1.56,184.99288694414645
1.57,184.90041360887332
1.58,184.8079864971774
1.59,184.7156055859567
1.6,184.62327085212172
1.61,184.53098227259562
1.62,184.43873982431418
1.6300000000000001,184.3465434842257
1.6400000000000001,184.2543932292911
1.6500000000000001,184.162289036484
1.6600000000000001,184.07023088279044
1.67,183.97821874520918
1.68,183.88625260075156
1.69,183.7943324264415
1.7,183.70245819931552
1.71,183.61062989642275
1.72,183.51884749482485
1.73,183.42711097159622
1.74,183.3354203038237
1.75,183.2437754686068
1.76,183.15217644305767
1.77,183.06062320430095
1.78,182.969115729474
1.79,182.8776539957267
1.8,182.7862379802215
1.81,182.69486766013353
1.82,182.60354301265045
1.83,182.51226401497257
1.84,182.42103064431276
1.85,182.3298428778965
1.86,182.23870069296188
1.87,182.14760406675953
1.8800000000000001,182.05655297655278
1.8900000000000001,181.96554739961744
1.9000000000000001,181.874587313242
1.9100000000000001,181.7836726947275
1.92,181.69280352138765
1.93,181.60197977054864
1.94,181.51120141954937
1.95,181.42046844574125
1.96,181.3297808264884
1.97,181.23913853916736
1.98,181.14854156116746
1.99,181.0579898698905
2.0,180.9674834427509
2.0100000000000002,180.87702225717572
2.02,180.7866062906046
2.0300000000000002,180.69623552048972
2.04,180.60590992429596
2.05,180.5156294795007
2.06,180.42539416359398
2.07,180.3352039540784
