t,F,D,B,R,C
0.0,1.0,0.0,0.0,2115.0,0.0
0.01,0.9078201207206251,0.004454101451179745,0.08772577782819416,2114.2948337803637,0.7731662196371293
0.02,0.8243447726215449,0.016558658700667764,0.15909656867778632,2113.45074224898,1.6852577510206088
0.03,0.7489340283905529,0.03463886825174795,0.21642710335769785,2112.4945004497154,2.709499550284807
0.04,0.680969914038949,0.05727431816988193,0.2617557677911677,2111.4490452463597,3.8229547536404596
0.05,0.6198601022398875,0.08326701058837206,0.29687288717173904,2110.3339320268396,5.006067973160105
0.06,0.565040533358699,0.11161284537104775,0.3233466212702518,2109.1657468326484,6.242253167351345
0.07,0.5328688445882741,0.14119968411323242,0.3259314712984921,2107.9633731488198,7.512626851178647
0.08,0.5367731629336339,0.16804630314749075,0.29518053391887356,2106.797395189906,8.746604810091979
0.09,0.5413087160912877,0.19136040113841393,0.2673308827702965,2105.6832650877836,9.928734912214694
0.1,0.5463910723819843,0.2115001425140328,0.2421087851039812,2104.6160746137216,11.063925386276324
0.11,0.5519443862101246,0.22878927624798553,0.2192663375418881,2103.591383918125,12.156616081872842
0.12,0.5579005718614242,0.24352040111923548,0.19857902701933863,2102.605176465058,13.21082353493965
0.13,0.5641985550403387,0.25595792485691227,0.1798435201027473,2101.6538183252537,14.230181674743909
0.14,0.570783597895742,0.2663407338876319,0.16287566821662433,2100.7340215662357,15.217978433762275
0.15,0.577606686679586,0.2748846163980891,0.14750869692232324,2099.8428111132866,16.177188886710756
0.16,0.5846239775701114,0.28178445628953336,0.13359156614035358,2098.9774948177983,17.11050518219941
0.17,0.5917962954927137,0.2872162183521732,0.1209874861551113,2098.135636435779,18.020363564218513
0.18,0.5990886816950904,0.29133874135437193,0.10957257695053589,2097.3150312764287,18.90896872356878
0.19,0.6064699793922961,0.29429538108218506,0.09923463952551696,2096.5136839074876,19.778316092510217
0.2,0.6139124660847345,0.29621546948679106,0.08987206442847258,2095.729788420762,20.630211579236015
0.21,0.6213915154914732,0.2972156570476323,0.0813928274608926,2094.961710278129,21.466289721868847
0.22,0.6288852944646457,0.2974011172456982,0.0737135882896543,2094.2079700597887,22.28802994020957
0.23,0.6363744870690787,0.2968666438977964,0.066758869033123,2093.4672286679997,23.096771331998017
0.24,0.6438420457154583,0.2956976417957214,0.060460312488818384,2092.7382739851096,23.893726014888415
0.25,0.6512729663946558,0.29397102226888167,0.05475601133646059,2092.0200088244355,24.679991175562293
0.26,0.6586540847891968,0.29175601635653564,0.049589898854265506,2091.311439999589,25.45656000040862
0.27,0.6659738922138304,0.2891149097184145,0.04491119806775312,2090.6116684514136,26.224331548583802
0.28,0.6732223692175546,0.286103707814844,0.04067392296759934,2089.919880318511,26.98411968148668
0.29,0.6803908350150241,0.28277273856823854,0.03683642641673533,2089.2353388505785,27.73666114941914
0.3,0.6874718106450278,0.2791672007805633,0.03336098857440689,2088.557377050474,28.482622949523794
0.31,0.6944588977323395,0.2753276509318318,0.030213451335826678,2087.8853911531023,29.222608846895735
0.32,0.7013466653659814,0.2712904578144112,0.02736287681960532,2087.218834525111,29.957165474887105
0.33,0.70813055142156,0.26708820011841217,0.024781248460025756,2086.5572123418287,30.686787658169383
0.34,0.7148067701488207,0.26275003914536077,0.022443190705816594,2085.9000765879746,31.4119234120234
0.35000000000000003,0.7213722317740187,0.25830204403799906,0.020325724187980364,2085.247021703171,32.13297829682726
0.36,0.7278244670257392,0.25376749742662846,0.018408035547630392,2084.5976804824604,32.85031951753788
0.37,0.7341615617383108,0.2491671612212696,0.016671277040417647,2083.951720515749,33.564279484249454
0.38,0.7403820953271308,0.24451952696645357,0.015098377706413672,2083.308840829114,34.27515917088408
0.39,0.7464850873329254,0.23984103425196202,0.013673878415110703,2082.6687689569535,34.98323104304444
0.4,0.7524699451175273,0.23514627548349915,0.012383779398971714,2082.031258229279,35.68874177071831
0.41000000000000003,0.6886981347044298,0.23380866825398877,0.07749319704157995,2081.337004061593,36.4509959384059
0.42,0.6308486120570973,0.23828523296839998,0.13086615497450127,2080.5409524182246,37.315047581773534
0.43,0.5784997339554534,0.24736461448425723,0.17413565156028793,2079.662043365808,38.26195663418974
0.44,0.5312418831576609,0.2600158047891252,0.20874231205321248,2078.716547408552,39.27545259144594
0.45,0.4886804204872591,0.2753657892783859,0.2359537902343536,2077.718380094094,40.34161990590408
0.46,0.4504378567657337,0.2926795597566237,0.2568825834776412,2076.6793860930356,41.44861390696243
0.47000000000000003,0.42975080086962364,0.31111990521528243,0.25912929391509254,2075.6134717106734,42.58252828932409
0.48,0.43780356069727955,0.3275154401877156,0.2346809991150006,2074.5759366756065,43.68806332439117
0.49,0.44623503062596054,0.3412256203567821,0.21253934901725252,2073.5790127192768,44.75298728072079
0.5,0.45498114900981135,0.35253213485704377,0.1924867161331401,2072.618862756348,45.78113724364982
0.51,0.46398460411367903,0.36168938783684607,0.17432600804947007,2071.6920152289517,46.77598477104581
0.52,0.47319417844409645,0.3689270953477136,0.1578787262081851,2070.795329011989,47.74067098800826
0.53,0.48256415286432247,0.37445264668576717,0.14298320044990548,2069.925961578689,48.67803842130813
0.54,0.49205378345332634,0.3784531791076605,0.12949303743900822,2069.08134112705,49.59065887294695
0.55,0.5016268042577953,0.3810975504427034,0.11727564529949648,2068.2591400891947,50.48085991080241
0.56,0.5112509913718049,0.3825380700144365,0.10621093861375377,2067.457251958252,51.350748041744936
0.5700000000000001,0.5208977675381328,0.3829120698057059,0.09619016265615656,2066.6737702859823,52.20222971401467
