t,a,g
0.0,4.39927,1.96477
0.01,4.420073871881923,1.9537209608609771
0.02,4.441423886069638,1.9430462872993461
0.03,4.463228177796164,1.9327854751750877
0.04,4.485394553419192,1.9229753579177933
0.05,4.507830785172675,1.9136501053643504
0.06,4.530444859729002,1.9048413574997154
0.07,4.553145179223482,1.8965782489427405
0.08,4.5758407782356985,1.888887510526387
0.09,4.5984414151898045,1.8817935069104974
0.1,4.620857776073184,1.875318348362806
0.11,4.643001754186744,1.869482026614438
0.12,4.664786489923472,1.8643024550936675
0.13,4.686126349108936,1.8597955355548756
0.14,4.706937262706344,1.8559752760422004
0.15,4.727136735277886,1.8528538287403031
0.16,4.746644015185184,1.850441584743114
0.17,4.765380164766339,1.8487471968723812
0.18,4.783268206823792,1.847777663747477
0.19,4.800233254349323,1.8475383141974226
0.2,4.8162026256762545,1.84803288303662
0.21,4.831106009097729,1.8492634612059233
0.22,4.844875583922069,1.851230545895086
0.23,4.857446231252809,1.8539329658175738
0.24,4.8687556760557875,1.8573678893176264
0.25,4.878744727975826,1.8615307361884232
0.26,4.887357476863714,1.8664151287080912
0.27,4.89454155184308,1.8720127993744744
0.28,4.900248400411582,1.87831347349665
0.29,4.904433547660356,1.885304781642353
0.3,4.907056984265065,1.892972069779329
0.31,4.908083418564199,1.9012983165588475
0.32,4.907482773766619,1.9102638860668866
0.33,4.905230445299083,1.9198464369891566
0.34,4.901307876515843,1.9300206520999694
0.35000000000000003,4.895702876612429,1.9407581027954257
0.36,4.888410134573866,1.952027045992839
0.37,4.879431746281261,1.9637921870724386
0.38,4.868777698073967,1.9760144848747734
0.39,4.856466195359995,1.9886511032972047
0.4,4.842524253602232,2.001655168366634
0.41000000000000003,4.82698816117459,2.0149756378161277
0.42,4.809903874635058,2.028557237124028
0.43,4.791327318499285,2.042340486294615
0.44,4.771324752445668,2.056261673933905
0.45,4.749972939227814,2.07025299186471
0.46,4.7273592961970605,2.0842426978261352
0.47000000000000003,4.703581847604305,2.0981554239052334
0.48,4.678749132482935,2.111912515117873
0.49,4.652979881229501,2.125432529319862
0.5,4.626402606212541,2.1386317972972115
0.51,4.599154956982066,2.15142513004718
0.52,4.5713829579460015,2.1637265864864066
0.53,4.543240018700691,2.1754503732302832
0.54,4.514885823994598,2.1865117873803763
0.55,4.486485014014165,2.196828265914461
0.56,4.458205778379563,2.2063204262241234
0.5700000000000001,4.430218262120466,2.2149131907226356
0.58,4.402692957139582,2.2225368332323634
0.59,4.375798980400304,2.2291280265093913
0.6,4.349702374844426,2.2346308070941165
0.61,4.3245643395797835,2.238997501230475
0.62,4.3005396658024715,2.2421893969821265
0.63,4.277775098263808,2.2441774211810817
0.64,4.256407956277838,2.2449425395085205
0.65,4.2365648377881815,2.2444760402532977
0.66,4.218360514399594,2.2427796133388997
0.67,4.201897070736102,2.2398652444392426
0.68,4.187263172736316,2.2357549466024267
0.6900000000000001,4.174533640074823,2.230480315085583
0.7000000000000001,4.163769148167461,2.2240819411068466
0.71,4.155016193806019,2.2166086991404965
0.72,4.148307203232856,2.2081169423604603
0.73,4.1436608514823545,2.198669589691703
0.74,4.141082478964993,2.1883352271970384
0.75,4.140564703274641,2.177187090351785
0.76,4.142088047946633,2.165302156961137
0.77,4.145621736994691,2.152760149726269
0.78,4.15112447733694,2.13964266170457
0.79,4.158545310891102,2.1260322872166983
0.8,4.167824489527195,2.1120118250450983
0.81,4.178894307958895,2.097663577105655
0.8200000000000001,4.191679991029099,2.0830686844193833
0.8300000000000001,4.2061004784675085,2.068306588789293
0.84,4.2220692477431285,2.053454535954876
0.85,4.239495042822573,2.0385871862320473
0.86,4.258282584250957,2.0237762812044022
0.87,4.278333239357446,2.009090399579926
0.88,4.299545609141289,1.9945947561453814
0.89,4.321816089331213,1.9803510889067797
0.9,4.345039383098635,1.9664175647310256
