t,ATbl,ADbl,CT_A,CD_A,ATl,ADl,ATif,ATst,ATp,ADp,CT_R,CD_R,CDT,CDD,CTT,CDD5a,CDDcd,CDDsec,CDDcp,CDT5a,CDTcd,CDTsec,CDTcp,CTT5a,CTTcd,CTTsec,CTTcp,ATb,ADb,ALH,AR,VPC1,VPL1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.0007766988758962617,-0.0008115179468924302,6.970265741965174,0.550324663806722,0.03363943933853402,-0.0013616782782514979,0.049538210809858096,0.0,-0.003915428143569665,-0.004923773312815712,0.00842926310789329,0.013172360982587583,5.141971888575785e-08,8.034330443214001e-08,3.290862299220073e-08,2.112195032179131e-12,2.112067940391334e-12,2.111644393595602e-12,2.1095287922084957e-12,1.3505782987555511e-12,1.3499288075112239e-12,1.3477676117391718e-12,1.3370481153402993e-12,8.63949774649391e-13,8.63326897294862e-13,8.612560646967055e-13,8.510257378156446e-13,0.00046268739394974477,0.000415786687719375,1.648656201498019e-05,8.456167306072764e-05,0.0,0.0
0.02,0.0019071020149575508,-0.001588924626778901,6.970265741965174,0.5503246638067218,0.05807290388880181,-0.0022873072454767103,0.09907451515818405,0.0,-0.00782814749982918,-0.009844767340121484,0.016847500411429014,0.02634065518630268,4.079524658026694e-07,6.376657918191756e-07,2.6099129464958104e-07,3.35750472399671e-11,3.357100944270135e-11,3.3557555966575586e-11,3.349042329801816e-11,2.1441042102413386e-11,2.1420453217915312e-11,2.1352061353286196e-11,2.1015510138938427e-11,1.3703798667230095e-11,1.3684080647824298e-11,1.361869480841009e-11,1.3299464729846783e-11,0.0005734004412691857,0.0007972407386410167,3.294167465809264e-05,8.572487846575384e-05,0.0,0.0
0.03,0.003037328839856809,-0.00236657827850908,6.970265741965174,0.550324663806722,0.07581972474227147,-0.002916519919037611,0.14861081950651,0.0,-0.01173816109725356,-0.014762984950910447,0.025253696003995102,0.03950327208982373,1.3653517846766054e-06,2.134971804653546e-06,8.731664027848807e-07,1.688680627727943e-10,1.688375816819693e-10,1.6873604420679828e-10,1.6822987949762148e-10,1.0770084779246243e-10,1.075457701361309e-10,1.0703152389585684e-10,1.0452080864457857e-10,6.877648089088607e-11,6.862816762559039e-11,6.813762282796476e-11,6.57705549370577e-11,0.0006841134885886271,0.0011786947895626584,4.926567156226513e-05,8.688733650387732e-05,0.0,0.0
0.04,0.004167379567211459,-0.003144478853313489,6.970265741965174,0.5503246638067217,0.08870983537295371,-0.0033442394388490037,0.19814712385483596,0.0,-0.015645471747924723,-0.01967842878941658,0.03364786585065264,0.05266021336611681,3.2094038055998076e-06,5.020378035632828e-06,2.0516929653943823e-06,5.302308449131443e-10,5.301031181942325e-10,5.296777322679937e-10,5.275593058502362e-10,3.377363318438598e-10,3.3708795468901376e-10,3.349416147177894e-10,3.245444664163069e-10,2.1548833327594403e-10,2.148690959195919e-10,2.1282626124423163e-10,2.0308290312103786e-10,0.0007948265359080685,0.0015601488404843001,6.545959746888739e-05,8.804914674528655e-05,0.0,0.0
0.05,0.005297254399907232,-0.003922626324275244,6.970265741965174,0.5503246638067218,0.09807236646918346,-0.0036349912881159714,0.24768342820316191,0.0,-0.01955008205482868,-0.024591101282657027,0.04203002541989047,0.0658114803952823,6.216237406601717e-06,9.727574733294553e-06,3.972379279358859e-06,1.286092434394227e-09,1.28570482318949e-09,1.2844141892474168e-09,1.2779932602443542e-09,8.181356840303729e-10,8.161724650548712e-10,8.096847916608799e-10,7.785022103793883e-10,5.215501534888345e-10,5.196777616620644e-10,5.135167489073257e-10,4.844688933960148e-10,0.0009055395832275095,0.0019416028914059414,8.152448879473367e-05,8.921040538818866e-05,0.0,0.0
0.06,0.006426953527570212,-0.004701020685618803,6.970265741965174,0.5503246638067217,0.1048726924905583,-0.0038326360710750455,0.2972197325514878,0.0,-0.023451994418944067,-0.0295010046477599,0.05040018970066109,0.0789570742741302,1.0652623605667729e-05,1.6676270827713907e-05,6.804784350387592e-06,2.649547815178651e-09,2.648588696582647e-09,2.6453958037434794e-09,2.629527031775537e-09,1.6833113790267902e-09,1.6784644097373698e-09,1.6624747101387348e-09,1.5862162482961779e-09,1.0721599738432695e-09,1.0675436467582843e-09,1.0523929382254658e-09,9.817736498068797e-10,0.0010162526305469502,0.0023230569423275823,9.74613736983686e-05,9.03712053640269e-05,0.0,0.0
0.07,0.007556477127024166,-0.005479661952020802,6.970265741965174,0.5503246638067218,0.10981200502912976,-0.003966989621122214,0.34675603689981377,0.0,-0.0273512110461112,-0.034408140899065104,0.05875837321888101,0.09209699582545765,1.6776265551852683e-05,2.6272625114044287e-05,1.0712412980731542e-05,4.876881808034924e-09,4.874820314904731e-09,4.867959130756979e-09,4.833893067649156e-09,3.094380202452567e-09,3.083985680450283e-09,3.049754270301784e-09,2.8877544269578665e-09,1.9692136014742666e-09,1.959327411732185e-09,1.9269644625806213e-09,1.7778194591641016e-09,0.001126965677866391,0.002704510993249224,0.00011327127214585883,9.153163643937183e-05,0.0,0.0
0.08,0.008685825362733648,-0.006258550157942168,6.970265741965174,0.5503246638067218,0.11339959713219004,-0.004058319381968842,0.39629234124813967,0.0,-0.031247733953690206,-0.03931251185500728,0.06710459005341997,0.1052312456070399,2.4836079539969514e-05,3.8909664129380514e-05,1.5852904798618238e-05,8.266138684670421e-09,8.262141781350358e-09,8.248841958269768e-09,8.182874104852907e-09,5.2380795020592455e-09,5.217971443845413e-09,5.151865411481782e-09,4.841416322032353e-09,3.3305418914336437e-09,3.311443688952699e-09,3.2490851051604296e-09,2.964921405608852e-09,0.0012376787251858318,0.003085965044170865,0.00012895519597610152,9.269178531463767e-05,0.0,0.0
0.09,0.009814998387233447,-0.007037685356980758,6.970265741965175,0.5503246638067221,0.1160053845663934,-0.004120402536359197,0.44582864559646557,0.0,-0.03514156497701541,-0.04421411914478812,0.07543885385159428,0.11835982392034543,3.5072467320026635e-05,5.4967687118280416e-05,2.237821741526543e-05,1.3155735775709162e-08,1.3148573104258715e-08,1.3124744304086947e-08,1.3006670918230354e-08,8.325718329600869e-09,8.289764546160637e-09,8.171768697999183e-09,7.621857073026548e-09,5.2891737716533635e-09,5.255072958064637e-09,5.144013656518775e-09,4.643541198035673e-09,0.0013483917725052737,0.0034674190950925066,0.00014451414896557592,9.385173571972128e-05,0.0,0.0
