t,B0,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,C,C_star,M,A,T
0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0
0.01,2.8594013627328456,0.22874944218163934,0.009149883615647858,0.00024398725460311472,4.879691313133373e-06,7.817033913198763e-08,1.0474843142249726e-09,1.2068402213820408e-11,1.2159726416282167e-13,1.081729622666953e-15,8.541383113963447e-18,6.012770059342152e-20,7.077615691788924e-23,1.2017355926917322e-28,499.90000999933363,0.04980053224932063
0.02,2.7253920494333146,0.43605289330562236,0.03488345113079151,0.0018604115294678727,7.440802246003529e-05,2.3824704195038893e-06,6.392416373560989e-08,1.482194163756217e-09,3.021864479639116e-11,5.461436585212997e-13,8.798212486220267e-15,1.2698881898418917e-16,3.0804548971856893e-19,2.288245154716836e-24,499.8000399946675,0.09920424963562921
0.03,2.5976632455859345,0.6234187222603715,0.07480780537202536,0.0059844189479460975,0.00035905766162284535,1.723125663335333e-05,6.897917121423113e-07,2.3781320392244e-08,7.183412560160153e-10,1.9163441432174855e-11,4.5239769148730524e-13,9.485708257125907e-15,3.2940577611807937e-17,4.8911326727521055e-22,499.700089982003,0.14821431399431714
0.04,2.475920606849641,0.7922609475102617,0.12675638251602522,0.013520095881796208,0.0010815684235111675,6.921325032096486e-05,3.691696014013016e-06,1.6905076003788154e-07,6.78824522752713e-09,2.4229542859030545e-10,7.750984753062911e-12,2.2443929884621388e-13,1.095685783164093e-15,3.06661649609379e-20,499.60015995734216,0.19683386198641317
0.05,2.3598835845778594,0.9439047548475759,0.18877123205463672,0.025168184443239528,0.0025167007693794414,0.00020131882783208579,1.3420942331732406e-05,7.674478253837708e-07,3.8456518849102676e-08,1.715933182284562e-09,6.895703107362538e-11,2.535143451743142e-12,1.592079463182143e-14,7.302323723049195e-19,499.50024991668784,0.24506600527952263
0.06,2.249284778060837,1.0795917384895017,0.2590864456501383,0.04145132210513801,0.004973870897198345,0.00047745799243751144,3.819297461630226e-05,2.619707884298434e-06,1.5737642624741928e-07,8.412559484398564e-09,4.049687191423682e-10,1.7866537248844446e-11,1.346975160168224e-13,8.82675577826804e-18,499.4003598560435,0.29291383074728294
0.07,2.143869318616884,1.200484832313193,0.3361128091903094,0.0627367700626817,0.00878254519841097,0.0009835820351814452,9.179132092626996e-05,7.343316476453537e-06,5.142793431847889e-07,3.203408225033176e-08,1.7962895850614958e-09,9.244104348726031e-11,8.130968560066326e-13,7.208741673408697e-17,499.3004897714136,0.34038040066686226
0.08,2.043394282625671,1.3076729602639248,0.41842355680290927,0.08925690890062951,0.014280014427939417,0.001827707993021939,0.00019493823549751146,1.7821171851566558e-05,1.4259958011045883e-06,1.0148279402874976e-07,6.503292617332901e-09,3.8340949554420465e-10,3.867338884335955e-12,4.48088467036503e-16,499.2006396588033,0.3874687529149257
0.09,1.9476281310823838,1.402175432100934,0.5047411109674278,0.12112777674583292,0.021801176090858278,0.003139113794116365,0.00037665975757696877,3.873830778850725e-05,3.4865485839374386e-06,2.7903093299111624e-07,2.010718395518904e-08,1.3356473527662235e-09,1.5193811065460884e-11,2.229979537489634e-15,499.1008095142182,0.43418190116209415
0.1,1.8563501763903127,1.4849460794242422,0.5939248190877756,0.1583656574953144,0.03167026424304497,0.005066790755916592,0.0006755091893568098,7.719305522848218e-05,7.718991335675702e-06,6.86244503351246e-07,5.492576995292503e-08,4.058926403968088e-09,5.137474754265428e-11,9.306212365390388e-15,499.0009993336643,0.48052283506580423
0.11,1.7693500737567587,1.5568771598883815,0.6849595649065039,0.20090200371050793,0.04419414818188866,0.0077774223985539685,0.0011405764542256815,0.000143371582120353,1.5769664551138773e-05,1.5419850704455616e-06,1.3573097374645733e-07,1.1047966469777974e-08,1.5401300768291124e-10,3.37454334282777e-14,498.901209113147,0.5264945204616529
0.12,1.6864273364379156,1.6188030384413756,0.7769452129036527,0.24859679900644227,0.05965705636478534,0.011452980795087341,0.0018322858959248047,0.0002512571718781573,3.0147991332424737e-05,3.215759949795875e-06,3.087668102085764e-07,2.7457256172096463e-08,4.181026295856469e-10,1.0903703093768334e-13,498.80143884866976,0.5720998995532234
