t,S_0,S_1,S_2,S_3,S_4,S_5,S_6,S_7,S_8,M_0,M_1,M_1_2,M_2,M_3,M_4,M_5,M_6,M_7,M_8,w
0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.5011763185545507,1.0514753773138773e-06,6.625179922463084e-13,4.0113015674308736e-19,2.7008633212227814e-25,7.291777866188969e-32,3.5236286146682343e-38,1.9866535349924302e-47,9.163852329278284e-57,0.5011450962944749,0.005005728644263212,9.565540505596418e-05,2.8387056982506484e-07,1.5468306450507245e-11,0.0,0.0,0.0,0.0,-1.7796734090597852e-63,6.388634411990518e-05
0.02,0.5023455871289184,2.105869197380823e-06,2.6529575237711334e-12,2.7606485946636896e-18,2.7227851297913457e-24,2.242230298914135e-30,1.663309126752685e-36,9.04144858151096e-43,3.934256855771704e-49,0.5022829988773958,0.010022872052783707,0.00019350774248479952,1.136535491779895e-06,1.0644401279236202e-10,0.0,0.0,0.0,0.0,-2.30462118072711e-55,0.0001281433726981044
0.03,0.50350774658835,3.163129492924992e-06,5.975860156189598e-12,8.936689439198707e-18,1.1863265756390783e-23,1.4311545342110114e-29,1.576374892321988e-35,1.5688214797083864e-41,1.38661496393279e-47,0.503413649886886,0.015051361735834533,0.0002933741095773587,2.559659128497931e-06,3.445368746108863e-10,0.0,0.0,0.0,0.0,-9.314221290183609e-51,0.00019276785916970534
0.04,0.5046627318180947,4.223198240545937e-06,1.0636120307104394e-11,2.100180643093713e-17,3.6103766408701516e-23,5.66148615476271e-29,8.265510200458693e-35,1.1317349102269314e-40,1.4554062643890505e-46,0.5045369856370042,0.020091121031972446,0.00039505073251984684,4.555047799845683e-06,8.095768917922002e-10,0.0,0.0,0.0,0.0,-1.5616537813631104e-49,0.000257756194356335
0.05,0.5058104818582901,5.28602028618917e-06,1.6638208504310138e-11,4.092388843485036e-17,8.698739902765291e-23,1.6797688837520956e-28,3.027035309982796e-34,5.160860324428488e-40,8.375235718729315e-46,0.5056529465338692,0.02514207686363198,0.0004983443668211918,7.124365227073333e-06,1.5773208292147366e-09,0.0,0.0,0.0,0.0,-1.1646931970295288e-48,0.00032310494095851066
0.06,0.5069509359652448,6.351539887166508e-06,2.3986474648471892e-11,7.068959554480135e-17,1.7943900357318738e-22,4.124920738274929e-28,8.838471845800445e-34,1.794639152139334e-39,3.480730464736766e-45,0.5067614732216041,0.030204155185158083,0.0006030601053917401,1.0269243372404136e-05,2.724212971401301e-09,0.0,0.0,0.0,0.0,-5.855275090698163e-48,0.0003888106187279263
0.07,0.5080840339431005,7.419700999105573e-06,3.268512155793135e-11,1.1229400368321902e-16,3.3178765935719424e-22,8.860769444357306e-28,2.2025922221903945e-33,5.1875504585732236e-39,1.1691901783513142e-44,0.5078625069070339,0.03527728135442766,0.0007090023810857796,1.3991272944813088e-05,4.326988517204325e-09,0.0,0.0,0.0,0.0,-2.3093955166370983e-47,0.0004548697222816383
0.08,0.5092097161388641,8.490447290796041e-06,4.273820760969224e-11,1.6774003578157556e-16,5.657056019255181e-22,1.7224124918260346e-27,4.874839734918883e-33,1.3062130332063008e-38,3.351140671515656e-44,0.5089559893541853,0.040361380152655835,0.0008159749984184961,1.8292004152192052e-05,6.462655357090034e-09,0.0,0.0,0.0,0.0,-7.603869079672088e-47,0.0005212787221975309
0.09,0.5103279234637118,9.56372215012917e-06,5.414964294420938e-11,2.390380677283484e-16,9.062945147271105e-22,3.1034435548113985e-27,9.947645685884641e-33,3.0960040683700447e-38,9.732437202747846e-44,0.5100418629055928,0.045456375782003934,0.0009237811453161995,2.3172945647217285e-05,9.20848259218909e-09,0.0,0.0,0.0,0.0,-3.021297435037983e-46,0.000588034065299091
0.1,0.5114385974202927,1.0639468719306279e-05,6.692318764715398e-11,3.2820428452235804e-16,1.3821196203160455e-21,5.288041007074543e-27,1.9648532962513489e-32,7.745037539780705e-38,3.3815983260572598e-43,0.5111200705086997,0.05056219189461676,0.0010322234661881403,2.863556402841762e-05,1.2641950010306305e-08,0.0,0.0,0.0,0.0,-1.53960519672821e-45,0.0006551321769799568
0.11,0.5125416800621915,1.171762984823936e-05,8.106245504937542e-11,4.372628895662543e-16,2.0251457128609686e-21,8.572329485624159e-27,3.62799736950463e-32,1.6917335931506344e-37,8.648412269318695e-43,0.5121905556764751,0.05567875155636601,0.0011411039655112507,3.4681284757771225e-05,1.6840815765701805e-08,0.0,0.0,0.0,0.0,-4.4161721800123256e-45,0.000722569458161093
0.12,0.5136371140110811,1.2798148113130242e-05,9.657091017796367e-11,5.68245219658426e-16,2.870769858267685e-21,1.3305602534093836e-26,6.256695603955809e-32,3.2500159137723735e-37,1.7946581109018664e-42,0.5132532625041173,0.060805977261130115,0.0012502240463817078,4.131149173886793e-05,2.1883089249512888e-08,0.0,0.0,0.0,0.0,-9.576840192008844e-45,0.0007903422865030755
0.13,0.5147248424696944,1.3880965830230056e-05,1.1345186854630241e-10,7.231890884354147e-16,3.957847550524658e-21,1.990213588597809e-26,1.01889287953227e-31,5.686365013145865e-37,3.274115207214437e-42,0.5143081356816934,0.06594379094132274,0.0013593845390953605,4.852752698942274e-05,2.7847010958467683e-08,0.0,0.0,0.0,0.0,-1.7816140178619845e-44,0.0008584470173036551
0.14,0.5158048092295994,1.4966025063679504e-05,1.317084953738656e-10,9.0413841062347e-16,5.328710417286079e-21,2.8847957412826504e-26,1.5837770354469857e-31,9.293866930988649e-37,5.4836351807443057e-42,0.5153551205017308,0.07109211397382419,0.0014683857174759675,5.633069043288572e-05,3.4811040966854525e-08,0.0,0.0,0.0,0.0,-3.0100714740750415e-44,0.0009268799840088536
0.15,0.5168769586789759,1.6053267633349134e-05,1.5134380480601406e-10,1.1131428262900988e-15,7.029183925454927e-21,4.070761707243808e-26,2.370099694244522e-31,1.442946288396331e-36,8.642261413915408e-42,0.5163941628668092,0.07625086718591284,0.0015770273152034314,6.472223969005203e-05,4.285384739849139e-08,0.0,0.0,0.0,0.0,-4.75919083420626e-44,0.0009956374987240614
