t,S,M
0.0,0.5,0.5
0.01,0.4993123019388465,0.5006876980611537
0.02,0.4986246088740958,0.5013753911259042
0.03,0.49793691783426547,0.5020630821657346
0.04,0.4972492369233245,0.5027507630766755
0.05,0.4965615667209689,0.5034384332790312
0.06,0.49587390741882237,0.5041260925811777
0.07,0.49518626481581224,0.5048137351841878
0.08,0.4944986416316064,0.5055013583683936
0.09,0.49381103786620484,0.5061889621337952
0.1,0.4931234500787216,0.5068765499212785
0.11,0.4924359022460151,0.507564097753985
0.12,0.4917483786715038,0.5082516213284963
0.13,0.49106088227524824,0.5089391177247518
0.14,0.49037341806374257,0.5096265819362574
0.15,0.48968599038855043,0.5103140096114496
0.16,0.48899860283227076,0.5110013971677292
0.17,0.4883112569971912,0.5116887430028088
0.18,0.4876239553617093,0.5123760446382906
0.19,0.48693670052201843,0.5130632994779816
0.2,0.48624949507222365,0.5137505049277764
0.21,0.4855623416076091,0.514437658392391
0.22,0.4848752427218073,0.5151247572781926
0.23,0.48418820100663906,0.5158117989933609
0.24,0.4835012190552038,0.5164987809447961
0.25,0.4828142994557862,0.5171857005442138
0.26,0.4821274447961351,0.5178725552038649
0.27,0.4814406576667804,0.5185593423332195
0.28,0.4807539406582518,0.5192460593417482
0.29,0.4800672963610789,0.5199327036389211
0.3,0.479380727364561,0.520619272635439
0.31,0.478694236244234,0.5213057637557659
0.32,0.478007825581486,0.5219921744185139
0.33,0.47732149796084716,0.5226785020391528
0.34,0.47663525596684747,0.5233647440331524
0.35000000000000003,0.4759491021840171,0.5240508978159828
0.36,0.47526303919206014,0.5247369608079397
0.37,0.4745770695559681,0.5254229304440318
0.38,0.47389119585183276,0.5261088041481672
0.39,0.4732054206569173,0.5267945793430827
0.4,0.47251974654848494,0.5274802534515151
0.41000000000000003,0.471834176103799,0.5281658238962009
0.42,0.4711487118558881,0.528851288144112
0.43,0.4704633564457288,0.5295366435542712
0.44,0.4697781123794444,0.5302218876205557
0.45,0.4690929822306521,0.5309070177693479
0.46,0.468407968571477,0.531592031428523
0.47000000000000003,0.4677230739711556,0.5322769260288444
0.48,0.4670383009609819,0.5329616990390181
0.49,0.4663536520857954,0.5336463479142046
0.5,0.4656691299036011,0.5343308700963989
0.51,0.46498473697055187,0.5350152630294481
0.52,0.4643004758409485,0.5356995241590515
0.53,0.46361634906723953,0.5363836509327604
0.54,0.46293235920002135,0.5370676407999786
0.55,0.46224850878803825,0.5377514912119618
0.56,0.46156480037818226,0.5384351996218177
0.5700000000000001,0.46088123651549334,0.5391187634845066
0.58,0.46019781974315926,0.5398021802568408
0.59,0.45951455260251556,0.5404854473974844
0.6,0.45883143763304574,0.5411685623669542
0.61,0.45814847737238107,0.5418515226276189
0.62,0.4574656743563007,0.5425343256436993
0.63,0.45678303111873153,0.5432169688812685
0.64,0.4561005501917484,0.5438994498082516
0.65,0.4554182341055739,0.5445817658944261
0.66,0.45473608538857857,0.5452639146114213
0.67,0.45405410656728074,0.5459458934327192
0.68,0.45337230016256314,0.5466276998374368
0.6900000000000001,0.45269066863827834,0.5473093313617216
0.7000000000000001,0.4520092144863075,0.5479907855136924
0.71,0.45132794021378086,0.548672059786219
0.72,0.45064684832544977,0.5493531516745501
0.73,0.44996594132368617,0.5500340586763137
0.74,0.4492852217084829,0.5507147782915169
0.75,0.44860469197745356,0.5513953080225463
0.76,0.4479243546258326,0.5520756453741673
0.77,0.44724421214647514,0.5527557878535247
0.78,0.4465642670298573,0.5534357329701426
0.79,0.4458845217640759,0.554115478235924
0.8,0.44520497883484844,0.5547950211651514
0.81,0.4445256407255134,0.5554743592744864
0.8200000000000001,0.4438465099170301,0.5561534900829698
0.8300000000000001,0.4431675888879784,0.5568324111120214
0.84,0.4424888801145593,0.5575111198854407
0.85,0.4418103860705942,0.5581896139294057
0.86,0.44113210922752566,0.5588678907724742
0.87,0.44045405205441684,0.559545947945583
0.88,0.4397762170179519,0.560223782982048
0.89,0.4390986065756055,0.5609013934243944
0.9,0.4384212231200227,0.5615787768799773
0.91,0.4377440690823287,0.5622559309176712
0.92,0.43706714690614673,0.5629328530938532
0.93,0.436390459032127,0.563609540967873
0.9400000000000001,0.4357140078979467,0.5642859921020532
0.9500000000000001,0.43503779593831016,0.5649622040616897
0.96,0.4343618255849489,0.565638174415051
0.97,0.4336860992666212,0.5663139007333787
0.98,0.4330106194091128,0.5669893805908872
0.99,0.432335388435236,0.5676646115647639
1.0,0.43166040876483064,0.5683395912351693
1.01,0.43098568281476335,0.5690143171852365
1.02,0.4303112129989279,0.5696887870010721
1.03,0.429637001728245,0.570362998271755
1.04,0.42896305141066265,0.5710369485893373
1.05,0.42828936445115573,0.5717106355488443
1.06,0.4276159432517262,0.5723840567482738
1.07,0.4269427902114032,0.5730572097885968
1.08,0.4262699077262428,0.5737300922737572
1.09,0.4255972981893281,0.5744027018106719
1.1,0.42492496397859336,0.5750750360214065
1.11,0.42425290739485466,0.5757470926051452
1.12,0.4235811307923478,0.5764188692076522
1.1300000000000001,0.42290963653573643,0.5770903634642635
1.1400000000000001,0.42223842698598946,0.5777615730140104
1.1500000000000001,0.42156750450038083,0.5784324954996191
1.16,0.42089687143248955,0.5791031285675103
1.17,0.4202265301321999,0.5797734698678
1.18,0.41955648294570125,0.5804435170542986
1.19,0.4188867322154879,0.581113267784512
1.2,0.41821728028035954,0.5817827197196404
1.21,0.4175481294754208,0.5824518705245791
1.22,0.4168792821320815,0.5831207178679184
1.23,0.4162107405780565,0.5837892594219434
1.24,0.41554250713736596,0.5844574928626339
1.25,0.414874584130335,0.5851254158696649
1.26,0.4142069738735939,0.585793026126406
1.27,0.413539678680078,0.5864603213199219
1.28,0.412872700859028,0.587127299140972
1.29,0.41220604271598943,0.5877939572840105
1.3,0.411539706552813,0.5884602934471869
1.31,0.41087369558858394,0.5891263044114159
1.32,0.41020800995517215,0.5897919900448277
1.33,0.4095426531031451,0.5904573468968548
1.34,0.40887762729841975,0.5911223727015801
1.35,0.40821293480313614,0.5917870651968637
1.36,0.407548577875625,0.5924514221243748
1.37,0.40688455877037594,0.5931154412296239
1.3800000000000001,0.4062208797380051,0.5937791202619948
1.3900000000000001,0.40555754302522307,0.5944424569747768
1.4000000000000001,0.4048945508748029,0.5951054491251969
1.41,0.4042319055255479,0.595768094474452
1.42,0.4035696092122594,0.5964303907877405
1.43,0.40290766416570467,0.5970923358342952
1.44,0.4022460726125851,0.5977539273874147
1.45,0.4015848367755037,0.5984151632244961
1.46,0.4009239588729332,0.5990760411270667
1.47,0.4002634411191836,0.5997365588808162
1.48,0.39960328572437065,0.6003967142756291
1.49,0.39894349489438313,0.6010565051056167
1.5,0.39828407083085116,0.6017159291691487
1.51,0.39762501573111364,0.6023749842688861
1.52,0.3969663317662335,0.6030336682337663
1.53,0.3963080210411008,0.603691978958899
1.54,0.3956500857209726,0.6043499142790272
1.55,0.39499252797281065,0.6050074720271892
1.56,0.3943353499585184,0.6056646500414815
1.57,0.3936785538348974,0.6063214461651024
1.58,0.39302214175360356,0.6069778582463963
1.59,0.39236611586110337,0.6076338841388964
1.6,0.3917104782986301,0.6082895217013697
1.61,0.3910552312021401,0.6089447687978597
1.62,0.39040037670226907,0.6095996232977308
1.6300000000000001,0.38974591692428845,0.6102540830757114
1.6400000000000001,0.38909185398806145,0.6109081460119383
1.6500000000000001,0.3884381900079994,0.6115618099920004
1.6600000000000001,0.38778492709301804,0.6122150729069817
1.67,0.3871320673464939,0.6128679326535059
1.68,0.3864796128662202,0.6135203871337797
1.69,0.38582756574436344,0.6141724342556364
1.7,0.3851759280674197,0.6148240719325802
1.71,0.38452470191617044,0.6154752980838294
1.72,0.3838738893656393,0.6161261106343605
1.73,0.3832234924850482,0.6167765075149516
1.74,0.38257351333777334,0.6174264866622264
1.75,0.38192395398130174,0.618076046018698
1.76,0.38127481646718747,0.6187251835328124
1.77,0.38062610284100773,0.6193738971589922
1.78,0.3799778151423193,0.6200221848576806
1.79,0.37932995540461484,0.620670044595385
1.8,0.3786825256552789,0.621317474344721
1.81,0.3780355279155443,0.6219644720844555
1.82,0.3773889642004486,0.6226110357995512
1.83,0.37674283651879004,0.6232571634812097
1.84,0.376097146873084,0.6239028531269158
1.85,0.3754518972615807,0.6245481027384191
1.86,0.37480708968336035,0.6251929103166394
1.87,0.37416272612411183,0.625837273875888
1.8800000000000001,0.37351880856219133,0.6264811914378084
1.8900000000000001,0.3728753389695201,0.6271246610304797
1.9000000000000001,0.37223231931154144,0.6277676806884583
1.9100000000000001,0.3715897515471788,0.628410248452821
1.92,0.37094763762879296,0.6290523623712069
1.93,0.37030597950213956,0.6296940204978603
1.94,0.3696647791063267,0.6303352208936731
1.95,0.36902403837377273,0.630975961626227
1.96,0.3683837592301633,0.6316162407698365
1.97,0.36774394359440926,0.6322560564055906
1.98,0.367104593378604,0.6328954066213958
1.99,0.36646571048798116,0.6335342895120186
2.0,0.36582729682087195,0.6341727031791279
2.0100000000000002,0.36518935426866284,0.634810645731337
2.02,0.3645518847157531,0.6354481152842467
2.0300000000000002,0.36391489003951216,0.6360851099604877
2.04,0.36327837211023745,0.6367216278897624
2.05,0.3626423327911116,0.6373576672088883
2.06,0.36200677393816005,0.6379932260618398
2.07,0.3613716974002089,0.638628302599791
2.08,0.360737105018842,0.6392628949811578
2.09,0.3601029986283588,0.6398970013716411
2.1,0.3594693800557317,0.6405306199442682
2.11,0.35883625112056367,0.6411637488794362
2.12,0.35820361363504577,0.6417963863649541
2.13,0.35757146940391465,0.6424285305960852
2.14,0.3569398202244102,0.6430601797755897
2.15,0.35630866788623283,0.6436913321137671
2.16,0.35567801417150136,0.6443219858284985
2.17,0.35504786085471024,0.6449521391452897
2.18,0.3544182097306671,0.6455817902693327
2.19,0.353789062707529,0.6462109372924709
2.2,0.3531604215769172,0.6468395784230827
2.21,0.3525322881049759,0.6474677118950241
2.22,0.3519046640510776,0.6480953359489223
2.23,0.3512775511678011,0.6487224488321988
2.24,0.35065095120090917,0.6493490487990907
2.25,0.35002486588932696,0.649975134110673
2.2600000000000002,0.3493992969651195,0.6506007030348804
2.27,0.34877424615347014,0.6512257538465298
2.2800000000000002,0.3481497151726581,0.6518502848273419
2.29,0.3475257057340366,0.6524742942659633
2.3000000000000003,0.3469022195420111,0.6530977804579888
2.31,0.34627925829401673,0.6537207417059832
2.32,0.3456568236804966,0.6543431763195033
2.33,0.34503491738487974,0.6549650826151202
2.34,0.344413541083559,0.655586458916441
2.35,0.3437926964458689,0.6562073035541309
2.36,0.3431723851340641,0.6568276148659358
2.37,0.3425526088032966,0.6574473911967033
2.38,0.34193336910159433,0.6580666308984056
2.39,0.34131466766983876,0.6586853323301611
2.4,0.3406965061417431,0.6593034938582567
2.41,0.3400788861438302,0.6599211138561697
2.42,0.33946180929541026,0.6605381907045896
2.43,0.33884527720855917,0.6611547227914407
2.44,0.3382292914880964,0.6617707085119036
2.45,0.3376138537315626,0.6623861462684373
2.46,0.3369989655291982,0.6630010344708017
2.47,0.33638462846392075,0.6636153715360792
2.48,0.33577084411130326,0.6642291558886967
2.49,0.3351576140395521,0.6648423859604479
2.5,0.3345449398094848,0.665455060190515
2.5100000000000002,0.3339328229823367,0.6660671770176633
2.52,0.33332126515399146,0.6666787348460085
2.5300000000000002,0.3327102678778217,0.6672897321221782
2.54,0.33209983269243043,0.6679001673075695
2.5500000000000003,0.331489961129279,0.6685100388707209
2.56,0.33088065471267186,0.6691193452873281
2.57,0.3302719149597413,0.6697280850402586
2.58,0.3296637433804324,0.6703362566195675
2.59,0.3290561414774879,0.670943858522512
2.6,0.32844911074643274,0.6715508892535672
2.61,0.32784265267555923,0.6721573473244407
2.62,0.32723676874591157,0.6727632312540883
2.63,0.32663146043127095,0.673368539568729
2.64,0.3260267291981402,0.6739732708018598
2.65,0.3254225765057286,0.6745774234942713
2.66,0.32481900380593687,0.675180996194063
2.67,0.3242160125433418,0.6757839874566581
2.68,0.32361360415518126,0.6763863958448186
2.69,0.32301178007133885,0.6769882199286611
2.7,0.3224105417143288,0.6775894582856712
2.71,0.3218098904992808,0.6781901095007191
2.72,0.321209827833925,0.678790172166075
2.73,0.32061035511857633,0.6793896448814236
2.74,0.3200114737461199,0.6799885262538801
2.75,0.3194131851019955,0.6805868148980044
2.7600000000000002,0.3188154905641825,0.6811845094358174
2.77,0.3182183915031847,0.6817816084968152
2.7800000000000002,0.31762188928201507,0.6823781107179848
2.79,0.31702598525618075,0.6829740147438192
2.8000000000000003,0.3164306807736676,0.6835693192263324
2.81,0.3158359771749254,0.6841640228250746
2.82,0.3152418757928522,0.6847581242071478
2.83,0.3146483779527796,0.6853516220472203
2.84,0.3140554849778853,0.6859445150221146
2.85,0.3134631982202606,0.6865368017797394
2.86,0.31287151899627114,0.6871284810037288
2.87,0.31228044860722004,0.68771955139278
2.88,0.3116899883470701,0.6883100116529298
2.89,0.3111001395024345,0.6888998604975655
2.9,0.3105109033525673,0.6894890966474326
