t,I,E4,VI,VNI,E1,E2,E3
0.0,0.1,0.0,200000.0,0.0,0.0,0.0,0.0
0.01,0.0995013279550918,0.020742412753984543,194089.10670970197,0.7605927405390095,7743.801154572639,155.00185386633308,2.070113103960814
0.02,0.09900746263840086,0.31947929730794766,188352.9067168498,1.4949192941654101,14954.355632323657,597.6507867265336,15.950266594530174
0.03,0.09852941869589074,1.5569432524506948,182786.23705424563,2.203826759403614,21659.387516517025,1296.2330583784096,51.8474343709153
0.04,0.09809421161687176,4.73689706224841,177384.08734343157,2.888278366340207,27885.331245052217,2221.3455247899133,118.36701538552958
0.05,0.09775062586227007,11.132722981570573,172141.59528501166,3.5494950650330463,33657.38821015744,3345.7552525778156,222.66380455137826
0.06,0.09757363274233602,22.22260577017955,167054.04228225455,4.189131631629509,38999.580958731145,4644.266828521226,370.5816649204055
0.07,0.0976676218771537,39.63254207599051,162116.84919403767,4.809476608157816,43934.80509281664,6093.596969235221,566.7826400343183
0.08,0.0981685950438889,65.0864674731493,157325.57221331086,5.413666906172447,48484.87896560182,7672.25605562334,814.8662008555686
0.09,0.09924545734305072,100.36284711484133,152675.89886737076,6.005909266697794,52670.591264424846,9360.43623523884,1117.479279779518
0.1,0.10110052829533686,147.25712504521815,148163.6441363437,6.59170194125749,56511.74656862903,11139.905752742096,1476.41770602904
0.11,0.1039693832401164,207.549476380288,143784.74668638536,7.178051095522694,60027.20896637985,12993.909186038622,1892.7196180607168
0.12,0.10812012498631332,282.9773490147386,139535.26521420633,7.773677363532116,63234.94381120508,14907.073281162506,2366.751394620932
0.13,0.11385217564937522,375.21232264837454,135411.37489963303,8.389208849629242,66152.05769569437,16865.318094239163,2898.286612807209
0.14,0.12149466950808095,485.84085079772274,131409.36396301122,9.037357631377612,68794.83671662085,18855.773163310172,3486.5785103426397
0.15,0.13140451908121448,616.3484876256317,127525.63032435425,9.733077519112053,71178.7831026625,20866.69844678852,4130.426399287423
0.16,0.14396421966152195,768.1072315733012,123756.67836122743,10.493701331493101,73318.65027310542,22887.40977774694,4828.236452426185
0.17,0.15957944955415962,942.3656515816558,120099.11576245193,11.339056576677978,75228.47639294657,24908.20859658473,5578.077255206878
0.18,0.17867651739225143,1140.2414878640902,116549.65047479636,12.291558808534843,76921.61648722056,26920.315735985656,6377.730492826403
0.19,0.20169970231357603,1362.7164441969414,113105.08773990558,13.376282285769651,78410.77317485995,28915.809043045287,7224.7371197008515
0.2,0.2291085263519251,1610.6329167953306,109762.32721880305,14.62100801392676,79708.02607972664,30887.5646352548,8116.439334075795
0.21,0.26137499449800905,1884.6924236291168,106518.36020137687,16.056249420027445,80824.85997425974,32829.20159629792,9050.018662444501
0.22,0.29898083318066554,2185.455519630143,103370.26689833708,17.71525618247123,81772.19170887706,34735.02992754409,10022.530438581949
0.23,0.34241475354411754,2513.3430036336217,100315.21381320809,19.633996974405605,82560.39597801921,36600.001580722834,11030.934942964086
0.24,0.39216976223918165,2868.6382406261137,97350.45119199097,21.851122035869345,83199.32997162167,38419.66440612122,12072.125451156988
0.25,0.44874053959458626,3251.490437400666,94473.31054819943,24.407906577928426,83698.3569589026,40190.118858464775,13142.953425012893
0.26,0.512620901615832,3661.9187263375266,91681.202261041,27.348176172327143,84066.36884935036,41907.97731103065,14240.25106432557
0.27,0.5843013592692715,4099.816927103737,88971.61324458425,30.718215379013014,84311.80777386416,43570.325836531796,15360.851421438694
0.28,0.6642667866957956,4564.958866427189,86342.10468581179,34.56666086477107,84442.68672738552,45174.68831974384,16501.60626976895
0.29,0.7529942074545433,5057.004149236161,83790.30984952358,38.94438034001425,84466.60931258414,46718.99277408887,17659.401903687783
0.3,0.8509507057043268,5575.50428626281,81313.93194811538,43.90433867873035,84390.7886224651,48201.53974124752,18831.173034635325
0.31,0.9585914679181569,6119.90909142727,78910.74207431452,49.50145255497886,84222.06529831697,49620.97265849198,20013.914938595917
0.32,1.0763579582690728,6689.573275160992,76578.57719501649,55.79243499218903,83966.92479765626,50976.250085621425,21204.693996717986
0.33,1.2046762316709676,7283.763159004273,74315.33820440501,62.83563103707013,83631.51390606006,52266.61968571721,22400.656768476303
