t,T_star,VI,VNI
0.0,3.6,134000.0,0.0
0.01,-4.426835485631647,130039.70149545398,-1.096173408519857
0.02,-12.098828025910539,126196.44750024384,-20.713987295170952
0.03,-19.429359939155642,122466.77882632524,-57.483064202159284
0.04,-26.431335370168163,118847.33852005561,-110.10459649515703
0.05,-33.11719684981408,115334.8688409132,-177.3481206928825
0.06,-39.49894129629652,111926.20832906624,-258.04842492675516
0.07,-45.5881354720634,108618.28895991176,-351.1025854207941
0.08,-51.39593091642896,105408.13338268793,-455.4671264902767
0.09,-56.93307837027558,102292.85224084444,-570.1552994588593
0.1,-62.20994171448781,99269.64157109935,-694.2344744942411
0.11,-67.23651143122635,96335.7802798458,-826.8236429068108
0.12,-72.02241761195275,93488.62769353566,-967.0910232963249
0.13,-76.57694251319835,90725.62118280314,-1114.2517713767832
0.14,-80.90903269562648,88044.27385528877,-1267.5657836327957
0.15,-85.02731074428547,85442.17231739782,-1426.3355955536492
0.16,-88.94008659010261,82916.97450211347,-1589.9043690927613
0.17,-92.65536844556314,80466.40756094975,-1757.653965736166
0.18,-96.18087336706087,78088.26581822746,-1929.003101995293
0.19,-99.52403745598782,75780.40878587429,-2103.4055840998103
0.2,-102.6920257097763,73540.75923709453,-2280.348619032773
0.21,-105.69174154115284,71367.30133629068,-2459.351196777644
0.22,-108.5298359754022,69258.07882376028,-2639.9625413322883
0.23,-111.2127165114518,67211.19325688787,-2821.7606355196626
0.24,-113.74655569554359,65224.802301145755,-3004.350804959987
0.25,-116.13729941245037,63297.118070063254,-3187.3643602453876
0.26,-118.39067487052455,61426.40551718156,-3370.457305122788
0.27,-120.51219831650474,59610.980874980625,-3553.3091002300343
0.28,-122.50718248748191,57849.21013958248,-3735.6214807635206
0.29,-124.3807438163206,56139.507599084965,-3917.117323238106
0.3,-126.13780939566591,54480.334404547386,-4097.539560491204
0.31,-127.78312366029475,52870.19718851498,-4276.650157891651
0.32,-129.32125487846005,51307.64671942454,-4454.229123294142
0.33,-130.75660142124136,49791.27659560842,-4630.073560913557
0.34,-132.09339778470854,48319.721981686635,-4803.996776986212
0.35000000000000003,-133.3357204273844,46891.65837943109,-4975.827418818897
0.36,-134.48749340565809,45505.800434922436,-5145.408652566092
0.37,-135.55249380310988,44160.90078249704,-5312.5973825600295
0.38,-136.53435697935544,42855.74892184045,-5477.263503563475
0.39,-137.43658163926915,41589.17012802902,-5639.289186669818
0.4,-138.2625347192957,40360.02439464917,-5798.56820039766
0.41000000000000003,-139.01545610828722,39167.2054076733,-5955.005261924116
0.42,-139.69846320740416,38009.639549369866,-6108.5154177447575
0.43,-140.31455532531572,36886.28493232693,-6259.02345492094
0.44,-140.86661792336895,35796.13046173366,-6406.4633392181595
0.45,-141.35742671650942,34738.19492486517,-6550.777678331302
0.46,-141.78965162572848,33711.52610828244,-6691.917212648647
0.47000000000000003,-142.16586059463665,32715.1999408437,-6829.840329497261
0.48,-142.48852327714656,31748.31966152984,-6964.5125993386355
0.49,-142.76001458941772,30810.015012705127,-7095.90633629924
0.5,-142.98261813904148,29899.441457061024,-7224.0001795576245
0.51,-143.15852953616337,29015.779417475514,-7348.7786945136395
0.52,-143.2898595999546,28158.23353794372,-7470.23198999799
0.53,-143.37863743044247,27326.031969119806,-7588.355361033385
0.54,-143.42681338346685,26518.425673627946,-7703.148945993495
0.55,-143.43626194304136,25734.687751670157,-7814.617400238022
0.56,-143.40878449970458,24974.112785674417,-7922.769583915334
0.5700000000000001,-143.34611201216444,24236.01620676422,-8027.618271340881
0.58,-143.24990758666218,23519.733678479093,-8129.179871612339
0.59,-143.12176896702132,22824.62049850409,-8227.47416299861
0.6,-142.96323094124398,22150.05101751483,-8322.524039621361
0.61,-142.77576764599465,21495.41807744425,-8414.35527649084
0.62,-142.5607948018957,20860.13246474907,-8502.99630307657
0.63,-142.31967187123638,20243.62237962726,-8588.477988303428
0.64,-142.0537041389859,19645.332920965127,-8670.833436999894
0.65,-141.7641447096927,19064.725587899582,-8750.097800376856
0.66,-141.45219644227117,18501.27779493256,-8826.308094049715
0.67,-141.1190138192333,17954.482400985005,-8899.503025126813
0.68,-140.76570474470861,17423.84725299161,-8969.722830085739
0.6900000000000001,-140.39333227400752,16908.89474356641,-9037.009122877667
0.7000000000000001,-140.00291628722186,16409.161381010912,-9101.40474996687
0.71,-139.59543510731416,15924.197371426011,-9162.953652205164
0.72,-139.17182705276883,15453.566214252915,-9221.700736891824
0.73,-138.73299193480432,14996.844309756512,-9277.691757194594
0.74,-138.2797925042038,14553.620577661384,-9330.973197635523
0.75,-137.81305585071317,14123.496086481695,-9381.59216517241
0.76,-137.3335747432635,13706.083695013982,-9429.596289192255
0.77,-136.84210892505203,13301.00770402696,-9475.03362677084
0.78,-136.33938636366082,12907.903518029636,-9517.952573302031
0.79,-135.82610446017657,12526.41731646923,-9558.401777520077
0.8,-135.3029312055776,12156.205735942827,-9596.430064454531
0.81,-134.7705063000183,11796.93556114717,-9632.086362028167
0.8200000000000001,-134.22944223243098,11448.283424858519,-9665.419632223144
0.8300000000000001,-133.6803253240287,11109.935516368634,-9696.478805995204
0.84,-133.12371672580537,10781.587299694209,-9725.312724760845
0.85,-132.56015338496456,10462.943239397104,-9751.970084549459
0.86,-131.99014897677986,10153.716534434374,-9776.499383919472
0.87,-131.4141948040399,9853.628859668705,-9798.948875192229
0.88,-130.8327606572934,9562.410115939778,-9819.366520926367
0.89,-130.24629564841413,9279.798186855724,-9837.799952440022
0.9,-129.65522901453966,9005.538702653042,-9854.296431279636
0.91,-129.0599708922102,8739.384811098902,-9868.902813801504
0.92,-128.46091305921874,8481.096955741406,-9881.665519654001
0.93,-127.85842965270064,8230.442660213002,-9892.630501992568
0.9400000000000001,-127.25287786326778,7987.196318562028,-9901.84321966183
0.9500000000000001,-126.64459859943084,7751.13899239368,-9909.348612860289
0.96,-126.03391712585497,7522.058214253518,-9915.19108149653
0.97,-125.42114368097312,7299.747796401438,-9919.41446494859
0.98,-124.80657407361515,7084.007644970909,-9922.062023374814
0.99,-124.19049026526305,6874.643578500655,-9923.176418975083
1.0,-123.57316090795446,6671.467155150312,-9922.799705070272
1.01,-122.9548418788147,6474.295502584092,-9920.973312483167
1.02,-122.33577679177033,6282.951153310614,-9917.738038342177
1.03,-121.71619749307321,6097.261884725095,-9913.134035186904
1.04,-121.09632453430177,5917.06056407105,-9907.200803371785
1.05,-120.47636762915482,5742.184997818379,-9899.977184334122
1.06,-119.85652609558647,5572.477785243137,-9891.501354306642
1.07,-119.2369892730477,5407.786177811583,-9881.810820839053
1.08,-118.61793691785289,5247.96194387809,-9870.942421458754
1.09,-117.9995396183574,5092.861230892765,-9858.93231734408
1.1,-117.3819591668834,4942.34443688362,-9845.81599285794
1.11,-116.76534892353958,4796.27608461145,-9831.628254950667
1.12,-116.14985413786394,4654.5247045185315,-9816.403238456716
1.1300000000000001,-115.53561231010472,4516.962711835401,-9800.174402828972
1.1400000000000001,-114.92275351783113,4383.466291097948,-9782.974533497376
1.1500000000000001,-114.31140072494901,4253.915285001784,-9764.835744859494
1.16,-113.70167006847568,4128.193088487378,-9745.7894857505
1.17,-113.09367113795223,4006.1865452751936,-9725.86654479567
1.18,-112.48750727825052,3887.785841174653,-9705.097050241284
1.19,-111.88327584744228,3772.884406715994,-9683.51047636838
1.2,-111.28106847209014,3661.3788213124117,-9661.135649016196
1.21,-110.68097127183182,3553.1687242023468,-9638.000755115158
1.22,-110.08306511989585,3448.156719556657,-9614.13334484444
1.23,-109.48742586884693,3346.2482891013037,-9589.560338550107
1.24,-108.8941245688446,3247.3517070809166,-9564.308033777896
1.25,-108.3032276649199,3151.3779600992734,-9538.402114539402
1.26,-107.7147972004479,3058.2406666805173,-9511.867658590929
1.27,-107.12889102508335,2967.8559968626723,-9484.729143018534
1.28,-106.54556297650912,2880.142597603346,-9457.010452971264
1.29,-105.96486305702894,2795.021520029875,-9428.734890232266
1.3,-105.38683758960532,2712.41615148099,-9399.925184025376
1.31,-104.81152940699049,2632.252141892779,-9370.603495892332
1.32,-104.23897800626412,2554.4573376780695,-9340.791428984596
1.33,-103.66921970251715,2478.9617165237114,-9310.510036641883
1.34,-103.10228776845533,2405.697325718852,-9279.779832278053
1.35,-102.53821255315623,2334.5982253480042,-9248.620801616193
1.36,-101.97702165299583,2265.6004217400005,-9217.052406266645
1.37,-101.41874003110462,2198.6418118795914,-9185.093594314534
1.3800000000000001,-100.86339014238092,2133.662127369076,-9152.76280932465
1.3900000000000001,-100.31099204622389,2070.602881489615,-9120.078000297171
1.4000000000000001,-99.76156350994464,2009.407318760404,-9087.056632219981
1.41,-99.2151201420821,1950.0203591597394,-9053.715692082105
1.42,-98.67167549066305,1892.388549952049,-9020.071698885504
1.43,-98.1312411457295,1836.4600172657154,-8986.140712507156
1.44,-97.59382682740234,1782.1844212748338,-8951.93834393677
1.45,-97.05944047244054,1729.5129122378864,-8917.479765138207
1.46,-96.5280883436112,1678.398082254392,-8882.779715238636
1.47,-95.99977510800902,1628.7939240929813,-8847.85251039016
1.48,-95.47450392032326,1580.6557894873429,-8812.712052417755
1.49,-94.95227649224702,1533.9403509322572,-8777.371838697341
1.5,-94.43309316718603,1488.6055628004715,-8741.84497089357
1.51,-93.91695300511554,1444.610620716838,-8706.144161965403
1.52,-93.40385384680795,1401.915925882716,-8670.28174527821
1.53,-92.89379238114626,1360.4830491787402,-8634.26968288239
1.54,-92.38676419868166,1320.2746985996396,-8598.119574809278
1.55,-91.88276385577649,1281.2546849386827,-8561.84266691344
1.56,-91.38178494075527,1243.387887499731,-8525.449858141685
1.57,-90.88382012599155,1206.640223176979,-8488.951708871971
1.58,-90.38886122187242,1170.9786155774764,-8452.35844871031
1.59,-89.89689921847271,1136.370967426772,-8415.679985355238
1.6,-89.4079243399982,1102.7861302929489,-8378.925911590934
1.61,-88.92192609568284,1070.1938755038304,-8342.105512337985
1.62,-88.4388933220551,1038.5648674614722,-8305.227772369535
1.6300000000000001,-87.95881422588825,1007.8706371266036,-8268.301383591624
1.6400000000000001,-87.48167641628311,978.0835582834593,-8231.334752976649
1.6500000000000001,-87.00746695056719,949.1768210755291,-8194.336009033375
1.6600000000000001,-86.53617237331618,921.1244074182805,-8157.313008598129
1.67,-86.0677787503387,893.9010678713087,-8120.273343794344
1.68,-85.60227170253422,867.4822988815897,-8083.224348746902
1.69,-85.13963643075662,841.8443224994601,-8046.173106848769
1.7,-84.67985775393126,816.964063184291,-8009.12645657913
1.71,-84.22292013871535,792.8191269427807,-7972.090997837272
1.72,-83.76880772668642,769.3877813480692,-7935.073098258317
1.73,-83.31750436073393,746.6489360337405,-7898.078899353145
1.74,-82.8689936042933,724.5821252183506,-7861.114322982199
1.75,-82.42325877264696,703.1674875231594,-7824.185076693086
1.76,-81.98028295529815,682.3857482466203,-7787.296659537419
1.77,-81.54004903753093,662.2182020934875,-7750.454367749209
1.78,-81.10253972068722,642.6466964725568,-7713.663300311354
1.79,-80.66773753706222,623.6536163763021,-7676.9283646873055
1.8,-80.23562487525547,605.2218668968186,-7640.254281703216
1.81,-79.80618399688643,587.3348581243563,-7603.645590812357
1.82,-79.37939705351374,569.9764902243484,-7567.1066551772265
1.83,-78.95524610194221,553.1311391612343,-7530.641666684502
1.84,-78.53371311588127,536.7836435972647,-7494.254651020878
1.85,-78.11478000603428,520.9192897667059,-7457.949472086666
1.86,-77.69842863248587,505.52379859031333,-7421.729836721489
1.87,-77.2846408178237,490.58331279436027,-7385.599299238133
1.8800000000000001,-76.87339835840501,476.0843847180962,-7349.561265900878
1.8900000000000001,-76.46468303350638,462.01396487543855,-7313.61899936646
1.9000000000000001,-76.05847662095664,448.3593889788081,-7277.775622705395
1.9100000000000001,-75.65476090619521,435.10836689644486,-7242.034123591385
1.92,-75.25351769228236,422.2489715367264,-7206.397358324604
1.93,-74.85472880792344,409.76962845839626,-7170.868055811579
1.94,-74.45837611475672,397.6591058541565,-7135.4488214580915
1.95,-74.0644415191248,385.90650344954247,-7100.142140781752
1.96,-73.6729069786303,374.5012430177293,-7064.950383110947
1.97,-73.28375450961704,363.43305879542277,-7029.875805142232
1.98,-72.8969661925994,352.69198864281725,-6994.920554450436
1.99,-72.51252417814355,342.2683652233647,-6960.086672889333
2.0,-72.13041069538329,332.1528065720635,-6925.376099828738
2.0100000000000002,-71.75060805669581,322.33620791452586,-6890.79067539746
2.02,-71.37309866313225,312.8097334106856,-6856.3321436156275
2.0300000000000002,-70.99786500780397,303.56480864108477,-6822.002155470588
2.04,-70.62488968067365,294.59311281158756,-6787.80227188899
2.05,-70.2541553743802,285.88657078392254,-6753.733966612179
2.06,-69.8856448875003,277.437345995251,-6719.798629028346
2.07,-69.51934112831556,269.2378333554961,-6685.997566919125
2.08,-69.15522711668879,261.2806528526555,-6652.3320091396745
2.09,-68.79328598786967,253.55864267954678,-6618.803108218989
2.1,-68.43350099624354,246.0648524954403,-6585.411942889816
2.11,-68.07585551747933,238.792537299588,-6552.15952055591
2.12,-67.72033305097158,231.735151327158,-6519.046779690157
2.13,-67.3669172206122,224.88634258855447,-6486.074592154289
2.14,-67.01559177770707,218.2399468305992,-6453.243765475697
2.15,-66.66634060316773,211.78998183501082,-6420.555045057121
2.16,-66.31914770877404,205.5306421173675,-6388.009116318749
2.17,-65.97399723857095,199.45629368613726,-6355.6066067826905
2.18,-65.63087346886186,193.56146936767502,-6323.348088073528
2.19,-65.28976081033063,187.84086351745074,-6291.234077909056
2.2,-64.95064380907651,182.2893271882226,-6259.265042016098
2.21,-64.61350714718564,176.90186354565125,-6227.441395985488
2.22,-64.27833564331235,171.67362337319994,-6195.763507075621
2.23,-63.945114252137195,166.59990105545978,-6164.231695930403
2.24,-63.613828065793335,161.67612996365753,-6132.846238317309
2.25,-63.28446231406139,156.89787835404988,-6101.607366778314
2.2600000000000002,-62.95700236440534,152.26084540479997,-6070.515272231022
2.27,-62.631433721927024,147.76085736504047,-6039.570105521697
2.2800000000000002,-62.30774202847145,143.39386409027125,-6008.771978896797
2.29,-61.98591306345488,139.15593503236306,-5978.120967515438
2.3000000000000003,-61.66593274346362,135.04325575052798,-5947.617110864261
2.31,-61.34778712188204,131.05212448678245,-5917.260414135092
2.32,-61.03146238837364,127.17894887113799,-5887.050849555425
2.33,-60.716944867773286,123.42024292152568,-5856.988357646658
2.34,-60.4042210204051,119.77262357296131,-5827.072848534589
2.35,-60.093277441274175,116.23280770262548,-5797.304203156256
2.36,-59.784100859390335,112.79760917239287,-5767.682274441226
2.37,-59.476678136900354,109.463936013709,-5738.206888445181
2.38,-59.17099626786529,106.22878781766204,-5708.877845424782
2.39,-58.8670423781552,103.08925274522178,-5679.694920967043
2.4,-58.56480372437614,100.04250498342233,-5650.657867014508
2.41,-58.26426769297316,97.08580219268924,-5621.766412874381
2.42,-57.96542179911425,94.21648310533342,-5593.020266178669
2.43,-57.66825368542492,91.43196524457062,-5564.419113802725
2.44,-57.37275112153669,88.7297423617567,-5535.962622831653
2.45,-57.078902002856516,86.10738225441693,-5507.650441428277
2.46,-56.78669434951661,83.56252456442957,-5479.4821996918
2.47,-56.496116305090325,81.09287873283994,-5451.457510465596
2.48,-56.2071561353335,78.69622199654131,-5423.575970123199
2.49,-55.919802227456984,76.37039720383224,-5395.837159388318
2.5,-55.63404308881787,74.1133109361907,-5368.240644067788
2.5100000000000002,-55.3498673457693,71.9229316104682,-5340.785975778915
2.52,-55.06726374227245,69.79728774037022,-5313.47269262415
2.5300000000000002,-54.78622113867694,67.73446616815028,-5286.300319865348
2.54,-54.50672851078082,65.73261021433666,-5259.26837061225
2.5500000000000003,-54.228774948499904,63.7899180546514,-5232.376346440325
2.56,-53.95234965465906,61.90464108626502,-5205.623738003696
2.57,-53.677441943557746,60.075082449465285,-5179.0100255949055
2.58,-53.404041239795234,58.299595466112216,-5152.534679723299
2.59,-53.13213707718768,56.57658207628007,-5126.197161687817
2.6,-52.861719097448415,54.90449143340318,-5099.99692409628
2.61,-52.592777048953536,53.281818499553495,-5073.933411378829
2.62,-52.32530078530858,51.707102785204306,-5048.006060249953
2.63,-52.059280264212504,50.178926974711615,-5022.214300202933
2.64,-51.79470554629706,48.6959156041386,-4996.557553982957
2.65,-51.53156679383646,47.25673384561883,-4971.035238021561
2.66,-51.26985426951367,45.86008630065733,-4945.64676286398
2.67,-51.00955833502207,44.504715922777436,-4920.391533548633
2.68,-50.75066944996517,43.18940281168693,-4895.2689500277975
2.69,-50.49317817066691,41.91296309367068,-4870.27840755555
2.7,-50.237075148923715,40.67424787004962,-4845.419297049291
2.71,-49.98235113079221,39.47214218163815,-4820.691005442849
2.72,-49.72899695524799,38.30556408475478,-4796.0929159966745
2.73,-49.477003553120916,37.17346359712736,-4771.624408653621
2.74,-49.22636194591123,36.074821748349315,-4747.284860354563
2.75,-48.977063244593836,35.008649670638285,-4723.073645337458
2.7600000000000002,-48.72909864844197,33.97398771115569,-4698.990135426574
2.77,-48.48245944375766,32.96990463667903,-4675.0337002849965
2.7800000000000002,-48.23713700284329,31.995496715637497,-4651.203707713161
2.79,-47.99312278284869,31.049886911286322,-4627.499523903566
2.8000000000000003,-47.750408324633526,30.132224095851342,-4603.920513686403
2.81,-47.50898525163818,29.24168229052512,-4580.46604076407
2.82,-47.268845268693504,28.377459978177765,-4557.13546791591
2.83,-47.029980161030586,27.538779307165413,-4533.928157246288
2.84,-46.79238179317561,26.724885404244766,-4510.84347038835
2.85,-46.55604210787422,25.935045695699838,-4487.880768704093
2.86,-46.320953125016864,25.168549257518677,-4465.039413472167
2.87,-46.08710694053133,24.42470621890569,-4442.31876605334
2.88,-45.8544957254328,23.7028470747404,-4419.718188094129
2.89,-45.62311172477701,23.002322098940542,-4397.237041688228
2.9,-45.39294725664878,22.322500758332737,-4374.874689537859
2.91,-45.16399471114625,21.66277115785234,-4352.630495101838
2.92,-44.93624654935633,21.022539520489964,-4330.503822728989
2.93,-44.70969530244707,20.40122959640847,-4308.494037822646
2.94,-44.4843335706854,19.798282160582758,-4286.600506967238
2.95,-44.26015402248983,19.21315450705715,-4264.822598056771
2.96,-44.0371493934766,18.645319976040263,-4243.159680409295
2.97,-43.81531248551526,18.09426749830668,-4221.611124874279
2.98,-43.59463616586565,17.559501090064337,-4200.176303962834
2.99,-43.37511336626256,17.04053942132294,-4178.854591945753
3.0,-43.15673708203202,16.53691537981414,-4157.645364954266
3.0100000000000002,-42.93950037120012,16.048175668610238,-4136.548001066174
3.02,-42.72339635362495,15.573880405004944,-4115.561880392275
3.0300000000000002,-42.508418210179606,15.113602691232387,-4094.6863851765766
3.04,-42.29455918190402,14.666928242228721,-4073.9208998712134
3.0500000000000003,-42.081812569183064,14.23345500994947,-4053.264811213822
3.06,-41.870171730917946,13.812792841447894,-4032.7175082900703
3.0700000000000003,-41.659630083729105,13.404563124377114,-4012.2783826030686
3.08,-41.45018110118703,13.00839842415431,-3991.9468281477057
3.09,-41.241818313029,12.623942161863749,-3971.722241466845
3.1,-41.03453530439696,12.250848291068861,-3951.6040217090303
3.11,-40.828325715070775,11.888781006719265,-3931.5915706719097
3.12,-40.62318323873515,11.537414432589781,-3911.684292856996
3.13,-40.41910162226042,11.196432314579658,-3891.8815955227074
3.14,-40.21607466498064,10.865527741956626,-3872.182888725083
3.15,-40.014096217988545,10.544402869595697,-3852.587585359095
3.16,-39.813160183428835,10.232768669501077,-3833.095101186819
3.17,-39.61326051382315,9.930344656126028,-3813.704854879479
3.18,-39.414391211401345,9.636858626836265,-3794.41626805321
3.19,-39.216546327437115,9.352046420739368,-3775.2287652970076
3.2,-39.01971996159702,9.075651680194477,-3756.141774200442
3.21,-38.823906261291235,8.807425638066809,-3737.1547253698277
3.22,-38.629099421051166,8.547126877169747,-3718.267052459204
3.23,-38.435293681910764,8.29452111033413,-3699.478192192276
3.24,-38.24248333079547,8.049380971830661,-3680.78758437985
3.25,-38.05066269992258,7.8114858128148255,-3662.194671936391
3.2600000000000002,-37.859826166205636,7.58062151855216,-3643.6989008868327
3.27,-37.669968150680695,7.356580298513935,-3625.299720388018
3.2800000000000002,-37.48108311793563,7.139160499689602,-3606.996582739659
3.29,-37.29316557554886,6.928166426272338,-3588.788943393227
3.3000000000000003,-37.10621007353754,6.72340816441354,-3570.676260959375
3.31,-36.92021120381221,6.524701424602189,-3552.6579972076256
3.3200000000000003,-36.735163599647514,6.331867359221823,-3534.733617079553
3.33,-36.551061935157506,6.144732403757094,-3516.902588691198
3.34,-36.36790092478005,5.963128120985341,-3499.164383335021
3.35,-36.185675322769995,5.786891051032417,-3481.51847547996
3.36,-36.00437992269987,5.615862574881852,-3463.964342765766
3.37,-35.824009556971944,5.449888756466619,-3446.5014660091306
3.38,-35.64455909633652,5.28882020727673,-3429.1293291995203
3.39,-35.46602344941862,5.132511951797124,-3411.847419495585
3.4,-35.288397562252925,4.9808232993913295,-3394.6552272193367
3.41,-35.11167641782647,4.833617725582357,-3377.5522458465607
3.42,-34.935855035629274,4.690762736003734,-3360.537972006963
3.43,-34.76092847121238,4.5521297506386915,-3343.6119054750425
3.44,-34.58689181575363,4.41759398767547,-3326.7735491621274
3.45,-34.41374019563108,4.287034354209636,-3310.0224091059035
3.46,-34.241468772004104,4.160333342496908,-3293.35799445809
3.47,-34.07007274039961,4.037376913324647,-3276.779817479512
3.48,-33.899547330307016,3.9180543967239267,-3260.287393527373
3.49,-33.729887804779594,3.8022583917866957,-3243.8802410438625
3.5,-33.56108946004371,3.6898846735808086,-3227.557881542113
3.5100000000000002,-33.3931476251144,3.5808321020417515,-3211.319839592024
3.52,-33.2260576614149,3.475002522548626,-3195.16564281113
3.5300000000000002,-33.059814962405284,3.3723006804643214,-3179.094821849318
3.54,-32.894414953216575,3.272634134783564,-3163.106910374846
3.5500000000000003,-32.729853090292735,3.1759131790037327,-3147.20144505758
3.56,-32.56612486103747,3.0820507607138685,-3131.377965553699
3.5700000000000003,-32.403225783464684,2.990962397365963,-3115.6360144930945
3.58,-32.241151405857806,2.9025661024320017,-3099.975137462406
3.59,-32.07989730643381,2.8167823110643635,-3084.3948829890824
3.6,-31.919459093015313,2.7335338128112996,-3068.894802522738
3.61,-31.759832402705445,2.6527456806029863,-3053.4744504191067
3.62,-31.601012901567003,2.574345199586704,-3038.1333839248077
