t,T_1,T_2,V,T
0.0,0.0,0.0,0.001,1000.0
0.01,2.3710640212281904e-07,3.5418466710297128e-12,0.0009760495140579223,999.9999997628781
0.02,4.684768651816408e-07,1.4097758336345819e-11,0.0009526729371013229,999.9999995314619
0.03,6.942438659881526e-07,3.14877842418391e-11,0.0009298570383369139,999.9999993056193
0.04,9.145561836114818e-07,5.550989661728024e-11,0.0009075869587355839,999.9999990852024
0.05,1.1294906569864145e-06,8.605988023029116e-11,0.0008858550239899188,999.999998870135
0.06,1.3392036249808053e-06,1.229255312412134e-10,0.0008646456199328337,999.9999986602612
0.07,1.5438450931354973e-06,1.659032185472983e-10,0.0008439437649621847,999.9999984554322
0.08,1.7435632311651086e-06,2.1479181523391025e-10,0.0008237346608106705,999.9999982555006
0.09,1.9384537036220416e-06,2.6946181489246687e-10,0.0008040087526406407,999.999998060371
0.1,2.1286175474989524e-06,3.297763827513545e-10,0.0007847559490955325,999.9999978699431
0.11,2.3141727591325655e-06,3.955755503745105e-10,0.0007659644651733621,999.9999976840993
0.12,2.495237146767415e-06,4.666996077720872e-10,0.0007476225346535173,999.9999975027227
0.13,2.6719119734325487e-06,5.430115787439373e-10,0.0007297200433873338,999.9999973257126
0.14,2.844296461968324e-06,6.243772903910028e-10,0.0007122470809429556,999.9999971529701
0.15,3.012497381288251e-06,7.106522012070445e-10,0.0006951929833984457,999.9999969843891
0.16,3.1765933945745066e-06,8.017303791737536e-10,0.0006785498932555326,999.9999968198914
0.17,3.3367540446132965e-06,8.973810488758241e-10,0.0006623008784728029,999.9999966593083
0.18,3.4930091318695497e-06,9.975654021306256e-10,0.0006464429606097286,999.9999965026103
0.19,3.6454617406878977e-06,1.102143959008721e-09,0.0006309658436572786,999.9999963496948
0.2,3.794212532753986e-06,1.2109805676428994e-09,0.0006158594735146449,999.9999962004616
0.21,3.93935316988199e-06,1.3239514372276136e-09,0.0006011146947424317,999.9999960548197
0.22,4.080966256051543e-06,1.4409452176241883e-09,0.0005867232563504322,999.9999959126868
0.23,4.2191377137074155e-06,1.5618460020221732e-09,0.0005726765759892503,999.9999957739775
0.24,4.353950180578792e-06,1.6865423956029814e-09,0.000558966399296491,999.9999956386097
0.25,4.4854829609039854e-06,1.814927582526799e-09,0.0005455848047671117,999.9999955065043
0.26,4.613812025430437e-06,1.9468993259325826e-09,0.000532524203753421,999.999995377586
0.27,4.739010248458422e-06,2.082359642102195e-09,0.0005197773167959733,999.999995251782
0.28,4.8611577987375156e-06,2.221200517327249e-09,0.0005073361360797463,999.9999951290129
0.29,4.980331667393205e-06,2.3633183026265544e-09,0.0004951929710835791,999.9999950092019
0.3,5.0966022965067115e-06,2.508618348037618e-09,0.0004833407852206328,999.999994892279
0.31,5.210037722182128e-06,2.657009307633569e-09,0.0004717727821480298,999.9999947781766
0.32,5.320703574546416e-06,2.80840313952316e-09,0.00046048240576685345,999.9999946668295
0.33,5.428663077749407e-06,2.9627151058507667e-09,0.00044946334022214835,999.9999945581745
0.34,5.53397828501463e-06,3.1198620748988237e-09,0.00043870938658186045,999.9999944521502
0.35000000000000003,5.6367187446231155e-06,3.279750607446261e-09,0.000428213597529688,999.9999943486872
0.36,5.736947952074604e-06,3.4422955817854575e-09,0.00041796963013033297,999.9999942477225
0.37,5.834726140584386e-06,3.6074163574608358e-09,0.0004079714671956001,999.9999941491961
0.38,5.9301119014305876e-06,3.775034547681423e-09,0.00039821325549110133,999.9999940530498
0.39,6.0231621839541605e-06,3.945074019320849e-09,0.00038868930573625544,999.9999939592269
0.4,6.113932295558893e-06,4.117460892917355e-09,0.00037939409260428824,999.9999938676725
0.41000000000000003,6.202476821968552e-06,4.292122276410531e-09,0.00037032216283512393,999.9999937783322
0.42,6.288851105684309e-06,4.468984230800904e-09,0.0003614679876123222,999.999993691151
0.43,6.373107369334796e-06,4.647977104375692e-09,0.00035282634964418566,999.9999936060768
0.44,6.455296281314481e-06,4.829033378408382e-09,0.000344392186835733,999.9999935230595
0.45,6.53546708363988e-06,5.012087491230068e-09,0.00033616057952233464,999.9999934420499
0.46,6.613667591949561e-06,5.197075838229442e-09,0.00032812675046971343,999.9999933630006
0.47000000000000003,6.689944195504138e-06,5.383936771852798e-09,0.000320286064873944,999.9999932858653
0.48,6.76434197793062e-06,5.572610435460802e-09,0.0003126340183052053,999.9999932105992
0.49,6.836912060690251e-06,5.76302865877656e-09,0.00030516550346705975,999.9999931371516
0.5,6.907694983926772e-06,5.955137825703017e-09,0.0002978764696084717,999.9999930654819
0.51,6.976733767891223e-06,6.1488809019088444e-09,0.00029076261834862227,999.9999929955477
0.52,7.0440701042228e-06,6.344202675594947e-09,0.0002838197839751596,999.9999929273072
0.53,7.109744388757087e-06,6.541049712350605e-09,0.00027704393016831676,999.9999928607203
0.54,7.173795893840944e-06,6.73937011807029e-09,0.0002704311327953496,999.9999927957481
0.55,7.236265990622669e-06,6.939109105581855e-09,0.00026397725816623317,999.9999927323493
0.56,7.29719383492287e-06,7.140214930208143e-09,0.00025767839379763714,999.9999926704849
0.5700000000000001,7.356616353849888e-06,7.342638908177201e-09,0.00025153084974937674,999.9999926101182
0.58,7.414569486791475e-06,7.546333709207087e-09,0.00024553103471192496,999.9999925512136
0.59,7.4710882242615875e-06,7.75125330305391e-09,0.00023967545212758305,999.9999924937363
0.6,7.526206646747165e-06,7.957352906059854e-09,0.00023396069631165232,999.9999924376522
0.61,7.579957963554929e-06,8.16458892770121e-09,0.0002283834485736044,999.9999923829283
0.62,7.632374551658166e-06,8.37291891713641e-09,0.0002229404733382526,999.9999923295326
0.63,7.683487994543521e-06,8.582301509754055e-09,0.0002176286142669227,999.9999922774335
0.64,7.73332912105778e-06,8.792696373720942e-09,0.00021244479037862401,999.9999922266005
0.65,7.781928044254667e-06,9.004064156530107e-09,0.00020738599217122033,999.9999921770035
0.66,7.829314200241626e-06,9.216366431548838e-09,0.0002024492777426008,999.9999921286133
0.67,7.875516387026614e-06,9.429565644566722e-09,0.00019763176891185116,999.9999920814012
0.68,7.920562803364892e-06,9.643625060343668e-09,0.00019293064734042433,999.9999920353391
0.6900000000000001,7.964480754398073e-06,9.858509168551518e-09,0.0001883431839227042,999.9999919904001
0.7000000000000001,8.007296623769524e-06,1.0074183722324674e-08,0.00018386674157002596,999.9999919465577
0.71,8.04903677586029e-06,1.029061449445331e-08,0.00017949868512606834,999.9999919037857
0.72,8.089727114583363e-06,1.0507767885779929e-08,0.00017523642541925188,999.9999918620584
