t,T_1,T_2,V,T
0.0,0.0,0.0,0.001,1000.0
0.01,2.3710639065915132e-07,3.541846461513263e-12,0.0009760495140692218,999.9999010695269
0.02,4.684768199363885e-07,1.4097757255161049e-11,0.0009526729371457229,999.99980453692
0.03,6.942437662094456e-07,3.14877810042867e-11,0.000929857038434168,999.9997103468997
0.04,9.145560102395813e-07,5.550988928169605e-11,0.000907586958903249,999.9996184373774
0.05,1.129490391713812e-06,8.605986658357171e-11,0.0008858550242444386,999.9995287762745
0.06,1.339203251191953e-06,1.2292550842716796e-10,0.0008646456202882486,999.9994412983385
0.07,1.5438445958616477e-06,1.6590318307946804e-10,0.0008439437654301991,999.9993559409631
0.08,1.743562597047767e-06,2.1479176301911605e-10,0.0008237346614013771,999.999272642307
0.09,1.9384529200482767e-06,2.694617416579094e-10,0.0008040087533652091,999.9991913624152
0.1,2.1286166027281948e-06,3.29776283948638e-10,0.0007847559499621074,999.9991120590936
0.11,2.314171642551904e-06,3.9557542107443023e-10,0.0007659644661885921,999.9990346830784
0.12,2.495235848884903e-06,4.666994426702387e-10,0.000747622535822816,999.9989591851844
0.13,2.6719104854985018e-06,5.430113723656939e-10,0.0007297200447169299,999.9988855231132
0.14,2.8442947759646293e-06,6.243770370673175e-10,0.0007122470824365513,999.9988136554163
0.15,3.0124954900788303e-06,7.106518950115454e-10,0.0006951929850585029,999.9987435375033
0.16,3.176591291393149e-06,8.017300141331401e-10,0.0006785498950794397,999.9986751364896
0.17,3.336751724672891e-06,8.973806183539196e-10,0.0006623008804699512,999.9986083816416
0.18,3.493006589843937e-06,9.975648998355163e-10,0.0006464429627796156,999.9985432604245
0.19,3.6454589720565067e-06,1.1021433784315283e-09,0.0006309658459985882,999.9984797297831
0.2,3.794209533753635e-06,1.2109799020814826e-09,0.0006158594760253213,999.9984177476705
0.21,3.939349937330617e-06,1.3239506798933856e-09,0.0006011146974224223,999.9983572757916
0.22,4.080962787235751e-06,1.440944361660476e-09,0.0005867232591979678,999.9982982796257
0.23,4.219134006410508e-06,1.561845040504194e-09,0.0005726765790021404,999.9982407232682
0.24,4.3539462330170485e-06,1.6865413215707096e-09,0.0005589664024724224,999.9981845721825
0.25,4.485478771664162e-06,1.8149263890154608e-09,0.000545584808103748,999.998129793221
0.26,4.6138075934072624e-06,1.946898006003153e-09,0.000532524207248504,999.9980763546246
0.27,4.7390055728052956e-06,2.0823581888590345e-09,0.0005197773204467283,999.9980242259243
0.28,4.8611528791132085e-06,2.2211989237605176e-09,0.0005073361398800268,999.997973373621
0.29,4.980326503847201e-06,2.3633165617178693e-09,0.0004951929750295843,999.9979237655392
0.3,5.09659688935669e-06,2.508616452801365e-09,0.00048334078930855446,999.9978753722294
0.31,5.210032071976251e-06,2.6570072511340006e-09,0.00047177278637411407,999.9978281652449
0.32,5.320697682025619e-06,2.8084009148914888e-09,0.00046048241012746266,999.9977821171422
0.33,5.4286569438096885e-06,2.9627127063022655e-09,0.00044946334471382247,999.9977372014806
0.34,5.533971910717726e-06,3.119859493707893e-09,0.0004387093911993773,999.9976933923089
0.35000000000000003,5.636712131386014e-06,3.279747837847546e-09,0.0004282136022661239,999.9976506605584
0.36,5.736941101512455e-06,3.442292617082713e-09,0.00041796963498068736,999.9976089796812
0.37,5.834719054472981e-06,3.607413191026789e-09,0.0004079714721548772,999.9975683244888
0.38,5.930104581686426e-06,3.775031172965571e-09,0.0003982132605543462,999.9975286704778
0.39,6.023154632614539e-06,3.945070429857262e-09,0.00038868931089859057,999.9974899938295
0.4,6.113924514761972e-06,4.117457082332466e-09,0.00037939409786094983,999.997452271411
0.41000000000000003,6.202468813972505e-06,4.292118238401585e-09,0.0003703221681802998,999.9974154803917
0.42,6.288842872905443e-06,4.468979959127493e-09,0.0003614679930404372,999.9973795976296
0.43,6.373098914282231e-06,4.6479725928908236e-09,0.0003528263551501304,999.9973446012817
0.44,6.4552876065767075e-06,4.82902862105969e-09,0.00034439219241451017,999.9973104701538
0.45,6.535458191871261e-06,5.012082482064485e-09,0.0003361605851690877,999.9972771836474
0.46,6.613658485856823e-06,5.1970705713978856e-09,0.0003281267561797547,999.9972447217592
0.47000000000000003,6.6899348778328726e-06,5.383931241614849e-09,0.00032028607064278305,999.9972130650817
0.48,6.764332451484017e-06,5.572604636147115e-09,0.00031263402412560093,999.9971821947526
0.49,6.836902328402847e-06,5.76302258480313e-09,0.00030516550933534835,999.9971520893966
0.5,6.907685048716057e-06,5.955131471602464e-09,0.00029787647551965184,999.9971227320469
0.51,6.976723632707371e-06,6.148874262315932e-09,0.00029076262429792615,999.9970941047047
0.52,7.044059772037344e-06,6.344195745249961e-09,0.0002838197899580603,999.9970661899267
0.53,7.109733862552273e-06,6.541042486102373e-09,0.000277043936180534,999.9970389708105
0.54,7.173785176609095e-06,6.73936259086804e-09,0.00027043113883213834,999.9970124309228
0.55,7.236255085423161e-06,6.939101272435142e-09,0.0002639772642209301,999.9969865529567
0.56,7.297182744818936e-06,7.140206786248955e-09,0.0002576783998655336,999.9969613205299
0.5700000000000001,7.356605081902132e-06,7.342630448643924e-09,0.00025153085582592307,999.9969367181898
0.58,7.414558036052796e-06,7.546324929444819e-09,0.0002455310407927329,999.996912730897
0.59,7.471076597772869e-06,7.75124419851438e-09,0.0002396754582084276,999.9968893440085
0.6,7.526194847533726e-06,7.95734347230095e-09,0.0002339607023884726,999.9968665432621
0.61,7.579945994623733e-06,8.164579160386124e-09,0.0002283834546425042,999.9968443147592
0.62,7.632362415995796e-06,8.372908812032387e-09,0.00022294047939549997,999.9968226449502
0.63,7.683475695114913e-06,8.582291062730753e-09,0.0002176286203089489,999.9968015206165
0.64,7.733316660805723e-06,8.792685580748409e-09,0.00021244479640202189,999.9967809288557
0.65,7.781915426100051e-06,9.004053013676359e-09,0.0002073859981727418,999.9967608570653
0.66,7.829301427084472e-06,9.216354934977061e-09,0.00020244928371915388,999.9967412929253
0.67,7.875503461747849e-06,9.429553790532068e-09,0.00019763177486049606,999.9967222243836
0.68,7.920549728828887e-06,9.643612845189672e-09,0.00019293065325836918,999.9967036396387
0.6900000000000001,7.964467533417575e-06,9.858496588728126e-09,0.00018834318980715754,999.9966855272597
0.7000000000000001,8.00728325905801e-06,1.0074170774418056e-08,0.00018386674741858365,999.9966678761966
0.71,8.049023270094006e-06,1.0290601175145229e-08,0.00017949869093652208,999.9966506754138
0.72,8.089713470405286e-06,1.0507754191843303e-08,0.00017523643118954658,999.9966339140684
0.73,8.12937933012903e-06,1.072559681675846e-08,0.0001710774223226863,999.9966175814995
0.74,8.168045923332306e-06,1.0944096581617082e-08,0.00016701915803591283,999.9966016672124
0.75,8.205737965684495e-06,1.1163221505793426e-08,0.00016305916782262771,999.9965861608625
0.76,8.242479852129723e-06,1.1382940044477296e-08,0.00015919501320814952,999.9965710522401
0.77,8.278295694559281e-06,1.1603221036841717e-08,0.00015542428398820126,999.9965563312544
