t,T_1,T
0.0,0.0,1000.0
0.01,1.182254740815886e-09,999.9999999999997
0.02,4.707879526077859e-09,999.9999999999982
0.03,1.052223939342678e-08,999.9999999999943
0.04,1.8564985301225092e-08,999.999999999987
0.05,2.8819243273552225e-08,999.9999999999759
0.06,4.1230941156845546e-08,999.9999999999598
0.07,5.574528305850599e-08,999.9999999999376
0.08,7.230747308593452e-08,999.9999999999083
0.09,9.086271534653196e-08,999.9999999998705
0.1,1.1135621394769938e-07,999.9999999998233
0.11,1.337331729968376e-07,999.9999999997656
0.12,1.5793879660134757e-07,999.9999999996962
0.13,1.8391828886863023e-07,999.9999999996139
0.14,2.116168539060865e-07,999.9999999995179
0.15,2.409796958211172e-07,999.9999999994067
0.16,2.7195278039278275e-07,999.9999999992792
0.17,3.0453920852782004e-07,999.9999999991359
0.18,3.3873064118830147e-07,999.9999999989763
0.19,3.744868129777561e-07,999.9999999987997
0.2,4.117674584997126e-07,999.9999999986053
0.21,4.5053231235769997e-07,999.9999999983924
0.22,4.907411091552471e-07,999.9999999981599
0.23,5.323535834958829e-07,999.9999999979073
0.24,5.753294699831361e-07,999.9999999976335
0.25,6.196285032205356e-07,999.9999999973379
0.26,6.652104178116104e-07,999.9999999970196
0.27,7.120349483598893e-07,999.9999999966778
0.28,7.600618294689012e-07,999.9999999963118
0.29,8.092789990769873e-07,999.9999999959213
0.3,8.596902880987791e-07,999.9999999955062
0.31,9.112659291654813e-07,999.9999999950661
0.32,9.639759716858125e-07,999.9999999946004
0.33,1.0177904650684918e-06,999.9999999941085
0.34,1.0726794587222378e-06,999.9999999935899
0.35000000000000003,1.1286130020557695e-06,999.9999999930437
0.36,1.1855611444778051e-06,999.9999999924696
0.37,1.2434939353970642e-06,999.9999999918668
0.38,1.3023814242222652e-06,999.9999999912349
0.39,1.362193660362127e-06,999.9999999905732
0.4,1.4229006932253682e-06,999.999999989881
0.41000000000000003,1.4844850635026307e-06,999.9999999891581
0.42,1.5469548051472432e-06,999.9999999884047
0.43,1.6102894931809495e-06,999.9999999876203
0.44,1.6744668498074224e-06,999.9999999868046
0.45,1.7394645972303343e-06,999.999999985957
0.46,1.805260457653358e-06,999.9999999850771
0.47000000000000003,1.8718321532801651e-06,999.9999999841646
0.48,1.9391574063144287e-06,999.9999999832188
0.49,2.0072139389598217e-06,999.9999999822396
0.5,2.075979473420016e-06,999.9999999812263
0.51,2.145431731898685e-06,999.9999999801786
0.52,2.2155484365995e-06,999.999999979096
0.53,2.286315347271184e-06,999.9999999779782
0.54,2.3577586580074156e-06,999.9999999768257
0.55,2.429868662363777e-06,999.9999999756385
0.56,2.5026284157358055e-06,999.9999999744161
0.5700000000000001,2.5760209735190365e-06,999.9999999731583
0.58,2.650029391109006e-06,999.9999999718646
0.59,2.724636723901252e-06,999.9999999705348
0.6,2.799826027291311e-06,999.9999999691685
0.61,2.875580356674718e-06,999.9999999677655
0.62,2.951882767447011e-06,999.9999999663253
0.63,3.0287163150037256e-06,999.9999999648476
0.64,3.1060640547403983e-06,999.9999999633321
0.65,3.1839090420525657e-06,999.9999999617785
0.66,3.262234332335764e-06,999.9999999601864
0.67,3.3410229809855307e-06,999.9999999585557
0.68,3.420258043397401e-06,999.9999999568857
0.6900000000000001,3.499922574966912e-06,999.9999999551763
0.7000000000000001,3.5799996310895996e-06,999.9999999534272
0.71,3.6604722671610004e-06,999.9999999516378
0.72,3.741323538576652e-06,999.9999999498082
0.73,3.82253650073209e-06,999.9999999479377
0.74,3.904094209022851e-06,999.999999946026
0.75,3.9859797188444715e-06,999.9999999440731
0.76,4.068192460047293e-06,999.9999999420787
0.77,4.150780814166158e-06,999.999999940044
0.78,4.233740948664598e-06,999.9999999379688
0.79,4.317063175426591e-06,999.9999999358531
0.8,4.400737806336112e-06,999.9999999336967
0.81,4.484755153277138e-06,999.9999999314994
0.8200000000000001,4.569105528133648e-06,999.999999929261
0.8300000000000001,4.653779242789617e-06,999.9999999269813
0.84,4.738766609129021e-06,999.9999999246602
0.85,4.824057939035839e-06,999.9999999222974
0.86,4.909643544394046e-06,999.999999919893
0.87,4.99551373708762e-06,999.9999999174465
0.88,5.0816588290005375e-06,999.999999914958
0.89,5.168069132016775e-06,999.9999999124271
0.9,5.254734958020309e-06,999.9999999098538
0.91,5.3416466188951175e-06,999.9999999072378
0.92,5.428794426525176e-06,999.999999904579
0.93,5.516168692794462e-06,999.9999999018772
0.9400000000000001,5.603759729586952e-06,999.9999998991323
0.9500000000000001,5.691557848786624e-06,999.9999998963439
0.96,5.779553362277452e-06,999.999999893512
0.97,5.867736581943415e-06,999.9999998906366
0.98,5.9560978196684905e-06,999.9999998877171
0.99,6.044640429284169e-06,999.9999998847538
1.0,6.133390305925902e-06,999.9999998817475
1.01,6.222343530808687e-06,999.9999998786977
1.02,6.311494543230872e-06,999.9999998756047
1.03,6.400837782490809e-06,999.9999998724682
1.04,6.490367687886848e-06,999.9999998692881
1.05,6.580078698717338e-06,999.9999998660645
1.06,6.6699652542806305e-06,999.999999862797
1.07,6.760021793875076e-06,999.9999998594859
1.08,6.8502427567990246e-06,999.9999998561308
1.09,6.940622582350825e-06,999.9999998527317
1.1,7.031155709828828e-06,999.9999998492884
1.11,7.121836578531386e-06,999.9999998458011
1.12,7.2126596277568466e-06,999.9999998422695
1.1300000000000001,7.303619296803561e-06,999.9999998386936
1.1400000000000001,7.39471002496988e-06,999.9999998350733
1.1500000000000001,7.485926251554153e-06,999.9999998314083
1.16,7.577262415854728e-06,999.9999998276987
1.17,7.66871295716996e-06,999.9999998239446
1.18,7.760272314798197e-06,999.9999998201455
1.19,7.85193492803779e-06,999.9999998163016
1.2,7.943695236187087e-06,999.9999998124127
1.21,8.03554767854444e-06,999.9999998084788
1.22,8.127496691861677e-06,999.9999998044998
1.23,8.219555537706675e-06,999.9999998004763
1.24,8.311721336302722e-06,999.9999997964081
1.25,8.403990896885677e-06,999.9999997922952
1.26,8.4963610286914e-06,999.9999997881374
1.27,8.588828540955748e-06,999.9999997839349
1.28,8.681390242914579e-06,999.9999997796875
1.29,8.774042943803752e-06,999.9999997753953
1.3,8.866783452859126e-06,999.9999997710581
1.31,8.95960857931656e-06,999.999999766676
1.32,9.05251513241191e-06,999.9999997622489
1.33,9.145499921381035e-06,999.9999997577767
1.34,9.238559755459795e-06,999.9999997532593
1.35,9.331691443884048e-06,999.999999748697
1.36,9.42489179588965e-06,999.9999997440893
1.37,9.518157620712463e-06,999.9999997394366
1.3800000000000001,9.611485727588344e-06,999.9999997347385
1.3900000000000001,9.70487292575315e-06,999.9999997299951
1.4000000000000001,9.798316024442741e-06,999.9999997252064
1.41,9.891811832892973e-06,999.9999997203724
1.42,9.985357160339708e-06,999.9999997154929
1.43,1.0078948816018804e-05,999.999999710568
1.44,1.0172583609166118e-05,999.9999997055976
1.45,1.0266268835002687e-05,999.9999997005817
1.46,1.0360014297268052e-05,999.9999996955208
1.47,1.0453818063726369e-05,999.9999996904148
1.48,1.0547678185321295e-05,999.9999996852637
1.49,1.0641592712996495e-05,999.9999996800674
1.5,1.0735559697695627e-05,999.9999996748259
1.51,1.082957719036235e-05,999.9999996695392
1.52,1.0923643241940327e-05,999.9999996642073
1.53,1.1017755903373217e-05,999.9999996588301
1.54,1.1111913225604678e-05,999.9999996534077
1.55,1.1206113259578375e-05,999.9999996479401
1.56,1.1300354056237965e-05,999.9999996424272
1.57,1.139463366652711e-05,999.9999996368689
1.58,1.1488950141389472e-05,999.9999996312654
1.59,1.1583301531768706e-05,999.9999996256165
1.6,1.1677685888608478e-05,999.9999996199224
1.61,1.1772101262852445e-05,999.9999996141828
1.62,1.1866545705444267e-05,999.9999996083978
1.6300000000000001,1.1961017267327609e-05,999.9999996025675
1.6400000000000001,1.2055513999446127e-05,999.9999995966919
1.6500000000000001,1.2150033952743482e-05,999.9999995907707
1.6600000000000001,1.2244575178163334e-05,999.9999995848041
1.67,1.2339135726649343e-05,999.9999995787921
1.68,1.2433713649145175e-05,999.9999995727345
1.69,1.2528306996594483e-05,999.9999995666316
1.7,1.2622913819940932e-05,999.999999560483
1.71,1.2717532170128181e-05,999.999999554289
1.72,1.281216009809989e-05,999.9999995480495
1.73,1.2906795654799719e-05,999.9999995417643
1.74,1.300143689117133e-05,999.9999995354336
1.75,1.309608185815838e-05,999.9999995290574
