t,X,K,V,Y,Z
0.0,100000000000.0,1.35e-14,1000.0,100.0,0.0
0.01,99999999999.97986,1.3500000000000611e-14,1983.5729555558883,99.70044954923573,5.946810356509598e-09
0.02,99999999999.9465,1.3500000000001624e-14,2954.383079756499,99.4017964015085,1.3069467475568194e-08
0.03,99999999999.90015,1.3500000000003035e-14,3912.566293701635,99.10403786842498,2.0858699034288723e-08
0.04,99999999999.84094,1.3500000000004833e-14,4858.25712541211,98.8071712700161,2.9083812199238518e-08
0.05,99999999999.76904,1.350000000000702e-14,5791.5887374194,98.5111939343931,3.7633152891242316e-08
0.06,99999999999.68465,1.3500000000009587e-14,6712.692940410425,98.21610319769603,4.642606621955524e-08
0.07,99999999999.58788,1.3500000000012528e-14,7621.700207573569,97.92189640406502,5.54118816987369e-08
0.08,99999999999.47894,1.350000000001584e-14,8518.739688982076,97.62857090560532,6.455805096717836e-08
0.09,99999999999.35797,1.3500000000019517e-14,9403.939237166931,97.33612406233742,7.384522119937645e-08
0.1,99999999999.22514,1.3500000000023556e-14,10277.425390196646,97.04455324222779,8.326385861942134e-08
0.11,99999999999.0806,1.3500000000027952e-14,11139.323384135927,96.75385582115796,9.279908459475137e-08
0.12,99999999998.9245,1.3500000000032699e-14,11989.757175540915,96.464029182877,1.0242039096298298e-07
0.13,99999999998.75702,1.3500000000037792e-14,12828.849488577347,96.17507071895294,1.1216064165364985e-07
0.14,99999999998.57828,1.3500000000043227e-14,13656.721805198627,95.88697782874506,1.2202422978841516e-07
0.15,99999999998.38844,1.3500000000049e-14,14473.494380720676,95.59974791936693,1.3197143587298654e-07
0.16,99999999998.18767,1.3500000000055104e-14,15279.286261266805,95.31337840566225,1.419346891629105e-07
0.17,99999999997.97609,1.3500000000061538e-14,16074.215234842153,95.0278667103696,1.5195338629024935e-07
0.18,99999999997.75388,1.3500000000068297e-14,16858.39790154836,94.74321026392282,1.6204698848757687e-07
0.19,99999999997.52115,1.3500000000075375e-14,17631.9496893967,94.45940650441794,1.7220762544905213e-07
0.2,99999999997.27806,1.3500000000082768e-14,18394.984855491064,94.17645287762181,1.8242367964232652e-07
0.21,99999999997.02475,1.3500000000090472e-14,19147.61648277445,93.89434683696338,1.9269972785680335e-07
0.22,99999999996.76135,1.3500000000098484e-14,19889.95650646775,93.61308584349545,2.0303761495090515e-07
0.23,99999999996.48802,1.3500000000106797e-14,20622.115726644126,93.33266736587028,2.134356763383042e-07
0.24,99999999996.20488,1.3500000000115408e-14,21344.203817126283,93.0530888803196,2.2389208437299458e-07
0.25,99999999995.91208,1.3500000000124314e-14,22056.329329879864,92.77434787064965,2.3440646243828732e-07
0.26,99999999995.60973,1.3500000000133511e-14,22758.599713484866,92.4964418282014,2.4497824003010846e-07
0.27,99999999995.29799,1.3500000000142993e-14,23451.12132489202,92.21936825182756,2.556065623606137e-07
0.28,99999999994.97697,1.3500000000152757e-14,24133.9994388771,91.94312464787292,2.6629058497868504e-07
0.29,99999999994.64682,1.3500000000162801e-14,24807.338253922324,91.66770853015373,2.7702988664649027e-07
0.3,99999999994.30765,1.3500000000173118e-14,25471.240906820414,91.39311741993369,2.87824162433554e-07
0.31,99999999993.9596,1.3500000000183706e-14,26125.809486890616,91.1193488459002,2.986729488305737e-07
0.32,99999999993.60277,1.350000000019456e-14,26771.145043380173,90.84640034414345,3.095758294742955e-07
0.33,99999999993.23732,1.3500000000205677e-14,27407.347583886927,90.57426945814206,3.205326955700295e-07
0.34,99999999992.86336,1.3500000000217054e-14,28034.516102515714,90.3029537387294,3.315433332733678e-07
0.35000000000000003,99999999992.481,1.3500000000228687e-14,28652.74858818349,90.03245074407279,3.426074719530955e-07
0.36,99999999992.09038,1.3500000000240572e-14,29262.142032663793,89.76275803965272,3.5372484533273134e-07
0.37,99999999991.69159,1.3500000000252705e-14,29862.7924410604,89.49387319824062,3.6489520399900586e-07
0.38,99999999991.28477,1.3500000000265082e-14,30454.79484214609,89.22579379987658,3.7611833791258796e-07
0.39,99999999990.87006,1.35000000002777e-14,31038.243298566565,88.95851743184716,3.8739410892106077e-07
0.4,99999999990.44753,1.3500000000290557e-14,31613.230914690695,88.69204168866507,3.9872243303246947e-07
0.41000000000000003,99999999990.0173,1.3500000000303648e-14,32179.849818563078,88.42636417207005,4.1010257321197965e-07
0.42,99999999989.5795,1.3500000000316968e-14,32738.19120590295,88.1614824909788,4.2153413044634194e-07
0.43,99999999989.13425,1.3500000000330518e-14,33288.345346684044,87.8973942614655,4.330170325167122e-07
0.44,99999999988.68163,1.3500000000344291e-14,33830.40158747168,87.6340971067458,4.445514212438942e-07
0.45,99999999988.22176,1.3500000000358284e-14,34364.44836004598,87.37158865715568,4.56137724067245e-07
0.46,99999999987.75476,1.3500000000372496e-14,34890.57318984938,87.10986655013019,4.6777673452059824e-07
0.47000000000000003,99999999987.28073,1.3500000000386921e-14,35408.86270425869,86.84892843018248,4.794697016052058e-07
0.48,99999999986.79976,1.3500000000401558e-14,35919.40264266934,86.58877194888228,4.912181894662606e-07
0.49,99999999986.31198,1.3500000000416403e-14,36422.27789911496,86.32939476482557,5.030200199725024e-07
0.5,99999999985.81749,1.3500000000431453e-14,36917.57249097315,86.07079454362442,5.148740743565793e-07
0.51,99999999985.31638,1.3500000000446704e-14,37405.36956645515,85.8129689578864,5.267804277766849e-07
0.52,99999999984.80875,1.3500000000462153e-14,37885.751422205874,85.5559156871911,5.387392582479511e-07
0.53,99999999984.29471,1.35000000004778e-14,38358.79951148101,85.29963241806942,5.507508743427828e-07
