t,X,K,V,Y,Z
0.0,100000000000.0,1.35e-14,1.0,1.0,0.0
0.01,99999999999.99992,1.361946810521816e-14,10.925280937870703,0.9970044955027919,5.940620620357199e-11
0.02,99999999999.9997,1.3936154392796521e-14,20.722042625518725,0.9940179640529694,2.158530697523676e-10
0.03,99999999999.99934,1.4447502130634122e-14,30.391653026684857,0.9910403787709283,4.6674829819792e-10
0.04,99999999999.99883,1.515098185878263e-14,39.93546619888319,0.9880717128581125,8.096210032224073e-10
0.05,99999999999.99812,1.6044091058817894e-14,49.354822461262934,0.9851119395962484,1.2421144163001804e-09
0.06,99999999999.99722,1.7124353806411618e-14,58.65104856934824,0.9821610323470383,1.7619778078281754e-09
0.07,99999999999.9961,1.8389320448162208e-14,67.82545787758617,0.9792189645518707,2.36705954406316e-09
0.08,99999999999.99472,1.9836567799476326e-14,76.87935023980593,0.9762857097320007,3.0553107236245385e-09
0.09,99999999999.99304,2.146369873384508e-14,85.81401221579443,0.9733612414881853,3.824775694956509e-09
0.1,99999999999.99101,2.326834165117587e-14,94.63071733875691,0.9704455335001966,4.6735837349113445e-09
0.11,99999999999.98862,2.524814988505914e-14,103.33072641350935,0.9675385595262729,5.599940653197276e-09
0.12,99999999999.98578,2.740080190289974e-14,111.91528741568587,0.9646402934033375,6.6021238837647466e-09
0.13,99999999999.98245,2.972400078150324e-14,120.38563575555148,0.9617507090465167,7.678474389716855e-09
0.14,99999999999.9786,3.2215474423310096e-14,128.74299416944453,0.9588697804492723,8.827411915578935e-09
0.15,99999999999.97415,3.4872975504819295e-14,136.98857274581897,0.9559974816833245,1.0047439100169506e-08
0.16,99999999999.96904,3.7694280390164653e-14,145.1235694714081,0.9531337868977676,1.133710338808473e-08
0.17,99999999999.96318,4.0677189209131334e-14,153.1491701921329,0.950278670319094,1.2695006445723167e-08
0.18,99999999999.95654,4.3819525811361894e-14,161.06654863637974,0.9474321062510802,1.4119813977441898e-08
0.19,99999999999.94905,4.711913748303995e-14,168.87686655750696,0.9445940690745327,1.5610250009551923e-08
0.2,99999999999.94061,5.057389451592313e-14,176.58127395046714,0.9417645332469458,1.7165081505544085e-08
0.21,99999999999.93117,5.4181690051726065e-14,184.1809091302154,0.9389434733023223,1.878312104651682e-08
0.22,99999999999.92064,5.794043996124714e-14,191.67689879280184,0.9361308638509762,2.0463233427215074e-08
0.23,99999999999.90894,6.184808254254563e-14,199.0703581671147,0.9333266795792835,2.2204328029504993e-08
0.24,99999999999.896,6.590257822707097e-14,206.36239116263985,0.9305308952494347,2.400535182088325e-08
0.25,99999999999.88171,7.0101909390041e-14,213.5540904649945,0.9277434856992183,2.586529030625497e-08
0.26,99999999999.86603,7.444408021252384e-14,220.64653760555746,0.9249644258418191,2.7783171025702946e-08
0.27,99999999999.84885,7.8927116418892e-14,227.64080309353625,0.9221936906655805,2.975805942539092e-08
0.28,99999999999.83008,8.354906496403687e-14,234.53794657320262,0.9194312552337506,3.178905165395124e-08
0.29,99999999999.80963,8.830799388408742e-14,241.3390168992149,0.9166770946842787,3.3875276956656546e-08
0.3,99999999999.78743,9.320199230878512e-14,248.04505213094342,0.9139311842296612,3.601590686257304e-08
0.31,99999999999.76338,9.822916990352322e-14,254.6570798125493,0.9111934991566117,3.821013768096028e-08
0.32,99999999999.7374,1.0338765670160837e-13,261.176117057552,0.9084640148258517,4.0457191317030854e-08
0.33,99999999999.70937,1.0867560293201378e-13,267.6031706356553,0.9057427066719,4.275631591066201e-08
0.34,99999999999.67921,1.1409117880378333e-13,273.9392370812929,0.9030295502028485,4.510678447804849e-08
0.35000000000000003,99999999999.64685,1.1963257429320132e-13,280.185302800788,0.9003245210001379,4.7507893717157266e-08
0.36,99999999999.61217,1.2529799893372778e-13,286.3423441781279,0.8976275947183366,4.995896297698396e-08
0.37,99999999999.57509,1.3108568169116364e-13,292.4113276380322,0.8949387470849439,5.2459335438038196e-08
0.38,99999999999.53552,1.3699387128241308e-13,298.39320948674697,0.8922579539003385,5.5008390401687505e-08
0.39,99999999999.49335,1.4302083521223853e-13,304.28893639521743,0.8895851910373125,5.7605523844718175e-08
0.4,99999999999.44849,1.4916485976006133e-13,310.09944540621973,0.8869204344409127,6.025015265693722e-08
0.41000000000000003,99999999999.40085,1.5542424988204064e-13,315.82566398394414,0.8842636601282533,6.294171687042802e-08
0.42,99999999999.35033,1.6179732903343631e-13,321.4685101035224,0.8816148441883028,6.567968000472832e-08
0.43,99999999999.29684,1.6828243899457666e-13,327.028892338749,0.8789739627816735,6.84635295966534e-08
0.44,99999999999.2403,1.748779397004314e-13,332.50770994799564,0.8763409921404103,7.129277791476445e-08
0.45,99999999999.18059,1.815822089459242e-13,337.90585302236366,0.8737159085677484,7.416695150677887e-08
0.46,99999999999.11761,1.8839364161807753e-13,343.2242028708289,0.8710986884377483,7.708553860452577e-08
0.47000000000000003,99999999999.0513,1.9531065049327467e-13,348.46363162147316,0.8684893081953369,8.004807534197977e-08
0.48,99999999998.98154,2.0233166579863708e-13,353.62500244172674,0.8658877443560277,8.305412211811107e-08
0.49,99999999998.90825,2.0945513496029152e-13,358.70916966500454,0.8632939735056907,8.610325641605188e-08
0.5,99999999998.83133,2.1667952243521824e-13,363.7169788754777,0.8607079723003427,8.919507290706974e-08
0.51,99999999998.7507,2.2400330954568153e-13,368.6492669915524,0.8581297174659397,9.232918364835628e-08
0.52,99999999998.66624,2.3142499431624223e-13,373.50686234805414,0.8555591857981696,9.550521837463128e-08
0.53,99999999998.57791,2.389430912112234e-13,378.29058482827,0.8529963541622199,9.87228162504353e-08
0.54,99999999998.48557,2.465561306174629e-13,383.0012461235626,0.8504411994924804,1.0198159596660372e-07
0.55,99999999998.38913,2.5426265931229804e-13,387.6396494995313,0.8478936987924974,1.0528120899572883e-07
0.56,99999999998.28853,2.6206124009927573e-13,392.2065899790169,0.8453538291347152,1.0862132236946422e-07
