t,S,R_1,R_2,R_12,P_1,P_2,I_1,I_2,I_12,I_21
0.0,100.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.01,98.05672046478348,0.0004944301524776927,0.0004928307996785623,8.249674277990221e-10,0.9999653544680361,0.9999493402862587,0.9887731588506159,0.9839745379905369,1.6467140083942583e-06,1.6467246367563336e-06
0.02,96.1427689714623,0.0019588463046739074,0.0019461636450698633,1.3125756828131519e-08,1.009706980608069,1.0095798288511966,1.961732144728168,1.942679402084189,1.3104772793197514e-05,1.3105313452588566e-05
0.03,94.23980135648016,0.004371869759232998,0.004329359731002262,6.637268556404083e-08,1.0290654512445967,1.0286387290920083,2.928128774713434,2.885444839690175,4.4285996895826834e-05,4.4291581377227095e-05
0.04,92.33122318905114,0.007720168967182582,0.00761991258139844,2.1042594146976458e-07,1.0579702094226204,1.0569625886577327,3.8963687165168017,3.8205908361364456,0.00010576605046767196,0.00010579565293017791
0.05,90.40199903512651,0.011997078894182106,0.011801909978906315,5.174523622198439e-07,1.0964311847929338,1.0944673001177292,4.874104338030079,4.755536350664695,0.00020935609990443922,0.0002094645318659609
0.06,88.4385227140787,0.017201314092895173,0.016864606742681712,1.0849701672198917e-06,1.1445312281461493,1.1411391413236387,5.868297379918941,5.696876632528243,0.0003686521649325105,0.00036896607745645355
0.07,86.42854053250163,0.02333573185648255,0.02280106344084581,2.0400018842601048e-06,1.2024190811093953,1.1970264988092885,6.885255233154151,6.650433203339843,0.0005995779405145323,0.0006003500444677068
0.08,84.36112075781773,0.030406109659837966,0.029606814741246983,3.544333856442076e-06,1.2703026337614138,1.2622320200628212,7.9306439876565165,7.62128038016851,0.0009209323892678761,0.000922617342540297
0.09,82.2266635031716,0.038419906325780295,0.03727853721726381,5.80090458921254e-06,1.3484422399092406,1.3369049645762052,9.009480970973865,8.613751725647017,0.001354949616588131,0.001358304824472186
0.1,80.01694621023184,0.047384986284495875,0.04581269720236725,9.06135283208391e-06,1.4371439093661273,1.4212335798917626,10.12610902367683,9.631429202685407,0.001927873396316936,0.0019340876349323928
0.11,77.72519943807924,0.057308290110915074,0.05520416376877793,1.3634756028615807e-05,1.5367522014851693,1.515437337988311,11.284155001637844,10.677118036485986,0.0026705453279379718,0.002681397529217673
0.12,75.34620748989128,0.06819444274274554,0.06544478091182258,1.9897583387926505e-05,1.647642678374742,1.6197589066461782,12.486475112496825,11.752810299946777,0.0036190007518245694,0.003637050419240243
0.13,72.87642758790638,0.08004429844301207,0.07652190138160317,2.8304869480664302e-05,1.7702138029393868,1.7344557607283715,13.735090135086057,12.859640582646326,0.004815061599365407,0.004843871038864863
0.14,70.31412077972786,0.09285342963385329,0.08841689300689966,3.940258785560239e-05,1.9048782049024848,1.8597913772835155,15.031113878506945,13.997837276203866,0.006306911215304655,0.006351298119620132
0.15,67.65948507162099,0.10661057751991262,0.10110364042826354,5.384116326558584e-05,2.05205325727399,1.9960259830609033,16.37467962458971,15.16667428040602,0.008149627477768564,0.008215943855081616
0.16,64.91478244062704,0.12129609183327328,0.11454707367497285,7.239000733926898e-05,2.2121509891123905,2.14340689920578,17.764868802759622,16.364427179132683,0.010405649830946873,0.010502080631447754
0.17,62.08444825818356,0.13688039821662834,0.12870176719095128,9.59529076663322e-05,2.3855673765750756,2.302158546042207,19.199647772316624,17.58833940638516,0.013145146546237116,0.013282017694890718
0.18,59.17517109809695,0.15332254266315706,0.14351066335623894,0.00012558402149391828,2.572671120682261,2.472472231248271,20.675818955602278,18.83460403889881,0.016446244783722544,0.01663632618445751
0.19,56.19593077415749,0.1705688736921678,0.15890398508350703,0.00016250413821482918,2.7737920944482988,2.654495911432605,22.188992723220398,20.098366738919292,0.02039508273043802,0.020653867241569934
0.2,53.15798257110188,0.1885519317504616,0.17479840972545097,0.00020811679667274044,2.9892096995095088,2.84832416426182,23.733586472180832,21.37375515303245,0.02508564054348589,0.025431575115045887
0.21,50.0747761924698,0.207189620338266,0.1910965797754466,0.00026402374042563297,3.219141426568128,3.053988649734647,25.30285712989066,22.65393966589249,0.030619308039396727,0.031073948420819907
0.22,46.96180047867867,0.22638473799534636,0.2076870282302725,0.00033203911464537307,3.463731983614674,3.2714493956406727,26.888972117167604,23.93122900705717,0.03710414989134713,0.0376922060769577
0.23,43.836347182503765,0.24602494615283432,0.2244445897809441,0.0004142017441933312,3.723043376226755,3.500587248560991,28.483122703117328,25.197203063059796,0.04465383585894303,0.04540307206646245
0.24,40.71719263788403,0.2659832407768355,0.2412313573248867,0.0005127847413585246,3.9970463797962297,3.7411978659699705,30.07568090942799,26.442882426545882,0.053386216949713655,0.054327168558639304
0.25,37.624199671264044,0.2861189814100497,0.2578982263448804,0.000630301701487758,4.2856138183751,3.9929875911526898,31.656399287547984,27.65893257356746,0.06342154030801932,0.06458701059068786
