t,V,C_1,C_2,C_3,C_4,C_5,C_6_temp
0.0,-0.15,0.0,0.0,0.0,0.0,0.0,0.0
0.01,-0.14799999999999996,5.794785365630623e-13,1.9620522109722762e-13,7.032976656783363e-13,2.2451591391961932e-12,1.3491683315552507e-12,1.4452570803086228e-14
0.02,-0.14599999999999996,5.990454276588872e-13,3.1365942213573756e-13,9.514962029691098e-13,1.868952298382354e-12,1.238349448895309e-12,1.3543521228361055e-14
0.03,-0.14399999999999996,6.892266088485993e-13,3.6038593484261637e-13,9.754311985559827e-13,1.771207150301493e-12,1.1739811881860537e-12,1.3943917748197459e-14
0.04,-0.14199999999999996,7.794077900383115e-13,4.0711244754949523e-13,9.993661941428555e-13,1.673462002220632e-12,1.1096129274767985e-12,1.4344314268033862e-14
0.05,-0.13999999999999999,8.695889712280235e-13,4.538389602563741e-13,1.0233011897297283e-12,1.575716854139771e-12,1.045244666767543e-12,1.4744710787870266e-14
0.06,-0.13799999999999998,9.534874798174871e-13,4.892332325654603e-13,1.0370618386757258e-12,1.494717738710445e-12,9.920015628368391e-13,1.529339152790426e-14
0.07,-0.13599999999999998,1.0207807632040584e-12,4.946761743132151e-13,1.0239314926560863e-12,1.4579787114835072e-12,9.68162463456367e-13,1.6233990330057063e-14
0.08,-0.13399999999999998,1.0880740465906294e-12,5.001191160609699e-13,1.0108011466364465e-12,1.4212396842565696e-12,9.44323364075895e-13,1.7174589132209867e-14
0.09,-0.13199999999999998,1.1553673299772005e-12,5.055620578087246e-13,9.97670800616807e-13,1.3845006570296318e-12,9.20484264695423e-13,1.8115187934362672e-14
0.1,-0.12999999999999998,1.2015856453849167e-12,5.073993770262211e-13,9.897202877703436e-13,1.359604241131963e-12,9.044216122341263e-13,1.8945294243296646e-14
0.11,-0.12799999999999997,1.1796229360867109e-12,4.975719079952879e-13,9.985273962833635e-13,1.3730206414831094e-12,9.13517058236019e-13,1.9417938969488015e-14
0.12,-0.12599999999999997,1.1576602267885053e-12,4.877444389643548e-13,1.0073345047963836e-12,1.3864370418342558e-12,9.22612504237912e-13,1.9890583695679387e-14
0.13,-0.12399999999999997,1.1356975174902997e-12,4.779169699334217e-13,1.0161416133094036e-12,1.3998534421854017e-12,9.317079502398047e-13,2.0363228421870756e-14
0.14,-0.12199999999999997,1.1137348081920942e-12,4.680895009024886e-13,1.0249487218224237e-12,1.413269842536548e-12,9.408033962416975e-13,2.0835873148062128e-14
0.15,-0.11999999999999997,1.0917720988938882e-12,4.582620318715554e-13,1.0337558303354436e-12,1.4266862428876944e-12,9.498988422435904e-13,2.13085178742535e-14
0.16,-0.11799999999999997,1.0698093895956826e-12,4.484345628406223e-13,1.0425629388484636e-12,1.4401026432388404e-12,9.58994288245483e-13,2.178116260044487e-14
0.17,-0.11599999999999996,1.047846680297477e-12,4.3860709380968915e-13,1.0513700473614837e-12,1.4535190435899867e-12,9.680897342473758e-13,2.2253807326636238e-14
0.18,-0.11399999999999999,1.0258839709992714e-12,4.287796247787561e-13,1.0601771558745036e-12,1.4669354439411328e-12,9.771851802492686e-13,2.2726452052827607e-14
0.19,-0.11199999999999999,1.0039212617010659e-12,4.18952155747823e-13,1.0689842643875238e-12,1.480351844292279e-12,9.862806262511614e-13,2.3199096779018976e-14
0.2,-0.10999999999999999,9.819585524028603e-13,4.0912468671688984e-13,1.0777913729005437e-12,1.4937682446434253e-12,9.953760722530543e-13,2.3671741505210348e-14
0.21,-0.10799999999999998,9.599958431046547e-13,3.992972176859568e-13,1.0865984814135636e-12,1.5071846449945713e-12,1.0044715182549469e-12,2.4144386231401717e-14
0.22,-0.10599999999999998,9.380331338064491e-13,3.894697486550236e-13,1.0954055899265838e-12,1.5206010453457176e-12,1.0135669642568399e-12,2.4617030957593086e-14
0.23,-0.10399999999999998,9.160704245082433e-13,3.796422796240905e-13,1.1042126984396039e-12,1.5340174456968638e-12,1.0226624102587325e-12,2.5089675683784455e-14
