t,V,C_1,C_2,C_3,C_4,C_5,C_6_temp
0.0,-0.05,1.505e-08,7.3976e-08,2.4603e-10,3.4444e-10,1.5338e-09,8.484e-09
0.01,-0.05,1.4845752825587314e-08,7.41791559577909e-08,2.465068115367879e-10,3.352323722991096e-10,1.5426047036714528e-09,8.485078986881352e-09
0.02,-0.05,1.5049984558125213e-08,7.39760954916061e-08,2.4602549675197574e-10,3.4443347264927077e-10,1.5338174142517206e-09,8.48403293386678e-09
0.03,-0.05,1.504998762537642e-08,7.397612070143126e-08,2.4602557391005545e-10,3.4443605116190724e-10,1.5338178783913472e-09,8.484046652108057e-09
0.04,-0.05,1.5049990083496365e-08,7.397613410758676e-08,2.460257917614034e-10,3.444365419747031e-10,1.5338194678098697e-09,8.484055575238762e-09
0.05,-0.05,1.5049991642306774e-08,7.397614247047092e-08,2.460260104087277e-10,3.4443684869516196e-10,1.5338207949518098e-09,8.484062090387167e-09
0.06,-0.05,1.5049993201117187e-08,7.397615083335509e-08,2.460262290560521e-10,3.444371554156208e-10,1.53382212209375e-09,8.484068605535572e-09
0.07,-0.05,1.5049994759927597e-08,7.397615919623925e-08,2.460264477033764e-10,3.444374621360797e-10,1.5338234492356901e-09,8.484075120683978e-09
0.08,-0.05,1.5049996318738006e-08,7.397616755912341e-08,2.460266663507007e-10,3.444377688565385e-10,1.53382477637763e-09,8.484081635832383e-09
0.09,-0.05,1.5049997877548416e-08,7.397617592200758e-08,2.46026884998025e-10,3.4443807557699736e-10,1.5338261035195702e-09,8.484088150980789e-09
0.1,-0.05,1.504999943635883e-08,7.397618428489174e-08,2.460271036453493e-10,3.4443838229745623e-10,1.5338274306615104e-09,8.484094666129194e-09
0.11,-0.05,1.5050000175464313e-08,7.397618826966175e-08,2.460272598807555e-10,3.444385827217261e-10,1.5338283046628336e-09,8.484098480221604e-09
0.12,-0.05,1.5050000753890904e-08,7.397619139623204e-08,2.460274038821518e-10,3.4443876230977335e-10,1.5338290898393466e-09,8.484101764851906e-09
0.13,-0.05,1.5050001332317494e-08,7.397619452280232e-08,2.4602754788354805e-10,3.444389418978205e-10,1.5338298750158596e-09,8.484105049482208e-09
0.14,-0.05,1.5050001910744085e-08,7.397619764937261e-08,2.4602769188494436e-10,3.444391214858677e-10,1.5338306601923725e-09,8.48410833411251e-09
0.15,-0.05,1.5050002489170675e-08,7.397620077594289e-08,2.460278358863406e-10,3.444393010739149e-10,1.5338314453688857e-09,8.484111618742812e-09
0.16,-0.05,1.5050003067597266e-08,7.397620390251316e-08,2.4602797988773693e-10,3.444394806619621e-10,1.5338322305453987e-09,8.484114903373114e-09
0.17,-0.05,1.5050003615850663e-08,7.397620686628891e-08,2.4602811705921e-10,3.444396516842591e-10,1.5338329782607489e-09,8.484118025704561e-09
0.18,-0.05,1.505000363962659e-08,7.397620700033198e-08,2.460281355113628e-10,3.4443967381468575e-10,1.5338330748174173e-09,8.484118326919443e-09
0.19,-0.05,1.5050003663402514e-08,7.397620713437505e-08,2.4602815396351563e-10,3.444396959451124e-10,1.5338331713740859e-09,8.484118628134323e-09
0.2,-0.05,1.505000368717844e-08,7.397620726841812e-08,2.460281724156684e-10,3.4443971807553907e-10,1.5338332679307543e-09,8.484118929349205e-09
