t,V,C_1,C_2,C_3,C_4,C_5,C_6_temp
0.0,-0.15,3.923e-09,1.016e-07,1.515e-08,8.912e-10,1.485e-08,3.06798e-09
0.01,-0.1499989999999999,3.923073201098865e-09,1.0160402458432865e-07,1.5150613917328834e-08,8.912034076340777e-10,1.4851657267300202e-08,3.0674354703625808e-09
0.02,-0.14999799999999994,3.923077669627192e-09,1.0160313036820751e-07,1.5150770290931155e-08,8.912168975766076e-10,1.485242700663445e-08,3.0676144151824176e-09
0.03,-0.14999699999999994,3.923085737534484e-09,1.016022392593759e-07,1.5150899990803604e-08,8.91227078384054e-10,1.4853155619567367e-08,3.0677945255482892e-09
0.04,-0.14999599999999993,3.923104900351702e-09,1.016015766064954e-07,1.5150961130314032e-08,8.912320665193252e-10,1.4853672515904772e-08,3.067941857369383e-09
0.05,-0.14999499999999993,3.923132955189073e-09,1.0160109704973151e-07,1.5150967322093937e-08,8.912328929853316e-10,1.4854019731889053e-08,3.068062918812193e-09
0.06,-0.14999399999999996,3.92316308529051e-09,1.016006848883185e-07,1.515097022650919e-08,8.912334468517019e-10,1.485430939530659e-08,3.0681715431296114e-09
0.07,-0.14999299999999996,3.923203045928648e-09,1.0160059197903403e-07,1.5150957558660968e-08,8.912327094121745e-10,1.4854326431915427e-08,3.0682212527192086e-09
0.08,-0.14999199999999996,3.9232430065667845e-09,1.0160049906974956e-07,1.515094489081274e-08,8.912319719726472e-10,1.4854343468524264e-08,3.0682709623088058e-09
0.09,-0.14999099999999996,3.9232829672049215e-09,1.0160040616046507e-07,1.515093222296452e-08,8.912312345331198e-10,1.4854360505133102e-08,3.068320671898403e-09
0.1,-0.14998999999999996,3.923322927843059e-09,1.016003132511806e-07,1.5150919555116292e-08,8.912304970935924e-10,1.4854377541741939e-08,3.068370381488e-09
0.11,-0.14998899999999996,3.923362888481196e-09,1.0160022034189611e-07,1.515090688726807e-08,8.91229759654065e-10,1.4854394578350776e-08,3.0684200910775978e-09
0.12,-0.14998799999999995,3.923402849119334e-09,1.0160012743261164e-07,1.5150894219419842e-08,8.912290222145377e-10,1.4854411614959613e-08,3.068469800667195e-09
0.13,-0.14998699999999995,3.923442809757471e-09,1.0160003452332716e-07,1.515088155157162e-08,8.912282847750103e-10,1.485442865156845e-08,3.068519510256792e-09
0.14,-0.14998599999999995,3.923482770395608e-09,1.0159994161404269e-07,1.5150868883723392e-08,8.912275473354829e-10,1.4854445688177288e-08,3.0685692198463894e-09
0.15,-0.14998499999999995,3.9235227310337455e-09,1.0159984870475821e-07,1.515085621587517e-08,8.912268098959556e-10,1.4854462724786125e-08,3.0686189294359866e-09
0.16,-0.14998399999999995,3.923562691671882e-09,1.0159975579547373e-07,1.5150843548026943e-08,8.912260724564281e-10,1.4854479761394962e-08,3.0686686390255838e-09
0.17,-0.14998299999999995,3.92360265231002e-09,1.0159966288618926e-07,1.515083088017872e-08,8.912253350169008e-10,1.48544967980038e-08,3.068718348615181e-09
0.18,-0.14998199999999995,3.923642612948157e-09,1.0159956997690477e-07,1.5150818212330493e-08,8.912245975773734e-10,1.4854513834612637e-08,3.068768058204778e-09
0.19,-0.14998099999999995,3.923682573586294e-09,1.015994770676203e-07,1.515080554448227e-08,8.91223860137846e-10,1.4854530871221474e-08,3.0688177677943754e-09
0.2,-0.14997999999999995,3.923722534224432e-09,1.0159938415833581e-07,1.5150792876634047e-08,8.912231226983187e-10,1.4854547907830311e-08,3.068867477383973e-09
0.21,-0.14997899999999995,3.923762494862569e-09,1.0159929124905134e-07,1.515078020878582e-08,8.912223852587913e-10,1.4854564944439148e-08,3.06891718697357e-09
0.22,-0.14997799999999994,3.923802455500706e-09,1.0159919833976687e-07,1.5150767540937597e-08,8.912216478192639e-10,1.4854581981047986e-08,3.0689668965631674e-09
0.23,-0.14997699999999994,3.923842416138843e-09,1.0159910543048239e-07,1.515075487308937e-08,8.912209103797366e-10,1.4854599017656823e-08,3.0690166061527646e-09
0.24,-0.14997599999999994,3.92388237677698e-09,1.0159901252119791e-07,1.5150742205241147e-08,8.912201729402091e-10,1.485461605426566e-08,3.0690663157423618e-09
0.25,-0.14997499999999994,3.923922337415118e-09,1.0159891961191343e-07,1.515072953739292e-08,8.912194355006818e-10,1.4854633090874499e-08,3.069116025331959e-09
0.26,-0.14997399999999994,3.923962298053255e-09,1.0159882670262896e-07,1.5150716869544697e-08,8.912186980611545e-10,1.4854650127483336e-08,3.069165734921556e-09
0.27,-0.14997299999999994,3.924002258691393e-09,1.0159873379334447e-07,1.515070420169647e-08,8.91217960621627e-10,1.4854667164092173e-08,3.0692154445111534e-09
0.28,-0.14997199999999994,3.9240422193295296e-09,1.0159864088406e-07,1.5150691533848248e-08,8.912172231820997e-10,1.485468420070101e-08,3.0692651541007506e-09
0.29,-0.14997099999999994,3.9240821799676665e-09,1.0159854797477553e-07,1.515067886600002e-08,8.912164857425722e-10,1.4854701237309848e-08,3.0693148636903478e-09
0.3,-0.14996999999999996,3.924122398731965e-09,1.015984646848852e-07,1.5150667138710454e-08,8.912158005411657e-10,1.4854709354762589e-08,3.06936248084723e-09
0.31,-0.14996899999999996,3.924163064066565e-09,1.0159839803699563e-07,1.5150657038631255e-08,8.912152057141456e-10,1.485470204165907e-08,3.069406477997871e-09
0.32,-0.14996799999999996,3.924203729401166e-09,1.0159833138910606e-07,1.5150646938552056e-08,8.912146108871256e-10,1.485469472855555e-08,3.0694504751485117e-09
0.33,-0.14996699999999996,3.924244394735767e-09,1.0159826474121648e-07,1.515063683847286e-08,8.912140160601055e-10,1.4854687415452031e-08,3.069494472299153e-09
0.34,-0.14996599999999996,3.924285060070368e-09,1.0159819809332691e-07,1.515062673839366e-08,8.912134212330856e-10,1.4854680102348512e-08,3.0695384694497935e-09
0.35000000000000003,-0.14996499999999996,3.924325725404969e-09,1.0159813144543734e-07,1.515061663831446e-08,8.912128264060655e-10,1.4854672789244992e-08,3.0695824666004346e-09
0.36,-0.14996399999999996,3.924366390739569e-09,1.0159806479754776e-07,1.5150606538235262e-08,8.912122315790455e-10,1.4854665476141473e-08,3.0696264637510753e-09
0.37,-0.14996299999999996,3.92440705607417e-09,1.0159799814965819e-07,1.5150596438156066e-08,8.912116367520254e-10,1.4854658163037954e-08,3.0696704609017164e-09
0.38,-0.14996199999999996,3.924447721408771e-09,1.0159793150176863e-07,1.5150586338076867e-08,8.912110419250054e-10,1.4854650849934434e-08,3.069714458052357e-09
0.39,-0.14996099999999996,3.924488386743371e-09,1.0159786485387906e-07,1.5150576237997668e-08,8.912104470979853e-10,1.4854643536830915e-08,3.069758455202998e-09
0.4,-0.14995999999999995,3.924529052077972e-09,1.0159779820598948e-07,1.515056613791847e-08,8.912098522709652e-10,1.4854636223727396e-08,3.069802452353639e-09
0.41000000000000003,-0.14995899999999995,3.924569717412573e-09,1.0159773155809991e-07,1.5150556037839273e-08,8.912092574439452e-10,1.4854628910623876e-08,3.06984644950428e-09
0.42,-0.14995799999999995,3.924610382747174e-09,1.0159766491021034e-07,1.5150545937760074e-08,8.912086626169251e-10,1.4854621597520357e-08,3.0698904466549207e-09
0.43,-0.14995699999999995,3.924651048081775e-09,1.0159759826232076e-07,1.5150535837680875e-08,8.912080677899052e-10,1.4854614284416838e-08,3.0699344438055618e-09
0.44,-0.14995599999999995,3.9246917134163754e-09,1.0159753161443119e-07,1.5150525737601676e-08,8.912074729628851e-10,1.4854606971313319e-08,3.0699784409562024e-09
0.45,-0.14995499999999995,3.924732378750976e-09,1.0159746496654162e-07,1.5150515637522477e-08,8.912068781358651e-10,1.48545996582098e-08,3.0700224381068435e-09
0.46,-0.14995399999999995,3.924773044085577e-09,1.0159739831865206e-07,1.515050553744328e-08,8.91206283308845e-10,1.485459234510628e-08,3.0700664352574842e-09
0.47000000000000003,-0.14995299999999995,3.924813709420177e-09,1.0159733167076248e-07,1.515049543736408e-08,8.91205688481825e-10,1.4854585032002762e-08,3.0701104324081253e-09
0.48,-0.14995199999999995,3.924854374754778e-09,1.0159726502287291e-07,1.5150485337284882e-08,8.912050936548049e-10,1.4854577718899243e-08,3.070154429558766e-09
0.49,-0.14995099999999995,3.924895040089379e-09,1.0159719837498334e-07,1.5150475237205683e-08,8.912044988277848e-10,1.4854570405795724e-08,3.070198426709407e-09
0.5,-0.14994999999999994,3.924935705423979e-09,1.0159713172709376e-07,1.5150465137126487e-08,8.912039040007648e-10,1.4854563092692204e-08,3.070242423860048e-09
0.51,-0.14994899999999997,3.924976370758581e-09,1.0159706507920419e-07,1.5150455037047288e-08,8.912033091737447e-10,1.4854555779588685e-08,3.070286421010689e-09
0.52,-0.14994799999999997,3.9250170360931815e-09,1.0159699843131462e-07,1.515044493696809e-08,8.912027143467247e-10,1.4854548466485166e-08,3.0703304181613296e-09
0.53,-0.14994699999999997,3.925057701427782e-09,1.0159693178342504e-07,1.515043483688889e-08,8.912021195197047e-10,1.4854541153381647e-08,3.0703744153119707e-09
0.54,-0.14994599999999997,3.925098417670253e-09,1.0159686599494527e-07,1.515042495368763e-08,8.912015378371437e-10,1.4854532879873704e-08,3.0704182288496317e-09
0.55,-0.14994499999999997,3.925139174191637e-09,1.0159680088644074e-07,1.5150415242082774e-08,8.91200966554635e-10,1.4854523846482357e-08,3.0704618971105174e-09
0.56,-0.14994399999999997,3.925179930713019e-09,1.0159673577793622e-07,1.5150405530477915e-08,8.912003952721265e-10,1.4854514813091009e-08,3.0705055653714037e-09
0.5700000000000001,-0.14994299999999997,3.9252206872344025e-09,1.0159667066943169e-07,1.515039581887306e-08,8.911998239896178e-10,1.4854505779699662e-08,3.07054923363229e-09
0.58,-0.14994199999999996,3.925261443755786e-09,1.0159660556092716e-07,1.51503861072682e-08,8.911992527071093e-10,1.4854496746308313e-08,3.0705929018931756e-09
0.59,-0.14994099999999996,3.925302200277168e-09,1.0159654045242264e-07,1.5150376395663344e-08,8.911986814246006e-10,1.4854487712916966e-08,3.070636570154062e-09
0.6,-0.14993999999999996,3.925342956798552e-09,1.0159647534391811e-07,1.515036668405849e-08,8.91198110142092e-10,1.4854478679525618e-08,3.070680238414948e-09
0.61,-0.14993899999999996,3.925383713319935e-09,1.0159641023541359e-07,1.515035697245363e-08,8.911975388595834e-10,1.4854469646134271e-08,3.070723906675834e-09
