t,V_A,P_A,f_o,f_c,p_o,p_c,z
0.0,1.0,760.0,0.1368,0.05263,40.0,46.0,4.4219e-07
0.01,1.0319939693282745,759.9342719839307,0.13680715436931418,0.0526214634869012,41.363982687345356,41.07213572355219,0.00013672160113360044
0.02,1.0632389779152167,759.8702284317518,0.1368430838648659,0.052591339861671076,42.80639946731059,37.173436514022846,0.0002585142729494627
0.03,1.0937543072127685,759.8078293801166,0.13690536001936152,0.052541665036090666,44.33649769636608,34.08872824980461,0.000368773095253415
0.04,1.1235587560598372,759.7470356759694,0.1369918085697946,0.052474221246176136,45.96444914645821,31.647611792149835,0.00046983361409577755
0.05,1.1526706524319716,759.6878089891981,0.13710047459692962,0.052390579842166274,47.70134255446284,29.71515815925151,0.000563542550586224
0.06,1.1811078649441025,759.6301118183197,0.13722959364570556,0.052292135292389325,49.55908925645772,28.18454041807234,0.0006513595557433266
0.07,1.208887814071018,759.5739074908059,0.13737756758852734,0.05218013246819712,51.55018680005062,26.97119078111101,0.0007344378885771407
0.08,1.2360274830915212,759.5191601591391,0.13754294430469186,0.05205568869574337,53.6872602745913,26.0081746208583,0.0008136882781457727
0.09,1.262543428763515,759.4658347934657,0.1377244004195088,0.051919811734257124,55.982272386785475,25.242524693084192,0.0008898295176395567
0.1,1.288451791736713,759.4138971714457,0.13792072649656992,0.05177341455637789,58.44526476377138,24.63233607143001,0.0009634285478300262
0.11,1.313768306709398,759.3633138656841,0.13813081419225703,0.05161732759212012,61.08248460450915,24.14446524723088,0.0010349321936007566
0.12,1.338508312335577,759.314052228971,0.1383536449589838,0.05145230895536555,63.893791586729876,23.752707012477575,0.0011046923003597913
0.13,1.36268676088873,759.2660803774403,0.1385882799571483,0.05127905305342019,66.86938505001763,23.436350104203683,0.001172985638937621
0.14,1.3863182276881612,759.2193671717553,0.13883385091512207,0.05109819789029201,69.98619535504048,23.17903316856817,0.0012400296631094269
0.15,1.4094169202938511,759.1738821965955,0.13908955177428828,0.05091033130749022,73.20476915012792,22.96783827844649,0.0013059949871890527
0.16,1.4319966874755232,759.129595739088,0.13935463109186239,0.05071599634559195,76.46799781553027,22.792573099599196,0.0013710152595311008
0.17,1.4540710279615316,759.0864787673636,0.13962838532360314,0.05051569586674794,79.70327088882499,22.645202202023484,0.001435194977799993
0.18,1.4756530989730379,759.0445029108964,0.13991015322997996,0.050309896540938044,82.8290574872954,22.51939653481951,0.0014986156740459642
0.19,1.496755724548736,759.003640444304,0.1401993116506566,0.05009903227531693,85.76527995553661,22.410176976594435,0.0015613408023127033
