t,L_cc
0.0,0.2
0.01,-0.907082739560121
0.02,-2.048712196335975
0.03,-2.1511016088465773
0.04,-2.1897290016804507
0.05,-2.227913592497057
0.06,-2.265659903725923
0.07,-2.3029724220364636
0.08,-2.3100000105465
0.09,5.498129455257837e-298
0.1,5.54459130737645e-288
0.11,3.618637301373699e-308
0.12,1.269305297583364e-277
0.13,1.4407935071451075e-268
0.14,3.6208102940308335e-308
0.15,2.3414550286058825e-258
0.16,3.9170086031016537e-249
0.17,1.05901479114617e-205
0.18,1.1681926692067725e-307
0.19,5.2609419450235535e-292
0.2,2.83945648752215e-234
0.21,1.682790902682845e-239
0.22,2.65851724e-316
0.23,1.740338951567855e-244
0.24,1.1405485936539323e-239
0.25,4.470188148466416e-308
0.26,3.62406961066306e-308
0.27,1.82962484e-316
0.28,5.006518359805351e-308
0.29,5.034326541220237e-298
0.3,3.421964819331288e-210
0.31,4.8404312203046e-311
0.32,1.7877779172924878e-246
0.33,1.9313477316e-314
0.34,5.3869000497278e-310
0.35000000000000003,0.0
0.36,4.172013485996166e-309
0.37,-1.5573760615474405e-207
0.38,4.94365255701597e-310
0.39,6.136366831622158e-92
0.4,2.853678318661904e-82
0.41000000000000003,1.15102e-319
0.42,7.229511419054993e+221
0.43,3.275707578835604e-309
0.44,6.136366831622158e-92
0.45,7.827830443433546e+221
0.46,6.057049901969615e-309
0.47000000000000003,6.136366831622158e-92
0.48,8.279686465957518e+221
0.49,9.838442876510267e-121
0.5,8.283448923862658e+91
0.51,4.0812731492810116e+101
0.52,6.518516071731622e+91
0.53,2.1195182091255e-310
0.54,1.2742886813323494e-120
0.55,8.283486223105388e+91
0.56,4.956173439194219e+101
0.5700000000000001,6.51851607258534e+91
0.58,2.12185240449587e-310
0.59,1.67724713653455e-120
0.6,7.46871534835478e+91
0.61,7.112665950666194e+101
0.62,6.518516073344192e+91
0.63,2.12312560197085e-310
0.64,2.354950721790971e-120
0.65,7.468758864137966e+91
0.66,9.212426646457883e+101
0.67,6.518516072585337e+91
0.68,2.12376219423257e-310
0.6900000000000001,1.8708767325475135e-120
0.7000000000000001,8.28359812083358e+91
0.71,1.0962227226284308e+102
0.72,6.518516072775051e+91
0.73,2.1256719969205e-310
0.74,3.741753465365524e-120
0.75,7.061420050816075e+91
0.76,9.034756889581367e+115
0.77,2.8523837092236615e+68
0.78,3.813914233832083e+180
0.79,3.655882806757633e+233
0.8,6.109420750842446e+223
0.81,6.196373923750188e+223
