t,dPsi,H_x,NADH_x,Pi_x,QH2,Cred,O2,ADP_mx,ATP_mx,ATP_x,Mg_x,ADP_x,ATP_i,ATP_mi,ADP_i,ADP_mi,AMP_i,Pi_i,K_x
0.0,160.0,6.30957344480193e-08,0.0015,0.001,0.0008,0.001,2.6e-05,0.0,0.0,0.0,0.005,0.01,0.0,0.0,0.0,0.0,0.0,0.001,0.14
0.01,146.16493663590137,6.259941935282569e-08,0.0012288785045463432,0.0003422536868921176,0.001046949746767022,0.00041208931461933084,2.6e-05,0.004239598955455577,0.0004795050494736828,0.0005673766284351792,0.00028089599507073385,0.009432623371564822,0.0,0.0,0.0,0.0,0.0,0.00012664300501781284,0.13920324422134664
0.02,152.4241593947314,6.521944688218406e-08,0.00120168787414462,0.0002170251254547077,0.0010645349032210485,0.0003640576184697481,2.6e-05,0.004133532229873682,0.0005918020585196295,0.0006587187474738665,0.00027466571160668113,0.009341281252526135,0.0,0.0,0.0,0.0,0.0,0.00012574319089393357,0.138541995285885
0.03,156.525967823304,6.754010579663922e-08,0.0011996978309171769,0.00015909174122594156,0.0010629670322998325,0.0003317561195643581,2.6e-05,0.00409033363427846,0.0006375256681258971,0.00070158561201906,0.0002721406975956351,0.009298414387980942,0.0,0.0,0.0,0.0,0.0,0.00012530750377339907,0.13807481862763393
0.04,159.32225821456055,6.92807758046309e-08,0.0012052979971846301,0.00012851313041235924,0.0010564976866297507,0.0003100656921366335,2.6e-05,0.004066057453244157,0.0006632184402522497,0.0007269004136313393,0.00027072410650358684,0.009273099586368665,0.0,0.0,0.0,0.0,0.0,0.0001250667566521911,0.13776111186237808
0.05,161.2130700717201,7.050722074745053e-08,0.0012139371637519814,0.00011139503258309258,0.0010483804789275075,0.0002953707328648874,2.6e-05,0.0040499264816241205,0.0006802895063172462,0.0007443125248394161,0.00026978401205862706,0.009255687475160593,0.0,0.0,0.0,0.0,0.0,0.00012492694394643269,0.13755783708010694
0.06,162.48298037955593,7.134218026438076e-08,0.00122387619653613,0.00010146209903654464,0.0010397593047986394,0.00028519708529509027,2.6e-05,0.004037745564944076,0.0006931795884586977,0.0007578108858238252,0.00026907484659722066,0.009242189114176184,0.0,0.0,0.0,0.0,0.0,0.0001248435519528936,0.13743050996342387
0.07,163.33816955838049,7.189878705087572e-08,0.0012343176568086454,9.555919106399326e-05,0.001031127288569802,0.00027794920790674357,2.6e-05,0.004027617843009451,0.0007038965159140199,0.0007692464179793387,0.00026848564107652086,0.00923075358202067,0.0,0.0,0.0,0.0,0.0,0.00012479298862799913,0.1373539937924904
0.08,163.92227067107538,7.22649406006174e-08,0.0012448574916187147,9.199372057145688e-05,0.0010227202497906677,0.00027261167410803564,2.6e-05,0.004018612117991868,0.0007134259401775229,0.0007795436606135622,0.00026796194183060015,0.009220456339386448,0.0,0.0,0.0,0.0,0.0,0.00012476199949918636,0.137310844029683
0.09,164.33176179817116,7.250386042973193e-08,0.001255281005384616,8.981565764491256e-05,0.0010146540748227724,0.0002685381801952365,2.6e-05,0.004010242826359793,0.0007222818093325728,0.0007891911459355708,0.00026747536430762507,0.00921080885406444,0.0,0.0,0.0,0.0,0.0,0.00012474286579499376,0.13728930415949814
