t,NAn,GLCn,G6Pn,F6Pn,GAPn,PEPn,PYRn,LACn,NADHn,ATPn,PCrn,O2n,GLUn,NAg,GLCg,G6Pg,F6Pg,GAPg,PEPg,PYRg,LACg,NADHg,ATPg,PCrg,O2g,GLYg,GLUg,GLCe,LACe,GLUe,O2c,GLCc,LACc,CO2c,Vv,dHb
0.0,15.533,0.2633,0.7275,0.1091,0.0418,0.0037,0.0388,0.3856,0.0319,2.2592,4.2529,0.0975,3.0,13.36,0.1656,0.7326,0.1116,0.0698,0.0254,0.1711,0.4651,0.0445,2.24,4.6817,0.1589,2.5,0.0,0.3339,0.3986,0.0,7.4201,4.6401,0.3251,2.12,0.0237,0.0218
0.01,15.533000036031634,0.26329997738866995,0.7274999809428128,0.10910004684961803,0.04179993403418237,0.0036998236398882393,0.038801093060771535,0.3855999070726986,0.03190091670065976,2.259190493901457,4.252899695387996,0.09750235700972593,3.0,13.360000196430006,0.16560002676664531,0.7325998120308345,0.11160012713314105,0.06979967452369552,0.025399821164804805,0.17110013296327387,0.4651004423012689,0.044499954128078695,2.240001895227269,4.6816991023690315,0.15890051538038977,2.5000005566005066,0.0,0.3338998954161463,0.3985999537694501,0.0,7.420066011879408,4.640101050520936,0.3251024977844969,2.1198183992856516,0.02369994568876552,0.021799960355959415
0.02,15.533000074492296,0.2632999548846968,0.7274999621785012,0.10910009263934117,0.041799865804520143,0.0036996494332584423,0.03880189497325061,0.3855998176495,0.03190154440650904,2.259184943467158,4.252899375333884,0.0975038278613525,3.0,13.360000392570345,0.16560005332509684,0.7325996257296812,0.11160025287974669,0.0697993503470207,0.02539964266639839,0.17110026478753473,0.4651008837352995,0.04449990745393312,2.2400037852583683,4.681698207211358,0.15890100558847414,2.5000011132008972,0.0,0.3338997910312948,0.3985999082227231,0.0,7.420036131100252,4.640102054907418,0.32510487036253133,2.119713834845335,0.023699891407149294,0.02179992450164353
0.03,15.533000114365121,0.26329993240734817,0.7274999437786294,0.10910013761818614,0.04179979675418337,0.003699478280156215,0.03880252396251975,0.38559973079370413,0.03190200224267596,2.2591817019107063,4.252899046318134,0.09750477744413298,3.0,13.36000058842178,0.16560007967672705,0.7325994410796218,0.11160037725523031,0.06979902746302441,0.025399464507257725,0.1711003954902567,0.465101324289797,0.04449985999751444,2.2400056701076703,4.681697314520196,0.15890147324499676,2.5000016698011724,0.0,0.33389968684404736,0.39859986333755343,0.0,7.420009702020638,4.640103015177921,0.3251071240017916,2.1196542211411664,0.02369983715513503,0.021799891967695446
0.04,15.533000155056431,0.26329990990980545,0.7274999257826411,0.10910018193372503,0.04179972771890352,0.003699310655130801,0.03880304896371263,0.3855996459502257,0.03190235961884343,2.259179809956263,4.252898712124199,0.0975054186644039,3.0,13.360000783985058,0.165600105822902,0.7325992580639248,0.11160050027483112,0.06979870586483111,0.02539928668979115,0.1711005250885702,0.4651017639527935,0.04449981177836136,2.2400075497897003,4.68169642428878,0.1589019205880069,2.5000022264013326,0.0,0.33389958285293614,0.3985998190916928,0.0,7.419986238666568,4.640103933262117,0.32510926465464735,2.1196208641530636,0.023699782932706446,0.021799862354833045
0.05,15.5330001962186,0.26329988736496474,0.7274999082113336,0.10910022567452028,0.04179965918138729,0.003699146786824925,0.038803510358174524,0.38559956278602386,0.031902657144999444,2.2591787066036435,4.25289837496744,0.09750587634862536,3.0,13.360000979260926,0.1656001317649816,0.7325990766660381,0.11160062195361932,0.06979838554563814,0.025399109216340476,0.17110065359927465,0.4651022027126368,0.0444997628156151,2.240009424319102,4.681695536510363,0.15890234956446458,2.5000027830013787,0.0,0.33389947905647216,0.3985997754633715,0.0,7.419965363752691,4.640104811005446,0.3251112979762213,2.119602829993227,0.023699728739847287,0.021799835316846258
0.06,15.533000237649068,0.263299864757342,0.7274998910745368,0.10910026889431822,0.04179959141632497,0.0036989867603671664,0.038803931725146325,0.38559948109912845,0.031902918485513486,2.259178065195274,4.25289803613873,0.09750622346708013,3.0,13.36000117425013,0.16560015750431945,0.73259889686959,0.1116007423064976,0.06979806649871484,0.025398932089182154,0.17110078103884555,0.46510264055798534,0.04449971312802771,2.2400112937106194,4.681694651178217,0.15890276188805877,2.5000033396013115,0.0,0.33389937545317294,0.39859973243154656,0.0,7.419946773098282,4.640105650172559,0.3251132293383848,2.1195937515840164,0.02369967457654129,0.021799810549896236
0.07,15.533000279228553,0.26329984207812096,0.7274998743758121,0.10910031162685238,0.04179952457909743,0.0036988305799722596,0.038804327009233607,0.3855994007629753,0.031903157589205866,2.2591776934272185,4.252897696398208,0.09750650323179323,3.0,13.36000136895341,0.1656001830422624,0.7325987186583852,0.11160086134820313,0.0697977487174013,0.025398755310528622,0.17110090742344258,0.465103077477801,0.0444996627339712,2.2400131579790723,4.681693768285636,0.15890315908104372,2.5000038962011324,0.0,0.33389927204157815,0.39859968997602907,0.0,7.419930212909856,4.640106452450944,0.32511506384428623,2.1195898804215663,0.023699620442772212,0.021799787784805753
0.08,15.533000320887647,0.26329981932247454,0.727499858114992,0.10910035389384845,0.04179945875373474,0.0036986782027433303,0.03880470438769555,0.38559932169630345,0.03190338259043887,2.259177479397799,4.252897356188191,0.09750674102305532,3.0,13.360001563371512,0.16560020838015058,0.7325985420164035,0.11160097909330938,0.06979743219510737,0.025398578882529586,0.17110103276891636,0.4651035134613433,0.04449961165144592,2.2400150171393447,4.68169288782593,0.1589035425028359,2.500004452800842,0.0,0.33389916882025716,0.39859964807752907,0.0,7.419915466623246,4.640107219454306,0.3251168063417968,2.119589035171091,0.02369956633852381,0.02179976678181583
0.09,15.533000362585927,0.26329979648789187,0.7274998422897673,0.10910039571002773,0.04179939398288805,0.003698529559760536,0.03880506868484695,0.38559924384433714,0.03190359824460748,2.2591773579249885,4.252897015766243,0.097506951837327,3.0,13.360001757505174,0.1656002335193171,0.7325983669277979,0.11160109555622794,0.06979711692531146,0.025398402807273252,0.17110115709081528,0.4651039484981633,0.0444995598980885,2.2400168712063677,4.681692009792429,0.15890391337193796,2.50000500940044,0.0,0.33389906578781375,0.39859960671766675,0.0,7.419902346086704,4.640107952725725,0.32511846143604084,2.119589945196328,0.02369951226377986,0.021799747326579775
