t,F6P,F26P,GAP,PYR,LAC,ATP,PCr
0.0,0.2,0.001,0.0405,0.1,0.5,2.402,18.14
0.01,0.20003431321927925,0.001,0.04049289298939218,0.10001644823249478,0.5,2.401749539970724,18.14
0.02,0.20006821660986535,0.001,0.04048625421321578,0.10003275959516698,0.5,2.4015007097499517,18.14
0.03,0.2001017134942287,0.001,0.04048007728734488,0.10004893941205573,0.5,2.4012535008384233,18.14
0.04,0.20013480767519407,0.001,0.04047435492554824,0.10006499370548262,0.5,2.401007903852207,18.14
0.05,0.2001675011752607,0.001,0.04046908330734852,0.10008092548757289,0.5,2.4007639146949904,18.14
0.06,0.20019979794807977,0.001,0.04046425489064849,0.10009674090389818,0.5,2.400521524152837,18.14
0.07,0.20023170175619404,0.001,0.04045986248639109,0.10011244584321388,0.5,2.4002807232685606,18.14
0.08,0.2002632163621463,0.001,0.04045589890551923,0.10012804619427533,0.5,2.400041503084974,18.14
0.09,0.20029434552847933,0.001,0.040452356958975845,0.10014354784583791,0.5,2.39980385464489,18.14
0.1,0.2003250926578874,0.001,0.04044923021123859,0.10015895591621395,0.5,2.3995677707548864,18.14
0.11,0.2003554602154743,0.001,0.04044651419013131,0.10017427351631485,0.5,2.399333248817056,18.14
0.12,0.2003854514125815,0.001,0.04044420286083076,0.10018950535476273,0.5,2.3991002825758745,18.14
0.13,0.20041506952271076,0.001,0.04044229005834818,0.10020465627326595,0.5,2.3988688654711448,18.14
0.14,0.2004443178193639,0.001,0.04044076961769481,0.1002197311135329,0.5,2.398638990942671,18.14
0.15,0.20047319957562418,0.001,0.0404396353750248,0.10023473471557685,0.5,2.398410652435389,18.14
0.16,0.20050171786700988,0.001,0.040438881706177605,0.10024967111898163,0.5,2.398183845818444,18.14
0.17,0.20052987572492495,0.001,0.040438503107498844,0.10026454418460348,0.5,2.3979585675022808,18.14
0.18,0.20055767630912305,0.001,0.04043849372472341,0.10027935829330377,0.5,2.397734812322439,18.14
0.19,0.20058512277935783,0.001,0.0404388477035862,0.10029411782594384,0.5,2.397512575114459,18.14
0.2,0.20061221829538303,0.001,0.040439559189822116,0.10030882716338509,0.5,2.3972918507138803,18.14
0.21,0.20063896542440704,0.001,0.040440623990759185,0.10032348819021365,0.5,2.3970726409116434,18.14
0.22,0.20066536852738856,0.001,0.04044203288375826,0.10033811034772866,0.5,2.3968549264433316,18.14
0.23,0.20069142955885225,0.001,0.04044378339421231,0.10035269293940126,0.5,2.396638716291677,18.14
0.24,0.2007171516439853,0.001,0.04044586976478616,0.10036724020047132,0.5,2.3964240056979653,18.14
0.25,0.20074253788985405,0.001,0.04044828628895869,0.10038175628983871,0.5,2.39621079011619,18.14
0.26,0.20076759138540382,0.001,0.04045102731102291,0.1003962452900633,0.5,2.3959990652130534,18.14
0.27,0.200792315141097,0.001,0.04045408740448588,0.10041071093839755,0.5,2.395788827521458,18.14
0.28,0.2008167120337039,0.001,0.04045746153523996,0.10042515638077873,0.5,2.3955800750382212,18.14
0.29,0.20084078502010422,0.001,0.040461144429671296,0.10043958512451005,0.5,2.3953728049093974,18.14
0.3,0.20086453703711968,0.001,0.04046513087070489,0.10045400059192384,0.5,2.395167014514718,18.14
0.31,0.20088797099636355,0.001,0.04046941571302723,0.10046840609743075,0.5,2.394962701523354,18.14
0.32,0.20091108978424047,0.001,0.04047399388308629,0.10048280484751979,0.5,2.3947598638939147,18.14
0.33,0.20093389626194658,0.001,0.04047886037909156,0.10049719994075829,0.5,2.39455849987445,18.14
0.34,0.20095639326546952,0.001,0.04048401027101402,0.10051159436779196,0.5,2.3943586080024466,18.14
0.35000000000000003,0.20097858360558826,0.001,0.04048943870058615,0.10052599101134485,0.5,2.3941601871048337,18.14
0.36,0.20100047013266087,0.001,0.04049514071618246,0.1005403928890121,0.5,2.3939632354039313,18.14
0.37,0.20102205578079937,0.001,0.040501111160233326,0.10055480331880727,0.5,2.393767749907854,18.14
0.38,0.2010433433616763,0.001,0.040507345194736706,0.10056922514644667,0.5,2.393573729255908,18.14
0.39,0.20106433566480741,0.001,0.04051383804567419,0.10058366112116159,0.5,2.393381172334727,18.14
0.4,0.20108503546156395,0.001,0.04052058499278515,0.10059811391073441,0.5,2.3931900782229025,18.14
0.41000000000000003,0.20110544550517273,0.001,0.04052758136956675,0.10061258610149867,0.5,2.3930004461909813,18.14
