t,F6P,F26P,GAP,PYR,LAC,ATP,PCr
0.0,0.2,0.001,0.0405,0.1,0.5,2.402,18.14
0.01,0.20003431309172753,0.001,0.04049306340779918,0.10001627835570007,0.5,2.401749222934577,18.14
0.02,0.20006821612318143,0.001,0.04048655030408704,0.10003246556549072,0.5,2.401500151628374,18.14
0.03,0.20010171247800634,0.001,0.04048045494759599,0.10004856603762168,0.5,2.4012527783051727,18.14
0.04,0.2001348060302546,0.001,0.04047477077931628,0.10006458475403845,0.5,2.401007094375411,18.14
0.05,0.20016749883738064,0.001,0.04046949435465876,0.10008052418097382,0.5,2.4007630961152464,18.14
0.06,0.2001997949189058,0.001,0.040464618891525354,0.10009638938010258,0.5,2.4005207751135993,18.14
0.07,0.2002316980991205,0.001,0.04046013792897313,0.10011218520546498,0.5,2.4002801231896718,18.14
0.08,0.2002632122023151,0.001,0.040456045006059184,0.10012791651110134,0.5,2.400041132162664,18.14
0.09,0.20029434105278004,0.001,0.040452333661840596,0.10014358815105188,0.5,2.399803793851776,18.14
0.1,0.2003250882551544,0.001,0.04044899783667636,0.10015920458215254,0.5,2.3995681010556487,18.14
0.11,0.20035545632185808,0.001,0.04044603346640552,0.10017476828613414,0.5,2.3993340514431996,18.14
0.12,0.20038544845128836,0.001,0.04044343523358916,0.10019028298520881,0.5,2.399101639624528,18.14
0.13,0.20041506798180675,0.001,0.0404411975650744,0.10020575265469163,0.5,2.398870859585623,18.14
0.14,0.20044431825177475,0.001,0.04043931488770834,0.10022118126989772,0.5,2.3986417053124742,18.14
0.15,0.2004732025995539,0.001,0.04043778162833808,0.1002365728061422,0.5,2.3984141707910718,18.14
0.16,0.20050172426351479,0.001,0.04043659244650929,0.10025193087951313,0.5,2.3981882511149073,18.14
0.17,0.20052988627639384,0.001,0.040435742480319295,0.10026725836733742,0.5,2.3979639436550872,18.14
0.18,0.20055769185205963,0.001,0.04043522644633484,0.10028255879767717,0.5,2.39774124377649,18.14
0.19,0.20058514421472548,0.001,0.04043503903704849,0.10029783573575893,0.5,2.3975201467294145,18.14
0.2,0.2006122465886047,0.001,0.04043517494495277,0.10031309274680926,0.5,2.3973006477641605,18.14
0.21,0.20063900219791062,0.001,0.04043562886254025,0.10032833339605471,0.5,2.3970827421310275,18.14
0.22,0.20066541370801652,0.001,0.0404363968244622,0.10034355916218958,0.5,2.396866430880662,18.14
0.23,0.20069148516086346,0.001,0.04043747155928523,0.10035877666357765,0.5,2.3966517007759536,18.14
0.24,0.2007172188882192,0.001,0.0404388499028767,0.10037398613333538,0.5,2.3964385563301276,18.14
0.25,0.2007426180706581,0.001,0.040440526652536134,0.10038919097375544,0.5,2.3962269932464233,18.14
0.26,0.20076768587094604,0.001,0.04044249664833371,0.10040439452063886,0.5,2.3960170074129197,18.14
0.27,0.20079242543164055,0.001,0.04044475477924032,0.10041960003383685,0.5,2.3958085949247123,18.14
0.28,0.2008168397384262,0.001,0.04044729633224074,0.10043481015860088,0.5,2.395601753346876,18.14
0.29,0.20084093176685378,0.001,0.04045011661748495,0.10045002750394025,0.5,2.3953964803584005,18.14
0.3,0.20086470453154495,0.001,0.04045321084259361,0.10046525483655722,0.5,2.3951927732974734,18.14
0.31,0.20088816102215498,0.001,0.040456574276242836,0.10048049482845064,0.5,2.39499062975327,18.14
