t,F6P,F26P,GAP,PYR,LAC,ATP,PCr
0.0,0.2,0.001,0.0405,0.1,0.5,2.402,18.14
0.01,0.20003437124893908,0.001,0.040492976187510556,0.10000598865051406,0.5,2.401890759612766,18.14
0.02,0.20006845030150988,0.001,0.04048619931418962,0.10001156702827259,0.5,2.401786763780209,18.14
0.03,0.2001022443738158,0.001,0.040479658476810246,0.10001675818573262,0.5,2.401687705521833,18.14
0.04,0.20013575701037722,0.001,0.040473348351984045,0.10002157326185954,0.5,2.4015934371532164,18.14
0.05,0.20016899541974342,0.001,0.0404672580900059,0.10002603504402073,0.5,2.40150365607353,18.14
0.06,0.20020196526051295,0.001,0.04046137922573869,0.10003016116719057,0.5,2.401418128964397,18.14
0.07,0.20023467112025511,0.001,0.040455704953186955,0.10003396564679096,0.5,2.401336671373721,18.14
0.08,0.2002671180406388,0.001,0.04045022778273173,0.10003746394582448,0.5,2.4012590795649666,18.14
0.09,0.20029931062846437,0.001,0.04044494094335564,0.10004066986032166,0.5,2.4011851728935016,18.14
0.1,0.20033125354083836,0.001,0.040439837581139886,0.10004359738413345,0.5,2.4011147679457485,18.14
0.11,0.20036295120438827,0.001,0.04043491122342584,0.10004625963647276,0.5,2.4010476933733136,18.14
0.12,0.20039440784143303,0.001,0.04043015573571267,0.1000486689621561,0.5,2.4009837885051875,18.14
0.13,0.20042562758579296,0.001,0.04042556513267778,0.10005083738684797,0.5,2.400922896981205,18.14
0.14,0.2004566143683082,0.001,0.04042113376507003,0.10005277616752929,0.5,2.4008648730360895,18.14
0.15,0.2004873719283763,0.001,0.04041685630051409,0.10005449583562956,0.5,2.40080958090804,18.14
0.16,0.20051790389037832,0.001,0.04041272759882546,0.10005600650245448,0.5,2.4007568905379415,18.14
0.17,0.20054821390078312,0.001,0.04040874248665546,0.10005731839371172,0.5,2.400706670114334,18.14
0.18,0.20057830531735057,0.001,0.04040489626834059,0.10005844063781323,0.5,2.4006588029729534,18.14
0.19,0.20060818133533326,0.001,0.040401184518320116,0.1000593817575881,0.5,2.400613180740443,18.14
0.2,0.20063784520395272,0.001,0.04039760272259456,0.10006015050856709,0.5,2.4005696916728927,18.14
0.21,0.20066730004595026,0.001,0.04039414657763482,0.10006075518028934,0.5,2.4005282303750097,18.14
0.22,0.20069654882374394,0.001,0.040390812046442764,0.10006120346526207,0.5,2.400488699622955,18.14
0.23,0.20072559440608892,0.001,0.0403875952483079,0.10006150271967612,0.5,2.400451006725042,18.14
0.24,0.20075443960548658,0.001,0.04038449239713765,0.10006166011259765,0.5,2.400415061425392,18.14
0.25,0.20078308710758996,0.001,0.04038149991783448,0.1000616823444281,0.5,2.4003807798599572,18.14
0.26,0.20081153948311922,0.001,0.04037861442698938,0.10006157569561683,0.5,2.4003480838665388,18.14
0.27,0.20083979931603937,0.001,0.040375832518017636,0.1000613465252373,0.5,2.4003168940373527,18.14
0.28,0.20086786903168077,0.001,0.040373151049334303,0.10006100060261436,0.5,2.400287139031591,18.14
