t,Q_Pd,Q_Ma,Q_Mc,Q_Ps,Q_Pu,Q_Am,Q_Li,Q_Sd,Q_Fd,Q_Fu,Q_Ha,Q_Hc,Q_As,Q_Ac,Q_Pr,Q_Bu,Q_Vl
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.01,0.9892155181321597,1.4160093512494372,1.1412788492501342,0.9898457911033741,0.9901403802636743,0.9603275510575351,0.9900651954532469,0.9882663464582884,0.9888690809399674,0.9901115247815515,0.9892156873357331,0.9895378413890953,1.0590035590972806,0.9715973278762269,0.9715655771013546,0.9715447406569199,0.9715288652715215
0.02,0.978267170063905,2.063406001730925,1.301488131431539,0.9797009644037606,0.9803788653812713,0.9208157458836166,0.9802294348010555,0.9758515630057591,0.9776927200343979,0.9803214415338657,0.9780942535742827,0.9790892311990789,1.1475568434013201,0.9446067618839934,0.9445437638082235,0.9445024213340082,0.9444709223129535
0.03,0.9670274591739164,3.099497984171389,1.4824268321563503,0.9695213206337823,0.9707144791948084,0.8813537792759604,0.9704918432853238,0.9623045414049406,0.9664535588420095,0.9706287712421037,0.9663757828850666,0.9686393727710184,1.2828310583939018,0.9195099739988961,0.9194162392557655,0.9193547258758247,0.9193078585627911
0.04,0.9552855439946552,4.800636207431218,1.6854550750965231,0.9592336502438357,0.9611462552576128,0.841761378974066,0.9608516321328253,0.9468636327670195,0.9551335380877156,0.9610325446311592,0.9536147534205,0.9581718598916803,1.4940030866185972,0.8971164483999696,0.8969924934551688,0.8969111481328338,0.8968491708030064
0.05,0.9426860147117881,7.647618589142519,1.9109382916776803,0.9487136133514805,0.9516732367393175,0.8017374910676941,0.9513081557372477,0.9282294171660866,0.9437147745783744,0.9515318020703741,0.9390352799542359,0.9476689647320256,1.8312652202928508,0.8788075696748117,0.8786539136904061,0.8785530771708568,0.8784762494635934
0.06,0.9286293080271784,12.44328929082959,2.1574593511233635,0.9377484418309543,0.9422944763301765,0.7607760435248533,0.9418610058875526,0.9042021517142758,0.9321811149569283,0.9421255934775753,0.9212837319484681,0.9371123519194267,2.3806357374062705,0.8669344221783153,0.8667515805126378,0.8666315910563401,0.8665401707239966
0.07,0.9121312599241422,20.414874590481276,2.42112005305594,0.9259806182357643,0.9330090361463332,0.7180449452100922,0.9325101478382444,0.8711949704535367,0.920520413712897,0.932812978224065,0.8980430257155376,0.9264843396917674,3.2852559991004666,0.8653797147416505,0.8651681866549971,0.8650293719660866,0.8649236087223632
0.08,0.8916755948492969,33.18216327192085,2.695752275676915,0.9128381134183307,0.9238159876360312,0.6722527784076161,0.9232560721891829,0.8238063977473215,0.9087269616262548,0.923593025040557,0.8655076802996767,0.9157695019246398,4.768892640423076,0.8801564089653341,0.8799166569023281,0.8797593205247757,0.8796394456756952
0.09,0.8651450700920561,52.49930543270006,2.9746821179549174,0.8974710152063065,0.9147144114867587,0.6215688429826286,0.9140998923870688,0.7549105093524182,0.8968026720765397,0.9144648119240497,0.8177375538093447,0.9049558512697272,7.1501514500901,0.9197379570012261,0.91947037748961,0.9192947796962911,0.9191609915724304
0.1,0.8299172733638118,79.90279000277403,3.253117045844112,0.8787131808746242,0.9057033975333161,0.5636628373951961,0.9050433216880435,0.6568885977381598,0.8847558526155684,0.9054274260456247,0.7457337468458848,0.894034749086802,10.83586957842904,0.9948585571312121,0.9945634507515009,0.9943697888209153,0.9942222377416999
0.11,0.7831279737737221,116.52469065243926,3.529242985033079,0.8550679894220496,0.8967820446667989,0.4958710022471696,0.8960885461681779,0.5246861334423683,0.8725981583565189,0.8964799636591632,0.6355908033966692,0.8829995739598354,16.292717538492926,1.1178347685702006,1.1175123247440435,1.117300722967304,1.1171395036217633
0.12,0.7220583166780221,163.0475820895614,3.803618926114627,0.8247775869070308,0.887949460744486,0.4155231698570377,0.8872380646729002,0.36202138161093184,0.860341590152081,0.8876215300109698,0.46467777235460606,0.8718440672047824,23.99150438291569,1.3014010027865919,1.3010513135737065,1.300821832312248,1.3006469906619718
0.13,0.6447465636223174,218.9548439616146,4.078046351328982,0.7869813056742923,0.8792047625006245,0.32133378383981004,0.8784944432081305,0.19276005770654708,0.8479967017144375,0.878851239250298,0.20048280702654714,0.8605611284374791,34.169859680023954,1.554373245627537,1.553996347609524,1.5537490107984429,1.5535605650416024
0.14,0.5531958183558425,258.721254114575,4.35628366489522,0.7768944271540738,0.8705470754581032,0.25391805814049123,0.8698574330117567,0.06871917539582603,0.8355715847284008,0.8701682143407634,0.004111532251424292,0.8491421036254753,41.568030945092296,1.835551772680141,1.835147710697349,1.83488254769685,1.8346805201678518
0.15,0.46232424860502386,264.79441103735564,4.649356700130332,0.8107914411489454,0.8619755338410032,0.25281313490376284,0.8613130884577265,0.018488745569387878,0.8230671359232773,0.86157158697264,0.0011023120682207366,0.8375737285592827,42.369746754338856,2.127293381256983,2.1268622628017,2.1265793441093366,2.1263637884970494
0.16,0.378541626579741,265.9280526458992,4.962121019991586,0.8434914973906054,0.8534892804880174,0.2641219067002426,0.8528549186918318,0.004493699981738477,0.8104765409049868,0.8530604974760237,0.0002843410884050666,0.8258366133700884,42.29248873751958,2.442604556390224,2.4421465223377776,2.4418459403701838,2.4416169270698886
0.17,0.30356598180385863,265.58721608152786,5.296611612121922,0.869325435440459,0.8450874667667412,0.2789225809644839,0.8444809953075139,0.0010874294282501784,0.7977912988455084,0.8446340947348749,8.597569460735627e-05,0.81390855309564,41.96633032912435,2.7783434886993783,2.7778587044226524,2.7775405676812466,2.7772981793475533
0.18,0.23818260916349845,264.8757999444075,5.654499482713095,0.886319563385325,0.8367692524888005,0.2943442736105398,0.8361901857633922,0.00028707021807500917,0.7850023869304308,0.8362915361018971,3.9340175557914024e-05,0.8017652866772257,41.58225829051879,3.1338836998091644,3.1333723495311983,3.1330367788937568,3.1327811076141963
0.19,0.18270704127136034,264.0785435675138,6.037421799180326,0.8938632568488223,0.8285338058258346,0.30965895817707506,0.827981591446222,0.00010006257936742742,0.7721005412067737,0.8280319873142744,2.8376185568479044e-05,0.7893805837839388,41.187559870551034,3.5099761528200655,3.5094384345753005,3.509085559988067,3.5088167047616654
0.2,0.13703307096489942,263.2652114595075,6.447088590060143,0.8919894468715036,0.820380303226309,0.32469082083708306,0.8198543785947425,5.634245932530814e-05,0.759076347711682,0.8198546224102392,2.57331779551562e-05,0.7767261730085695,40.79333867735015,3.907865688313892,3.907301810128627,3.9069317680971256,3.9066498329228883
0.21,0.10060747011940036,262.45286582719024,6.885315270951452,0.8812289819936758,0.8123079293331616,0.3393953765446941,0.8118077354010035,4.616090881139334e-05,0.7459202844724395,0.8117586236464791,2.5039268070769628e-05,0.7637716187205477,40.40215603112165,4.3289910624077335,4.3284012395180245,4.32801417128279,4.327719263767399
0.22,0.07246682185531347,261.64581244748643,7.354035967357671,0.8625336286130365,0.8043158769022953,0.3537588008830519,0.8038408615037876,4.386468309435834e-05,0.7326227554260845,0.8037431814163905,2.4803044100935475e-05,0.7504841767496704,40.014581746873375,4.774901545562718,4.774285998380685,4.773882048580351,4.773574278921034
0.23,0.0513639400665313,260.8452727688524,7.855312249070688,0.8371403808134151,0.7964033467218213,0.36777437135665175,0.7959529653850073,4.342149693601664e-05,0.719174127094219,0.7958074941690847,2.4674107079755688e-05,0.736828637492217,39.63072140842631,5.247237203616241,5.246596156219293,5.246175471898976,5.245854952126858
0.24,0.035945942040865944,260.0517218278308,8.391340312753858,0.8063913137412002,0.7885695475321044,0.38143693020774394,0.7881432636811759,4.3415827260743554e-05,0.7055647714773894,0.7879507683292012,2.4570248132567218e-05,0.7227671614963235,39.25057167943924,5.747726574094123,5.747060253081926,5.746622982943428,5.7462898263530215
0.25,0.02492094965837119,259.26546113481396,8.964456596331765,0.7715665366691955,0.780813695946699,0.394741443350384,0.78041098095778,4.351339705849262e-05,0.6917851174091911,0.78017221821761,2.4472519144650668e-05,0.7082591136280357,38.87410397598629,6.278188651907865,6.277497285525603,6.277043579351367,6.276697900060864
0.26,0.017168783838492487,258.48675676458936,9.577141079913178,0.7337736399990782,0.7731350163739855,0.40768243015658207,0.7727553495982914,4.363573288222187e-05,0.677825712972565,0.7724710659728196,2.437787462948065e-05,0.6932609032735454,38.50128398195521,6.840535574705969,6.839819392161261,6.839349400365744,6.838991312974831
0.27,0.011786210483534924,257.7158803802522,10.232017306565114,0.6939027808919207,0.765532740939604,0.42025350480493995,0.7651756097207557,4.3763758417346036e-05,0.6636773018938493,0.7648465414731844,2.4278172830150006e-05,0.6777258409086719,38.13207649860698,7.436774769947965,7.436034000871156,7.435547874147274,7.435177493468421
0.28,0.008082939090511537,256.9531069700365,10.931847867235625,0.6526311452604744,0.758006109409671,0.43244688108307405,0.7576710091051805,4.389270674915328e-05,0.6493309174044447,0.7572978822598962,2.4180237860973108e-05,0.661604024531484,37.76644600863608,8.069010260390042,8.068245134405599,8.067743023442533,8.067360464285718
0.29,0.005551505516937479,256.19872198149056,11.67952358772286,0.6104536456296751,0.7505543691147869,0.44425276511496453,0.7502408031186729,4.402139362440763e-05,0.6347779975467724,0.7498243334607687,2.4083440036450755e-05,0.6448422747249591,37.40435741132583,8.739442441736847,8.738653188119015,8.738135243375883,8.73774062037582
0.3,0.0038288840621786115,255.45302651024465,12.47804361907137,0.5677220580955252,0.7431767748746897,0.4556586238207062,0.7428842546440444,4.41494804549575e-05,0.620010527211153,0.7424251477146705,2.3984798504469194e-05,0.6273841461158207,37.04577595861458,9.4503658962957,9.449552743686143,9.449019115208346,9.448612542684748
0.31,0.002660303776893582,254.71632700335957,13.330482281532797,0.5246821932500721,0.7358725889238115,0.4666482611084158,0.7356006340103537,4.427683170351098e-05,0.6050212128003501,0.7350995850968658,2.388407409960872e-05,0.6091700569132724,36.69066716447597,10.204164704658167,10.203327880843323,10.202778718113057,10.202360309954576
0.32,0.0018692687025523569,253.98893680726334,14.239936214371099,0.4815052268575674,0.7286410808374728,0.4772005953882583,0.7283892189202865,4.440335867560227e-05,0.589803698204489,0.7278469130449903,2.378334300846613e-05,0.5901375992456928,36.338996812149404,11.003303962159608,11.002443693875144,11.001879145688807,11.001449015266154
0.33,0.0013345976433393955,253.27118052729662,15.209441597459636,0.43831257104302707,0.7214815274588373,0.4872879797118298,0.721249294379883,4.4528982136059645e-05,0.5743528336291506,0.7206664062857937,2.3682020559301817e-05,0.5702221303554673,35.99073105755758,11.850316091440432,11.849432604226982,11.84885281859433,11.848411078675614
0.34,0.0009735833902379434,252.5633830133198,16.241845382117607,0.39519550562756667,0.7143932128266014,0.4968738062503499,0.714180152628585,4.4653623322343394e-05,0.5586650132980263,0.7135573467626168,2.3579993951526793e-05,0.549357801070998,35.645836368876424,12.7477799072469,12.746873425317979,12.746278549379046,12.74582531207125
0.35000000000000003,0.0007299949466789754,251.86586931414897,17.339603987787534,0.35223137403191546,0.7073754281033945,0.5059089491628286,0.707181093066938,4.47772027644793e-05,0.5427386058336414,0.7065190235635825,2.3476382482193528e-05,0.5274792785970789,35.30427954952864,13.698288759489621,13.697359505629603,13.69674968558611,13.696285062280632
0.36,0.0005657116266507481,251.17895225231896,18.504463434188054,0.3094984873147413,0.700427471504896,0.5143262683575736,0.7002514221839986,4.489964043025712e-05,0.5265745142737883,0.6995507328505057,2.337268993880786e-05,0.5045246063005444,34.966027677155054,14.704402453809605,14.70345064928521,14.702826030343987,14.70235013167567
0.37,0.0004549336739665231,250.50294529952214,19.736939280641327,0.26709246715540114,0.6935486482296558,0.5220317505920216,0.6933904534835921,4.5020856341175724e-05,0.5101769246223414,0.6926517777885077,2.3267704940003712e-05,0.4804399788311737,34.631048193390995,15.768573443339378,15.76759930783252,15.766960034158886,15.766472969966754
0.38,0.0003802236209290685,249.83811525314135,21.035439938186123,0.22514803375320666,0.686738270389614,0.5288895225276334,0.6865975074068325,4.514077317090756e-05,0.4935543444298357,0.6858214684763335,2.316174525525304e-05,0.45518790964348355,34.29930885793463,16.89303192782941,16.89203567937517,16.891381894054753,16.890883773356695
