t,PB,A1,A2,PC1,PF1,PG1,PC2,PF2,PD1,PE1,PD2
0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.01,0.17885421684781977,0.0996389610622247,0.08566522960711476,0.038244224423633545,0.18555963153482335,0.07899011269664001,0.05751453289681134,0.10751980602139659,0.0097122951777327,0.1567849429050687,0.10401258498881173
0.02,0.23889834418251307,0.08551387844707065,0.06811350831132976,0.023331255133279855,0.24982057230577556,0.06879110461420986,0.042531934002006624,0.11164676310733695,0.005041480610775764,0.11058398835743866,0.0883015469434549
0.03,0.2955743240192929,0.06825902038066209,0.05083447369240754,0.019525001976005256,0.28621436494072694,0.06447940465878425,0.03499831722865242,0.11391168516185628,0.004011011375277908,0.07711868156046396,0.07292643233578086
0.04,0.3550127626039625,0.051612864606585596,0.03561126445765843,0.017626827415566086,0.3047276266722888,0.06298761569526955,0.029397532478018365,0.1151547006307913,0.0035978917608533523,0.05650383967892698,0.0605060541669379
0.05,0.41977125605623267,0.037073375275296465,0.02331111987687316,0.01554807780695821,0.3125555118105215,0.06266923333448637,0.024275623312962295,0.11583688192127209,0.003196986846571547,0.04373317210083101,0.05029827821590023
0.06,0.4906923595530477,0.02526120066403425,0.014170066018646954,0.013041738034473123,0.3137838105352713,0.06268679028536787,0.019389367778435182,0.11621127116160992,0.0027114967603676524,0.035042599688509514,0.041435620785380746
0.07,0.5675483415701366,0.01629752367644528,0.007947147913233369,0.010322810756003659,0.3105406821448054,0.0626246984793126,0.014875957289241551,0.11641674114502475,0.002172869088676212,0.02832100472927417,0.033477562749958646
0.08,0.6494043002026726,0.009948182887455111,0.004089301964997221,0.007688859026463169,0.3039470421670652,0.06228062546674361,0.010950161212844912,0.11652950430055627,0.0016395152908042347,0.022599455510692073,0.026341913055105234
0.09,0.734962829788746,0.005751295667233836,0.001922907493751965,0.005386218839393292,0.2946967102875317,0.06156278462090134,0.007761022930494905,0.11659139028397389,0.0011636436735324423,0.017559329999673245,0.020122207337182275
0.1,0.822889403947088,0.003158053854833965,0.0008248478345892508,0.003553350855978438,0.2833532196158124,0.060442489028350616,0.00533627608155077,0.11662535394009839,0.0007776151679412894,0.013183415279320484,0.014926834202440975
0.11,0.9120436144543947,0.0016541379881039105,0.00032314778602083206,0.002214298403090395,0.2704631397437377,0.05893203615546728,0.0035948395237998345,0.11664399402770628,0.0004905650568985181,0.009535499944726543,0.010785119536391012
0.12,1.001576908179534,0.0008307819759404583,0.00011630306036617571,0.0013090332051904866,0.25656579057455353,0.05707225730735924,0.0023967209994002446,0.11665422370226013,0.0002933374359073364,0.006644752655561784,0.007625696422870111
0.13,1.0909215220472404,0.00040231803201292045,3.901888396759922e-05,0.000737895115456214,0.2421600498475129,0.054922707413895884,0.001594218573198701,0.11665983790910864,0.00016707312883427222,0.004469933421920507,0.005304344612658466
0.14,1.1797270749773818,0.00018888221892937186,1.2616385506244839e-05,0.0003987352563777201,0.22766844073239453,0.05255257915320627,0.0010630404558363722,0.11666291899987634,9.111829494860844e-05,0.002911748971322247,0.0036479442150337935
0.15,1.2677907697343687,8.639546259938023e-05,4.196290954981935e-06,0.00020764672759454012,0.21341738761209023,0.05003263119151789,0.0007118229571085295,0.11666460989767426,4.784139206123212e-05,0.0018433097356486594,0.0024906006939511604
