t,ATP,ADP,PCr,Cr,Pi,ATP_i,ADP_i,PCr_i,Cr_i,Pi_i
0.0,9644.425,60.0,12500.0,13500.0,8000.0,9644.425,2.5,12500.0,13500.0,8000.0
0.01,9591.765602361527,109.31144427091469,12492.07915377884,13507.92084622116,8060.70043759318,9598.018155695523,89.08228471523228,12482.864103070813,13517.135896929187,8062.100416431221
0.02,9559.948191845864,140.31506303099812,12460.696931975635,13539.303068024365,8123.064306713922,9593.006224550114,103.85971692766941,12430.691189044393,13569.308810955607,8129.31441998064
0.03,9540.05834624461,160.00709915494807,12416.87044443321,13583.12955556679,8186.249272482787,9586.334418685383,112.90523652008375,12378.156016562049,13621.843983437951,8194.897806825502
0.04,9527.055920863155,172.9614424254358,12365.930079445277,13634.069920554723,8249.908664914541,9580.603800798912,119.21283973818834,12322.059520989713,13677.940479010287,8260.125695536017
0.05,9518.22544058178,181.78023568906994,12310.617375501637,13689.382624498363,8313.89223713946,9576.123550445122,123.83333430489384,12263.358711251407,13736.641288748593,8325.222099629236
0.06,9511.993973788112,188.0088615581641,12252.534780135511,13747.465219864489,8378.111800409848,9572.60674029201,127.38423555284756,12202.957116553962,13797.042883446038,8390.274491152555
0.07,9507.40755031074,192.59459449972366,12192.663695225023,13807.336304774977,8442.512411435811,9569.747356921642,130.2519053529686,12141.442187553846,13858.557812446154,8455.3315718658
0.08,9503.871620690086,196.13035628636706,12131.61890516966,13868.38109483034,8507.059300622426,9567.318494366855,132.68278191588823,12079.18571060144,13920.81428939856,8520.422877245828
0.09,9501.009319464838,198.9926167084545,12069.790954631571,13930.209045368429,8571.730344355325,9565.165977907694,134.83578801300482,12016.42460291529,13983.57539708471,8585.566997756412
0.1,9498.579103029228,201.42282323072362,12007.430277985473,13992.569722014527,8636.511476474034,9563.187699035576,136.81418584516902,11953.31104634489,14046.68895365511,8650.775964754894
0.11,9496.424886818064,203.57703703261515,11944.69857989021,14055.30142010979,8701.39381608523,9561.316415079122,138.68549871288153,11889.943415452504,14110.056584547496,8716.057775946516
0.12,9494.445206011453,205.5567172553532,11881.700756112341,14118.299243887659,8766.371848569665,9559.507808522949,140.49411227552451,11826.385558041735,14173.614441958265,8781.41790511398
0.13,9492.573727070654,207.42819605243903,11818.505115735776,14181.494884264224,8831.442255412148,9557.732544673223,142.26937784983537,11762.679046519152,14237.320953480848,8846.86023018494
0.14,9490.766883993783,209.23503909436565,11755.156230825258,14244.843769174742,8896.603160883727,9555.971104242537,144.03081869985567,11698.850972957664,14301.149027042336,8912.387614366799
0.15,9488.99591676948,211.00600631018997,11691.68321976663,14308.31678023337,8961.8536414949,9554.210405304131,145.7915177399983,11634.91898771182,14365.08101228818,8978.002270612174
0.16,9487.241729490965,212.76019358664487,11628.10510195085,14371.89489804915,9027.19340566801,9552.441594723912,147.5603283449615,11570.894564830292,14429.105435169708,9043.705995128103
0.17,9485.491560572636,214.51036250446518,11564.43426859457,14435.56573140543,9092.622583960305,9550.658611087616,149.3433119873344,11506.785108428534,14493.214891571466,9109.50032295388
0.18,9483.736808649808,216.2651144271682,11500.678749565872,14499.321250434128,9158.141591786012,9548.85723231012,151.14469076633307,11442.595351402146,14557.404648597854,9175.386616267568
0.19,9481.971611151015,218.03031192593286,11436.843697246575,14563.156302753425,9223.751037891692,9547.034452961378,152.9674701154426,11378.328256714343,14621.671743285657,9241.366134853082
0.2,9480.19191043969,219.81001263725122,11372.932361530846,14627.067638469154,9289.45166466603,9545.188073061894,154.81385001501727,11313.985612449223,14686.014387550777,9307.440074850298
0.21,9478.39485264341,221.6070704335288,11308.946717740091,14691.053282259909,9355.244309044656,9543.316426642361,156.68549643456984,11249.568429494251,14750.431570505749,9373.609590725713
0.22,9476.57836913511,223.42355394183133,11244.88790513832,14755.11209486168,9421.129874658438,9541.418203090088,158.5837199868506,11185.077181673129,14814.922818326871,9439.87582805461
0.23,9474.74091339413,225.26100968281196,11180.756500597163,14819.243499402837,9487.109315590382,9539.492315572777,160.50960750416306,11120.512017321567,14879.487982678433,9506.2399121258
0.24,9472.881284842597,227.1206382343422,11116.552703840674,14883.447296159326,9553.183624099107,9537.537827302447,162.4640957744918,11055.872845964046,14944.127154035954,9572.702973345165
0.25,9470.998507136524,229.00341594041342,11052.276460873058,14947.723539126942,9619.353826883911,9535.553905138457,164.4480179384816,10991.159401078408,15008.840598921592,9639.266155061378
0.26,9469.091758224276,230.9101648526618,10987.92754642504,15012.07245357496,9685.62097037445,9533.539768962088,166.46215411485102,10926.371334540207,15073.628665459793,9705.930596212671
