t,GLY,G1P,G6P,F6P,FBP,DHAP,GAP,Thirteen_BPG,three_PG,two_PG,PEP,PYR,LAC,Pi,ADP,ATP,AMP,PCr,Cr,NADH,NAD
0.0,112.0,0.0589,0.75,0.228,0.0723,0.0764,0.0355,0.065,0.052,0.005,0.0194,0.0994,1.3,4.1,0.013,8.2,0.99,34.67,35.0,0.001,0.5
0.01,111.99129992132171,0.06609137942697475,0.726236731250174,0.27083959518801715,0.07262204898630617,8.976885559187086e-05,8.232712979209245e-05,0.00010702442878247846,0.16928178875872216,0.024934530040740095,0.0019445218825479193,0.04907725110690678,1.3713261534286296,4.188167156934706,7.818274817873659,0.27396760494373323,1.1107575771826304,42.72346402594145,26.94653597405852,0.005545116217699293,0.49545488378230046
0.02,2.1290029383e-314,2.125380374e-314,2.125405907e-314,2.125379358e-314,2.1800582987e-314,2.1800581564e-314,2.1290130014e-314,2.1253803264e-314,2.12538035e-314,2.1253807533e-314,2.125379358e-314,2.125379358e-314,2.1800580616e-314,2.129013033e-314,2.1253808244e-314,2.129013033e-314,2.129013033e-314,2.125381536e-314,2.1800579667e-314,2.1253858204e-314,2.1253815833e-314
0.03,2.125380374e-314,2.1800579193e-314,2.1290121793e-314,2.125379358e-314,2.1290121793e-314,2.180058773e-314,2.1290302976e-314,2.1253808244e-314,2.1290302976e-314,2.1290302976e-314,2.125381536e-314,2.1800375084e-314,2.1253858204e-314,2.1253815833e-314,2.125380374e-314,2.180042892e-314,2.1290121793e-314,2.125379358e-314,2.1290121793e-314,2.1741560877e-314,2.129030361e-314
0.04,2.1253808244e-314,2.129030361e-314,2.129030361e-314,2.125381536e-314,2.1800374373e-314,2.1253858204e-314,2.1253815833e-314,2.125380374e-314,2.180039287e-314,2.129011768e-314,2.125379358e-314,2.129011768e-314,2.1800392633e-314,2.1290303925e-314,2.1253808244e-314,2.1290303925e-314,2.1290303925e-314,2.1800392396e-314,2.1253858204e-314,2.125379358e-314,2.174156815e-314
0.05,2.1290304557e-314,2.1253808244e-314,2.1290304557e-314,2.1290304557e-314,2.125381536e-314,2.1800391685e-314,2.1253858204e-314,2.1253815833e-314,2.125380374e-314,2.1800390973e-314,2.129012432e-314,2.125379358e-314,2.129012432e-314,2.1800390736e-314,2.1290303925e-314,2.1253808244e-314,2.1290303925e-314,2.1290303925e-314,2.255430108e-314,2.2554318074e-314,2.125379358e-314
0.06,2.181622155e-314,2.1290304557e-314,2.125381536e-314,2.1290304557e-314,2.125380516e-314,2.125375295e-314,2.1253815833e-314,2.125375295e-314,2.1253808244e-314,2.1290304557e-314,2.255430345e-314,2.255458155e-314,2.125379358e-314,2.180039026e-314,2.129013033e-314,2.125381536e-314,2.129013033e-314,2.125380516e-314,2.125375295e-314,2.1253815833e-314,2.125375295e-314
0.07,2.1253808244e-314,2.129013033e-314,2.255430582e-314,2.255430938e-314,2.125379358e-314,2.1816221864e-314,2.129030361e-314,2.125381536e-314,2.129030361e-314,2.12538054e-314,2.1253753107e-314,2.1253815833e-314,2.1253753107e-314,2.1253808244e-314,2.129030361e-314,2.2554311355e-314,2.255431412e-314,2.125379358e-314,2.181622123e-314,2.129030361e-314,2.125381536e-314
0.08,2.129030361e-314,2.125380516e-314,2.125375295e-314,2.1253815833e-314,2.125375295e-314,2.1253808244e-314,2.129030361e-314,2.255431491e-314,2.2554317284e-314,2.125379358e-314,2.1800382673e-314,2.129013033e-314,2.125381536e-314,2.129013033e-314,2.12538054e-314,2.1253753107e-314,2.1253815833e-314,2.1253753107e-314,2.1253808244e-314,2.129013033e-314,2.2554318865e-314
0.09,2.255432163e-314,2.125379358e-314,2.181622218e-314,2.129030361e-314,2.125381536e-314,2.129030361e-314,2.1253805636e-314,2.1253753265e-314,2.1253815833e-314,2.1253753265e-314,2.1253808244e-314,2.129030361e-314,2.1816222497e-314,2.255432598e-314,2.125379358e-314,2.1800381725e-314,2.129013033e-314,2.125381536e-314,2.129013033e-314,2.1253805636e-314,2.1253753265e-314
