t,O2,O2_radical,NADH,NAD,NAD_radical,NAD2,H2O2,Per3,Per2,coI,coII,coIII,Ar_radical,ArH
0.0,5.33e-06,2.6e-08,9.5e-07,0.000558,5e-10,1.2e-07,1.3e-08,5.9e-08,1e-10,8.9e-10,2.6e-08,1.31e-06,1.2e-07,0.00029988
0.01,5.330004349763117e-06,2.5999021255136968e-08,9.500017856979804e-07,0.0005580007918363468,5.060808487580891e-10,1.2000014855313993e-07,1.2730302999325152e-08,5.900933332604449e-08,9.999553034371267e-11,8.862268150384751e-10,2.599375767318208e-08,1.3100006866553912e-06,1.200063745344201e-07,0.00029987999362546556
0.02,5.330022310044961e-06,2.5984144279238936e-08,9.500035560705111e-07,0.0005580015635371718,5.323274101009464e-10,1.200002896737221e-07,1.2463149815935256e-08,5.902102548559621e-08,9.997767968287352e-11,8.717927940471476e-10,2.5989030401804622e-08,1.3100081736388692e-06,1.200139494034637e-07,0.00029987998605059655
0.03,5.33010297249084e-06,2.590563190713554e-08,9.500053633205188e-07,0.0005580022423164658,6.515197014389174e-10,1.2000040025611702e-07,1.2198185588087798e-08,5.903465233447582e-08,9.989768293779335e-11,8.135317753212551e-10,2.599516243819833e-08,1.3100467557690668e-06,1.2003188170383773e-07,0.0002998799681182962
0.04,5.3304430801399275e-06,2.5564163842942197e-08,9.500073772988581e-07,0.0005580025365034287,1.1551851406453389e-09,1.200004670658401e-07,1.1934056912687026e-08,5.904870356241918e-08,9.955996464978679e-11,5.778400085717196e-10,2.6050139152994952e-08,1.3102137573113644e-06,1.2009752841093655e-07,0.0002998799024715891
0.05,5.3310271921140655e-06,2.4975383216760992e-08,9.500095952006476e-07,0.0005580024690113263,2.0202199318071954e-09,1.200005867705253e-07,1.1670547739616282e-08,5.906299022208131e-08,9.89798210147046e-11,1.755398386827215e-10,2.6150972388867064e-08,1.3105015177293545e-06,1.202079598076885e-07,0.00029987979204019235
0.06,5.330267577053207e-06,2.574772287123934e-08,9.500107546057545e-07,0.0005580043938117968,8.924803238564461e-10,1.200014766367331e-07,1.1417746715473597e-08,5.908872414524363e-08,9.973551387610428e-11,6.872569946517387e-10,2.5989729595786517e-08,1.3101245537504424e-06,1.2006006912891065e-07,0.0002998799399308711
0.07,5.3300600375202415e-06,2.596071917314026e-08,9.500123783895702e-07,0.0005580055000172392,5.840532556646957e-10,1.200017755576607e-07,1.1163791702644364e-08,5.911256988152419e-08,9.994268847603553e-11,8.230543663667098e-10,2.5933562895846793e-08,1.3100208701677867e-06,1.2001518659389206e-07,0.0002998799848134062
0.08,5.330016628799165e-06,2.600730571648011e-08,9.500141752247496e-07,0.000558006362898982,5.190214055015393e-10,1.2000195219374227e-07,1.0911377930440045e-08,5.913746951412063e-08,9.998690568231213e-11,8.470946726760287e-10,2.590694112109099e-08,1.3099985077864304e-06,1.1999886911726575e-07,0.0002998800011308828
0.09,5.330007790140632e-06,2.6018717327667925e-08,9.500160603229825e-07,0.0005580071745569541,5.051661448063529e-10,1.2000210828897142e-07,1.066133794009198e-08,5.916430500294271e-08,9.99969855259212e-11,8.476144907193589e-10,2.588471112671756e-08,1.3099933723940946e-06,1.199862995329352e-07,0.0002998800137004672
