t,P,G6P,F6P,F16P,NADH,NAD,BPG,P3G,P2G,PEP,PYR,ACE,GA3P,DHAP,D6PGluconoLactone,D6PGluconate,NADP,NADPH,Ribulose5P,Ribose5P,Xyl5P,Seduhept7P,Erythrose4P,GLCi
0.0,5.0,1.39,0.28,0.1,0.39,1.2,0.1,0.1,0.1,0.1,3.36,0.04,0.05,1.0,0.1,0.1,0.4,1.6,0.1,0.1,0.1,0.1,0.0,0.087
0.01,4.611822531747674,1.200921737856143,0.09668447100409508,0.6969812313116946,0.2735630391239058,1.3164369608760942,0.00010138689125568042,0.1990191526959234,0.02377110304816138,0.030842213280746912,3.7394715688162843,0.024314835948140073,0.03612481722517855,0.7994225876336761,0.10527571984222185,0.10137588195407492,0.4188078548183956,1.5811921451816036,0.09839747369249816,0.09828592011617743,0.09792018274066676,0.09285295235274815,0.010992189598295118,0.1689578228285337
0.02,4.532390641122226,1.0526582308864922,0.08834146590952643,0.8487353341791956,0.28585587968320025,1.3041441203168,0.00011191029263836958,0.22794606435875991,0.027291577044494014,0.03448153578342329,4.0655713686621135,0.024007652048656427,0.04004933544820966,0.9042325471671729,0.1093423885912616,0.10284678559676948,0.4381750079393056,1.5618249920606935,0.09651846150668743,0.09642054671982506,0.09597925175020329,0.08916451169174848,0.017338570945521214,0.18851373173665015
0.03,4.629792607795316,0.9836533756437429,0.08567529903472552,0.9252217329609077,0.2781182605643367,1.311881739435663,0.0001234539454285411,0.24567346079323082,0.02949310580405239,0.037258998176518565,4.394927970199727,0.025288765570290583,0.041746068450502966,0.9551955023279999,0.11270889687872376,0.10436980871289055,0.45762087758936365,1.5423791224106356,0.09463566275699721,0.09454503559101556,0.09406441865893043,0.0872528365965323,0.021289247473506016,0.18739971740325034
0.04,4.808120763144879,0.9638392149124385,0.08676844532133232,0.9564522421383185,0.25516937332106043,1.3348306266789391,0.0001381168959427783,0.26128003953306406,0.03146677223373215,0.04014044420783289,4.70822247109918,0.028002909684364474,0.04218259341260927,0.9775502730243155,0.1157740474581804,0.10592295177337158,0.4767667391044295,1.5232332608955697,0.09279720334918565,0.09271040238656894,0.09221088191592715,0.08654736332861293,0.023662625903610946,0.17590474933575914
0.05,5.023302091754131,0.9720901169351217,0.09025838100229996,0.9613657565200086,0.22614026337466417,1.363859736625335,0.00015583625863685864,0.27621494623880827,0.033388988890843456,0.043275288076054415,5.004830881403063,0.03188820621599581,0.04195589183147978,0.9843070055196226,0.11878621086796966,0.10749793720818077,0.4953788374294164,1.5046211625705834,0.09103724037972195,0.09095212996208175,0.09044717973396141,0.08677435384887836,0.02488027409489228,0.16093063254567383
0.06,5.2492102450130655,0.9958101923839652,0.09528289462728241,0.9516313915390504,0.19669995565961812,1.3933000443403811,0.00017612698380112057,0.29026101152019307,0.03523225319287165,0.046626253021088845,5.2853223613375935,0.036839020130581004,0.04140872838856736,0.9826842189175212,0.12188350270418802,0.10909430794015608,0.5133304465837022,1.4866695534162981,0.08938136450192684,0.08929656622698727,0.08879519076034276,0.08771348717218869,0.025256139453118567,0.14645453532108235
0.07,5.468521523938354,1.0282584726331017,0.10131663067690302,0.9345160789641279,0.1698160102269435,1.4201839897730553,0.00019835515789551537,0.3030986286095955,0.03695406436181228,0.05012228677717805,5.549353305742561,0.042774945233215254,0.04073764227569644,0.9768513411454746,0.1251380894037225,0.11071562042296079,0.5305590001631512,1.4694409998368487,0.08784722685158176,0.08776183356994446,0.08726984906103469,0.08917037883678378,0.025045477481974516,0.13410892432902177
0.08,5.669776582034122,1.0658400581752436,0.10799591638975838,0.9148184592847505,0.14681047773534364,1.4431895222646551,0.00022173751585702206,0.3145690551948943,0.038528684578613685,0.05367809623984254,5.796180934736405,0.04954597572694106,0.04006004121059576,0.9693776028053446,0.12858615268704549,0.11236731018661966,0.5470369367975598,1.4529630632024395,0.0864455022252632,0.08635892345643725,0.08587978054797551,0.09097577296372171,0.02445708723344725,0.12419967016947678
0.09,5.846341426925021,1.1063549345334887,0.11501439927729804,0.895822211525363,0.12800774504258655,1.461992254957412,0.00024540409871988975,0.32469683813187666,0.03995056273907164,0.05720122850574979,6.025312319699465,0.056890781105818466,0.03944755380981685,0.9619445345722362,0.13224344487530817,0.1140555347983065,0.5627565930801374,1.4372434069198612,0.08518106583561531,0.0850929402558526,0.08462827784160376,0.0929849320701053,0.02366019632993405,0.11649455787218886
