t,SL,TRPNCaL,TRPNCaH,xXBpostr,xXBprer,XBpostr,XBprer,N_NoXB,P_NoXB,P,intf
0.0,2.2,0.0147730085063734,0.13066096561522,0.00700005394873882,3.41212828972468e-08,1.81017564383744e-06,3.0494964880038e-07,0.999999959256274,4.07437173988636e-08,0.999997834540066,-4.5113452510363e-06
0.01,2.2,0.0669006645226441,0.1766916245486308,0.007000053934521234,3.410736352527451e-08,1.8182686643246468e-06,6.350901292896898e-05,0.9999999212294818,7.877050962120826e-08,0.9755328370627161,-0.003633869838010559
0.02,2.2,0.11618351896001464,0.22027632761115704,0.0070000539203038635,3.409345458655375e-08,1.8423396997136998e-06,0.00012514750778813924,0.9999994485044592,5.514955322257895e-07,0.9516663943393177,-0.007263228547046483
0.03,2.2,0.16277680490918697,0.26154503165346754,0.007000053906086719,3.40795560668938e-08,1.8819919768439644e-06,0.00018525874358731587,0.9999965757366293,3.42426336212835e-06,0.9283840080868271,-0.01089258768005596
0.04,2.2,0.20682730414441794,0.30062080473391994,0.007000053891869806,3.406566795212628e-08,1.9368383967735543e-06,0.00024388011836380774,0.999985036469689,1.4963530302471007e-05,0.9056720355724702,-0.01452194743959708
0.05,2.2,0.24847378221156602,0.33762017042437126,0.007000053877653131,3.405179022812746e-08,2.0065075581825613e-06,0.0003011602196636067,0.999949527094537,5.0472905454435605e-05,0.8894255022823265,-0.01815130802321163
0.06,2.2,0.28784744635245296,0.3726534731604834,0.007000053863436703,3.403792288073438e-08,2.0907339265701957e-06,0.0003577504028248216,0.9998591011356125,0.00014089886437889415,0.8830624801200193,-0.02178066962411451
0.07,2.2,0.3250723285722766,0.40582518121009725,0.00700005384922053,3.402406589587184e-08,2.189399508082189e-06,0.0004140462614375797,0.999660823164786,0.00033917683520547553,0.8802045450337908,-0.025410032433118988
0.08,2.2,0.36026569669064895,0.43723421572839627,0.007000053835004618,3.4010219259467134e-08,2.3024495402227353e-06,0.00047019357133054656,0.9992748508839032,0.0007251491160884019,0.878763080520781,-0.029039396639983384
0.09,2.2,0.39353841874257034,0.4669742414122252,0.007000053820788974,3.3996382957471126e-08,2.429854171201775e-06,0.000526255003887792,0.9985994241774018,0.001400575822589876,0.8779796884486571,-0.03266876243393795
0.1,2.2,0.42499531224081694,0.49513394581700026,0.0070000538065736065,3.3982556975857975e-08,2.5715949161538613e-06,0.0005822613507563272,0.9975396138549312,0.0024603861450604426,0.877542183679321,-0.036298130003906304
0.11,2.2,0.4547354743777099,0.5217973038313615,0.0070000537923585225,3.3968741300626695e-08,2.727659178100361e-06,0.0006382295551558699,0.9960611789371796,0.0039388210628120215,0.8773040275163246,-0.03992749953861269
0.12,2.2,0.4828525942064979,0.547043828098266,0.007000053778143727,3.395493591779892e-08,2.8980377149329672e-06,0.0006941695591908382,0.9942216424076167,0.00577835759237489,0.8771836680931934,-0.04355687122664035
0.13,2.2,0.5094352477853386,0.5709488061289457,0.007000053763929229,3.39411408134198e-08,3.08272325809664e-06,0.0007500871623899139,0.9921313885683286,0.007868611431662878,0.8771304575163501,-0.04718624525646544
0.14,2.2,0.5345671772146497,0.593583524817583,0.007000053749715035,3.392735597355812e-08,3.2817096686795912e-06,0.0008059856020195394,0.9898920079301354,0.010107992069856056,0.8771138150078168,-0.050815621816476815
0.15,2.2,0.5583275544458587,0.6150154830254576,0.007000053735501153,3.391358138430663e-08,3.4949914275740837e-06,0.0008618666230302005,0.987571354025434,0.01242864597455763,0.8771166842905229,-0.05444500109498714
0.16,2.2,0.5807912306925743,0.6353085928684586,0.00700005372128759,3.3899817031780964e-08,3.7225633479829613e-06,0.0009177311598093367,0.9852084777207342,0.014791522279257487,0.8771300231970854,-0.058074383280238916
0.17,2.2,0.6020289722194153,0.6545233703000033,0.007000053707074352,3.388606290212091e-08,3.964420422255993e-06,0.0009735797200722578,0.9828246891405592,0.017175310859432344,0.8771490903003503,-0.06170376856040762
0.18,2.2,0.6221076832980501,0.6727171155944446,0.007000053692861448,3.387231898148902e-08,4.220557741072084e-06,0.0010294125869473238,0.9804315659272642,0.019568434072727414,0.8771713594032613,-0.06533315712360356
0.19,2.2,0.6410906169833971,0.6899440842304712,0.007000053678648882,3.385858525607111e-08,4.490970450934708e-06,0.001085229922417585,0.9780355075027982,0.0219644924971934,0.8771954462964896,-0.0689625491578728
0.2,2.2,0.6590375742948459,0.7062556486213175,0.007000053664436664,3.384486171207617e-08,4.775653730699849e-06,0.0011410318209165422,0.9756401368780709,0.02435986312192073,0.8772205708543855,-0.07259194485119769
0.21,2.2,0.6760050927280786,0.7217004514096418,0.007000053650224799,3.383114833573709e-08,5.07460277820601e-06,0.0011968183384792387,0.9732475732055252,0.02675242679446651,0.8772462766348524,-0.07622134439149728
0.22,2.2,0.6920466242755472,0.7363245504558406,0.007000053636013296,3.3817445113309236e-08,5.387812802838941e-06,0.0012525895081992458,0.9708590869026258,0.029140913097366078,0.8772722890943176,-0.0798507479666274
0.23,2.2,0.7072127038182167,0.7501715561902562,0.007000053621802161,3.380375203107172e-08,5.7152790207991915e-06,0.0013083453492446322,0.9684754596992009,0.031524540300790896,0.8772984381449851,-0.08348015576438088
0.24,2.2,0.7215511083611351,0.7632827616936515,0.0070000536075914,3.3790069075326765e-08,6.056996652252041e-06,0.0013640858720382013,0.9660971843457324,0.033902815654259406,0.8773246153896384,-0.08710956797248753
0.25,2.2,0.7351070071744015,0.7756972655432146,0.007000053593381021,3.377639623239883e-08,6.412960919578329e-06,0.0014198110813277395,0.9637245752768765,0.036275424723115346,0.8773507504857162,-0.0907389847786143
0.26,2.2,0.747923105179096,0.7874520892771332,0.007000053579171032,3.3762733488636354e-08,6.783167046081753e-06,0.0014755209782680721,0.9613578407654735,0.038642159234518456,0.8773767957476653,-0.09436840637036514
0.27,2.2,0.7600397762791724,0.7985822868421685,0.007000053564961439,3.3749080830411e-08,7.167610255364208e-06,0.0015312155614049933,0.9589971158384415,0.0410028841615505,0.8774027191326507,-0.09799783293528117
0.28,2.2,0.7714951910369102,0.8091210495154653,0.007000053550752248,3.373543824411668e-08,7.566285770746529e-06,0.0015868948275790066,0.9566424896492136,0.043357510350778256,0.8774284984020331,-0.10162726466084054
0.29,2.2,0.7823254369232663,0.819099804886566,0.007000053536543467,3.3721805716169894e-08,7.979188814848953e-06,0.0016425587724448367,0.9542940204943802,0.045705979505611685,0.8774541179189072,-0.10525670173445852
0.3,2.2,0.792564632079318,0.8285483106390922,0.007000053522335102,3.370818323301065e-08,8.40631460929341e-06,0.0016982073908060804,0.9519517457118944,0.0480482542880975,0.8774795665363356,-0.10888614434348746
0.31,2.2,0.8022450325281749,0.8374947430760399,0.007000053508127162,3.369457078110146e-08,8.847658374621678e-06,0.0017538406768579102,0.9496156880291514,0.050384311970840534,0.8775048362422916,-0.11251559267521677
0.32,2.2,0.8113971334699701,0.8459657808852201,0.007000053493919652,3.368096834692833e-08,9.303215330108432e-06,0.0018094586243558976,0.9472858599259439,0.052714140074048135,0.8775299212278813,-0.11614504691687286
0.33,2.2,0.8200497630896356,0.8539866828752983,0.007000053479712579,3.366737591699936e-08,9.772980693686383e-06,0.0018650612267182183,0.9449622659388881,0.05503773406110395,0.8775548173945422,-0.11977450725561924
0.34,2.2,0.8282301853912128,0.8615813729781776,0.00700005346550595,3.365379347784531e-08,1.0256949681801115e-05,0.0019206484772136031,0.9426449076200415,0.057355092379950665,0.8775795212952291,-0.1234039738785564
0.35000000000000003,2.2,0.8359641669831127,0.8687724962084747,0.007000053451299772,3.3640221016019845e-08,1.0755117509493043e-05,0.0019762203688583634,0.9403337806365746,0.059666219363417546,0.877604030752048,-0.12703344697272176
0.36,2.2,0.8432760751801777,0.8755814998524981,0.007000053437094052,3.3626658518099446e-08,1.1267479390278123e-05,0.002031776894566584,0.9380288785574197,0.06197112144257256,0.8776283440473985,-0.13066292672508978
0.37,2.2,0.8501889418284879,0.8820286869610481,0.007000053422888796,3.361310597068294e-08,1.1794030536154838e-05,0.002087318047154713,0.9357301924540586,0.06426980754593359,0.8776524600087547,-0.13429241332257189
0.38,2.2,0.8567245458985617,0.888133285030173,0.007000053408684013,3.359956336039149e-08,1.2334766157569099e-05,0.002142843819386681,0.9334377118861623,0.06656228811382986,0.8776763777974392,-0.1379219069520164
0.39,2.2,0.8629034750128852,0.8939134975791861,0.007000053394479707,3.3586030673869055e-08,1.2889681463375916e-05,0.002198354203980871,0.9311514251990434,0.06884857480094883,0.8777000968448675,-0.14155140780020853
0.4,2.2,0.8687451949582453,0.8993865622306774,0.007000053380275886,3.357250789778232e-08,1.3458771660821678e-05,0.0022538491936264222,0.928871319735353,0.07112868026463907,0.8777236168068138,-0.14518091605387037
0.41000000000000003,2.2,0.8742681086202866,0.9045688001611912,0.007000053366072557,3.355899501882024e-08,1.4042031955578763e-05,0.0023093287810010063,0.9265973821851335,0.07340261781485857,0.8777469374883888,-0.148810431899661
0.42,2.2,0.8794896137974295,0.9094756646634707,0.007000053351869727,3.354549202369394e-08,1.4639457551753413e-05,0.002364792958773057,0.9243295985874698,0.07567040141252232,0.8777700588434098,-0.1524399555241762
0.43,2.2,0.8844261612505638,0.9141217898481816,0.007000053337667401,3.353199889913696e-08,1.5251043651853808e-05,0.0024202417196172456,0.9220679546304517,0.07793204536954046,0.8777929809100393,-0.15606948711394866
0.44,2.2,0.8890933002357051,0.9185210291713664,0.007000053323465588,3.351851563190529e-08,1.587678545680065e-05,0.0024756750562118244,0.9198124355598589,0.0801875644401332,0.8778157038301939,-0.15969902685544785
0.45,2.2,0.8935057348381834,0.922686502727981,0.007000053309264293,3.3505042208777185e-08,1.651667816593087e-05,0.0025310929612513086,0.917563026423999,0.08243697357599321,0.8778382277969581,-0.16332857493508002
0.46,2.2,0.8976773625755785,0.9266306300784167,0.007000053295063523,3.3491578616553096e-08,1.717071697700381e-05,0.002586495427444146,0.9153197120049213,0.08468028799507084,0.877860553069236,-0.1669581315391882
0.47000000000000003,2.2,0.9016213311819709,0.9303651779442752,0.007000053280863285,3.347812484205572e-08,1.7838897086198973e-05,0.002641882447521635,0.9130824769723378,0.08691752302765439,0.8778826799386134,-0.17058769685405212
0.48,2.2,0.9053500673865156,0.9339012849062008,0.007000053266663585,3.346468087212979e-08,1.8521213688131207e-05,0.0026972540142381407,0.9108513058999574,0.08914869410003473,0.8779046087258398,-0.17421727106588827
0.49,2.2,0.9088753132103379,0.9372494923542684,0.007000053252464431,3.345124669364213e-08,1.921766197585664e-05,0.0027526101203662412,0.9086261831424405,0.09137381685755173,0.8779263398071083,-0.1778468543608499
0.5,2.2,0.9122081653406496,0.9404197778685821,0.007000053238265829,3.3437822293481644e-08,1.9928237140876437e-05,0.0028079507586998872,0.9064070928771323,0.09359290712285986,0.8779478736050322,-0.18147644692502682
0.51,2.2,0.9153591311307895,0.9434216020609492,0.007000053224067786,3.342440765855941e-08,2.0652934373129973e-05,0.0028632759220766483,0.9041940195206664,0.0958059804793258,0.8779692104992546,-0.18510604894444557
0.52,2.2,0.9183381346896222,0.9462639148301074,0.007000053209870307,3.341100277580869e-08,2.1391748861016006e-05,0.002918585603354338,0.9019869472573123,0.09801305274267984,0.877990350927537,-0.18873566060506933
0.53,2.2,0.9211545604589502,0.9489551920659638,0.0070000531956734,3.3397607632184605e-08,2.214467579139752e-05,0.0029738797954215615,0.8997858602785463,0.10021413972144581,0.8780112953343283,-0.19236528209279785
0.54,2.2,0.923817282995907,0.9515034611076852,0.007000053181477071,3.3384222214664156e-08,2.2911710349609705e-05,0.003029158491198494,0.897590742803963,0.10240925719602914,0.8780320441662369,-0.19599491359346757
0.55,2.2,0.9263346896343698,0.9539163203798935,0.007000053167281328,3.3370846510246254e-08,2.369284771946842e-05,0.0030844216836339883,0.8954015789990258,0.10459842100096635,0.8780525978896323,-0.19962455529285145
0.56,2.2,0.928714711707505,0.9562009659562825,0.007000053153086175,3.335748050595161e-08,2.448808308328259e-05,0.0031396693657108846,0.8932183530464052,0.106781646953587,0.8780729569752848,-0.20325420737665897
0.5700000000000001,2.2,0.9309648463881498,0.9583642104768594,0.0070000531388916196,3.334412418882265e-08,2.529741162186382e-05,0.0031949015304438316,0.8910410491269491,0.10895895087304298,0.8780931219024255,-0.20688387003053627
0.58,2.2,0.9330921812255049,0.960412504194466,0.007000053124697669,3.3330777545923515e-08,2.6120828514530522e-05,0.0032501181708799263,0.8888696514283594,0.1111303485716327,0.8781130931568458,-0.21051354344006581
0.59,2.2,0.9351034188824907,0.9623519561284638,0.00700005311050433,3.331744056434017e-08,2.6958328939105878e-05,0.0033053192800996246,0.8867041441593272,0.11329585584066483,0.8781328712278216,-0.21414322779076686
0.6,2.2,0.9370048949669937,0.9641883496478509,0.007000053096311607,3.3304113231180224e-08,2.7809908071935725e-05,0.0033605048512165723,0.8845445115408114,0.11545548845918069,0.8781524566099641,-0.21777292326809486
0.61,2.2,0.9388025998822026,0.9659271612701409,0.007000053082119508,3.329079553357311e-08,2.8675561087900533e-05,0.0034156748773780787,0.8823907378174649,0.11760926218252715,0.8781718498007285,-0.2214026300574419
0.62,2.2,0.9405021969523444,0.9675735763802563,0.00700005306792804,3.327748745867008e-08,2.9555283160422614e-05,0.0034708293517651864,0.8802428072579566,0.11975719274203551,0.8781910513003167,-0.2250323483441364
0.63,2.2,0.9421090400003672,0.9691325044700372,0.007000053053737208,3.3264188993644053e-08,3.0449069461472198e-05,0.0035259682675927895,0.8781007041554739,0.12189929584451804,0.8782100616115437,-0.22866207831344337
0.64,2.2,0.9436281929430035,0.9706085959995536,0.007000053039547019,3.325090012568888e-08,3.13569151615751e-05,0.0035810916181102013,0.8759644128352007,0.12403558716479136,0.8782288812381955,-0.23229182015056396
0.65,2.2,0.9450644412073833,0.9720062525816319,0.00700005302535748,3.323762084202014e-08,3.227881542982589e-05,0.0036361993966005216,0.8738339176480383,0.1261660823519537,0.8782475106863625,-0.23592157404063596
0.66,2.2,0.9464223064857334,0.9733296398439055,0.007000053011168597,3.322435112987489e-08,3.321476543389673e-05,0.0036912915963806885,0.8717092029717477,0.12829079702824436,0.8782659504641681,-0.23955134016873336
0.67,2.2,0.9477060646833472,0.9745827028636355,0.007000052996980376,3.321109097651163e-08,3.416476034004332e-05,0.0037463682108020706,0.8695902532178027,0.13040974678218925,0.8782842010802632,-0.24318111871986664
0.68,2.2,0.9489197642281116,0.9757691818682368,0.007000052982792824,3.3197840369210365e-08,3.5128795313109694e-05,0.0038014292332512077,0.8674770528398568,0.13252294716013516,0.8783022630419706,-0.24681090987898244
0.6900000000000001,2.2,0.9500672281202183,0.976892614667139,0.007000052968605947,3.318459929527241e-08,3.6106865516544926e-05,0.0038564746571483825,0.8653695863189009,0.13463041368109102,0.8783201368584732,-0.25044071383096383
0.7000000000000001,2.2,0.9511520686457244,0.9779563493664633,0.007000052954419751,3.317136774202042e-08,3.7098966112409294e-05,0.00391150447594807,0.8632678381685432,0.1367321618314487,0.8783378230396488,-0.2540705307606302
0.71,2.2,0.9521777039520184,0.9789635586348993,0.0070000529402342426,3.315814569679829e-08,3.81050922613823e-05,0.003966518683139293,0.8611717929409074,0.13882820705908458,0.87835532209477,-0.257700360852737
0.72,2.2,0.953147367501997,0.979917248081649,0.007000052926049429,3.3144933146971114e-08,3.912523912277181e-05,0.004021517272245529,0.8590814352260439,0.14091856477394807,0.8783726345326089,-0.26133020429197623
0.73,2.2,0.9540641132446248,0.9808202610846146,0.007000052911865315,3.313173007992519e-08,4.0159401854523486e-05,0.0040765002368243364,0.8569967496477023,0.14300325035228964,0.8783897608623318,-0.264960061262976
0.74,2.2,0.9549308268048865,0.9816752885620765,0.007000052897681908,3.311853648306797e-08,4.1207575613229485e-05,0.004131467570467449,0.854917720865523,0.14508227913446892,0.8784067015930017,-0.26858993195030056
0.75,2.2,0.9557502403189764,0.9824848817508866,0.0070000528834992136,3.310535234382806e-08,4.2269755554137035e-05,0.004186419266801112,0.8528443335789982,0.1471556664209937,0.8784234572326974,-0.27221981653845045
0.76,2.2,0.9565249362690733,0.9832514558660737,0.0070000528693172385,3.309217764965519e-08,4.334593683115761e-05,0.004241355319485751,0.8507765725249241,0.1492234274750678,0.8784400282890445,-0.2758497152118624
0.77,2.2,0.9572573540735599,0.9839772960239381,0.007000052855135989,3.307901238802011e-08,4.4436114596875825e-05,0.004296275722215847,0.8487144224768565,0.15128557752313543,0.8784564152693124,-0.2794796281549093
0.78,2.2,0.957949799085932,0.9846645651421047,0.007000052840955471,3.306585654641461e-08,4.5540284002558166e-05,0.004351180468719962,0.8466578682460859,0.15334213175390599,0.8784726186801809,-0.28310955555190015
0.79,2.2,0.9586044548750094,0.9853153145400605,0.007000052826775691,3.3052710112351415e-08,4.6658440198160874e-05,0.00440606955276084,0.8446068946836366,0.15539310531635533,0.8784886390272846,-0.28673949758708006
0.8,2.2,0.9592233841581939,0.9859314851303745,0.0070000528125966546,3.303957307336422e-08,4.779057833233968e-05,0.004460942968135166,0.842561486678307,0.1574385133216849,0.8785044768156175,-0.2903694544446303
0.81,2.2,0.9598085357859817,0.9865149136029826,0.007000052798418369,3.302644541700762e-08,4.89366935524584e-05,0.004515800708673519,0.8405216291570154,0.15947837084297645,0.8785201325494374,-0.2939994263086683
