t,V,n,h
0.0,-50.0,0.01,0.92
0.01,-49.978946016266804,0.009967086419817937,0.9199994399544669
0.02,-49.95783638045242,0.009934674528089842,0.9199988788154736
0.03,-49.936670866419924,0.009902760354309644,0.9199983165785659
0.04,-49.915449211537755,0.009871339398560636,0.919997753238559
0.05,-49.894171266512025,0.009840409436174452,0.9199971887924693
0.06,-49.8728367546281,0.009809965916366901,0.9199966232348127
0.07,-49.85144541509815,0.009780004478969725,0.9199960565604293
0.08,-49.82999698713434,0.009750520763814666,0.9199954887641588
0.09,-49.80849120994885,0.009721510410733462,0.919994919840841
0.1,-49.78692782275486,0.009692969059603297,0.9199943497853158
0.11,-49.76530659341408,0.009664893618352278,0.9199937785928999
0.12,-49.743627299917556,0.009637281443259003,0.9199932062590789
0.13,-49.721889697639874,0.00961012888954298,0.9199926327789617
0.14,-49.70009354195563,0.009583432312423715,0.9199920581476573
0.15,-49.67823858823943,0.009557188067120713,0.9199914823602746
0.16,-49.65632459186586,0.00953139250885348,0.9199909054119225
0.17,-49.63435130260527,0.009506042244963292,0.9199903272975531
0.18,-49.6123184547444,0.00948113457936294,0.9199897480116852
0.19,-49.5902257952318,0.009456666246339082,0.9199891675491917
0.2,-49.568073072187296,0.00943263392748746,0.9199885859049786
0.21,-49.54586003373067,0.009409034304403813,0.9199880030739517
0.22,-49.52358642798172,0.009385864058683885,0.919987419051017
0.23,-49.501251938147064,0.009363122510649052,0.9199868338292245
0.24,-49.47885645205888,0.009340800662576835,0.9199862474074743
0.25,-49.456399594370176,0.009318900214996461,0.9199856597771425
0.26,-49.43388111101606,0.009297417938311863,0.9199850709330727
0.27,-49.41130074674669,0.009276350651095073,0.9199844808700745
0.28,-49.388658245127274,0.009255695220086232,0.9199838895829234
0.29,-49.365953348536486,0.009235448560248608,0.9199832970663613
0.3,-49.34318578668577,0.009215608033708808,0.9199827033147546
0.31,-49.32035528478368,0.009196171166056992,0.9199821083223373
0.32,-49.297461575567624,0.00917713522825592,0.9199815120835686
0.33,-49.27450439012112,0.009158497555733076,0.9199809145928597
0.34,-49.25148345787376,0.009140255548380669,0.9199803158445742
0.35000000000000003,-49.22839850660117,0.009122406670555642,0.9199797158330278
0.36,-49.20524926242507,0.00910494845107966,0.9199791145524885
0.37,-49.182035449813256,0.009087878483239118,0.9199785119971762
0.38,-49.15875679157959,0.009071194424785137,0.9199779081612633
0.39,-49.135413008884,0.009054893997933565,0.9199773030388743
0.4,-49.11200382123249,0.009038974989364979,0.9199766966240857
0.41000000000000003,-49.08852894768087,0.0090234351511822,0.9199760889109504
0.42,-49.06498811136697,0.009008271828005168,0.9199754798935891
0.43,-49.04138102983174,0.008993482753341669,0.9199748695659951
0.44,-49.01770741836158,0.008979065774580566,0.9199742579221019
0.45,-48.9939669907663,0.008965018788985101,0.9199736449557987
0.46,-48.970159459379126,0.008951339743692903,0.9199730306609306
0.47000000000000003,-48.94628453505665,0.008938026635715983,0.9199724150312985
0.48,-48.92234192717887,0.008925077511940736,0.9199717980606585
0.49,-48.89833134364921,0.008912490469127938,0.9199711797427232
0.5,-48.874252490894456,0.008900263653912752,0.9199705600711605
0.51,-48.850105073864825,0.008888395262804721,0.919969939039594
0.52,-48.82588879605029,0.008876883540624655,0.9199693166416036
0.53,-48.80160336308552,0.008865726436527123,0.9199686928707821
0.54,-48.777248479387154,0.008854921924868626,0.9199680677206822
0.55,-48.75282384573186,0.008844468236305629,0.9199674411847779
0.56,-48.72832916155259,0.008834363638692201,0.9199668132565013
0.5700000000000001,-48.70376412493851,0.008824606437080006,0.9199661839292422
0.58,-48.67912843263507,0.008815194973718316,0.9199655531963484
0.59,-48.654421780043954,0.008806127628054,0.9199649210511255
0.6,-48.6296438612231,0.008797402816731527,0.9199642874868367
0.61,-48.604794368886715,0.008789018993592974,0.9199636524967033
0.62,-48.57987299440523,0.00878097464967801,0.9199630160739046
0.63,-48.554879427805346,0.008773268313223913,0.9199623782115773
0.64,-48.52981335703239,0.008765898522046138,0.9199617389027803
0.65,-48.50467446600751,0.008758863750794738,0.919961098140399
0.66,-48.47946243934626,0.008752162587631227,0.9199604559173761
0.67,-48.45417696051948,0.008745793665368342,0.9199598122266223
0.68,-48.42881771156731,0.00873975565075927,0.9199591670610017
0.6900000000000001,-48.403384373099115,0.00873404724449766,0.9199585204133321
0.7000000000000001,-48.377876624293535,0.008728667181217616,0.9199578722763848
0.71,-48.352294142898494,0.008723614229493694,0.9199572226428848
0.72,-48.32663660523116,0.00871888719184091,0.9199565715055105
0.73,-48.30090368617795,0.008714484904714733,0.919955918856894
0.74,-48.275095059194584,0.008710406238511091,0.9199552646896211
0.75,-48.249210410988,0.008706650471520378,0.9199546089968811
0.76,-48.22324937399823,0.008703215570222356,0.9199539517694775
0.77,-48.197211636357636,0.008700100989976211,0.9199532930006967
0.78,-48.17109686391893,0.008697305689054833,0.9199526326828554
0.79,-48.1449047210839,0.008694828659156715,0.9199519708082233
0.8,-48.11863487079388,0.00869266892516505,0.9199513073690221
0.81,-48.09228697452039,0.008690825544906803,0.9199506423574253
0.8200000000000001,-48.06586069225558,0.00868929760891182,0.9199499757655583
0.8300000000000001,-48.039355682502844,0.008688084240171909,0.9199493075854969
