t,V,n,h
0.0,-50.0,0.01,0.92
0.01,-49.99239554448737,0.009966998886267111,0.9199994403035134
0.02,-49.984781815672875,0.009934324963817439,0.9199988802131125
0.03,-49.97715879551488,0.009901975735558876,0.9199983197281177
0.04,-49.9695264631156,0.009869948356953234,0.9199977588477418
0.05,-49.96188480683281,0.009838241424531314,0.9199971975715446
0.06,-49.95423380506136,0.009806852090405898,0.9199966358987116
0.07,-49.94657343745867,0.00977577763178965,0.9199960738284758
0.08,-49.93890368368219,0.009745015325895234,0.9199955113600704
0.09,-49.93122452338937,0.009714562449935314,0.9199949484927284
0.1,-49.923535936237634,0.009684416281122555,0.9199943852256833
0.11,-49.915837901884444,0.009654574096669621,0.9199938215581681
0.12,-49.90813040045244,0.009625033325565786,0.9199932574894328
0.13,-49.900413415403165,0.009595792486096598,0.9199926930188487
0.14,-49.89268692813978,0.009566849425012939,0.9199921281457121
0.15,-49.88495091943474,0.009538201783298535,0.9199915628692966
0.16,-49.87720537006051,0.009509847201937113,0.9199909971888759
0.17,-49.869450260789534,0.009481783321912398,0.9199904311037236
0.18,-49.861685572394286,0.009454007784208115,0.9199898646131132
0.19,-49.853911285647214,0.00942651822980799,0.9199892977163184
0.2,-49.8461273810697,0.009399312410946485,0.9199887304126022
0.21,-49.83833383810729,0.009372388556559611,0.9199881627011819
0.22,-49.83053063701573,0.009345744536582655,0.919987594581309
0.23,-49.82271775818721,0.009319378160496751,0.9199870260522411
0.24,-49.814895182013906,0.009293287237783039,0.9199864571132357
0.25,-49.80706288888801,0.00926746957792266,0.9199858877635501
0.26,-49.799220859201704,0.00924192299039675,0.919985318002442
0.27,-49.791369073347184,0.009216645284686449,0.9199847478291686
0.28,-49.783507505765236,0.009191636645450531,0.9199841772427341
0.29,-49.77563614915174,0.009166889971809568,0.91998360624292
0.3,-49.76775497438793,0.0091424068690339,0.9199830348285785
0.31,-49.7598639617579,0.009118185189740923,0.9199824629989626
0.32,-49.751963091496165,0.009094222806342596,0.919981890753323
0.33,-49.744052343787615,0.00907051761104542,0.9199813180909084
0.34,-49.73613169876756,0.009047067515850443,0.9199807450109653
0.35000000000000003,-49.72820113652171,0.009023870452553274,0.919980171512738
0.36,-49.72026063665175,0.009000924520212679,0.9199795975954502
0.37,-49.71231017806945,0.008978228055047185,0.9199790232582963
0.38,-49.70434974037764,0.008955779161645083,0.9199784485004997
0.39,-49.69637930313701,0.008933575961852487,0.9199778733212827
0.4,-49.688398845838584,0.00891161660412845,0.9199772977198639
0.41000000000000003,-49.680408347903686,0.008889899263544953,0.9199767216954597
0.42,-49.67240778868397,0.00886842214178692,0.919976145247283
0.43,-49.66439714746141,0.0088471834671522,0.9199755683745438
0.44,-49.65637640344826,0.008826181494551586,0.9199749910764492
0.45,-49.648345535787136,0.008805414505508799,0.9199744133522034
0.46,-49.64030452355094,0.008784880808160495,0.9199738352010076
0.47000000000000003,-49.6322533457429,0.00876457873725627,0.9199732566220599
0.48,-49.62419198129656,0.008744506654158648,0.9199726776145555
0.49,-49.616120409075776,0.008724662946843091,0.9199720981776867
0.5,-49.60803860806939,0.0087050458790009,0.9199715183106505
0.51,-49.5999465574375,0.00868565355420041,0.9199709380126514
0.52,-49.59184423596982,0.008666484335659043,0.919970357282878
0.53,-49.58373162238661,0.008647536613077817,0.9199697761205162
0.54,-49.57560869534669,0.008628808796343024,0.9199691945247495
0.55,-49.567475433447505,0.008610299315526239,0.919968612494758
0.56,-49.559331815225114,0.008592006620884302,0.9199680300297202
0.5700000000000001,-49.55117781915419,0.008573929182859335,0.9199674471288111
0.58,-49.543013423647984,0.008556065492078734,0.9199668637912036
0.59,-49.53483860705839,0.008538414059355168,0.9199662800160676
0.6,-49.52665334767589,0.008520973415686585,0.9199656958025707
0.61,-49.51845762372957,0.008503742112256208,0.9199651111498777
0.62,-49.510251413387145,0.00848671872043253,0.9199645260571506
0.63,-49.50203469475492,0.008469901831769329,0.9199639405235492
0.64,-49.49380744603708,0.008453289916360527,0.9199633545482366
0.65,-49.4855696455394,0.008436881319517179,0.9199627681303802
0.66,-49.47732127128419,0.008420674604260586,0.9199621812691359
0.67,-49.46906230123454,0.008404668351861901,0.9199615939636565
0.68,-49.4607927132984,0.008388861158201937,0.9199610062130928
0.6900000000000001,-49.452512485328626,0.008373251633771166,0.9199604180165935
0.7000000000000001,-49.44422159512293,0.00835783840366971,0.9199598293733043
0.71,-49.435920020423914,0.008342620107607357,0.919959240282369
0.72,-49.42760773891904,0.008327595399903544,0.9199586507429286
0.73,-49.419284728240676,0.00831276294948737,0.9199580607541222
0.74,-49.41095096596603,0.00829812143989759,0.9199574703150863
0.75,-49.402606429617215,0.008283669569282611,0.9199568794249549
0.76,-49.39425109666121,0.008269406050400507,0.9199562880828597
0.77,-49.385884944509876,0.008255329610618997,0.9199556962879301
0.78,-49.37750795044754,0.008241438946568836,0.9199551040392895
0.79,-49.369120091643346,0.008227732731901876,0.9199545113360563
0.8,-49.36072134530219,0.00821420971176273,0.9199539181773507
0.81,-49.352311688572236,0.00820086864489911,0.9199533245622906
0.8200000000000001,-49.34389109854386,0.008187708303014176,0.919952730489991
0.8300000000000001,-49.335459552249695,0.008174727470766556,0.9199521359595648
0.84,-49.327017026664606,0.008161924945770338,0.9199515409701223
0.85,-49.318563498705686,0.008149299538595067,0.9199509455207711
0.86,-49.31009894523226,0.008136850072765748,0.9199503496106165
0.87,-49.301623343045904,0.008124575384762852,0.9199497532387613
0.88,-49.29313666889042,0.008112474324022304,0.9199491564043056
0.89,-49.28463889945184,0.008100545752935489,0.9199485591063473
0.9,-49.276130011358454,0.00808878854684926,0.9199479613439814
0.91,-49.26760998118075,0.00807720159406592,0.9199473631163008
0.92,-49.25907878599539,0.008065784098507691,0.919946764422422
0.93,-49.25053640060613,0.008054534088130515,0.9199461652613552
0.9400000000000001,-49.24198280228773,0.008043450961109153,0.9199455656322271
0.9500000000000001,-49.23341796731871,0.00803253362486456,0.9199449655341171
0.96,-49.22484187191923,0.008021780999449984,0.9199443649661028
0.97,-49.21625449225087,0.008011192017440372,0.9199437639272587
0.98,-49.20765580441642,0.008000765623821777,0.9199431624166572
0.99,-49.19904578445971,0.007990500775880763,0.9199425604333679
1.0,-49.19042440836536,0.007980396443093814,0.9199419579764577
1.01,-49.1817916520586,0.00797045160701673,0.9199413550449914
1.02,-49.173147491405054,0.00796066526117405,0.9199407516380306
1.03,-49.164491902210536,0.00795103641094844,0.9199401477546346
1.04,-49.155824860220854,0.00794156407347011,0.9199395433938602
1.05,-49.147146341121584,0.007932247277506221,0.9199389385547614
1.06,-49.138456320405716,0.007923085010669474,0.9199383332363835
1.07,-49.129754773451744,0.007914076250517274,0.9199377274377669
1.08,-49.12104167571648,0.007905220041375937,0.9199371211579555
1.09,-49.112317002592896,0.007896515437667211,0.9199365143959904
1.1,-49.10358072940963,0.007887961503651128,0.9199359071509102
1.11,-49.09483283143062,0.007879557313283398,0.9199352994217503
1.12,-49.08607328385489,0.0078713019500728,0.9199346912075436
1.1300000000000001,-49.07730206181619,0.007863194506938571,0.9199340825073197
1.1400000000000001,-49.06851914038278,0.007855234086067798,0.9199334733201057
1.1500000000000001,-49.0597244945571,0.007847419798772803,0.9199328636449258
1.16,-49.05091809927549,0.007839750765348544,0.9199322534808012
1.17,-49.042099929407925,0.007832226114929994,0.9199316428267502
1.18,-49.03326995975769,0.00782484498534954,0.9199310316817881
1.19,-49.024428165061124,0.007817606522994373,0.9199304200449276
1.2,-49.01557451998735,0.007810509882663868,0.9199298079151781
1.21,-49.00670899913791,0.0078035542274269894,0.9199291952915462
1.22,-48.997831577046604,0.0077967387284796725,0.9199285821730354
1.23,-48.98894222817907,0.0077900625650022155,0.9199279685586464
1.24,-48.9800409269326,0.0077835249240166705,0.9199273544473768
1.25,-48.97112764763579,0.007777125000244234,0.9199267398382212
1.26,-48.96220236454829,0.0077708619959626375,0.9199261247301711
1.27,-48.953265051860505,0.007764735120863539,0.919925509122215
1.28,-48.944315683693304,0.00775874359190991,0.9199248930133386
1.29,-48.93535423409774,0.007752886633193431,0.9199242764025242
1.3,-48.92638067695245,0.007747163485199914,0.9199236592887469
1.31,-48.917394986038055,0.007741573397799343,0.9199230416709777
1.32,-48.908397135160506,0.007736115618733802,0.9199224235481884
1.33,-48.89938709805261,0.0077307894025049435,0.9199218049193476
1.34,-48.89036484837364,0.007725594010238935,0.9199211857834206
1.35,-48.881330359709025,0.0077205287095492145,0.9199205661393696
1.36,-48.872283605569955,0.0077155927743992395,0.9199199459861532
1.37,-48.86322455939309,0.007710785484965247,0.9199193253227272
1.3800000000000001,-48.85415319454017,0.007706106127499007,0.9199187041480437
1.3900000000000001,-48.84506948429771,0.007701553994190571,0.9199180824610518
1.4000000000000001,-48.83597340187663,0.007697128383031032,0.919917460260697
1.41,-48.82686492041191,0.007692828597675279,0.9199168375459217
1.42,-48.81774401296225,0.007688653947304745,0.919916214315665
1.43,-48.80861065250975,0.007684603746490167,0.9199155905688623
1.44,-48.79946481195951,0.007680677315054338,0.9199149663044459
1.45,-48.790306464139334,0.0076768739779348606,0.9199143415213447
1.46,-48.78113558179937,0.007673193065046902,0.919913716218484
1.47,-48.77195213761176,0.007669633911145949,0.9199130903947857
1.48,-48.762756104170315,0.007666195855690559,0.9199124640491686
1.49,-48.75354745399012,0.007662878242705119,0.9199118371805476
1.5,-48.74432615950726,0.007659680420642593,0.9199112097878344
1.51,-48.735092193078415,0.007656601742247284,0.919910581869937
1.52,-48.72584552698056,0.007653641564417582,0.9199099534257601
1.53,-48.71658613341059,0.007650799248094812,0.9199093244542047
1.54,-48.70731398457315,0.007648074286590554,0.9199086949541738
1.55,-48.698029052604795,0.007645466195468346,0.9199080649245676
1.56,-48.68873130948768,0.007642974387001885,0.919907434364278
1.57,-48.679420727124274,0.007640598279549056,0.9199068032721938
1.58,-48.670097277337135,0.007638337297483586,0.9199061716472
1.59,-48.66076093186853,0.007636190871126709,0.9199055394881784
1.6,-48.651411662380205,0.0076341584366788244,0.919904906794007
1.61,-48.642049440453064,0.007632239436151156,0.9199042735635605
1.62,-48.63267423758686,0.007630433317297414,0.9199036397957098
1.6300000000000001,-48.6232860251999,0.007628739533545454,0.9199030054893225
1.6400000000000001,-48.61388477462877,0.007627157543928938,0.9199023706432625
1.6500000000000001,-48.604470457128016,0.007625686813018995,0.9199017352563902
1.6600000000000001,-48.59504304386985,0.007624326810855876,0.9199010993275624
1.67,-48.58560250594386,0.007623077012880625,0.9199004628556321
1.68,-48.576148814356706,0.007621936899866727,0.919899825839449
1.69,-48.56668194003182,0.007620905957851776,0.9198991882778589
1.7,-48.557201853809126,0.007619983678069132,0.9198985501697041
1.71,-48.547708526444715,0.0076191695568795835,0.9198979115138233
1.72,-48.53820192861056,0.007618463095703004,0.9198972723090514
1.73,-48.528682030894245,0.007617863800950015,0.9198966325542196
1.74,-48.51914880379862,0.007617371183953646,0.9198959922481555
1.75,-48.50960221774153,0.007616984760900993,0.919895351389683
1.76,-48.500042243055525,0.0076167040527648795,0.9198947099776223
1.77,-48.490468849987366,0.007616528585293424,0.9198940680107897
1.78,-48.48088200860329,0.0076164579214173635,0.9198934254879956
1.79,-48.471281688879955,0.00761649162979873,0.9198927824080463
1.8,-48.46166786077765,0.007616629259516175,0.9198921387697463
1.81,-48.45204049416804,0.007616870364720535,0.9198914945718962
1.82,-48.44239955883382,0.007617214504583026,0.9198908498132928
1.83,-48.432745024468375,0.0076176612432434345,0.919890204492729
1.84,-48.42307686067542,0.007618210149758307,0.9198895586089938
1.85,-48.4133950369687,0.0076188607980491405,0.9198889121608723
1.86,-48.40369952277159,0.0076196127668505765,0.9198882651471458
1.87,-48.393990287416756,0.0076204656396585855,0.9198876175665917
1.8800000000000001,-48.38426730014586,0.007621419004678664,0.9198869694179832
1.8900000000000001,-48.374530530109155,0.007622472454774022,0.91988632070009
1.9000000000000001,-48.36477994636517,0.007623625587413777,0.9198856714116775
