t,V1,V2,V3,V4,h,m,m_1,m_2
0.0,-50.0,-50.0,-50.0,-50.0,0.92,0.92,0.92,0.92
0.01,-49.92487276971375,-50.02488306792495,-50.01741990627721,-49.992535211610964,0.9199994275048227,0.9199954000115091,0.9199954000115134,0.9199908000460184
0.02,-49.84956931688067,-50.04954234586623,-50.03468034563029,-49.98514050965781,0.9199988504267425,0.9199908000460182,0.9199908000460265,0.919981600184036
0.03,-49.774086493786825,-50.07397983950541,-50.051782771325435,-49.97781522039739,0.9199982687321768,0.9199862001035268,0.9199862001035393,0.9199724004140516
0.04,-49.69842166830245,-50.098197177757235,-50.06872836337271,-49.97055879719124,0.9199976823927712,0.9199816001840352,0.9199816001840517,0.9199632007360647
0.05,-49.62257131625386,-50.12219652242861,-50.08551868771272,-49.9633705147883,0.9199970913704506,0.919977000287543,0.9199770002875638,0.9199540011500742
0.06,-49.54653167944056,-50.145980203543786,-50.102155432272646,-49.9562495912208,0.9199964956247534,0.9199724004140503,0.9199724004140751,0.9199448016560791
0.07,-49.47029953905927,-50.169550093248205,-50.11863995259954,-49.94919539960343,0.9199958951202852,0.9199678005635568,0.9199678005635857,0.9199356022540783
0.08,-49.39387180553937,-50.19290795395247,-50.134973524582364,-49.9422073502181,0.9199952898228654,0.9199632007360624,0.9199632007360955,0.9199264029440712
0.09,-49.317245186564314,-50.21605570953762,-50.15115754128394,-49.93528479873968,0.9199946796963393,0.919958600931567,0.9199586009316042,0.9199172037260568
0.1,-49.240416271304845,-50.23899522125758,-50.167193349696355,-49.92842712332354,0.9199940647023773,0.9199540011500705,0.9199540011501119,0.9199080046000341
0.11,-49.16338166112028,-50.26172835680723,-50.183082301549895,-49.921633699813,0.9199934448028735,0.919949401391573,0.9199494013916184,0.9198988055660022
0.12,-49.08613792320537,-50.28425696706157,-50.19882573621444,-49.91490391006268,0.919992819959058,0.919944801656074,0.9199448016561236,0.9198896066239602
0.13,-49.00868164715822,-50.30658291425626,-50.21442500141214,-49.9082371318594,0.919992190132587,0.9199402019435736,0.9199402019436272,0.9198804077739072
0.14,-48.93100924983844,-50.328707973032145,-50.229881380465855,-49.9016327743541,0.9199915552818368,0.9199356022540717,0.9199356022541295,0.9198712090158424
0.15,-48.85311725623326,-50.35063397401024,-50.24519619786354,-49.89509022663628,0.9199909153671932,0.9199310025875681,0.9199310025876299,0.9198620103497647
0.16,-48.775002062595384,-50.372362685813265,-50.26037073253718,-49.888608899945254,0.9199902703464731,0.9199264029440628,0.9199264029441288,0.9198528117756731
0.17,-48.69666007966188,-50.39389588278674,-50.27540626761386,-49.88218820349555,0.91998962017783,0.9199218033235556,0.9199218033236256,0.919843613293567
0.18,-48.618087678887846,-50.415235319575615,-50.290304071738504,-49.87582755355241,0.9199889648186637,0.9199172037260464,0.9199172037261205,0.9198344149034452
0.19,-48.5392811875577,-50.43638272881259,-50.305065397375685,-49.86952637425694,0.9199883042255201,0.919912604151535,0.9199126041516132,0.9198252166053069
0.2,-48.46023688892931,-50.4573398212266,-50.31969148088964,-49.863284097586714,0.919987638354094,0.9199080046000214,0.9199080046001038,0.9198160183991511
0.21,-48.38095105576705,-50.47810831088098,-50.334183561167485,-49.85710015418505,0.919986967159495,0.9199034050715055,0.919903405071592,0.919806820284977
0.22,-48.3014199295404,-50.49868989951761,-50.34854286806679,-49.85097397904982,0.9199862905960832,0.9198988055659871,0.9198988055660777,0.9197976222627835
0.23,-48.22163969447764,-50.519086257028775,-50.36277060800576,-49.844905018629355,0.9199856086172604,0.9198942060834662,0.9198942060835609,0.9197884243325699
0.24,-48.14160649530283,-50.53929903480668,-50.37686797381389,-49.83889272597168,0.9199849211756131,0.9198896066239425,0.9198896066240413,0.9197792264943352
0.25,-48.06131643723587,-50.55932986574348,-50.39083614473187,-49.83293656072448,0.9199842282229114,0.9198850071874161,0.919885007187519,0.9197700287480783
0.26,-47.98076559175782,-50.57918036829988,-50.40467628941478,-49.827035987655314,0.9199835297101371,0.9198804077738867,0.9198804077739936,0.9197608310937986
0.27,-47.89995003920385,-50.598852176563206,-50.418389588117776,-49.82119046571932,0.9199828255876864,0.9198758083833543,0.9198758083834654,0.9197516335314949
0.28,-47.81886580712312,-50.61834689674766,-50.43197720058907,-49.81539946388033,0.9199821158050763,0.9198712090158188,0.9198712090159339,0.9197424360611665
0.29,-47.73750888119282,-50.637666114896454,-50.445440271754784,-49.8096624583096,0.9199814003109965,0.91986660967128,0.9198666096713992,0.9197332386828122
0.3,-47.65587521266445,-50.6568114021366,-50.45877993559758,-49.803978930474564,0.919980679053345,0.9198620103497378,0.9198620103498611,0.9197240413964314
0.31,-47.57396071836375,-50.67578431467892,-50.47199731515663,-49.79834836713885,0.9199799519792283,0.9198574110511922,0.9198574110513196,0.919714844202023
0.32,-47.49176128193126,-50.69458639668148,-50.4850935246675,-49.79277025927195,0.9199792190345982,0.9198528117756429,0.9198528117757744,0.9197056470995861
0.33,-47.409272754824734,-50.7132191825632,-50.4980696712913,-49.787244101168184,0.9199784801639603,0.91984821252309,0.9198482125232255,0.9196964500891198
0.34,-47.32649095277626,-50.73168418882643,-50.51092684900331,-49.78176939356061,0.9199777353114078,0.9198436132935333,0.9198436132936728,0.9196872531706232
0.35000000000000003,-47.24341165734576,-50.74998291764256,-50.52366614127274,-49.776345642255585,0.9199769844201681,0.9198390140869724,0.9198390140871161,0.9196780563440953
0.36,-47.160030615974115,-50.76811685697478,-50.536288621154384,-49.7709723580861,0.9199762274325871,0.9198344149034077,0.9198344149035553,0.9196688596095351
0.37,-47.07634354221442,-50.786087480711224,-50.548795351388144,-49.76564905686109,0.9199754642901108,0.9198298157428387,0.9198298157429905,0.9196596629669421
0.38,-46.9923461257064,-50.80389625441161,-50.56118738869323,-49.76037525718075,0.9199746949324618,0.9198252166052655,0.9198252166054213,0.9196504664163149
0.39,-46.90803402297538,-50.821544630006166,-50.57346577980691,-49.7551504824518,0.9199739192983988,0.9198206174906878,0.9198206174908478,0.9196412699576528
0.4,-46.8234028539581,-50.83903404379413,-50.58563155998888,-49.749974261648525,0.9199731373260026,0.9198160183991057,0.9198160183992696,0.9196320735909549
0.41000000000000003,-46.738448205698646,-50.85636591857305,-50.5976857546124,-49.7448461285032,0.9199723489523719,0.9198114193305188,0.9198114193306868,0.9196228773162202
0.42,-46.65316563234846,-50.873541663638775,-50.60962937916427,-49.73976562150607,0.9199715541136225,0.9198068202849272,0.9198068202850993,0.9196136811334478
0.43,-46.56755066300541,-50.89056267675183,-50.62146344071366,-49.73473228316061,0.9199707527445468,0.9198022212623308,0.919802221262507,0.9196044850426368
0.44,-46.48159883096594,-50.9074303514749,-50.633188943393044,-49.7297456572041,0.9199699447773383,0.9197976222627294,0.9197976222629096,0.9195952890437863
0.45,-46.39530561457692,-50.924146062336305,-50.64480687731566,-49.72480529422754,0.9199691301441697,0.9197930232861229,0.9197930232863072,0.9195860931368953
0.46,-46.308666456712466,-50.94071116971548,-50.656318222224876,-49.71991074982503,0.9199683087763428,0.9197884243325112,0.9197884243326995,0.919576897321963
0.47000000000000003,-46.22167676923922,-50.95712702096303,-50.66772394833086,-49.71506158416962,0.9199674806040956,0.9197838254018942,0.9197838254020865,0.9195677015989884
0.48,-46.134331933016284,-50.97339495040076,-50.67902501631053,-49.710257362013174,0.919966645556601,0.9197792264942718,0.9197792264944681,0.9195585059679705
0.49,-46.04662729789529,-50.98951627932163,-50.69022237730759,-49.70549765268649,0.9199658035619676,0.9197746276096438,0.9197746276098442,0.9195493104289085
0.5,-45.958558182720324,-51.005492315989784,-50.701316972932524,-49.70078203009921,0.9199649545472389,0.9197700287480102,0.9197700287482146,0.9195401149818015
0.51,-45.87011987532797,-51.02132435564056,-50.712309735262586,-49.696110072739906,0.9199640984383947,0.9197654299093707,0.9197654299095791,0.9195309196266486
0.52,-45.781307682082605,-51.03701368846358,-50.72320159280516,-49.69148136065725,0.9199632351587748,0.9197608310937253,0.9197608310939379,0.9195217243634487
0.53,-45.692116949635135,-51.05256160310946,-50.73399347311726,-49.68689547413409,0.9199623646283884,0.9197562323010741,0.9197562323012906,0.9195125291922011
