t,Casp8,Casp8Bid,Bid,Apaf_1,CytcApaf_1,Cytc,Apop,Cytc_mito,Bax_2,tBid_mito,Bax,tBid,tBidBax,Bcl_2,Casp3,Casp3Bcl_2,Casp3Bid,IAP,Casp3IAP,Pro9,ApopPro9,ApopPro9_2,ApopCasp9_2Pro3,ApopCasp9_2,Pro3,Casp9Pro3,Casp9,Casp9IAP,ApopCasp9IAP,ApopCasp9_2IAP,ApopCasp9
0.0,0.0,0.0,0.004,0.004,0.0,0.0,0.0,0.004,0.0,0.0,0.004,0.0,0.0,0.004,0.0,0.0,0.0,0.004,0.0,0.004,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.0,0.0,0.0040000599982000645,0.0040027599172030295,0.0,0.0,0.0,0.0040027599172030295,0.0,0.0,0.003998724978594511,0.0,0.0,0.003998255758146867,0.0,0.0,0.0,0.0040000599982000645,0.0,0.0040027599172030295,0.0,0.0,0.0,0.0,0.0040027599172030295,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.0,0.0,0.004000119992800342,0.004005519668815809,0.0,0.0,0.0,0.004005519668815809,0.0,0.0,0.0039974512404234675,0.0,0.0,0.003996512827680591,0.0,0.0,0.0,0.004000119992800342,0.0,0.004005519668815809,0.0,0.0,0.0,0.0,0.004005519668815809,0.0,0.0,0.0,0.0,0.0,0.0
0.03,0.0,0.0,0.004000179983801039,0.004008279254847895,0.0,0.0,0.0,0.004008279254847895,0.0,0.0,0.003996178783987768,0.0,0.0,0.003994771207100449,0.0,0.0,0.0,0.004000179983801039,0.0,0.004008279254847895,0.0,0.0,0.0,0.0,0.004008279254847895,0.0,0.0,0.0,0.0,0.0,0.0
0.04,0.0,0.0,0.0040002399712023955,0.004011038675310323,0.0,0.0,0.0,0.004011038675310323,0.0,0.0,0.003994907607562456,0.0,0.0,0.003993030894679606,0.0,0.0,0.0,0.0040002399712023955,0.0,0.004011038675310323,0.0,0.0,0.0,0.0,0.004011038675310323,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.0,0.0,0.00400029995500454,0.004013797930208977,0.0,0.0,0.0,0.004013797930208977,0.0,0.0,0.003993637710256557,0.0,0.0,0.003991291889526091,0.0,0.0,0.0,0.00400029995500454,0.0,0.004013797930208977,0.0,0.0,0.0,0.0,0.004013797930208977,0.0,0.0,0.0,0.0,0.0,0.0
0.06,0.0,0.0,0.004000359935207713,0.004016557019554926,0.0,0.0,0.0,0.004016557019554926,0.0,0.0,0.00399236909035187,0.0,0.0,0.003989554189919818,0.0,0.0,0.0,0.004000359935207713,0.0,0.004016557019554926,0.0,0.0,0.0,0.0,0.004016557019554926,0.0,0.0,0.0,0.0,0.0,0.0
0.07,0.0,0.0,0.00400041991181214,0.0040193159433586,0.0,0.0,0.0,0.0040193159433586,0.0,0.0,0.003991101746222022,0.0,0.0,0.003987817794232642,0.0,0.0,0.0,0.00400041991181214,0.0,0.0040193159433586,0.0,0.0,0.0,0.0,0.0040193159433586,0.0,0.0,0.0,0.0,0.0,0.0
0.08,0.0,0.0,0.00400047988481805,0.004022074701630429,0.0,0.0,0.0,0.004022074701630429,0.0,0.0,0.003989835676240644,0.0,0.0,0.003986082700836419,0.0,0.0,0.0,0.00400047988481805,0.0,0.004022074701630429,0.0,0.0,0.0,0.0,0.004022074701630429,0.0,0.0,0.0,0.0,0.0,0.0
0.09,0.0,0.0,0.004000539854225668,0.004024833294380842,0.0,0.0,0.0,0.004024833294380842,0.0,0.0,0.003988570878781362,0.0,0.0,0.003984348908103004,0.0,0.0,0.0,0.004000539854225668,0.0,0.004024833294380842,0.0,0.0,0.0,0.0,0.004024833294380842,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.004000599820035221,0.00402759172162027,0.0,0.0,0.0,0.00402759172162027,0.0,0.0,0.003987307352217808,0.0,0.0,0.0039826164144042536,0.0,0.0,0.0,0.004000599820035221,0.0,0.00402759172162027,0.0,0.0,0.0,0.0,0.00402759172162027,0.0,0.0,0.0,0.0,0.0,0.0
0.11,0.0,0.0,0.004000659782246935,0.004030349983359141,0.0,0.0,0.0,0.004030349983359141,0.0,0.0,0.003986045094923609,0.0,0.0,0.003980885218112023,0.0,0.0,0.0,0.004000659782246935,0.0,0.004030349983359141,0.0,0.0,0.0,0.0,0.004030349983359141,0.0,0.0,0.0,0.0,0.0,0.0
0.12,0.0,0.0,0.004000719740861038,0.004033108079607886,0.0,0.0,0.0,0.004033108079607886,0.0,0.0,0.003984784105272393,0.0,0.0,0.00397915531759817,0.0,0.0,0.0,0.004000719740861038,0.0,0.004033108079607886,0.0,0.0,0.0,0.0,0.004033108079607886,0.0,0.0,0.0,0.0,0.0,0.0
0.13,0.0,0.0,0.004000779695877757,0.0040358660103769345,0.0,0.0,0.0,0.0040358660103769345,0.0,0.0,0.003983524381637791,0.0,0.0,0.003977426711234547,0.0,0.0,0.0,0.004000779695877757,0.0,0.0040358660103769345,0.0,0.0,0.0,0.0,0.0040358660103769345,0.0,0.0,0.0,0.0,0.0,0.0
0.14,0.0,0.0,0.004000839647297317,0.004038623775676715,0.0,0.0,0.0,0.004038623775676715,0.0,0.0,0.003982265922393431,0.0,0.0,0.003975699397393012,0.0,0.0,0.0,0.004000839647297317,0.0,0.004038623775676715,0.0,0.0,0.0,0.0,0.004038623775676715,0.0,0.0,0.0,0.0,0.0,0.0
