t,NO,O_2m,NO_2,N2O3,GSNO,CcOX,FeLn,ONOO_m,GSH
0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,0.0,10000.0
0.01,0.009513289313584463,4.155674119918464e-06,1.2747867570488085e-10,1.796397934889979e-15,2.974117624485068e-06,0.09951756293672658,0.049999999128074124,1.0088127394375149e-06,9999.999997025889
0.02,0.018128198650829215,4.14572446320579e-06,8.983396286691633e-10,2.4113765070941316e-14,1.1644420648626494e-05,0.09814473953867267,0.04999999833836247,3.029164718469147e-06,9999.999988355574
0.03,0.025962922907560023,4.136719420094603e-06,2.59930991859623e-09,9.993406346978746e-14,2.5579255477428773e-05,0.09599897332220225,0.04999999762016946,5.292308820871198e-06,9999.999974420705
0.04,0.0331368432953144,4.128507835696581e-06,5.172160875447304e-09,2.538700590980349e-13,4.435392215857114e-05,0.0931990026230915,0.04999999696255181,7.517623574215265e-06,9999.999955645972
0.05,0.03976494902001986,4.120950111804015e-06,8.357340758397404e-09,4.922467544288769e-13,6.759149170963862e-05,0.08985927854098771,0.049999996354968705,9.615646055063849e-06,9999.9999324083
0.06,0.04595440704009205,4.113917840127245e-06,1.1840328304126206e-08,8.05914844048058e-13,9.497639840469416e-05,0.08608653012069582,0.04999999578759641,1.1573619525687958e-05,9999.999905023247
0.07,0.05180270186276984,4.107295536632009e-06,1.535943095572943e-08,1.1785348460134432e-12,0.00012625598165784857,0.08197789590969301,0.049999995251498654,1.340512116600229e-05,9999.999873743474
0.08,0.05739724733222366,4.100980818131745e-06,1.8747395140474974e-08,1.593898348546296e-12,0.00016123525553685667,0.07762052471842447,0.04999999473866244,1.5132081580523556e-05,9999.999838763955
0.09,0.06281546351943561,4.0948839112693405e-06,2.1928956991726593e-08,2.040380895113095e-12,0.0001997723627355964,0.07309164478070118,0.04999999424199075,1.6778228135419705e-05,9999.99980022655
0.1,0.0681253939776565,4.088926698996152e-06,2.4896658930205096e-08,2.512385932186672e-12,0.00024177254444347738,0.06845917190454384,0.04999999375524613,1.8365726200606347e-05,9999.999758226008
0.11,0.07338658732523134,4.0830414866960625e-06,2.7681959651355197e-08,3.0091997934756e-12,0.0002871822913007783,0.06378258278504823,0.04999999327296986,1.9914513386177658e-05,9999.999712815837
0.12,0.07865095642606057,4.077169878531955e-06,3.033297803656386e-08,3.5338219228075427e-12,0.0003359844070582665,0.05911376731356676,0.04999999279040315,2.1442202007479814e-05,9999.999664013236
0.13,0.08396364866404125,4.071261651624276e-06,3.289913792782073e-08,4.0917060129865085e-12,0.00038819326946421396,0.05449789229188311,0.0499999923034074,2.2964099718290116e-05,9999.999611803818
0.14,0.08936385160367152,4.065273773249868e-06,3.542360997935241e-08,4.6890955860760164e-12,0.0004438504243124658,0.049974201039915844,0.04999999180839037,2.4493409884811365e-05,9999.999556146036
0.15,0.09488535229343464,4.059169775525746e-06,3.79443517723505e-08,5.3326397429694976e-12,0.0005030213212434926,0.045576568244531025,0.04999999130225478,2.6041491790297532e-05,9999.99949697444
0.16,0.10055706773013569,4.052918769526166e-06,4.049081220889542e-08,6.03156741655388e-12,0.0005657919462372289,0.041334025801087165,0.04999999078234988,2.761797627712246e-05,9999.999434203042
0.17,0.1064034889544152,4.046495430359702e-06,4.3084772048397734e-08,6.790588917264988e-12,0.0006322655701094287,0.037271202463685954,0.04999999024643072,2.9230951047551682e-05,9999.99936772857
0.18,0.11244496815778629,4.039879398728083e-06,4.5743370688784025e-08,7.61782620698885e-12,0.0007025600232628974,0.0334086072421109,0.049999989692631246,3.088715796590642e-05,9999.999297433185
0.19,0.11869792182061538,4.033054117406851e-06,4.848011321319198e-08,8.52610224908147e-12,0.0007768051619694799,0.029762829065566723,0.04999998911944704,3.2592045863648554e-05,9999.999223187035
0.2,0.12517499256592785,4.026008827138193e-06,5.130490035378431e-08,9.511749459411278e-12,0.000855140354028119,0.026346695199199955,0.04999998852571911,3.4349822615337176e-05,9999.999144850746
