t,Casp8,Casp8Bid,FeLnNO,Bid,Apaf_1,CytcApaf_1,Cytc,Apop,Cytc_mito,PTPC,Bax_2,tBid_mito,Bax,tBid,tBidBax,Bcl_2,Casp3,Casp3Bcl_2,Casp3Bid,IAP,Casp3IAP,Pro9,ApopPro9,ApopPro9_2,ApopCasp9_2Pro3,ApopCasp9_2,Pro3,Casp9Pro3,Casp9,Casp9IAP,ApopCasp9IAP,ApopCasp9_2IAP,ApopCasp9,NO,O_2m,NO_2,N2O3,GSNO,CcOX,FeLn,ONOO_m,GSH
0.0,0.0,0.0,0.0,0.004,0.004,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.004,0.0,0.0,0.004,0.0,0.0,0.0,0.004,0.0,0.004,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.1,0.05,0.0,10000.0
0.01,0.0,0.0,8.620487229378598e-10,0.004000059998200031,0.004002759917201653,0.0,0.0,0.0,0.004002759917201653,0.0,0.0,0.0,0.003998724978810417,0.0,0.0,0.003998255758362999,0.0,0.0,0.0,0.004000059998200031,0.0,0.004002759917201653,0.0,0.0,0.0,0.0,0.004002759917201653,0.0,0.0,0.0,0.0,0.0,0.0,0.009405540112787918,4.155798601980703e-06,1.230155696016121e-10,1.714095980152939e-15,1.3297000734186539e-05,0.09952871232137356,0.04999999913795133,4.83180654375568e-05,9999.999986702982
0.02,0.0,0.0,1.6526781508354534e-09,0.004000119992800282,0.004005519668813244,0.0,0.0,0.0,0.004005519668813244,0.0,0.0,0.0,0.003997451240825221,0.0,0.0,0.003996512828082775,0.0,0.0,0.0,0.004000119992800282,0.0,0.004005519668813244,0.0,0.0,0.0,0.0,0.004005519668813244,0.0,0.0,0.0,0.0,0.0,0.0,0.01803046131944198,4.145838018674889e-06,8.838313100527413e-10,2.3597964026235746e-14,2.606189332691815e-05,0.09816581018248359,0.049999998347321904,2.1643941369842256e-05,9999.999973938051
0.03,0.0,0.0,2.371659741563739e-09,0.004000179983800966,0.004008279254844707,0.0,0.0,0.0,0.004008279254844707,0.0,0.0,0.0,0.003996178784486845,0.0,0.0,0.0039947712076000615,0.0,0.0,0.0,0.004000179983800966,0.0,0.004008279254844707,0.0,0.0,0.0,0.0,0.004008279254844707,0.0,0.0,0.0,0.0,0.0,0.0,0.025873788095680042,4.136821807960522e-06,2.5739029995999962e-09,9.862894295684603e-14,4.157477056434226e-05,0.09602856394837372,0.049999997628340315,1.2607698864647508e-05,9999.99995842511
0.04,0.0,0.0,3.0299383189216935e-09,0.004000239971202298,0.004011038675305975,0.0,0.0,0.0,0.004011038675305975,0.0,0.0,0.0,0.003994907608240227,0.0,0.0,0.003993030895358111,0.0,0.0,0.0,0.004000239971202298,0.0,0.004011038675305975,0.0,0.0,0.0,0.0,0.004011038675305975,0.0,0.0,0.0,0.0,0.0,0.0,0.03305491816487149,4.1286014485065536e-06,5.138859408770765e-09,2.515984531816592e-13,6.0939425367784114e-05,0.09323572696602493,0.049999996970061744,1.0380323751305033e-05,9999.999939060366
0.05,0.0,0.0,3.638059637374623e-09,0.0040002999550044945,0.004013797930206981,0.0,0.0,0.0,0.004013797930206981,0.0,0.0,0.0,0.00399363771053281,0.0,0.0,0.003991291889802678,0.0,0.0,0.0,0.0040002999550044945,0.0,0.004013797930206981,0.0,0.0,0.0,0.0,0.004013797930206981,0.0,0.0,0.0,0.0,0.0,0.0,0.039688895109517,4.121036672859425e-06,8.318552065508578e-09,4.890081325421831e-13,8.437987710410702e-05,0.08990180430916468,0.049999996361940434,1.0726088283339164e-05,9999.999915619788
0.06,0.0,0.0,4.205854436866004e-09,0.00400035993520777,0.004016557019557661,0.0,0.0,0.0,0.004016557019557661,0.0,0.0,0.0,0.003992369089814539,0.0,0.0,0.0039895541893820155,0.0,0.0,0.0,0.00400035993520777,0.0,0.004016557019557661,0.0,0.0,0.0,0.0,0.004016557019557661,0.0,0.0,0.0,0.0,0.0,0.0,0.04588296198601859,4.113998872624387e-06,1.1799458129072678e-08,8.019157601164351e-13,0.00011181722099397905,0.0861336001008737,0.04999999579414564,1.1995057052752548e-05,9999.999888182274
0.07,0.0,0.0,4.74227579905038e-09,0.004000419911812342,0.004019315943367945,0.0,0.0,0.0,0.004019315943367945,0.0,0.0,0.0,0.003991101744537845,0.0,0.0,0.0039878177925468695,0.0,0.0,0.0,0.004000419911812342,0.0,0.004019315943367945,0.0,0.0,0.0,0.0,0.004019315943367945,0.0,0.0,0.0,0.0,0.0,0.0,0.05173478724086389,4.107372316445501e-06,1.53189552368263e-08,1.1738928534691024e-12,0.0001430909608386856,0.0820284351191903,0.04999999525772428,1.3556660079300552e-05,9999.999856908318
0.08,0.0,0.0,5.255345859110999e-09,0.004000479884818424,0.004022074701647767,0.0,0.0,0.0,0.004022074701647767,0.0,0.0,0.0,0.003989835673157654,0.0,0.0,0.003986082697750476,0.0,0.0,0.0,0.004000479884818424,0.0,0.004022074701647767,0.0,0.0,0.0,0.0,0.004022074701647767,0.0,0.0,0.0,0.0,0.0,0.0,0.05733188352789678,4.101054479958827e-06,1.8708637605234405e-08,1.5887875406065983e-12,0.00017804250632142562,0.07767355635901556,0.04999999474465422,1.5178678810868277e-05,9999.999821956508
0.09,0.0,0.0,5.752171427641362e-09,0.004000539854226234,0.004024833294407057,0.0,0.0,0.0,0.004024833294407057,0.0,0.0,0.0,0.003988570874131372,0.0,0.0,0.00398434890344855,0.0,0.0,0.0,0.004000539854226234,0.0,0.004024833294407057,0.0,0.0,0.0,0.0,0.004024833294407057,0.0,0.0,0.0,0.0,0.0,0.0,0.06275177821392801,4.094955467838758e-06,2.1892555843530942e-08,2.034915220187823e-12,0.0002165440083134017,0.07314629839266527,0.049999994247828645,1.678344033671867e-05,9999.999783454687
