t,Rs,RL,Ri,L,R2L2,R2_CPP,Li,R2i,Shc,ShcP,ShcGS,GS,GSP,RasGDP,Ras_ShcGS,RasGTP,GAP,Ras_GAP,Raf,Ras_Raf,Rafa,MEK,MEKP,MEKPP,ERK,ERKP,ERKPP,t,X
0.0,11100.0,0.0,3900.0,1e-07,0.0,0.0,0.0,0.0,30000.0,0.0,0.0,20000.0,0.0,19800.0,0.0,200.0,15000.0,0.0,10000.0,0.0,0.0,360000.0,0.0,0.0,750000.0,0.0,0.0,0.0,0.0
0.01,11100.022803490372,9.998320141085623e-08,3900.022803590366,1.711422996202618e-20,1.3813277587320023e-19,1.3816898932796617e-22,1.6798588990750033e-11,5.822450537799151e-24,30000.0,0.0,0.0,20000.0,0.0,19885.940445848293,0.0,90.5000263181865,14990.364484361144,9.635515638864225,9983.926873917788,13.924012194634907,1.807617319869914,359999.6599333982,0.3400600001190416,6.601189008337815e-06,749999.9931256238,0.006874375754177338,2.9404392748988557e-10,0.01,0.0
0.02,11100.045614113485,9.996640564208317e-08,3900.045614213496,1.711131985500597e-20,2.759315787965621e-19,5.521525009791443e-22,3.359435762556344e-11,2.334510419025528e-23,30000.0,0.0,0.0,20000.0,0.0,19934.823647749607,0.0,43.74280576963777,14995.379781028707,4.620218971299734,9977.234708084354,16.813327509431165,4.1306141246788455,359998.1952713623,1.8045421971298328,0.00018644020905870853,749999.9206855734,0.07931438766401126,3.9142579570460004e-08,0.02,0.0
0.03,11100.068431323361,9.99496126891578e-08,3900.068431423388,1.7108410225354248e-20,4.1339712056597108e-19,1.241166667816158e-21,5.0387310412770097e-11,5.2650692498108944e-23,30000.0,0.0,0.0,20000.0,0.0,19959.006869359888,0.0,22.895425264297593,14997.610687796006,2.389312203998398,9974.687230323396,15.708393171781722,5.409154327993861,359995.8669673474,4.13205159902929,0.0009810532059552392,749999.7048680839,0.29513137425293484,5.419712743425012e-07,0.03,0.0
0.04,11100.091254375022,9.993282254488428e-08,3900.091254475066,1.710550107954515e-20,5.505301114628076e-19,2.2044293759570794e-21,6.717745454816418e-11,9.38216583648669e-23,30000.0,0.0,0.0,20000.0,0.0,19972.040290102417,0.0,13.185197056597604,14998.642507380955,1.3574926190466394,9973.944336288845,13.417020221905531,5.699452406182095,359993.20830785943,6.789032543395607,0.002659596899948357,749999.3022703885,0.6977265827395165,3.0291187315031564e-06,0.04,0.0
0.05,11100.114082224427,9.991603519938201e-08,3900.114082324489,1.7102592417361234e-20,6.873312602374624e-19,3.441160260521627e-21,8.396479991234996e-11,1.4694016455868608e-22,30000.0,0.0,0.0,20000.0,0.0,19979.783297570717,0.0,8.35355331101797,14999.1506123889,0.8493876111017217,9973.952878840682,11.013761507129322,5.373286012440641,359990.6141521983,9.38074493349078,0.005102867911616809,749998.7048587824,1.2951307810608135,1.0436942240218295e-05,0.05,0.0
0.06,11100.13691352838,9.989925064008785e-08,3900.1369136284566,1.7099684407094518e-20,8.238012740978586e-19,4.950580701173222e-21,1.0074935906848134e-10,2.120881023382035e-22,30000.0,0.0,0.0,20000.0,0.0,19984.825240415154,0.0,5.729701472609874,14999.422982234475,0.5770177655250913,9974.242021958395,8.868040346670446,4.750601736026155,359988.29985126684,11.69217645767063,0.007972275216715726,749997.9270090392,2.0729642229222542,2.6738063993864834e-05,0.06,0.0
0.07,11100.159746644415,9.988246885175833e-08,3900.1597467445094,1.7096776543611233e-20,9.599408586980487e-19,6.731913817458106e-21,1.1753114725999947e-10,2.8934710020120363e-22,30000.0,0.0,0.0,20000.0,0.0,19988.354744016662,0.0,4.15855676331675,14999.58390001399,0.4160999860115483,9974.60576080757,7.07059923397413,4.037044224747827,359986.3503645955,13.6387182723954,0.010917131910723202,749996.9937958803,3.0061478899288567,5.6229910051725005e-05,0.07,0.0
0.08,11100.182579630726,9.9865689816472e-08,3900.1825797308334,1.7093869331864948e-20,1.095750718126901e-18,8.784384463942951e-21,1.3431018240836923e-10,3.787985327550258e-22,30000.0,0.0,0.0,20000.0,0.0,19990.950811075392,0.0,3.128582025328164,14999.688186798674,0.3118132013273753,9974.958537368253,5.60879369791714,3.344910675024469,359984.773802637,15.212518445734238,0.013678917116786399,749995.9333634998,4.0665336049724345,0.00010289536887415622,0.08,0.0
0.09,11100.205410246042,9.984891351363166e-08,3900.2054103461646,1.7090962603434954e-20,1.2312315548968584e-18,1.1107219225152153e-20,1.5108648511081333e-10,4.80523529707606e-22,30000.0,0.0,0.0,20000.0,0.0,19992.919587029963,0.0,2.4040539829804923,14999.760938284138,0.23906171586226782,9975.26908837542,4.437297271153785,2.725997239989361,359983.53970749624,16.444183247684716,0.016109255924395393,749994.7727498076,5.227080185785754,0.0001700066213206971,0.09,0.0
0.1,11100.228235949557,9.983213991996658e-08,3900.2282360496947,1.70880563717364e-20,1.3663840699327762e-18,1.3699646410306002e-20,1.6786007863804223e-10,5.946029849780501e-22,30000.0,0.0,0.0,20000.0,0.0,19994.43933575904,0.0,1.8694765117036927,14999.814330101432,0.18566989857023553,9975.530009727725,3.505517830648179,2.197458709599881,359982.6022684785,17.379583250649564,0.018148270625120953,749993.5359759498,6.463764082734685,0.0002599674230906454,0.1,0.0
0.11,11100.251053900818,9.981536900953485e-08,3900.2510540009753,1.7085150518314497e-20,1.5012089625608454e-18,1.65608960478612e-20,1.8463098893198193e-10,7.211175659256464e-22,30000.0,0.0,0.0,20000.0,0.0,19995.624124160557,0.0,1.4633218789931992,14999.854767025883,0.1452329741173719,9975.743773341526,2.7673209862908603,1.7585710283917075,359981.9129226531,18.067283068057804,0.019794278724794084,749992.243438338,7.756187340345445,0.00037432164364146087,0.11,0.0
0.12,11100.273860959654,9.979860075372558e-08,3900.2738610598253,1.7082328582185693e-20,1.6357069304975907e-18,1.9690199879854888e-20,2.013992446034968e-10,8.601477226962165e-22,30000.0,0.0,0.0,20000.0,0.0,19996.55277967957,0.0,1.1494749034503247,14999.885957813904,0.11404218609372266,9975.916374682218,2.183703230848146,1.400536217442563,359981.42644407914,18.55247779797354,0.021078122669946523,749990.9119724021,9.087513744800953,0.0005138530446947425,0.12,0.0
0.13,11100.296653686046,9.978183512126125e-08,3900.296653786235,1.707936705561415e-20,1.7698786698389455e-18,2.3086791356053396e-20,2.181648769301074e-10,1.0117736976847051e-21,30000.0,0.0,0.0,20000.0,0.0,19997.2827987388,0.0,0.9046621475410116,14999.91026388065,0.08973611934754185,9976.054530621372,1.722802994265903,1.1117940563779767,359981.1033734097,18.87458126871201,0.022045321463439082,749989.5552173603,10.444103918468707,0.0006787213956570555,0.13,0.0
0.14,11100.319428340068,9.976507207819999e-08,3900.3194284402734,1.707643678251102e-20,1.9037248750494102e-18,2.6749905627907094e-20,2.3492791985370326e-10,1.176075535112917e-21,30000.0,0.0,0.0,20000.0,0.0,19997.857566875173,0.0,0.7127153047745889,14999.92931103822,0.07068896177560484,9976.164524228972,1.359028858239763,0.8806795628832634,359980.91054332483,19.066711548835535,0.022745126200647177,749988.184080922,11.815050476231779,0.0008686017721570979,0.14,0.0
0.15,11100.34218088178,9.974831158793783e-08,3900.3421809819997,1.7073401822528578e-20,2.037246238951286e-18,3.0678779542312534e-20,2.5168840997824963e-10,1.353133090721306e-21,30000.0,0.0,0.0,20000.0,0.0,19998.31047924359,0.0,0.5618006528765116,14999.944282234355,0.05571776564043988,9976.25180310611,1.072002337858546,0.6966073229366069,359980.82070365874,19.156071812704475,0.023224528399243275,749986.8072035057,13.191713684217069,0.0010828101889243471,0.15,0.0
0.16,11100.364906971132,9.973155361121102e-08,3900.364907071368,1.7066052808147427e-20,2.1704434527139836e-18,3.487265163518312e-20,2.6844638656748696e-10,1.5430260415737177e-21,30000.0,0.0,0.0,20000.0,0.0,19998.667529611455,0.0,0.4429703153323727,14999.956068771715,0.04393122827824522,9976.32091117799,0.8455688448967082,0.5504829634174137,359980.81178746786,19.164687093391958,0.023525438530071933,749985.4313775419,14.567302049250857,0.0013204089951284496,0.16,0.0
