t,Arg,Fe3,Fe3_Arg,Fe2_Arg,Fe2,Fe3_NO,Fe2_NO,Fe3_NOHA,NOHA,Fe2_NOHA,Fe3_O2_Arg,Fe3_O2_NOHA,NO,citrulline,NO3
0.0,100.0,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,100.0,0.040350920823135045,0.0042414381460580824,9.074568998701492e-05,0.0001743400147258927,2.8266751243580944e-10,3.7880805839175657e-13,5.670446089630005e-06,1.5059851211353677e-09,6.005442453304458e-09,0.00013687264313744276,5.948378124783556e-09,2.2600222366339837e-11,3.056492969979447e-10,2.7541374035914146e-15
0.02,100.0,0.036186169215223093,0.008002261818246826,0.00016817457302589292,0.00018737543724999867,1.1135172349689097e-08,3.272406231145454e-11,3.996317344591166e-05,2.4589598332876366e-08,6.28703229153387e-08,0.0004158676379079029,1.1410668105669394e-07,1.968788246733914e-09,1.3137199878510721e-08,5.15219776260889e-13
0.03,100.0,0.0324553007683286,0.011332930484495504,0.00023215358612374454,0.0001769708245743238,7.47884267954461e-08,3.519732591369991e-10,0.00010930531084898852,1.1113958456690628e-07,2.143775909886093e-07,0.0006925318142376916,5.17693400112212e-07,2.1370395363709928e-08,9.651962104191995e-08,8.825623626934817e-12
0.04,100.0,0.029113175493122336,0.01427862966322767,0.0002881484165877217,0.0001642064847394414,2.5685243203885404e-07,1.694386178464873e-09,0.0002110305041789881,3.0735122892017664e-07,4.838119942492606e-07,0.0009426891057317626,1.3779735996274606e-06,1.0388532728125647e-07,3.624916674430408e-07,5.952194446543087e-11
0.05,100.0,0.026119350929324443,0.0168798799293101,0.00033763202636782327,0.0001522222603766233,6.243339440673851e-07,5.3554722131547896e-09,0.00034134471324770866,6.579170181480687e-07,8.825123134437764e-07,0.0011652614577649394,2.7964818786494154e-06,3.317172440418791e-07,9.616516091125687e-07,2.449487901496625e-10
0.06,100.0,0.023437660055710765,0.019172955201368556,0.0003813740504084518,0.0001413764612480972,1.2325898753160027e-06,1.3105082590486864e-08,0.0004966352873795727,1.2045786690590616e-06,1.4139694651005248e-06,0.001362513888659765,4.825390801804561e-06,8.203429991544025e-07,2.0667828212093752e-06,7.448641484835683e-10
0.07,100.0,0.021035724411415078,0.021190362041200405,0.00041998429236054624,0.0001316271640615598,2.1207338845429616e-06,2.7034981105148672e-08,0.0006736363809313632,1.985715838011044e-06,2.076337601729588e-06,0.0015369605932625595,7.481010301131243e-06,1.710860111901943e-06,3.860478647684807e-06,1.8496701347542717e-09
0.08,100.0,0.01888454662518876,0.02296123840117464,0.0004539977596183223,0.00012287087634864726,3.3118288666864924e-06,4.939463828004812e-08,0.0008694198610585102,3.0361943329296483e-06,2.864279535964739e-06,0.0016909464138014211,1.0754559768784018e-05,3.1610419064272507e-06,6.526239013092386e-06,3.973601698593797e-09
0.09,100.0,0.01695818133618381,0.024511674719138808,0.00048390178956163565,0.00011500644277946491,4.81499136306563e-06,8.244740158583744e-08,0.0010813693586860622,4.387324143567373e-06,3.7700711182318754e-06,0.0018265784216362087,1.462042213114333e-05,5.3370934143103725e-06,1.0242191549305922e-05,7.659370344077991e-09
0.1,100.0,0.015233349492758685,0.02586509345532995,0.000510098586899274,0.00010794289209906357,6.6282676431884845e-06,1.2836402032211e-07,0.0013071418953698021,6.067025956971297e-06,4.784391445335266e-06,0.001945790390809971,1.904226362443246e-05,8.407234799742725e-06,1.5177442770719076e-05,1.3576307465754244e-08
0.11,100.0,0.013689206848500501,0.02704247542830112,0.0005329995023542298,0.00010159698392896374,8.741361957695316e-06,1.891380490721855e-07,0.0015446472500776148,8.099896720002484e-06,5.8976880520339675e-06,0.0020502691221050396,2.3976676673755e-05,1.253623253406711e-05,2.1489245170909013e-05,2.2512630074402222e-08
0.12,100.0,0.012307106785288685,0.028062593288965765,0.0005529456803896097,9.589506592072141e-05,1.1138117548820769e-05,2.6653075895914177e-07,0.0017920223958896731,1.0507389486237219e-05,7.099811410177146e-06,0.002141554958519631,2.937736530798081e-05,1.7881321613705503e-05,2.9321331605355065e-05,3.536168386965258e-08
0.13,100.0,0.011070287087674007,0.0289423230364978,0.0005702362462883138,9.077116269222669e-05,1.3798487378907193e-05,3.6204963131882233e-07,0.0020476005263174446,1.3308110543495478e-05,8.380862422942786e-06,0.002221043926813301,3.519661428375161e-05,2.4590317642771884e-05,3.880396622863497e-05,5.311157563706678e-08
0.14,100.0,0.00996374055891911,0.02969677155045703,0.0005851633379040819,8.616546818469719e-05,1.670012954051354e-05,4.769279958166416e-07,0.0023098986310758954,1.6517948971411687e-05,9.731151223847913e-06,0.002289964931427148,4.138731327187212e-05,3.27993924045748e-05,5.0053277920749995e-05,7.682797984501114e-08
0.15,100.0,0.008974036337532205,0.030339454660882496,0.0005979781901011394,8.202478429813752e-05,1.9819676734490712e-05,6.121262306993544e-07,0.0025775983233501574,2.0150295480838756e-05,1.114152944832184e-05,0.002349430464212681,4.790390720968279e-05,4.263210628321661e-05,6.317154585106035e-05,1.076366026536535e-07
0.16,100.0,0.008089088194624384,0.03088252927410366,0.0006088914416539122,7.830172765087363e-05,2.313350536942701e-05,7.683471915492783e-07,0.0028495222206274345,2.4216329814021542e-05,1.2603362919232006e-05,0.0024004589969975967,5.470292886193197e-05,5.419973713659832e-05,7.824830300313671e-05,1.467133055621217e-07
0.17,100.0,0.007298081464289293,0.031336866248131756,0.0006181163542308733,7.495314336953234e-05,2.661847963570827e-05,9.460449209030373e-07,0.0031246270656214692,2.872514184412565e-05,1.410873514644155e-05,0.0024439389359038085,6.174352875020961e-05,6.76006908568204e-05,9.536048085764382e-05,1.9526544421211234e-07
0.18,100.0,0.006591316837102011,0.03171220747166645,0.0006258425237269658,7.194039469105155e-05,3.0252349776483393e-05,1.1454485205843012e-06,0.003401986867930255,3.3683970688446414e-05,1.5650085854300378e-05,0.0024806700119943763,6.898800873751708e-05,8.292113721356995e-05,0.00011457345424171103,2.545187310733737e-07
0.19,100.0,0.005960085940319499,0.032017291018755244,0.0006322183599594995,6.922946882748631e-05,3.401403000406843e-05,1.3665821588430676e-06,0.00368077964823393,3.9098374910660375e-05,1.7220734172331342e-05,0.002511392905126205,7.640131244288254e-05,0.00010023562378469759,0.0001359419435409752,3.2570759336611324e-07
0.2,100.0,0.005396558695585727,0.032259964686484933,0.0006373991489977329,6.678911679175151e-05,3.788373299149591e-05,1.6092872334337604e-06,0.003960276777745816,4.4972410580313606e-05,1.881455117844231e-05,0.002536752718018599,8.39512849720576e-05,0.00011960782991022513,0.0001595109158742313,4.100657390765349e-07
0.21,100.0,0.004893806409280248,0.03244716371270908,0.0006415134487370972,6.45919668939593e-05,4.184336033071019e-05,1.873249692542935e-06,0.004239843110936831,5.1308741860796424e-05,2.04260260223342e-05,0.0025573296389827535,9.160907641443455e-05,0.000141090429771772,0.00018531583631940817,5.087965243830865e-07
0.22,100.0,0.004445470037237452,0.03258524383935246,0.0006446809162901685,6.261284412785178e-05,4.587589910681457e-05,2.1580128705551554e-06,0.00451890553197552,5.810888907848818e-05,2.205036456911204e-05,0.0025736549099441485,9.934764452591412e-05,0.00016472782894424,0.00021338484724102216,6.231063194125335e-07
