t,Fe3,Fe3_Arg,Fe3_NO,Fe2_NO,Fe2,Fe2_Arg,Fe3_O2_Arg,Fe3_NOHA,Fe2_NOHA,NOHA,Fe3_O2_NOHA,NO,citrulline,NO3
0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.0054431156797278704,0.481888514469129,0.00010764823583315836,3.971416242404446e-06,0.0005274491376054831,0.023228783222293544,0.04561216701955046,0.04054468555584792,0.0012234840974935852,4.167604380503974e-05,0.0013785051224718546,7.629431551871557e-06,0.00011925491491081756,5.831283383232631e-09
0.02,0.003996245174576193,0.39207077362912685,0.0016408902075968758,0.0001437553796090584,0.000360744301203602,0.022779928829456668,0.05037143316547625,0.11194384512496788,0.006380596285112124,0.0005052557914573375,0.009806532111417554,0.00027669009156106755,0.0020618197453852673,4.840666182650072e-07
0.03,0.003496141883636996,0.31950247651408076,0.00594203691609038,0.0008779938602952485,0.00031290964435617307,0.019571884971047677,0.044384357933613346,0.1663513781266264,0.0139249500604107,0.0018309646751055236,0.023804905414737124,0.001693536429693352,0.008518419404370745,4.8521982917618135e-06
0.04,0.0033040810354323484,0.26240129674951695,0.012742462514798974,0.002769403394251608,0.0002722262825348331,0.016288009160510472,0.03715264742081388,0.19949111605584036,0.021910863353496585,0.004199582709698997,0.0394683113231052,0.0053545147983867615,0.020888303323372322,2.1922615934974205e-05
0.05,0.003336980719566559,0.218600981109941,0.02090733913586688,0.006212931201913268,0.00024404774962041826,0.013550512628725444,0.030877255783074164,0.21561249418110845,0.029078124065886904,0.007578135609631152,0.05400119781466591,0.012043614136695566,0.03922932856186742,6.544408739168738e-05
0.06,0.0035018405383339278,0.1859288634885824,0.029219644975522995,0.011346412081705465,0.0002266458188192785,0.011430541622585872,0.025934203709475554,0.21984655528023322,0.03481567727366817,0.011812161444873973,0.06593745376619922,0.02205674325311844,0.06277464035056787,0.00015184004022094017
0.07,0.0037202615081528153,0.16223292735699688,0.036752105257081454,0.018081040602068096,0.00021686301703200615,0.009855967292789241,0.022223690635761965,0.2164845602956454,0.03895751562352945,0.016698176994790648,0.07477689141615218,0.03525542297282336,0.09038629509293059,0.000297726260957621
0.08,0.003936698627890858,0.14549215101707594,0.042955984216245635,0.0261762326268921,0.00021181563128805573,0.008722374759968402,0.019530207339861164,0.2087358836980199,0.04159962204825118,0.02202981456101491,0.08060921547349202,0.051206733046613176,0.12085695403903819,0.0005180041492872083
0.09,0.004117647940692403,0.13391737192301606,0.047613868577078916,0.03531598250187138,0.00020930469810338242,0.007926395363985251,0.01762638428173195,0.19884873263517888,0.04296838303112893,0.027623156737698305,0.08383277230951473,0.06932762457286082,0.15308220971925066,0.0008247340674395281
0.1,0.004247162252726545,0.12601030111625638,0.050747170427950794,0.04516887371337809,0.0002078209244949252,0.007377045317773139,0.016306877028756918,0.18830425569504322,0.04333511855443975,0.03332786473549586,0.08496751023368451,0.08899919747802273,0.18614193952358943,0.0012266979042377798
0.11,0.004321604543486141,0.12057931752238552,0.05252323873617875,0.055427826708089635,0.00020642573537415422,0.006999484652548723,0.01539992468157702,0.1780066182135275,0.04296512418785318,0.03902943577449065,0.08454099924448895,0.10964306376469399,0.2193235888744477,0.001729459665485181
0.12,0.004344969282712387,0.11672240130689522,0.05318009090830882,0.06583188186998207,0.00020460736348820513,0.0067353642124808166,0.014769706254932657,0.16844749065904469,0.042090942140347316,0.04464641746399238,0.08302612853781559,0.13076383577561093,0.25211154032133115,0.002335731767429114
0.13,0.004325253211453024,0.11379033547736686,0.05297314088218454,0.07617447338133208,0.00020214920784369009,0.006541413727761656,0.014314107228111593,0.15983899274926436,0.04090139880143735,0.0501252284888731,0.0808135068443719,0.1519659785147887,0.2841594791239811,0.0030458863456755904
0.14,0.00427190217571973,0.11134107230278961,0.05214176526712996,0.08630273366103855,0.00019902259176697755,0.006387167097815284,0.013960164832459827,0.15221609123786944,0.03954046805241067,0.05543423631041925,0.07820537647058094,0.17295352314349477,0.31525652353304834,0.0038585014613848226
