t,Fe3,Fe3_Arg,Fe3_NO,Fe2_NO,Fe2,Fe2_Arg,Fe3_O2_Arg,Fe3_NOHA,Fe2_NOHA,NOHA,Fe3_O2_NOHA,NO,citrulline,NO3
0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.008164674314749489,0.7228327708949197,0.00016147238104500364,5.957125297954282e-06,0.0007911737443946157,0.034843174812946985,0.06841825052580976,0.06081702834771445,0.001835226455416896,6.251336519426361e-05,0.0020677580325106294,1.1444149122575514e-05,0.00017888240239187923,8.746926345737223e-09
0.02,0.0059943667496310405,0.5881061615985416,0.002461335826661964,0.00021563314638911726,0.000541116403784621,0.034169892652934714,0.07555714755834124,0.16791577100186206,0.009570897717194337,0.0007578750027968646,0.014709802341862241,0.00041503528510399994,0.0030927303581359694,7.260999808877119e-07
0.03,0.00524421146980891,0.4792537169383739,0.008913059281866132,0.001316991255284203,0.00046936412023423625,0.02935782697061759,0.0665765372121916,0.24952706783646125,0.020887440108297146,0.002746403750254866,0.035707381056610046,0.0025403055413889455,0.012777634378665862,7.278300126575381e-06
0.04,0.004956121578386125,0.3936019489124252,0.01911370633385739,0.004154106869885887,0.00040833944378355794,0.024432010375106922,0.05572896149522477,0.29923668492289945,0.03286633524705179,0.006299249959148792,0.059202534862229934,0.008031775665604812,0.03133247282263464,3.2883953286547225e-05
0.05,0.005005472973050302,0.327901481017801,0.03136104430079402,0.009319403489426524,0.0003660716874172449,0.020325767751387083,0.04631588183268009,0.3234187437035632,0.043617262672337925,0.011366939679321474,0.08100193089222114,0.01806543417778034,0.05884404817526187,9.8166207260977e-05
0.06,0.005252764191943435,0.2788933139738572,0.04382952902098315,0.01701963824356905,0.00033996878638873,0.01714581510964924,0.03890130200711241,0.3297698646482042,0.05222364413090315,0.017717767863405506,0.09890639202398394,0.03308515399904324,0.09416208159596877,0.00022776033237330274
0.07,0.005580399125435542,0.24334943669676135,0.055128276152359636,0.027121598786748573,0.0003252947433358615,0.014783952564550281,0.03333553921130461,0.3247268615320584,0.05843646461168439,0.025046501116703593,0.1121656754590577,0.05288320814197082,0.13557967299991927,0.00044658991884023524
0.08,0.005905058416604015,0.21823830607977895,0.06443415268968142,0.03926441998607999,0.000317723787444876,0.013083565874343433,0.029295317976318343,0.3131038807118618,0.06239969581165765,0.0330435771087142,0.12091430155751522,0.07681023804731534,0.18128581808998326,0.0007770073669064733
0.09,0.0061764873462040615,0.20087618262123402,0.07142105781832196,0.052974089392135784,0.00031395755564721077,0.011889598931615019,0.026439587536986046,0.2982731880507153,0.06445291543141424,0.041433112968053395,0.12574982234767287,0.10399166290784487,0.22962391341998076,0.001237103301678107
0.1,0.006370766105024583,0.18901565960815192,0.07612112244037439,0.06775348775339189,0.00031173215970422473,0.01106557785286127,0.024460334600211416,0.2824564654165596,0.0650031283353617,0.04998959992399911,0.1274521258043596,0.1334991430104865,0.2792138036618413,0.0018400504575885371
0.11,0.006482437001187343,0.1808692596229201,0.07878534147292711,0.08314199679847192,0.0003096396395728117,0.010499240469676801,0.02309991303598193,0.2670100617022936,0.06444825919056894,0.05854127910574266,0.12681257196065646,0.16446509963517075,0.32898663339911416,0.0025941954925443596
0.12,0.006517493231994943,0.17508400330132518,0.07977075520173893,0.09874818575996158,0.0003069124224863075,0.010103065780053657,0.02215459744671393,0.2526714041083232,0.06313710430669729,0.06696598196145981,0.12454049647924456,0.19614646740353342,0.37816901513643764,0.0035036067712036698
0.13,0.006487928797671766,0.1706860840140102,0.07946046290046956,0.11426221720893037,0.00030322558845786475,0.009812149844978439,0.02147121968274254,0.23975868801023795,0.06135289947734237,0.07518334479393823,0.1212217796812201,0.22794996614704124,0.4262414890940886,0.004568842837647479
0.14,0.0064079128599392274,0.16701232783850647,0.07821355518667336,0.12945476066917183,0.00029853606246795417,0.009580786900631376,0.02094032019955126,0.22832441632963113,0.059311627927369645,0.08314591866386084,0.11730983736219641,0.2594315880547021,0.4728876753601174,0.005787771449570125
0.15,0.006291353169642914,0.16364047567880574,0.07633839335412286,0.14416815288791696,0.000292961650776113,0.009378636275967928,0.020487966311734194,0.21826789914579062,0.057168385551570985,0.09083066005006209,0.11313511592360918,0.29028110786006783,0.5179439885196897,0.007156334417582085
0.16,0.006150536249499683,0.16032523415531907,0.07408258803465141,0.1583038586425087,0.00028669593086550117,0.009186996857714277,0.020067529934745424,0.20941360656940552,0.05502759150421775,0.0982315251748303,0.10892383694624197,0.32029928834530497,0.561354938976005,0.008669203953540056
0.17,0.005995525681267311,0.15694451369883342,0.07163350492203582,0.17180927006526792,0.0002799527375849104,0.008995544413521442,0.019652327899168202,0.20156229314558544,0.052954021698895924,0.1053535205692401,0.1048195251685991,0.3493735636890882,0.6031366456721021,0.010320306995710463
0.18,0.00583405989001599,0.15345649775788467,0.06912489474027045,0.18466536241295958,0.00027293306200867114,0.008799633516575289,0.01922942771215122,0.1945218326258741,0.05098327485885554,0.11220816469080125,0.10090391873260299,0.3774551214826118,0.6433486008554218,0.012103222219579997
0.19,0.005671736899333297,0.14986749143581826,0.0666461477403959,0.19687622341384708,0.00026580801321728076,0.008598212166389448,0.018794786951334398,0.1881235535286056,0.04913063689065243,0.11881024313843642,0.09721515982196954,0.40453935881254977,0.6820731923499642,0.014011462383171412
0.2,0.00551234936802785,0.14620898726027182,0.06425223337692446,0.20846067137942123,0.00025871271069586324,0.008392283245910096,0.018349611718887767,0.1822286803024147,0.047398275041857514,0.12517562860594994,0.09376256698963838,0.4306501542998441,0.7194017162340811,0.016038657177891123
0.21,0.0053582553418779245,0.14252227708658297,0.061972754948001536,0.21944591109138573,0.0002517465006335928,0.008183835660918196,0.01789778803083209,0.1767290137634295,0.04578049879516905,0.1313198909966467,0.0905380277845223,0.4558279378496078,0.7554252819522925,0.01817867806329722
0.22,0.005210746611194619,0.13884903749237512,0.05981981694296803,0.2298631075817634,0.00024497731887167506,0.007975154319640592,0.017444187185413046,0.17154368626880895,0.04426768584983337,0.13725757459098065,0.08752402583815033,0.48012128561752765,0.790229893057854,0.020425682915594576
0.23,0.005070359402657078,0.13522595405274151,0.05779415557069623,0.23974431506576993,0.00023844714215423045,0.007768400950500213,0.016993611771312023,0.16661487468213987,0.04284877917972088,0.1430018170633155,0.08469928511899227,0.5035811024208523,0.8238937274239737,0.022774154366654628
0.24,0.004937133156608494,0.13168242962755503,0.055889823582654,0.24912068062918483,0.000232178076412973,0.00756540319814195,0.016550236317400224,0.16190272426009772,0.04151289377491717,0.1485643009647681,0.08204219641225921,0.52625715434693,0.8564865471129467,0.025218888554177338
0.25,0.004810805863620504,0.1282400577698063,0.054097488187502665,0.2580214131107417,0.0002261777823884633,0.007367571762033439,0.016117360998938787,0.1573807833124884,0.04025013447779583,0.15395532980536503,0.07953287692931862,0.5481960694546545,0.8880699547513514,0.027754983998451804
0.26,0.00469095575047668,0.12491318413984788,0.0524066467403751,0.26647333165414633,0.0002204440874682595,0.007175899914754964,0.01569737042284253,0.1530320691740661,0.03905205185252784,0.15918398665927658,0.07715405960421762,0.5694404339324908,0.9186982342015838,0.03037782187457104
0.27,0.004577098322468701,0.12171008303057165,0.05080698239955679,0.2745008305956899,0.00021496868625576644,0.00699101337926056,0.015291821007887283,0.14884584110629287,0.03791164710139202,0.1642583401309919,0.07489137423963231,0.5900286703413878,0.9484195209890877,0.03308303765245242
0.28,0.004468746277444552,0.11863424030038655,0.04928909683374681,0.2821260284351708,0.00020973982360743585,0.006813236301973354,0.014901576022140373,0.1448152453459143,0.036823289635579515,0.16918563093392647,0.07273317009010961,0.6099952784265472,0.9772769013573421,0.035866497661876606
0.29,0.004365445203877342,0.11568549396359007,0.0478448717445916,0.2893689633355486,0.00020474415224081547,0.006642654418751425,0.014526941009040947,0.14093567923821382,0.03578253947605158,0.17397242029270218,0.07067024716539151,0.6293711796849234,1.0053092979820575,0.038724283216993075
0.3,0.004266790629859044,0.11286131351312598,0.046467497689241175,0.29624796414634536,0.00019996813784813096,0.0064791916567416,0.014167835407676441,0.13720348881219493,0.03478588058727211,0.17862475949842088,0.06869530992127448,0.6481843776766332,1.0325525033276293,0.04165266381540848
0.31,0.004172431817270206,0.11015757938558336,0.045151383697310955,0.30277988677960754,0.00019539871763205553,0.006322658509007635,0.013823902924491599,0.13361535871584587,0.033830526163007184,0.18314828155477453,0.0668025917354694,0.6664603893342852,1.0590397454163876,0.04464808560518298
0.32,0.004082069652028701,0.10756929738570267,0.04389198251003881,0.3089803752268854,0.00019102373894908382,0.006172797763755443,0.013494617462702101,0.13016787587256035,0.03291422134515233,0.1875482887891203,0.06498745025310494,0.684222718028592,1.0848022327440134,0.04770715697849618
0.33,0.003995450345099897,0.10509109459472199,0.04268558970424805,0.314864071766449,0.00018683212010618978,0.00602931746607336,0.01317936082100228,0.12685734159723597,0.032035085553642234,0.19182981325873633,0.06324604277268463,0.7014932352465704,1.1098695340517888,0.05082663733452029
0.34,0.003912357756137004,0.10271752058637634,0.04152915827362387,0.3204447711720261,0.00018281383384909122,0.005891911905062191,0.012877473193466753,0.12367974592948355,0.031191501120617807,0.1959976544099669,0.061575091819390526,0.718292459970021,1.1342698179272663,0.05400342851159413
0.35000000000000003,0.0038326059424635037,0.1004432820408628,0.04042012976220524,0.32573555499872453,0.0001789598508107512,0.005760278326189295,0.01258829375374053,0.12063077790378499,0.030382019264492716,0.2000564103210071,0.05997168783571885,0.7346398004877714,1.1580300518075128,0.057234566558810755
0.36,0.0037560322342260932,0.09826336327821146,0.039356296362896066,0.3307488868224073,0.00017526201878567097,0.0056341262884381,0.012311184145026605,0.11770589754212643,0.02960529914428417,0.20401049640133245,0.0584331557622659,0.7505537242080996,1.1811761224138158,0.06051721502041186
0.37,0.0036824914322717327,0.09617306309169459,0.03833569766068527,0.33549667533596395,0.00017171291649236485,0.0055131814405404355,0.012045538793794377,0.11490043493058176,0.028860071812098948,0.20786415531541821,0.05695697727045851,0.7660518679210199,1.2037329002372756,0.06384865931960558
0.38,0.00361185140974186,0.09416800507547739,0.037356545586975015,0.3399903222221394,0.00016830573050446583,0.005397187263626016,0.011790790141509801,0.11220967178815622,0.028145116907488204,0.211621464688902,0.055540739185479866,0.7811511195084102,1.2257242887990187,0.06722630148149325
0.39,0.003543989896016109,0.09224412924988348,0.0364171724610611,0.34424075796569387,0.00016503415426459707,0.005285905330530434,0.011546410125255879,0.10962890624996274,0.027459249437160098,0.21528634320128928,0.054182101928882606,0.7958676771411703,1.247173262748507,0.07064765518058061
0.4,0.0034787918386557063,0.09039766944327525,0.03551599126562697,0.3482584697879635,0.00016189229418659171,0.005179114518368752,0.011311909083632029,0.10715351316053966,0.026801311973090443,0.21886255518770653,0.05287878144695477,0.8102170939519266,1.2681018960997623,0.07411034109424411
0.41000000000000003,0.003416147782820971,0.0886251177454118,0.034651475155846066,0.35205351976254323,0.00015887459690305057,0.005076609145976536,0.011086831898828598,0.10477898828145243,0.026170174266883176,0.22235371403740867,0.0516285473259256,0.8242143045219182,1.2885313820350561,0.07761208259474771
0.42,0.0033559528983845717,0.08692318809625108,0.0338221478089342,0.35563555870712066,0.00015597579517496852,0.004978196893200191,0.01087075345406861,0.10250097770156445,0.025564736016479208,0.22576328552625113,0.05042922710257099,0.837873643629354,1.3084820517763986,0.08115070163098884
