t,Ca,Gd,Gt,R,Rl,Rg,Rlg,Rlgp,IP3,Pc,Pcg,P,Pg
0.0,0.1,10000.0,0.0,13.9,0.0,5.06,0.0,0.0,0.015,9.09,0.0,90.9,0.0
0.01,0.1,10000.00039197254,0.0,13.900391972542117,0.0,5.059608027457881,0.0,0.0,0.01500013476245896,9.09,0.0,90.9,0.0
0.02,0.1,10000.000745462681,0.0,13.900745462683899,0.0,5.059254537316099,0.0,0.0,0.015000267850627724,9.09,0.0,90.9,0.0
0.03,0.1,10000.001064283551,0.0,13.90106428355366,0.0,5.058935716446339,0.0,0.0,0.015000399285435348,9.09,0.0,90.9,0.0
0.04,0.1,10000.001351885085,0.0,13.901351885085765,0.0,5.058648114914235,0.0,0.0,0.015000529087681498,9.09,0.0,90.9,0.0
0.05,0.1,10000.001611293937,0.0,13.901611293938707,0.0,5.058388706061292,0.0,0.0,0.015000657277496244,9.09,0.0,90.9,0.0
0.06,0.1,10000.001845283112,0.0,13.901845283113678,0.0,5.058154716886322,0.0,0.0,0.015000783874917715,9.09,0.0,90.9,0.0
0.07,0.1,10000.002056359104,0.0,13.902056359105611,0.0,5.057943640894387,0.0,0.0,0.015000908899735437,9.09,0.0,90.9,0.0
0.08,0.1,10000.00224674269,0.0,13.902246742690812,0.0,5.0577532573091855,0.0,0.0,0.01500103237147007,9.09,0.0,90.9,0.0
0.09,0.1,10000.002418472095,0.0,13.902418472097485,0.0,5.057581527902512,0.0,0.0,0.015001154309420443,9.09,0.0,90.9,0.0
0.1,0.1,10000.00257334828,0.0,13.90257334828205,0.0,5.057426651717946,0.0,0.0,0.015001274732620926,9.09,0.0,90.9,0.0
0.11,0.1,10000.002713044352,0.0,13.902713044353955,0.0,5.057286955646039,0.0,0.0,0.015001393659900386,9.09,0.0,90.9,0.0
0.12,0.1,10000.002839049794,0.0,13.902839049795245,0.0,5.057160950204751,0.0,0.0,0.015001511109841647,9.09,0.0,90.9,0.0
0.13,0.1,10000.002952702589,0.0,13.90295270259328,0.0,5.057047297406716,0.0,0.0,0.01500162710079592,9.09,0.0,90.9,0.0
0.14,0.1,10000.003055217665,0.0,13.903055217667562,0.0,5.056944782332432,0.0,0.0,0.01500174165088796,9.09,0.0,90.9,0.0
0.15,0.1,10000.00314768397,0.0,13.903147683974812,0.0,5.056852316025185,0.0,0.0,0.015001854778016221,9.09,0.0,90.9,0.0
0.16,0.1,10000.003231095014,0.0,13.90323109501901,0.0,5.056768904980987,0.0,0.0,0.015001966499859753,9.09,0.0,90.9,0.0
0.17,0.1,10000.003306327135,0.0,13.903306327138827,0.0,5.056693672861169,0.0,0.0,0.01500207683387262,9.09,0.0,90.9,0.0
0.18,0.1,10000.003374169704,0.0,13.903374169708048,0.0,5.0566258302919485,0.0,0.0,0.015002185797290553,9.09,0.0,90.9,0.0
0.19,0.1,10000.003435335258,0.0,13.90343533526244,0.0,5.056564664737556,0.0,0.0,0.015002293407138812,9.09,0.0,90.9,0.0
0.2,0.1,10000.00349048553,0.0,13.90349048553258,0.0,5.056509514467416,0.0,0.0,0.0150023996802333,9.09,0.0,90.9,0.0
0.21,0.1,10000.003540250576,0.0,13.903540250581063,0.0,5.056459749418933,0.0,0.0,0.0150025046331844,9.09,0.0,90.9,0.0
0.22,0.1,10000.003585181335,0.0,13.903585181338718,0.0,5.056414818661278,0.0,0.0,0.01500260828239386,9.09,0.0,90.9,0.0
0.23,0.1,10000.003625720386,0.0,13.903625720390753,0.0,5.056374279609243,0.0,0.0,0.015002710644053141,9.09,0.0,90.9,0.0
0.24,0.1,10000.003662279989,0.0,13.903662279993675,0.0,5.056337720006321,0.0,0.0,0.015002811734154594,9.09,0.0,90.9,0.0
